Estación: ,C19038,LAS COMITAS.STA.CATARINA
Variable: ,Precipitación (mm)
Longitud: ,100° 20' 00'',Latitud:,25° 32' 00

Fecha,Valor,NúmDatos
1942-04-01,0,CLIC
1942-04-02,0,CLIC
1942-04-03,0,CLIC
1942-04-04,0,CLIC
1942-04-05,0,CLIC
1942-04-06,0,CLIC
1942-04-07,0,CLIC
1942-04-08,0,CLIC
1942-04-09,0,CLIC
1942-04-10,0,CLIC
1942-04-11,0,CLIC
1942-04-12,0.2,CLIC
1942-04-13,0,CLIC
1942-04-14,0,CLIC
1942-04-15,0,CLIC
1942-04-16,3.4,CLIC
1942-04-17,0,CLIC
1942-04-18,0,CLIC
1942-04-19,0,CLIC
1942-04-20,0,CLIC
1942-04-21,0,CLIC
1942-04-22,0,CLIC
1942-04-23,0,CLIC
1942-04-24,0,CLIC
1942-04-25,0,CLIC
1942-04-26,0,CLIC
1942-04-27,2.7,CLIC
1942-04-28,0,CLIC
1942-04-29,0,CLIC
1942-04-30,0.2,CLIC
1942-05-01,6,CLIC
1942-05-02,3.8,CLIC
1942-05-03,0,CLIC
1942-05-04,0,CLIC
1942-05-05,0,CLIC
1942-05-06,0,CLIC
1942-05-07,0,CLIC
1942-05-08,0,CLIC
1942-05-09,0,CLIC
1942-05-10,0,CLIC
1942-05-11,0,CLIC
1942-05-12,0,CLIC
1942-05-13,0,CLIC
1942-05-14,0,CLIC
1942-05-15,0,CLIC
1942-05-16,16,CLIC
1942-05-17,0,CLIC
1942-05-18,0.3,CLIC
1942-05-19,0,CLIC
1942-05-20,0,CLIC
1942-05-21,0,CLIC
1942-05-22,0.9,CLIC
1942-05-23,0,CLIC
1942-05-24,0,CLIC
1942-05-25,0,CLIC
1942-05-26,0,CLIC
1942-05-27,0,CLIC
1942-05-28,0,CLIC
1942-05-29,0.3,CLIC
1942-05-30,0,CLIC
1942-05-31,0,CLIC
1942-06-01,0,CLIC
1942-06-02,0,CLIC
1942-06-03,0,CLIC
1942-06-04,0,CLIC
1942-06-05,0,CLIC
1942-06-06,0,CLIC
1942-06-07,0,CLIC
1942-06-08,0,CLIC
1942-06-09,0,CLIC
1942-06-10,0,CLIC
1942-06-11,0,CLIC
1942-06-12,0,CLIC
1942-06-13,24.8,CLIC
1942-06-14,2,CLIC
1942-06-15,0,CLIC
1942-06-16,0,CLIC
1942-06-17,0,CLIC
1942-06-18,0,CLIC
1942-06-19,0.6,CLIC
1942-06-20,0,CLIC
1942-06-21,0,CLIC
1942-06-22,0,CLIC
1942-06-23,0,CLIC
1942-06-24,5.4,CLIC
1942-06-25,0.3,CLIC
1942-06-26,0,CLIC
1942-06-27,0,CLIC
1942-06-28,0,CLIC
1942-06-29,0,CLIC
1942-06-30,0,CLIC
1942-07-01,0,CLIC
1942-07-02,0,CLIC
1942-07-03,0,CLIC
1942-07-04,0,CLIC
1942-07-05,0,CLIC
1942-07-06,0,CLIC
1942-07-07,0,CLIC
1942-07-08,0,CLIC
1942-07-09,0,CLIC
1942-07-10,0,CLIC
1942-07-11,0,CLIC
1942-07-12,0.3,CLIC
1942-07-13,0,CLIC
1942-07-14,11.6,CLIC
1942-07-15,0,CLIC
