Estación: ,C19038,LAS COMITAS.STA.CATARINA
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 20' 00'',Latitud:,25° 32' 00

Fecha,Promedio,Máximo,Mínimo
1950-06-01,22.5,26,19
1950-06-02,23.5,28,19
1950-06-03,27.5,36,19
1950-06-04,27,35,19
1950-06-05,26.5,34,19
1950-06-06,29,37,21
1950-06-07,28.5,35,22
1950-06-08,27,34,20
1950-06-09,26,32,20
1950-06-10,26,32,20
1950-06-11,24,28,20
1950-06-12,27,34,20
1950-06-13,26.5,34,19
1950-06-14,27,35,19
1950-06-15,26,33,19
1950-06-16,26,33,19
1950-06-17,26,32,20
1950-06-18,26,32,20
1950-06-19,26.5,34,19
1950-06-20,26.5,32,21
1950-06-21,26,32,20
1950-06-22,27,34,20
1950-06-23,25,33,17
1950-06-24,25.5,34,17
1950-06-25,25,34,16
1950-06-26,25,34,16
1950-06-27,26.5,34,19
1950-06-28,27.5,35,20
1950-06-29,26.5,34,19
1950-06-30,26,33,19
1950-07-01,23.5,31,16
1950-07-02,23.5,31,16
1950-07-03,23.5,31,16
1950-07-04,24.5,32,17
1950-07-05,25.5,34,17
1950-07-06,27.5,36,19
1950-07-07,26,34,18
1950-07-08,26,34,18
1950-07-09,26.5,35,18
1950-07-10,29.5,38,21
1950-07-11,27,34,20
1950-07-12,28,36,20
1950-07-13,26.5,34,19
1950-07-14,26,32,20
1950-07-15,27,36,18
1950-07-16,26.5,34,19
1950-07-17,26.5,35,18
1950-07-18,27,35,19
1950-07-19,25.5,34,17
1950-07-20,25.5,34,17
1950-07-21,25,33,17
1950-07-22,25,33,17
1950-07-23,26,34,18
1950-07-24,26,34,18
1950-07-25,25,33,17
1950-07-26,26,35,17
1950-07-27,26.5,35,18
1950-07-28,26,34,18
1950-07-29,26.5,37,16
1950-07-30,26,36,16
1950-07-31,27,33,21
1950-08-01,25,33,17
1950-08-02,25.5,34,17
1950-08-03,26.5,36,17
1950-08-04,27.5,38,17
1950-08-05,27,37,17
1950-08-06,27,36,18
1950-08-07,26.5,35,18
1950-08-08,27,35,19
1950-08-09,25.5,33,18
1950-08-10,26.5,34,19
1950-08-11,25.75,34,17.5
1950-08-12,25.5,33,18
1950-08-13,25,33,17
1950-08-14,24.5,33,16
1950-08-15,25.5,34,17
1950-08-16,26,34,18
1950-08-17,26.5,35,18
1950-08-18,26,33,19
1950-08-19,25.5,31,20
1950-08-20,24.5,31,18
1950-08-21,25.75,33.5,18
1950-08-22,26,34,18
1950-08-23,25.5,34,17
1950-08-24,25.75,34,17.5
1950-08-25,27,35,19
1950-08-26,26,34,18
1950-08-27,26,34,18
1950-08-28,26,33,19
1950-08-29,26,34,18
1950-08-30,26.5,35,18
1950-08-31,27,36,18
1950-09-01,24.5,34,15
1950-09-02,23.5,31,16
1950-09-03,24,32,16
1950-09-04,24.25,31.5,17
1950-09-05,25.25,33.5,17
1950-09-06,24.5,31,18
1950-09-07,25,32,18
1950-09-08,26.5,35,18
1950-09-09,27.5,36,19
1950-09-10,27.25,35.5,19
1950-09-11,27.75,36.5,19
1950-09-12,26.75,35.5,18
1950-09-13,26.5,35,18
1950-09-14,26.5,35,18
1950-09-15,27.5,37,18
1950-09-16,28,37,19
1950-09-17,27.5,35,20
1950-09-18,26.75,35.5,18
1950-09-19,26,35,17
1950-09-20,25.75,35.5,16
1950-09-21,26,35,17
1950-09-22,26.5,35,18
1950-09-23,26.75,35.5,18
1950-09-24,24.5,30,19
1950-09-25,21.25,24.5,18
1950-09-26,26.75,36.5,17
1950-09-27,24,31,17
1950-09-28,24.75,32.5,17
1950-09-29,24,32,16
1950-09-30,23.5,31,16
1950-11-01,20,30,10
1950-11-02,20.25,30.5,10
1950-11-03,12,21,3
1950-11-04,11,20,2
1950-11-05,15,27,3
1950-11-06,18,32,4
1950-11-07,20,33,7
1950-11-08,20,32,8
1950-11-09,17.5,28,7
1950-11-10,6,10,2
1950-11-11,9,13,5
1950-11-12,12.5,19,6
1950-11-13,18.5,26,11
1950-11-14,21,32,10
1950-11-15,23,35,11
1950-11-16,22.5,34,11
1950-11-17,17,23,11
1950-11-18,19,29,9
1950-11-19,22,35,9
1950-11-20,18.5,30,7
1950-11-21,20.75,35.5,6
1950-11-22,18.5,30,7
1950-11-23,17.5,28,7
1950-11-24,11,16,6
1950-11-25,14,20,8
1950-11-26,13.5,24,3
1950-11-27,14.5,26,3
1950-11-28,13.5,24,3
1950-11-29,15.5,27,4
1950-11-30,20,30,10
1950-12-01,20,31,9
1950-12-02,19.5,32,7
1950-12-03,14.5,25,4
1950-12-04,19.5,32,7
1950-12-05,17.5,32,3
1950-12-06,7,11,3
1950-12-07,14,25,3
1950-12-08,17,30,4
1950-12-09,16,28,4
1950-12-10,15.5,28,3
1950-12-11,15.5,28,3
1950-12-12,16.5,30,3
1950-12-13,18,31,5
1950-12-14,18,31,5
1950-12-15,18.5,31,6
1950-12-16,16.5,28,5
1950-12-17,12,21,3
1950-12-18,11.5,21,2
1950-12-19,13.5,25,2
1950-12-20,16,29,3
1950-12-21,13,24,2
1950-12-22,11.5,21,2
1950-12-23,10.5,19,2
1950-12-24,11,20,2
1950-12-25,13,23,3
1950-12-26,17,30,4
1950-12-27,8.5,12,5
1950-12-28,12.5,22,3
1950-12-29,13,22,4
1950-12-30,17.5,32,3
1950-12-31,12,20,4
1951-01-01,17.5,29,6
1951-01-02,16,29,3
1951-01-03,13,23,3
1951-01-04,14.5,26,3
1951-01-05,17,30,4
1951-01-06,7,13,1
1951-01-07,7,13,1
1951-01-08,12.5,23,2
1951-01-09,14,24,4
1951-01-10,7.5,13,2
1951-01-11,13,23,3
1951-01-12,16.5,30,3
1951-01-13,20,32,8
1951-01-14,10,19,1
1951-01-15,13.5,25,2
1951-01-16,12,21,3
1951-01-17,17,30,4
1951-01-18,17,30,4
1951-01-19,17,29,5
1951-01-20,8,15,1
1951-01-21,12.5,22,3
1951-01-22,13,22,4
1951-01-23,16,29,3
1951-01-24,11.5,21,2
1951-01-25,12,22,2
1951-01-26,14,25,3
1951-01-27,18,31,5
1951-01-28,19,31,7
1951-01-29,10,19,1
1951-01-30,6,10,2
1951-01-31,4.5,5,4
1951-02-01,10.5,20,1
1951-02-02,10.5,20,1
1951-02-03,13.5,26,1
1951-02-04,16.5,29,4
1951-02-05,17,29,5
1951-02-06,13,23,3
1951-02-07,15.5,26,5
1951-02-08,17.5,29,6
1951-02-09,17,28,6
1951-02-10,17.5,29,6
1951-02-11,19.5,31,8
1951-02-12,16.5,31,2
1951-02-13,4.5,7,2
1951-02-14,14.5,26,3
1951-02-15,11.5,20,3
1951-02-16,15,27,3
1951-02-17,16.5,29,4
1951-02-18,19.5,33,6
1951-02-19,13.5,24,3
1951-02-20,15,26,4
1951-02-21,13.5,24,3
1951-02-22,13.5,24,3
1951-02-23,19,27,11
1951-02-24,18.5,27,10
1951-02-25,20,31,9
1951-02-26,20,29,11
1951-02-27,22,31,13
1951-02-28,23.5,35,12
1951-03-01,20,27,13
1951-03-02,24,35,13
1951-03-03,22,31,13
1951-03-04,19,27,11
1951-03-05,21,30,12
1951-03-06,23,33,13
1951-03-07,23,33,13
1951-03-08,23,33,13
1951-03-09,22,31,13
1951-03-10,22,31,13
1951-03-11,16.5,29,4
1951-03-12,10,12,8
1951-03-13,10.5,19,2
1951-03-14,14,22,6
1951-03-15,16,22,10
1951-03-16,17.5,25,10
1951-03-17,23.5,32,15
1951-03-18,13.5,22,5
1951-03-19,9,13,5
1951-03-20,8.5,13,4
1951-03-21,16.5,27,6
1951-03-22,19.5,32,7
1951-03-23,21,34,8
1951-03-24,16.5,24,9
1951-03-25,13,16,10
1951-03-26,15.5,21,10
1951-03-27,21,31,11
1951-03-28,20,31,9
1951-03-29,15.5,21,10
1951-03-30,16,26,6
1951-03-31,20,32,8
1951-04-01,23,35,11
1951-04-02,17.5,22,13
1951-04-03,15.5,24,7
1951-04-04,19.5,29,10
1951-04-05,24,34,14
1951-04-06,23.5,32,15
1951-04-07,18.5,26,11
1951-04-08,19.5,29,10
1951-04-09,22,32,12
1951-04-10,13.5,17,10
1951-04-11,12.5,19,6
1951-04-12,12.5,19,6
1951-04-13,18.5,28,9
1951-04-14,22,33,11
1951-04-15,25.5,37,14
1951-04-16,19.5,25,14
1951-04-17,19,26,12
1951-04-18,24,36,12
1951-04-19,25.5,36,15
1951-04-20,27,37,17
1951-04-21,26,35,17
1951-04-22,25,33,17
1951-04-23,24,30,18
1951-04-24,21.5,31,12
1951-04-25,20.5,30,11
1951-04-26,21,29,13
1951-04-27,22,31,13
1951-04-28,22.5,31,14
1951-04-29,24,35,13
1951-04-30,28,38,18
1951-05-01,23,31,15
1951-05-02,23,31,15
1951-05-03,22.5,30,15
1951-05-04,24.5,33,16
1951-05-05,23,33,13
1951-05-06,23.5,33,14
1951-05-07,19,25,13
1951-05-08,20,28,12
1951-05-09,24,36,12
1951-05-10,22.5,34,11
1951-05-11,23,28,18
1951-05-12,21.5,26,17
1951-05-13,21.5,31,12
1951-05-14,26.5,34,19
1951-05-15,24.5,32,17
1951-05-16,24.5,30,19
1951-05-17,26,33,19
1951-05-18,24,30,18
1951-05-19,23,30,16
1951-05-20,25,34,16
1951-05-21,26.5,35,18
1951-05-22,27,37,17
1951-05-23,27,34,20
1951-05-24,23,30,16
1951-05-25,23.5,33,14
1951-05-26,23.5,33,14
1951-05-27,26,37,15
