Estación: ,C19039,LAS ENRAMADAS.
Variable: ,Evaporación (mm)
Longitud: ,99° 31' 40'',Latitud:,25° 29' 51

Fecha,Valor,NúmDatos
1950-11-01,4.2,CLIC
1950-11-02,2.6,CLIC
1950-11-03,8.8,CLIC
1950-11-04,2.7,CLIC
1950-11-05,3.3,CLIC
1950-11-06,3.1,CLIC
1950-11-07,3.7,CLIC
1950-11-08,5.4,CLIC
1950-11-09,6.9,CLIC
1950-11-10,5.3,CLIC
1950-11-11,2.1,CLIC
1950-11-12,1.6,CLIC
1950-11-13,2,CLIC
1950-11-14,5.6,CLIC
1950-11-15,3.4,CLIC
1950-11-16,7.2,CLIC
1950-11-17,3.3,CLIC
1950-11-18,3.6,CLIC
1950-11-19,4,CLIC
1950-11-20,8.1,CLIC
1950-11-21,2.8,CLIC
1950-11-22,1.9,CLIC
1950-11-23,3.1,CLIC
1950-11-24,1,CLIC
1950-11-25,2.3,CLIC
1950-11-26,1.5,CLIC
1950-11-27,3.4,CLIC
1950-11-28,2.5,CLIC
1950-11-29,3,CLIC
1950-11-30,3.6,CLIC
1950-12-01,4,CLIC
1950-12-02,3.6,CLIC
1950-12-03,6.9,CLIC
1950-12-04,2.6,CLIC
1950-12-05,8.9,CLIC
1950-12-06,4.3,CLIC
1950-12-07,2.1,CLIC
1950-12-08,3.2,CLIC
1950-12-09,2.8,CLIC
1950-12-10,3.5,CLIC
1950-12-11,2.2,CLIC
1950-12-12,2.5,CLIC
1950-12-13,1,CLIC
1950-12-14,3.5,CLIC
1950-12-15,2.6,CLIC
1950-12-16,3.8,CLIC
1950-12-17,3,CLIC
1950-12-18,2.8,CLIC
1950-12-19,1.2,CLIC
1950-12-20,2.7,CLIC
1950-12-21,2.8,CLIC
1950-12-22,3.1,CLIC
1950-12-23,0.9,CLIC
1950-12-24,1.9,CLIC
1950-12-25,2.9,CLIC
1950-12-26,3.3,CLIC
1950-12-27,3.9,CLIC
1950-12-28,1.7,CLIC
1950-12-29,2.8,CLIC
1950-12-30,2.2,CLIC
1950-12-31,1.9,CLIC
1951-01-01,3.4,CLIC
1951-01-02,4.2,CLIC
1951-01-03,2.9,CLIC
1951-01-04,3.9,CLIC
1951-01-05,2.7,CLIC
1951-01-06,5.4,CLIC
1951-01-07,3.4,CLIC
1951-01-08,2.2,CLIC
1951-01-09,3.4,CLIC
1951-01-10,4.8,CLIC
1951-01-11,2.5,CLIC
1951-01-12,4.6,CLIC
1951-01-13,1.4,CLIC
1951-01-14,6.3,CLIC
1951-01-15,3.1,CLIC
1951-01-16,3.4,CLIC
1951-01-17,2.6,CLIC
1951-01-18,5.3,CLIC
1951-01-19,2.8,CLIC
1951-01-20,2.8,CLIC
1951-01-21,2.7,CLIC
1951-01-22,2.8,CLIC
1951-01-23,6.4,CLIC
1951-01-24,3.3,CLIC
1951-01-25,2.5,CLIC
1951-01-26,3,CLIC
1951-01-27,2.8,CLIC
1951-01-28,4.6,CLIC
1951-01-29,0.3,CLIC
1951-02-01,2.6,CLIC
1951-02-02,1.8,CLIC
1951-02-03,3.3,CLIC
1951-02-04,3.4,CLIC
1951-02-05,3.9,CLIC
1951-02-06,7.4,CLIC
1951-02-07,3.4,CLIC
1951-02-08,4.1,CLIC
1951-02-09,5.4,CLIC
1951-02-10,3.6,CLIC
1951-02-11,5.2,CLIC
1951-02-12,5.9,CLIC
1951-02-13,3.2,CLIC
1951-02-14,2.4,CLIC
1951-02-15,1.6,CLIC
1951-02-16,3.1,CLIC
1951-02-17,3.2,CLIC
1951-02-18,5.6,CLIC
1951-02-19,5.1,CLIC
1951-02-20,8.7,CLIC
1951-02-21,4.4,CLIC
1951-02-22,3.9,CLIC
1951-02-23,5.8,CLIC
1951-02-24,4.5,CLIC
1951-02-25,7.5,CLIC
1951-02-26,4.9,CLIC
1951-02-27,3.8,CLIC
1951-02-28,4.8,CLIC
1951-03-01,4.7,CLIC
1951-03-02,7.4,CLIC
1951-03-03,6.7,CLIC
1951-03-04,3.7,CLIC
1951-03-05,5.6,CLIC
1951-03-06,5.3,CLIC
1951-03-07,5.3,CLIC
1951-03-08,7.6,CLIC
1951-03-09,7.7,CLIC
1951-03-10,6.2,CLIC
1951-03-11,6.4,CLIC
1951-03-12,5.1,CLIC
1951-03-13,3.2,CLIC
1951-03-14,3.8,CLIC
1951-03-15,1.4,CLIC
1951-03-16,6.3,CLIC
1951-03-17,7.6,CLIC
1951-03-18,4.2,CLIC
1951-03-19,2.8,CLIC
1951-03-20,5.5,CLIC
