Estación: ,C19041,LOS HERRERAS. L.HERRERAS
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 21' 48.5'',Latitud:,25° 54' 00

Fecha,Promedio,Máximo,Mínimo
1943-01-01,17.05,26.6,7.5
1943-01-02,17.75,25.5,10
1943-01-03,17.75,27.5,8
1943-01-04,7.75,8.5,7
1943-01-05,7.25,8.5,6
1943-01-06,8.65,11,6.3
1943-01-07,9,10,8
1943-01-08,6.9,7.6,6.2
1943-01-09,8.65,11.3,6
1943-01-10,8.7,12.4,5
1943-01-11,11.15,12.8,9.5
1943-01-12,13.75,16,11.5
1943-01-13,13.95,20.4,7.5
1943-01-14,16.25,24.5,8
1943-01-15,19.25,28.5,10
1943-01-16,13.6,17.2,10
1943-01-17,14.9,20.7,9.1
1943-01-18,11.7,13.5,9.9
1943-01-19,3.5,4,3
1943-01-20,4.25,10,-1.5
1943-01-21,12.35,23,1.7
1943-01-22,19.45,31.7,7.2
1943-01-23,19.1,34,4.2
1943-01-24,22.7,33.7,11.7
1943-01-25,19.1,25.7,12.5
1943-01-26,6.9,8.5,5.3
1943-01-27,9,14,4
1943-01-28,12.5,19,6
1943-01-29,15.65,26.3,5
1943-01-30,18.7,28.8,8.6
1943-01-31,21.8,29.2,14.4
1943-02-01,22.7,26.5,18.9
1943-02-02,25,30,20
1943-02-03,22.2,26.8,17.6
1943-02-04,21.55,24.6,18.5
1943-02-05,22.6,31.3,13.9
1943-02-06,17.25,22.8,11.7
1943-02-07,16.5,26.2,6.8
1943-02-08,20.95,27.7,14.2
1943-02-09,21.3,28.6,14
1943-02-10,18.7,22,15.4
1943-02-11,9.6,18.2,1
1943-02-12,11.75,21.5,2
1943-02-13,15.4,20.3,10.5
1943-02-14,13.35,25,1.7
1943-02-15,15.9,26.3,5.5
1943-02-16,16.3,24.6,8
1943-02-17,20.3,26.4,14.2
1943-02-18,20.8,26.8,14.8
1943-02-19,22.75,27,18.5
1943-02-20,21.7,31,12.4
1943-02-21,21,27.6,14.4
1943-02-22,18.5,28,9
1943-02-23,22.5,32.2,12.8
1943-02-24,23.4,31,15.8
1943-02-25,20.45,22.2,18.7
1943-02-26,15.05,15.4,14.7
1943-02-27,16.25,20.3,12.2
1943-02-28,20.25,29.5,11
1943-03-01,19.5,25,14
1943-03-02,19.75,24.7,14.8
1943-03-03,5.75,8.5,3
1943-03-04,14.15,23.3,5
1943-03-05,18.9,30.4,7.4
1943-03-06,19.9,25.8,14
1943-03-07,10.4,16.8,4
1943-03-08,11.95,16.5,7.4
1943-03-09,18.05,24.5,11.6
1943-03-10,24.4,31.8,17
1943-03-11,24.3,32.6,16
1943-03-12,25.05,34.5,15.6
1943-03-13,20.2,22,18.4
1943-03-14,24.25,31,17.5
1943-03-15,25.75,35.5,16
1943-03-16,24.1,30.6,17.6
1943-03-17,19.2,26.2,12.2
1943-03-18,26.05,34.5,17.6
1943-03-19,22.65,31.3,14
1943-03-20,20.3,25,15.6
1943-03-21,17.65,21.5,13.8
1943-03-22,14.3,23.4,5.2
1943-03-23,18.95,22.8,15.1
1943-03-24,23.75,28.5,19
1943-03-25,20,25,15
1943-03-26,20.25,27.5,13
1943-03-27,21.5,32,11
1943-03-28,24.1,33.6,14.6
1943-03-29,24.85,31.7,18
1943-03-30,22.85,30.7,15
1943-03-31,24.25,30,18.5
1943-04-01,21.45,26.6,16.3
1943-04-02,23.35,29,17.7
1943-04-03,22.35,28.5,16.2
1943-04-04,23.75,30,17.5
1943-04-05,24.05,31.3,16.8
1943-04-06,24.6,31.6,17.6
1943-04-07,25.5,32,19
1943-04-08,26.45,35.7,17.2
1943-04-09,27.8,35.3,20.3
1943-04-10,28.35,36,20.7
1943-04-11,28.7,34.4,23
1943-04-12,26.65,31.5,21.8
1943-04-13,25.2,30.4,20
1943-04-14,22.5,31,14
1943-04-15,18.65,23,14.3
1943-04-16,27.7,35.2,20.2
1943-04-17,27.4,33.5,21.3
1943-04-18,24.85,30.4,19.3
1943-04-19,21.3,28.8,13.8
1943-04-20,22.55,30.7,14.4
1943-04-21,24.55,29,20.1
1943-04-22,27.2,34.5,19.9
1943-04-23,26.75,33.5,20
1943-04-24,27.55,35.7,19.4
1943-04-25,27.3,36.6,18
1943-04-26,27.75,37.5,18
1943-04-27,26.55,32.6,20.5
1943-04-28,25.9,31.8,20
1943-04-29,26.45,32.4,20.5
1943-04-30,26.05,32.5,19.6
1943-05-01,26.8,32.4,21.2
1943-05-02,25.35,34.2,16.5
1943-05-03,27.15,34.5,19.8
1943-05-04,27.4,34,20.8
1943-05-05,28.25,34.5,22
1943-05-06,29.25,36.5,22
1943-05-07,30.4,37,23.8
1943-05-08,30,38,22
1943-05-09,32.55,39,26.1
1943-05-10,30,34,26
1943-05-11,28.75,37,20.5
1943-05-12,29.25,38,20.5
1943-05-13,29.25,36,22.5
1943-05-14,29.5,37,22
1943-05-15,32,39,25
1943-05-16,32.2,38.4,26
1943-05-17,31.6,37.2,26
1943-05-18,30.05,34.8,25.3
1943-05-19,29,33.8,24.2
1943-05-20,28.75,34.5,23
1943-05-21,28.65,35,22.3
1943-05-22,30.5,36,25
1943-05-23,28.2,34.4,22
1943-05-24,30.1,37.7,22.5
1943-05-25,29.9,32.6,27.2
1943-05-26,30.65,38.5,22.8
1943-05-27,31.05,36.1,26
1943-05-28,30.8,38.6,23
1943-05-29,30.05,37.5,22.6
1943-05-30,27.5,30,25
1943-05-31,30.4,38,22.8
1943-06-01,32.7,39,26.4
1943-06-02,31.45,36.4,26.5
1943-06-03,32.4,39.6,25.2
1943-06-04,30.6,34.4,26.8
1943-06-05,31.1,35.4,26.8
1943-06-06,28.75,34.5,23
1943-06-07,28.9,34.5,23.3
1943-06-08,30.05,35.5,24.6
1943-06-09,29.7,35.5,23.9
1943-06-10,29.25,35.5,23
1943-06-11,29.9,35.8,24
1943-06-12,30.15,35.4,24.9
1943-06-13,29.65,34.4,24.9
1943-06-14,30.45,35.3,25.6
1943-06-15,30.2,35.4,25
1943-06-16,30,36,24
1943-06-17,29.2,35,23.4
1943-06-18,27.3,31.3,23.3
1943-06-19,29.9,35.8,24
1943-06-20,30.4,36.8,24
1943-06-21,31.7,36.8,26.6
1943-06-22,31.05,37.5,24.6
1943-06-23,31.1,37.8,24.4
1943-06-24,31.6,38.4,24.8
1943-06-25,30.8,37.6,24
1943-06-26,29.8,37,22.6
1943-06-27,30.7,38.6,22.8
1943-06-28,31.5,39.4,23.6
1943-06-29,31.45,39.5,23.4
1943-06-30,30.55,37.8,23.3
1943-07-01,30.5,36.4,24.6
1943-07-02,30.05,36.6,23.5
1943-07-03,31.25,37,25.5
1943-07-04,29.7,37.4,22
1943-07-05,30.3,38,22.6
1943-07-06,30.65,38.5,22.8
1943-07-07,31.7,40,23.4
1943-07-08,32.55,39.5,25.6
1943-07-09,32.3,39.7,24.9
1943-07-10,28.3,35.6,21
1943-07-11,30.6,36.2,25
1943-07-12,29.65,37.5,21.8
1943-07-13,28.9,35.5,22.3
1943-07-14,31,37,25
1943-07-15,31.05,37.6,24.5
1943-07-16,32.25,40,24.5
1943-07-17,32.6,39.5,25.7
1943-07-18,30.8,37.6,24
1943-07-19,31.2,38,24.4
1943-07-20,31.8,39.4,24.2
1943-07-21,32,39.3,24.7
1943-07-22,31.7,38.9,24.5
1943-07-23,31.9,40,23.8
1943-07-24,30.75,35.7,25.8
1943-07-25,32.05,40.5,23.6
1943-07-26,32.05,38.6,25.5
1943-07-27,31.45,38.5,24.4
1943-07-28,34,41,27
1943-07-29,32.5,40,25
1943-07-30,32.3,38.6,26
1943-07-31,31.25,37,25.5
1943-08-01,32.05,38.8,25.3
1943-08-02,33.65,40.3,27
1943-08-03,32.3,40.6,24
1943-08-04,33.75,40,27.5
1943-08-05,32.95,38.4,27.5
1943-08-06,33.25,39,27.5
1943-08-07,31.5,39,24
1943-08-08,34,40,28
1943-08-09,32.8,40.3,25.3
1943-08-10,33.5,40.3,26.7
1943-08-11,33,39.3,26.7
1943-08-12,31.4,38.6,24.2
1943-08-13,31.95,38.4,25.5
1943-08-14,33.2,39.6,26.8
1943-08-15,34.15,40.5,27.8
1943-08-16,32.4,39.8,25
1943-08-17,33.55,40.3,26.8
1943-08-18,32.9,38.5,27.3
1943-08-19,33,39,27
1943-08-20,34.4,40,28.8
1943-08-21,33.25,39,27.5
1943-08-22,31.75,38.8,24.7
1943-08-23,32.8,39.8,25.8
1943-08-24,33.55,39.6,27.5
1943-08-25,33.35,39,27.7
1943-08-26,33,38.6,27.4
1943-08-27,31.6,38.5,24.7
1943-08-28,33,37.7,28.3
1943-08-29,32.5,37.5,27.5
1943-08-30,32.35,37.2,27.5
1943-08-31,32.8,37.8,27.8
1943-09-01,33.25,38.9,27.6
1943-09-02,33.1,38.6,27.6
1943-09-03,29.3,36,22.6
1943-09-04,31.7,39,24.4
1943-09-05,33.95,39.6,28.3
1943-09-06,33.75,39.5,28
1943-09-07,27.5,31,24
1943-09-08,31.25,35,27.5
1943-09-09,25.85,27.5,24.2
1943-09-10,24.05,25.6,22.5
1943-09-11,25.8,29,22.6
1943-09-12,26.55,31.8,21.3
1943-09-13,28.7,34,23.4
1943-09-14,28.25,34,22.5
1943-09-15,27.65,30.8,24.5
1943-09-16,25.5,29,22
1943-09-17,22.5,24,21
1943-09-18,24.7,28,21.4
1943-09-19,25.25,33,17.5
1943-09-20,25.9,32.8,19
1943-09-21,25.6,31.2,20
