Estación: ,C19051,POTRERO REDONDO.SANTIAGO
Variable: ,Evaporación (mm)
Longitud: ,100° 10' 00'',Latitud:,25° 20' 00

Fecha,Valor,NúmDatos
1967-12-01,2.3,CLIC
1967-12-02,2.7,CLIC
1967-12-03,1.3,CLIC
1967-12-04,1.2,CLIC
1967-12-05,1.2,CLIC
1967-12-06,1.3,CLIC
1967-12-07,1.3,CLIC
1967-12-08,3.4,CLIC
1967-12-09,3.2,CLIC
1967-12-10,2.3,CLIC
1967-12-11,2.1,CLIC
1967-12-12,2.3,CLIC
1967-12-13,2.1,CLIC
1967-12-14,3.1,CLIC
1967-12-15,3.3,CLIC
1967-12-16,2.9,CLIC
1967-12-17,3.2,CLIC
1967-12-18,3.3,CLIC
1967-12-19,5,CLIC
1967-12-20,4.1,CLIC
1967-12-21,2.1,CLIC
1967-12-22,1.3,CLIC
1967-12-23,2,CLIC
1967-12-24,2.3,CLIC
1967-12-25,6,CLIC
1967-12-26,2,CLIC
1967-12-27,5,CLIC
1967-12-28,1,CLIC
1967-12-29,1.5,CLIC
1967-12-30,1.3,CLIC
1967-12-31,3,CLIC
1968-01-01,1.7,CLIC
1968-01-02,1.5,CLIC
1968-01-03,3,CLIC
1968-01-04,3.1,CLIC
1968-01-05,3,CLIC
1968-01-06,4,CLIC
1968-01-07,2.8,CLIC
1968-01-08,2.4,CLIC
1968-01-09,2.7,CLIC
1968-01-10,2,CLIC
1968-01-11,5,CLIC
1968-01-12,4.2,CLIC
1968-01-13,4.7,CLIC
1968-01-14,4,CLIC
1968-01-15,4.5,CLIC
1968-01-16,4.3,CLIC
1968-01-17,4.2,CLIC
1968-01-18,5.1,CLIC
1968-01-19,5,CLIC
1968-01-20,2.5,CLIC
1968-01-21,2.2,CLIC
1968-01-22,2.5,CLIC
1968-01-23,2.7,CLIC
1968-01-24,3,CLIC
1968-01-25,6,CLIC
1968-01-26,5,CLIC
1968-01-27,6.4,CLIC
1968-01-28,7.9,CLIC
1968-02-01,3.5,CLIC
1968-02-02,3.3,CLIC
1968-02-03,3.5,CLIC
1968-02-04,6.2,CLIC
1968-02-05,5.7,CLIC
1968-02-06,6,CLIC
1968-02-07,4.5,CLIC
1968-02-08,8,CLIC
