Estación: ,C19051,POTRERO REDONDO.SANTIAGO
Variable: ,Precipitación (mm)
Longitud: ,100° 10' 00'',Latitud:,25° 20' 00

Fecha,Valor,NúmDatos
1956-03-21,0,CLIC
1956-03-22,0,CLIC
1956-03-23,1,CLIC
1956-03-24,0,CLIC
1956-03-25,0,CLIC
1956-03-26,0,CLIC
1956-03-27,1.5,CLIC
1956-03-28,0,CLIC
1956-03-29,0,CLIC
1956-03-30,0,CLIC
1956-03-31,0,CLIC
1956-04-01,0,CLIC
1956-04-02,0,CLIC
1956-04-03,0,CLIC
1956-04-04,0,CLIC
1956-04-05,0,CLIC
1956-04-06,4,CLIC
1956-04-07,3.5,CLIC
1956-04-08,0,CLIC
1956-04-09,0,CLIC
1956-04-10,0,CLIC
1956-04-11,0,CLIC
1956-04-12,0,CLIC
1956-04-13,0,CLIC
1956-04-14,0,CLIC
1956-04-15,0,CLIC
1956-04-16,0,CLIC
1956-04-17,0,CLIC
1956-04-18,20,CLIC
1956-04-19,7.5,CLIC
1956-04-20,38.5,CLIC
1956-04-21,1,CLIC
1956-04-22,12.5,CLIC
1956-04-23,0,CLIC
1956-04-24,0,CLIC
1956-04-25,0,CLIC
1956-04-26,0,CLIC
1956-04-27,0,CLIC
1956-04-28,0,CLIC
1956-04-29,0,CLIC
1956-04-30,0,CLIC
1956-07-01,1,CLIC
1956-07-02,0,CLIC
1956-07-03,8.5,CLIC
1956-07-04,0,CLIC
1956-07-05,0,CLIC
1956-07-06,0,CLIC
1956-07-07,0,CLIC
1956-07-08,0,CLIC
1956-07-09,0,CLIC
1956-07-10,0,CLIC
1956-07-11,0,CLIC
1956-07-12,0,CLIC
1956-07-13,0,CLIC
1956-07-14,4.5,CLIC
1956-07-15,0,CLIC
1956-07-16,0,CLIC
1956-07-17,0,CLIC
1956-07-18,0,CLIC
1956-07-19,0,CLIC
1956-07-20,0,CLIC
1956-07-21,0,CLIC
1956-07-22,7.5,CLIC
1956-07-23,0,CLIC
1956-07-24,52.5,CLIC
1956-07-25,13.5,CLIC
1956-07-26,29.5,CLIC
1956-07-27,6.5,CLIC
1956-07-28,0,CLIC
1956-07-29,0,CLIC
1956-07-30,0,CLIC
1956-07-31,0,CLIC
1956-08-01,0,CLIC
1956-08-02,0,CLIC
1956-08-03,0,CLIC
1956-08-04,0,CLIC
1956-08-05,0,CLIC
1956-08-06,0,CLIC
1956-08-07,0,CLIC
1956-08-08,0,CLIC
1956-08-09,0,CLIC
1956-08-10,0,CLIC
1956-08-11,0,CLIC
1956-08-12,0,CLIC
1956-08-13,0,CLIC
1956-08-14,0,CLIC
1956-08-15,6.5,CLIC
1956-08-16,0,CLIC
1956-08-17,33.5,CLIC
1956-08-18,1,CLIC
1956-08-19,35,CLIC
1956-08-20,28,CLIC
1956-08-21,82,CLIC
1956-08-22,0,CLIC
1956-08-23,0,CLIC
1956-08-24,0,CLIC
1956-08-25,6.5,CLIC
1956-08-26,0,CLIC
1956-08-27,0,CLIC
1956-08-28,0,CLIC
1956-08-29,0,CLIC
1956-08-30,0,CLIC
1956-08-31,0,CLIC
1956-09-01,0,CLIC
1956-09-02,0,CLIC
1956-09-03,34.5,CLIC
1956-09-04,0,CLIC
1956-09-05,30.5,CLIC
1956-09-06,37.5,CLIC
1956-09-07,50,CLIC
1956-09-08,0,CLIC
1956-09-09,0,CLIC
1956-09-10,0,CLIC
1956-09-11,26,CLIC
1956-09-12,0,CLIC
1956-09-13,0,CLIC
1956-09-14,0,CLIC
