Estación: ,C19062,TUNEL SAN FRANCISCO
Variable: ,Precipitación (mm)
Longitud: ,100° 11' 00'',Latitud:,25° 25' 00

Fecha,Valor,NúmDatos
1962-01-01,0,CLIC
1962-01-02,0,CLIC
1962-01-03,0,CLIC
1962-01-04,0,CLIC
1962-01-05,0,CLIC
1962-01-06,0,CLIC
1962-01-07,0,CLIC
1962-01-08,0,CLIC
1962-01-09,3.8,CLIC
1962-01-10,0,CLIC
1962-01-11,0,CLIC
1962-01-12,0,CLIC
1962-01-13,0,CLIC
1962-01-14,0,CLIC
1962-01-15,0,CLIC
1962-01-16,0,CLIC
1962-01-17,0.2,CLIC
1962-01-18,0,CLIC
1962-01-19,0.5,CLIC
1962-01-20,0,CLIC
1962-01-21,0,CLIC
1962-01-22,4.2,CLIC
1962-01-23,0.5,CLIC
1962-01-24,0,CLIC
1962-01-25,0,CLIC
1962-01-26,0,CLIC
1962-01-27,0,CLIC
1962-01-28,0,CLIC
1962-01-29,0,CLIC
1962-01-30,0,CLIC
1962-01-31,0,CLIC
1962-02-01,3.5,CLIC
1962-02-02,0,CLIC
1962-02-03,0.4,CLIC
1962-02-04,0,CLIC
1962-02-05,0,CLIC
1962-02-06,6.3,CLIC
1962-02-07,0,CLIC
1962-02-08,0,CLIC
1962-02-09,0,CLIC
1962-02-10,0,CLIC
1962-02-11,14,CLIC
1962-02-12,0,CLIC
1962-02-13,0,CLIC
1962-02-14,0,CLIC
1962-02-15,0,CLIC
1962-02-16,0,CLIC
1962-02-17,0,CLIC
1962-02-18,0,CLIC
1962-02-19,0,CLIC
1962-02-20,0,CLIC
1962-02-21,0,CLIC
1962-02-22,8.7,CLIC
1962-02-23,0,CLIC
1962-02-24,0,CLIC
1962-02-25,0,CLIC
1962-02-26,0,CLIC
1962-02-27,0,CLIC
1962-02-28,0,CLIC
1962-03-01,0,CLIC
1962-03-02,0,CLIC
1962-03-03,0,CLIC
1962-03-04,0,CLIC
1962-03-05,0,CLIC
1962-03-06,0,CLIC
1962-03-07,0,CLIC
1962-03-08,0,CLIC
