Estación: ,C19062,TUNEL SAN FRANCISCO
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 11' 00'',Latitud:,25° 25' 00

Fecha,Promedio,Máximo,Mínimo
1967-04-01,19,23,15
1967-04-02,22,27,17
1967-04-03,20,24,16
1967-04-04,19.5,24,15
1967-04-05,17,21,13
1967-04-06,21.25,29.5,13
1967-04-07,21.5,28.5,14.5
1967-04-08,21.75,28,15.5
1967-04-09,22.5,29,16
1967-04-10,21.25,27,15.5
1967-04-11,21,26,16
1967-04-12,25,32,18
1967-04-13,23.5,30,17
1967-04-14,23.5,31,16
1967-04-15,25.5,33,18
1967-04-16,24.75,32.5,17
1967-04-17,25.5,33,18
1967-04-18,22.25,26.5,18
1967-04-19,22.75,30,15.5
1967-04-20,22,27,17
1967-04-21,25,33,17
1967-04-22,26,34,18
1967-04-23,27.5,36,19
1967-04-24,27,32,22
1967-04-25,26.75,34.5,19
1967-04-26,26.5,32,21
1967-04-27,19,20,18
1967-04-28,21.75,25,18.5
1967-04-29,22.25,26.5,18
1967-04-30,23.25,28,18.5
1967-05-01,27,34,20
1967-05-02,20.25,20.5,20
1967-05-03,22,28,16
1967-05-04,22,28,16
1967-05-05,24.25,27.5,21
1967-05-06,26,32.5,19.5
1967-05-07,27.5,34,21
1967-05-08,29,36,22
1967-05-09,29,37,21
1967-05-10,27.25,36,18.5
1967-05-11,28.5,37,20
1967-05-12,28.25,36.5,20
1967-05-13,26.25,33,19.5
1967-05-14,26.25,32.5,20
1967-05-15,21.5,26,17
1967-05-16,19.25,25.5,13
1967-05-17,19,23,15
1967-05-18,19,22,16
1967-05-19,23,29,17
1967-05-20,23.25,28,18.5
1967-05-21,22,24,20
1967-05-22,23.5,28.5,18.5
1967-05-23,22,29,15
1967-05-24,21.5,28,15
1967-05-25,22.5,30,15
1967-05-26,23.5,31,16
1967-05-27,23.75,29.5,18
1967-05-28,22.75,27.5,18
1967-05-29,27,34,20
1967-05-30,27.5,36,19
1967-05-31,28.25,36,20.5
1967-06-01,27.25,31.5,23
1967-06-02,23,27,19
1967-06-03,21.25,23.5,19
1967-06-04,23.5,29,18
1967-06-05,24,29.5,18.5
1967-06-06,23.25,28.5,18
1967-06-07,24.75,31,18.5
1967-06-08,25,31.5,18.5
1967-06-09,26.25,32.5,20
1967-06-10,26.5,33.5,19.5
1967-06-11,26.25,32,20.5
1967-06-12,25.75,33,18.5
1967-06-13,26.5,30,23
1967-06-14,24.5,27,22
1967-06-15,24.5,29,20
1967-06-16,23.5,27,20
1967-06-17,24.5,29,20
1967-06-18,25.5,32,19
1967-06-19,25.5,32,19
1967-06-20,25.5,32,19
1967-06-21,26.25,34,18.5
1967-06-22,25.25,31.5,19
1967-06-23,25.75,31,20.5
1967-06-24,26,32.5,19.5
1967-06-25,26.5,33.5,19.5
1967-06-26,27.75,35.5,20
1967-06-27,26.75,34.5,19
1967-06-28,27.5,34.5,20.5
1967-06-29,27.5,34.5,20.5
1967-06-30,26.75,33,20.5
1967-07-01,24.5,30,19
1967-07-02,24.5,28,21
1967-07-03,27.5,34,21
1967-07-04,27,34,20
1967-07-05,27.5,36,19
1967-07-06,29,37,21
1967-07-07,29,36,22
1967-07-08,28,36,20
1967-07-09,27,35,19
1967-07-10,27.75,36,19.5
1967-07-11,28,36,20
1967-07-12,27.5,35,20
1967-07-13,28,36,20
1967-07-14,23.75,28.5,19
1967-07-15,24.5,30,19
1967-07-16,23.75,29.5,18
1967-07-17,24.75,32,17.5
1967-07-18,26.5,34,19
1967-07-19,26,32.5,19.5
1967-07-20,25.75,31.5,20
1967-07-21,25.75,32,19.5
1967-07-22,25,33,17
1967-07-23,25.75,32.5,19
1967-07-24,27,34,20
1967-07-25,27.25,34.5,20
1967-07-26,27.5,35,20
1967-07-27,28,35,21
1967-07-28,28.5,36,21
1967-07-29,27,34,20
1967-07-30,28,36,20
1967-07-31,27.25,35.5,19
1967-08-01,29.5,37,22
1967-08-02,26.5,33,20
1967-08-03,27.75,35.5,20
1967-08-04,28.25,36.5,20
1967-08-05,27.5,35.5,19.5
1967-08-06,28,35.5,20.5
1967-08-07,28.5,36,21
1967-08-08,27.5,35,20
1967-08-09,28,36,20
1967-08-10,28.75,36,21.5
1967-08-11,28.25,34.5,22
1967-08-12,22.75,25.5,20
1967-08-13,24,29,19
1967-08-14,22,29,15
1967-08-15,25,32,18
1967-08-16,25.5,32,19
1967-08-17,27.5,34,21
1967-08-18,24,28,20
1967-08-19,23.5,27,20
1967-08-20,21.25,24,18.5
1967-08-21,22.25,26,18.5
1967-08-22,23,28,18
1967-08-23,22,25,19
1967-08-24,22,26,18
1967-08-25,20.75,24.5,17
1967-08-26,21.75,27,16.5
1967-08-27,21.5,25,18
1967-08-28,22.25,27.5,17
1967-08-29,21,25.5,16.5
1967-08-30,22.75,27.5,18
1967-08-31,23.5,28,19
1967-09-01,22.5,26,19
1967-09-02,24,28,20
1967-09-03,24,28,20
1967-09-04,22.75,26.5,19
1967-09-05,21.5,24,19
1967-09-06,18.75,23,14.5
1967-09-07,22.5,27,18
1967-09-08,24.5,30,19
1967-09-09,24,29,19
1967-09-10,23.5,29,18
1967-09-11,22,27,17
1967-09-12,23,28,18
1967-09-13,23.25,29,17.5
1967-09-14,21.75,26,17.5
1967-09-15,22.5,27,18
1967-09-16,22.5,26.5,18.5
1967-09-17,23.25,27.5,19
1967-09-18,23,28.5,17.5
1967-09-19,22,26.5,17.5
1967-09-20,22,25,19
1967-09-21,20.25,24,16.5
1967-09-22,20.5,22,19
1967-09-23,20,22,18
1967-09-24,20,22,18
1967-09-25,20,23,17
1967-09-26,20.5,24,17
1967-09-27,20.25,24,16.5
1967-09-28,17.5,22,13
1967-09-29,17.75,22.5,13
1967-10-01,19,25,13
1967-10-02,20,26,14
1967-10-03,21.5,27,16
1967-10-04,21,24,18
1967-10-05,20.75,23,18.5
1967-10-06,20.75,23,18.5
1967-10-07,20.75,22.5,19
1967-10-08,19.75,23.5,16
1967-10-09,19.25,27,11.5
1967-10-10,18.5,24.5,12.5
1967-10-11,17.75,20.5,15
1967-10-12,18.5,22,15
1967-10-13,20.5,25,16
1967-10-14,20,23,17
1967-10-15,20,22,18
1967-10-16,16.25,20.5,12
1967-10-17,16.5,23,10
1967-10-18,17.5,23,12
1967-10-19,18,23,13
1967-10-20,15.5,21,10
1967-10-21,16.5,21,12
1967-10-22,17.75,23.5,12
1967-10-23,17.5,21,14
1967-10-24,18,23.5,12.5
1967-10-25,17,20,14
1967-10-26,21.75,31,12.5
1967-10-27,20.5,26,15
1967-10-28,19.25,23.5,15
1967-10-29,20.75,27,14.5
1967-10-30,15.75,19.5,12
1967-10-31,10.75,15,6.5
1967-11-01,13.75,20.5,7
1967-11-02,20.25,29,11.5
1967-11-03,14,20,8
1967-11-04,19.5,30,9
1967-11-05,13,18,8
1967-11-06,15,20,10
1967-11-07,12,14,10
1967-11-08,10,11,9
1967-11-09,14,20,8
1967-11-10,12.5,16,9
1967-11-11,17.5,23,12
1967-11-12,19.5,25,14
1967-11-13,16.5,18.5,14.5
1967-11-14,15,19,11
1967-11-15,17.5,24,11
1967-11-16,19.25,25.5,13
1967-11-17,16.5,20,13
1967-11-18,20,27,13
1967-11-19,17.5,21,14
1967-11-20,15.75,18,13.5
1967-11-21,19.5,24.5,14.5
1967-11-22,24,31,17
1967-11-23,21.75,29.5,14
1967-11-24,23.5,31,16
1967-11-25,25,33,17
1967-11-26,24,30,18
1967-11-27,23.75,31.5,16
1967-11-28,18.5,23,14
1967-11-29,12,14,10
1967-11-30,13,15,11
1967-12-01,15,20,10
1967-12-02,16,25,7
1967-12-03,15.75,25.5,6
1967-12-04,8.75,12,5.5
1967-12-05,12.5,19,6
1967-12-06,17,23,11
1967-12-07,17.25,22,12.5
1967-12-08,15.5,20,11
1967-12-09,16,19.5,12.5
1967-12-10,16.5,25.5,7.5
1967-12-11,8.75,14.5,3
1967-12-12,13.25,22,4.5
1967-12-13,15.25,28,2.5
1967-12-14,17.5,27,8
1967-12-15,9.5,14,5
1967-12-16,6,9,3
1967-12-17,7,10,4
1967-12-18,16.5,26,7
1967-12-19,15,22,8
1967-12-20,17.5,25,10
1967-12-21,17.5,20,15
1967-12-22,15.5,25,6
1967-12-23,5.5,9,2
1967-12-24,7.5,14,1
1967-12-25,9.5,18,1
1967-12-26,13.75,23,4.5
1967-12-27,11,17,5
1967-12-28,14,25,3
1967-12-29,10.75,18.5,3
1967-12-30,9.25,13.5,5
1967-12-31,14,21,7
1968-01-01,9,12,6
1968-01-02,11.5,16.5,6.5
1968-01-03,10.5,16,5
1968-01-04,10.5,15,6
1968-01-05,8.5,12,5
1968-01-06,8.25,10.5,6
1968-01-07,9,14,4
1968-01-08,8,13,3
1968-01-09,7,12,2
1968-01-10,12.25,19,5.5
1968-01-11,6,8,4
1968-01-12,7,9,5
1968-01-13,10.5,18,3
1968-01-14,8.75,14.5,3
1968-01-15,12.75,20,5.5
1968-01-16,14.25,22.5,6
1968-01-17,11.5,17,6
1968-01-18,13.75,17.5,10
1968-01-19,15,24,6
1968-01-20,8,10.5,5.5
1968-01-21,7.75,9,6.5
1968-01-22,12.25,17,7.5
1968-01-23,13,21,5
1968-01-24,12.75,19.5,6
1968-01-25,13.75,20.5,7
1968-01-26,17,26,8
1968-01-27,17.75,25.5,10
1968-01-28,16,19,13
1968-01-29,16.5,22.5,10.5
1968-01-30,16,20,12
