Estación: ,C19067,EL RUSIO. GALEANA
Variable: ,Evaporación (mm)
Longitud: ,100° 26' 29.4'',Latitud:,24° 41' 47.6''

Fecha,Valor,NúmDatos
1959-11-01,2.37,CLIC
1959-11-02,5.26,CLIC
1959-11-03,3.41,CLIC
1959-11-04,4.86,CLIC
1959-11-05,4.81,CLIC
1959-11-06,0.13,CLIC
1959-11-07,1.55,CLIC
1959-11-08,3.42,CLIC
1959-11-09,5.07,CLIC
1959-11-10,2.86,CLIC
1959-11-11,4.06,CLIC
1959-11-12,3.4,CLIC
1959-11-13,3.6,CLIC
1959-11-14,3.04,CLIC
1959-11-15,3.01,CLIC
1959-11-16,1.8,CLIC
1959-11-17,1.67,CLIC
1959-11-18,1.83,CLIC
1959-11-19,2.61,CLIC
1959-11-20,3.34,CLIC
1959-11-21,1.93,CLIC
1959-11-22,4.37,CLIC
1959-11-23,1.76,CLIC
1959-11-24,4.12,CLIC
1959-11-25,2.49,CLIC
1959-11-26,3.51,CLIC
1959-11-27,3.42,CLIC
1959-11-28,2.97,CLIC
1959-11-29,2.93,CLIC
1959-11-30,2.7,CLIC
1959-12-01,2.85,CLIC
1959-12-02,3.75,CLIC
1959-12-03,2.9,CLIC
1959-12-04,2.45,CLIC
1959-12-05,1.95,CLIC
1959-12-06,1.57,CLIC
1959-12-07,2.23,CLIC
1959-12-08,3.05,CLIC
1959-12-09,2.44,CLIC
1959-12-10,3.79,CLIC
1959-12-11,3.52,CLIC
1959-12-12,2.7,CLIC
1959-12-13,3.54,CLIC
1959-12-14,3.8,CLIC
1959-12-15,7.8,CLIC
1959-12-16,1.44,CLIC
1959-12-17,3.06,CLIC
1959-12-18,1.55,CLIC
1959-12-19,3.53,CLIC
1959-12-20,2.05,CLIC
1959-12-21,0.95,CLIC
1959-12-22,2.71,CLIC
1959-12-23,3.84,CLIC
1959-12-24,1.09,CLIC
1959-12-25,3.34,CLIC
1959-12-26,2.82,CLIC
1959-12-27,3.09,CLIC
1959-12-28,4.05,CLIC
1959-12-29,3.21,CLIC
1959-12-30,1.97,CLIC
1959-12-31,1.1,CLIC
1960-01-01,4.52,CLIC
1960-01-02,3.88,CLIC
1960-01-03,3,CLIC
1960-01-04,1.88,CLIC
1960-01-05,6.91,CLIC
1960-01-06,3.1,CLIC
1960-01-07,5.29,CLIC
1960-01-08,3.09,CLIC
1960-01-09,1.62,CLIC
1960-01-10,1.42,CLIC
1960-01-11,1.2,CLIC
1960-01-12,5.84,CLIC
1960-01-13,2.05,CLIC
1960-01-14,5.68,CLIC
1960-01-15,3.88,CLIC
1960-01-16,8.23,CLIC
1960-01-17,6.91,CLIC
1960-01-18,4.03,CLIC
1960-01-19,1.83,CLIC
1960-01-20,1.84,CLIC
1960-01-21,1.3,CLIC
1960-01-22,2.94,CLIC
1960-01-23,0.78,CLIC
1960-01-24,3.19,CLIC
1960-01-25,4.31,CLIC
1960-01-26,3.81,CLIC
1960-01-27,4.78,CLIC
1960-01-28,3.12,CLIC
1960-01-29,1.18,CLIC
1960-01-30,8.44,CLIC
1960-01-31,6.5,CLIC
1960-02-01,1.14,CLIC
1960-02-02,5.17,CLIC
1960-02-03,4.98,CLIC
1960-02-04,4.03,CLIC
1960-02-05,3.13,CLIC
1960-02-06,8.75,CLIC
1960-02-07,3.95,CLIC
1960-02-08,7.38,CLIC
1960-02-09,8.25,CLIC
1960-02-10,6.8,CLIC
1960-02-11,5.33,CLIC
1960-02-12,4.01,CLIC
1960-02-13,5.95,CLIC
1960-02-14,2,CLIC
1960-02-15,5.11,CLIC
1960-02-16,3.85,CLIC
1960-02-17,6.02,CLIC
1960-02-18,2.28,CLIC
1960-02-19,6.65,CLIC
1960-02-20,3.95,CLIC
1960-02-21,5.36,CLIC
1960-02-22,4.58,CLIC
1960-02-23,9.51,CLIC
1960-02-24,7.55,CLIC
1960-02-25,3.44,CLIC
1960-02-26,6.01,CLIC
1960-02-27,5.03,CLIC
1960-02-28,7.21,CLIC
1960-02-29,5.06,CLIC
1960-03-01,9.95,CLIC
1960-03-02,5.64,CLIC
1960-03-03,7.01,CLIC
1960-03-04,5.05,CLIC
1960-03-05,6,CLIC
1960-03-06,7.1,CLIC
1960-03-07,5.29,CLIC
1960-03-08,9.44,CLIC
1960-03-09,7.9,CLIC
1960-03-10,6.43,CLIC
1960-03-11,7.25,CLIC
1960-03-12,6.72,CLIC
1960-03-13,4.37,CLIC
1960-03-14,6.8,CLIC
1960-03-15,14,CLIC
1960-03-16,4.36,CLIC
1960-03-17,9.67,CLIC
1960-03-18,5.53,CLIC
1960-03-19,6.34,CLIC
1960-03-20,5.35,CLIC
1960-03-21,8.44,CLIC
1960-03-22,5.36,CLIC
1960-03-23,7.82,CLIC
1960-03-24,7.94,CLIC
1960-03-25,4.92,CLIC
1960-03-26,3.57,CLIC
1960-03-27,2.4,CLIC
1960-03-28,0.87,CLIC
1960-03-29,0.94,CLIC
1960-03-30,8.15,CLIC
1960-03-31,6.11,CLIC
1960-04-01,2.87,CLIC
1960-04-02,7.27,CLIC
1960-04-03,15.4,CLIC
1960-04-04,8.47,CLIC
1960-04-05,5.92,CLIC
1960-04-06,12.04,CLIC
1960-04-07,13.07,CLIC
1960-04-08,15.73,CLIC
1960-04-09,4.04,CLIC
1960-04-10,1.5,CLIC
1960-04-11,3.83,CLIC
1960-04-12,1.5,CLIC
1960-04-13,2.5,CLIC
1960-04-14,1.2,CLIC
1960-04-15,2.29,CLIC
1960-04-16,1.62,CLIC
1960-04-17,3.07,CLIC
1960-04-18,2.37,CLIC
1960-04-19,6.02,CLIC
1960-04-20,3.84,CLIC
1960-04-21,2.71,CLIC
1960-04-22,1.95,CLIC
1960-04-23,3.33,CLIC
1960-04-24,1.61,CLIC
1960-04-25,3.6,CLIC
1960-04-26,7.42,CLIC
1960-04-27,4.79,CLIC
1960-04-28,5.72,CLIC
1960-04-29,4.46,CLIC
1960-04-30,6,CLIC
1960-05-01,2.13,CLIC
1960-05-02,4.28,CLIC
1960-05-03,4.04,CLIC
1960-05-04,1.86,CLIC
1960-05-05,2.09,CLIC
1960-05-06,2.2,CLIC
1960-05-07,1.88,CLIC
1960-05-08,1.42,CLIC
1960-05-09,3.82,CLIC
1960-05-10,2.04,CLIC
