Estación: ,C19068,DOCTOR ARROYO  (SMN)
Variable: ,Precipitación (mm)
Longitud: ,100° 10' 36'',Latitud:,23° 40' 35

Fecha,Valor,NúmDatos
1956-01-01,0,CLIC
1956-01-02,0,CLIC
1956-01-03,0,CLIC
1956-01-04,0,CLIC
1956-01-05,0,CLIC
1956-01-06,0,CLIC
1956-01-07,0,CLIC
1956-01-08,0,CLIC
1956-01-09,0,CLIC
1956-01-10,0,CLIC
1956-01-11,0,CLIC
1956-01-12,0,CLIC
1956-01-13,0,CLIC
1956-01-14,0,CLIC
1956-01-15,0,CLIC
1956-01-16,0,CLIC
1956-01-17,0,CLIC
1956-01-18,0,CLIC
1956-01-19,0,CLIC
1956-01-20,0,CLIC
1956-01-21,0,CLIC
1956-01-22,0,CLIC
1956-01-23,0,CLIC
1956-01-24,0,CLIC
1956-01-25,0,CLIC
1956-01-26,0,CLIC
1956-01-27,0,CLIC
1956-01-28,0,CLIC
1956-01-29,0,CLIC
1956-01-30,0,CLIC
1956-01-31,0,CLIC
1956-02-01,0,CLIC
1956-02-02,0,CLIC
1956-02-03,0,CLIC
1956-02-04,0,CLIC
1956-02-05,0,CLIC
1956-02-06,0,CLIC
1956-02-07,0,CLIC
1956-02-08,0,CLIC
1956-02-09,0,CLIC
1956-02-10,0,CLIC
1956-02-11,0,CLIC
1956-02-12,0,CLIC
1956-02-13,0,CLIC
1956-02-14,0,CLIC
1956-02-15,0,CLIC
1956-02-16,0,CLIC
1956-02-17,0,CLIC
1956-02-18,0,CLIC
1956-02-19,0,CLIC
1956-02-20,0,CLIC
1956-02-21,0,CLIC
1956-02-22,0,CLIC
1956-02-23,0,CLIC
1956-02-24,0,CLIC
1956-02-25,0,CLIC
1956-02-26,0,CLIC
1956-02-27,0,CLIC
1956-02-28,0,CLIC
1956-02-29,0,CLIC
1956-03-01,0,CLIC
1956-03-02,0,CLIC
1956-03-03,0,CLIC
1956-03-04,0,CLIC
1956-03-05,0,CLIC
1956-03-06,0,CLIC
1956-03-07,0,CLIC
1956-03-08,0,CLIC
1956-03-09,0,CLIC
1956-03-10,0,CLIC
1956-03-11,0,CLIC
1956-03-12,0,CLIC
1956-03-13,0,CLIC
1956-03-14,0,CLIC
1956-03-15,0,CLIC
1956-03-16,0,CLIC
1956-03-17,0,CLIC
1956-03-18,0,CLIC
1956-03-19,0,CLIC
1956-03-20,0,CLIC
1956-03-21,0,CLIC
1956-03-22,0,CLIC
1956-03-23,0,CLIC
1956-03-24,10,CLIC
1956-03-25,0,CLIC
1956-03-26,0,CLIC
1956-03-27,0,CLIC
1956-03-28,0,CLIC
1956-03-29,0,CLIC
1956-03-30,0,CLIC
1956-03-31,0,CLIC
1956-04-01,0,CLIC
1956-04-02,0,CLIC
1956-04-03,0,CLIC
1956-04-04,0,CLIC
1956-04-05,0,CLIC
1956-04-06,0,CLIC
1956-04-07,0,CLIC
1956-04-08,0,CLIC
1956-04-09,0,CLIC
1956-04-10,0,CLIC
1956-04-11,0,CLIC
1956-04-12,0,CLIC
1956-04-13,0,CLIC
1956-04-14,0,CLIC
1956-04-15,0,CLIC
1956-04-16,0,CLIC
1956-04-17,0,CLIC
1956-04-18,0,CLIC
1956-04-19,0,CLIC
1956-04-20,16,CLIC
1956-04-21,0,CLIC
1956-04-22,40,CLIC
1956-04-23,11,CLIC
1956-04-24,0,CLIC
1956-04-25,0,CLIC
1956-04-26,0,CLIC
1956-04-27,0,CLIC
1956-04-28,0,CLIC
1956-04-29,0,CLIC
1956-04-30,0,CLIC
1956-05-01,0,CLIC
1956-05-02,19,CLIC
1956-05-03,0,CLIC
1956-05-04,0,CLIC
1956-05-05,0,CLIC
1956-05-06,0,CLIC
1956-05-07,0,CLIC
1956-05-08,0,CLIC
1956-05-09,0,CLIC
1956-05-10,0,CLIC
1956-05-11,0,CLIC
1956-05-12,0,CLIC
1956-05-13,0,CLIC
1956-05-14,0,CLIC
1956-05-15,4,CLIC
1956-05-16,0,CLIC
1956-05-17,0,CLIC
1956-05-18,0,CLIC
1956-05-19,0,CLIC
1956-05-20,0,CLIC
1956-05-21,0,CLIC
1956-05-22,0,CLIC
1956-05-23,56,CLIC
1956-05-24,7,CLIC
1956-05-25,0,CLIC
