Estación: ,C19070,LAMPAZOS (DGE)
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 31' 00'',Latitud:,27° 02' 00

Fecha,Promedio,Máximo,Mínimo
1972-01-01,16.75,22.5,11
1972-01-02,15.75,24,7.5
1972-01-03,17.75,25,10.5
1972-01-04,8.5,11,6
1972-01-05,6.75,12.5,1
1972-01-06,10.25,20,0.5
1972-01-07,11.75,22,1.5
1972-01-08,13.5,23,4
1972-01-09,14.75,24,5.5
1972-01-10,16.5,25,8
1972-01-11,17,27,7
1972-01-12,17.5,29,6
1972-01-13,17.25,28.5,6
1972-01-14,11.5,16,7
1972-01-15,8.5,14,3
1972-01-16,12,23,1
1972-01-17,13.5,23,4
1972-01-18,15.5,26,5
1972-01-19,16.75,28,5.5
1972-01-20,18.5,30,7
1972-01-21,19.25,30.5,8
1972-01-22,18.25,29,7.5
1972-01-23,20.5,32,9
1972-01-24,22.5,34,11
1972-01-25,15.5,22,9
1972-01-26,17.5,23.5,11.5
1972-01-27,17.5,24,11
1972-01-28,12.5,16,9
1972-01-29,12.25,18.5,6
1972-01-30,12,19,5
1972-01-31,10,14,6
1972-02-01,8.75,14,3.5
1972-02-02,10,15,5
1972-02-03,11.25,16.5,6
1972-02-04,11.5,17,6
1972-02-05,13.75,23,4.5
1972-02-06,12.25,23,1.5
1972-02-07,13,24,2
1972-02-08,18,31,5
1972-02-09,15.5,29,2
1972-02-10,16.5,26,7
1972-02-11,18,27,9
1972-02-12,18,27,9
1972-02-13,18.5,26,11
1972-02-14,20.5,29,12
1972-02-15,20,27,13
1972-02-16,17.25,26.5,8
1972-02-17,19.5,28,11
1972-02-18,17.5,29,6
1972-02-19,17.25,27,7.5
1972-02-20,20,31,9
1972-02-21,22.25,33,11.5
1972-02-22,20.75,31.5,10
1972-02-23,20.5,29,12
1972-02-24,22.75,34,11.5
1972-02-25,23.75,33.5,14
1972-02-26,19.5,25,14
1972-02-27,20.75,24.5,17
1972-02-28,20.5,25,16
1972-02-29,17.75,25.5,10
1972-04-01,23.25,31.5,15
1972-04-02,24,32,16
1972-04-03,24.5,33,16
1972-04-04,24,31,17
1972-04-05,24,32,16
1972-04-06,22.75,31.5,14
1972-04-07,23.5,33,14
1972-04-08,22.5,32,13
1972-04-09,22.75,32,13.5
1972-04-10,23,32,14
1972-04-11,22.5,31,14
1972-04-12,23.25,33.5,13
1972-04-13,24,34,14
1972-04-14,23.5,32,15
1972-04-15,23,33,13
1972-04-16,23,32.5,13.5
1972-04-17,24,34,14
1972-04-18,24,33,15
1972-04-19,24.5,33,16
1972-04-20,24.75,32.5,17
1972-04-21,26.5,35,18
1972-04-22,24.75,33,16.5
1972-04-23,25.5,34,17
1972-04-24,26,34,18
1972-04-25,23,27,19
1972-04-26,22.5,25,20
1972-04-27,19.5,23,16
1972-04-28,23,29,17
1972-04-29,25,33,17
1972-04-30,28,34,22
1972-05-01,27.5,33,22
1972-05-02,26,32,20
1972-05-03,23,29,17
1972-05-04,24,29,19
1972-05-05,26,31,21
1972-05-06,27,33,21
1972-05-07,27,31,23
1972-05-08,22,23,21
1972-05-09,24.5,28,21
1972-05-10,26,29,23
1972-05-11,23.5,28,19
1972-05-12,25,31,19
1972-05-13,24.5,30,19
1972-05-14,22,24,20
1972-05-15,20.5,24,17
1972-05-16,24,30,18
1972-05-17,25.5,31,20
1972-05-18,25,33,17
1972-05-19,23.5,29,18
1972-05-20,25.5,30,21
1972-05-21,27,33,21
1972-05-22,26.5,32,21
1972-05-23,25,30,20
1972-05-24,26,31,21
1972-05-25,27.5,33,22
1972-05-26,25,32,18
1972-05-27,27,32,22
1972-05-28,27,32,22
1972-05-29,28.5,33,24
1972-05-30,26,29,23
1972-05-31,24.5,28,21
1972-06-01,24,29,19
1972-06-02,27,34,20
1972-06-03,26,32,20
1972-06-04,25.5,31,20
1972-06-05,25.5,31,20
1972-06-06,26.5,31,22
1972-06-07,24,28,20
1972-06-08,25.5,32,19
1972-06-09,26,32,20
1972-06-10,26.5,32,21
1972-06-11,29,36,22
1972-06-12,26.5,30,23
1972-06-13,27.5,33,22
1972-06-14,29,36,22
1972-06-15,32,35,29
1972-06-16,30,37,23
1972-06-17,27.5,33,22
1972-06-18,28,35,21
1972-06-19,29,37,21
1972-06-20,30.5,40,21
1972-06-21,31.5,40,23
1972-06-22,32.5,42,23
1972-06-23,31,40,22
1972-06-24,32.5,41,24
1972-06-25,32,41,23
1972-06-26,32,40,24
1972-06-27,32.5,39,26
1972-06-28,31,39,23
1972-06-29,31.5,41,22
1972-06-30,30.5,39,22
1972-07-01,32,41,23
1972-07-02,33,42,24
1972-07-03,29.5,36,23
1972-07-04,32,42,22
1972-07-05,29.5,36,23
1972-07-06,27.5,36,19
1972-07-07,29.5,39,20
1972-07-08,29.5,38,21
1972-07-09,32,42,22
1972-07-10,29,36,22
1972-07-11,29.5,36,23
1972-07-12,30,38,22
1972-07-13,28.5,36,21
1972-07-14,29.5,36,23
1972-07-15,29,35,23
1972-07-16,28,34,22
1972-07-17,30,37,23
1972-07-18,30,34,26
1972-07-19,31.5,36,27
1972-07-20,29.5,37,22
1972-07-21,27.5,33,22
1972-07-22,28,33,23
1972-07-23,29.5,37,22
1972-07-24,27,35,19
1972-07-25,27.5,35,20
1972-07-26,28.5,35,22
1972-07-27,28,34,22
1972-07-28,29.5,38,21
1972-07-29,31.5,40,23
1972-07-30,31,40,22
1972-07-31,28,36,20
1972-08-01,30,37,23
1972-08-02,28,35,21
1972-08-03,28.5,36,21
1972-08-04,28.5,37,20
1972-08-05,29,36,22
1972-08-06,29.5,38,21
1972-08-07,28,35,21
1972-08-08,28,34,22
1972-08-09,30.5,38,23
1972-08-10,26.5,33,20
1972-08-11,26.5,32,21
1972-08-12,32,37,27
1972-08-13,29,38,20
1972-08-14,28.5,38,19
1972-08-15,26,33,19
1972-08-16,26,35,17
1972-08-17,24.5,31,18
1972-08-18,28.5,39,18
1972-08-19,29,38,20
1972-08-20,28.5,37,20
1972-08-21,29.5,38,21
1972-08-22,27,35,19
1972-08-23,30.5,40,21
1972-08-24,31,40,22
1972-08-25,31,39,23
1972-08-26,30.5,38,23
1972-08-27,27,32,22
1972-08-28,30.5,40,21
1972-08-29,31,39,23
1972-08-30,29.5,37,22
1972-08-31,28.5,36,21
1972-09-01,31,40,22
1972-09-02,27.5,33,22
1972-09-03,28.5,37,20
1972-09-04,30.5,41,20
1972-09-05,31,40,22
1972-09-06,31,39,23
1972-09-07,31.5,40,23
1972-09-08,30.5,39,22
1972-09-09,29,37,21
1972-09-10,27,34,20
1972-09-11,28.5,35,22
1972-09-12,30.25,38,22.5
1972-09-13,30,38,22
1972-09-14,29.5,37,22
1972-09-15,29.25,36,22.5
1972-09-16,31,40,22
1972-09-17,33.5,42,25
1972-09-18,30,39,21
1972-09-19,27.5,35,20
1972-09-20,30,38,22
1972-09-21,27,30,24
1972-09-22,29,39,19
1972-09-23,24.5,29,20
1972-09-24,25.5,33,18
1972-09-25,29,38,20
1972-09-26,29,37,21
1972-09-27,26.5,34,19
1972-09-28,28.5,36,21
1972-09-29,28.5,38,19
1972-09-30,26.5,36,17
1972-10-01,26.5,32,21
1972-10-02,27,33,21
1972-10-03,28.5,33,24
1972-10-04,30.5,33,28
1972-10-05,27.5,36,19
1972-10-06,28.5,36,21
1972-10-07,28,35,21
1972-10-08,29.5,38,21
1972-10-09,28.5,37,20
1972-10-10,28,35,21
1972-10-11,27,35,19
1972-10-12,27,34,20
1972-10-13,27,35,19
1972-10-14,29.5,37,22
1972-10-15,30,37,23
1972-10-16,28.5,35,22
1972-10-17,30,37,23
1972-10-18,25.5,32,19
1972-10-19,26.5,32,21
1972-10-20,25.5,29,22
1972-10-21,23.5,31,16
1972-10-22,25.5,32,19
1972-10-23,21,27,15
1972-10-24,21.5,26,17
1972-10-25,18,22,14
1972-10-26,25,35,15
1972-10-27,22,30,14
1972-10-28,23.5,31,16
1972-10-29,27,36,18
1972-10-30,26,32,20
1972-10-31,26,30,22
1972-11-01,18,21,15
1972-11-02,16,20,12
1972-11-03,17,19,15
1972-11-04,20,28,12
1972-11-05,19.5,27,12
1972-11-06,18,22,14
1972-11-07,21,30,12
1972-11-08,19.5,25,14
1972-11-09,17,21,13
1972-11-10,18,24,12
1972-11-11,20.5,28,13
1972-11-12,19.5,25,14
1972-11-13,20.5,30,11
1972-11-14,14.5,22,7
1972-11-15,20,21,19
1972-11-16,17,20,14
1972-11-17,18.5,23,14
1972-11-18,17,24,10
1972-11-19,18.5,29,8
1972-11-20,18,30,6
1972-11-21,12,15,9
1972-11-22,9,10,8
1972-11-23,9.5,12,7
1972-11-24,12.5,16,9
1972-11-25,13,18,8
1972-11-26,13.5,22,5
1972-11-27,14,21,7
1972-11-28,9.5,10,9
1972-11-29,12,16,8
1972-11-30,8,12,4
1972-12-01,18,26,10
1972-12-02,18.5,28,9
1972-12-03,18.5,28,9
1972-12-04,19.5,30,9
1972-12-05,16,28,4
1972-12-06,18,32,4
1972-12-07,16,28,4
1972-12-08,11,19,3
1972-12-09,14.5,25,4
1972-12-10,16,28,4
1972-12-11,11.5,18,5
1972-12-12,12.5,24,1
1972-12-13,12.5,23,2
1972-12-14,17,32,2
1972-12-15,12,23,1
1972-12-16,10,19,1
1972-12-17,14,19,9
1972-12-18,10,16,4
1972-12-19,13.5,22,5
1972-12-20,20.5,29,12
1972-12-21,19,29,9
