Estación: ,C19072,CAMARON. ANAHUAC
Variable: ,Precipitación (mm)
Longitud: ,100° 05' 00'',Latitud:,27° 17' 00

Fecha,Valor,NúmDatos
1941-12-02,6.8,CLIC
1941-12-03,0,CLIC
1941-12-04,0,CLIC
1941-12-05,0,CLIC
1941-12-06,0,CLIC
1941-12-07,1.8,CLIC
1941-12-08,0,CLIC
1941-12-09,0,CLIC
1941-12-10,30,CLIC
1941-12-11,1.8,CLIC
1941-12-12,0,CLIC
1941-12-13,0,CLIC
1941-12-14,0,CLIC
1941-12-15,0,CLIC
1941-12-16,0,CLIC
1941-12-17,0,CLIC
1941-12-18,0,CLIC
1941-12-19,0,CLIC
1941-12-20,0,CLIC
1941-12-21,0,CLIC
1941-12-22,0,CLIC
1941-12-23,0,CLIC
1941-12-24,0,CLIC
1941-12-25,0,CLIC
1941-12-26,0,CLIC
1941-12-27,0,CLIC
1941-12-28,0,CLIC
1941-12-29,0,CLIC
1941-12-30,0,CLIC
1941-12-31,0,CLIC
1942-01-01,0,CLIC
1942-01-02,0,CLIC
1942-01-03,0,CLIC
1942-01-04,0,CLIC
1942-01-05,0,CLIC
1942-01-06,0,CLIC
1942-01-07,0,CLIC
1942-01-08,0,CLIC
1942-01-09,0,CLIC
1942-01-10,0,CLIC
1942-01-11,0,CLIC
1942-01-12,0,CLIC
1942-01-13,0,CLIC
1942-01-14,0,CLIC
1942-01-15,0,CLIC
1942-01-16,0,CLIC
1942-01-17,0,CLIC
1942-01-18,0,CLIC
1942-01-19,0,CLIC
1942-01-20,0,CLIC
1942-01-21,0,CLIC
1942-01-22,0,CLIC
1942-01-23,0,CLIC
1942-01-24,0,CLIC
1942-01-25,0,CLIC
1942-01-26,0,CLIC
1942-01-27,0,CLIC
1942-01-28,0,CLIC
1942-01-29,0,CLIC
1942-01-30,0,CLIC
1942-01-31,0,CLIC
1942-02-01,0,CLIC
1942-02-02,0,CLIC
1942-02-03,0,CLIC
1942-02-04,0,CLIC
1942-02-05,0.1,CLIC
1942-02-06,5.5,CLIC
1942-02-07,0.5,CLIC
1942-02-08,0,CLIC
1942-02-09,0,CLIC
1942-02-10,0,CLIC
1942-02-11,2.2,CLIC
1942-02-12,0,CLIC
1942-02-13,1.8,CLIC
1942-02-14,0,CLIC
1942-02-15,0,CLIC
1942-02-16,0,CLIC
1942-02-17,0,CLIC
1942-02-18,1.5,CLIC
1942-02-19,0,CLIC
1942-02-20,0,CLIC
1942-02-21,0,CLIC
1942-02-22,0,CLIC
1942-02-23,0,CLIC
1942-02-24,0,CLIC
1942-02-25,0,CLIC
1942-02-26,0,CLIC
1942-02-27,0,CLIC
1942-03-01,0,CLIC
1942-03-02,0,CLIC
1942-03-03,0,CLIC
1942-03-04,0,CLIC
1942-03-05,0,CLIC
1942-03-06,0,CLIC
1942-03-07,0,CLIC
1942-03-08,0,CLIC
1942-03-09,0,CLIC
1942-03-10,0,CLIC
1942-03-11,0,CLIC
1942-03-12,0,CLIC
1942-03-13,0,CLIC
1942-03-14,0,CLIC
1942-03-15,0,CLIC
1942-03-16,0,CLIC
1942-03-17,0,CLIC
1942-03-18,0,CLIC
1942-03-19,0,CLIC
1942-03-20,0,CLIC
1942-03-21,10,CLIC
1942-03-22,0,CLIC
1942-03-23,0,CLIC
1942-03-24,0,CLIC
1942-03-25,0,CLIC
1942-03-26,0,CLIC
1942-03-27,0,CLIC
1942-03-28,0,CLIC
1942-03-29,0,CLIC
1942-03-30,0,CLIC
1942-03-31,0,CLIC
1942-04-01,0,CLIC
1942-04-02,0,CLIC
1942-04-03,0,CLIC
1942-04-04,0,CLIC
1942-04-05,0,CLIC
1942-04-06,0,CLIC
1942-04-07,0,CLIC
1942-04-08,0,CLIC
1942-04-09,0,CLIC
1942-04-10,0,CLIC
1942-04-11,0,CLIC
1942-04-12,0,CLIC
1942-04-13,0,CLIC
1942-04-14,0,CLIC
1942-04-15,0,CLIC
1942-04-16,0,CLIC
1942-04-17,0,CLIC
1942-04-18,0,CLIC
1942-04-19,0,CLIC
1942-04-20,0,CLIC
1942-04-21,0,CLIC
1942-04-22,0,CLIC
1942-04-23,0,CLIC
1942-04-24,0,CLIC
1942-04-25,0,CLIC
1942-04-26,0,CLIC
1942-04-27,18.5,CLIC
1942-04-28,5.5,CLIC
1942-04-29,0,CLIC
1942-04-30,1,CLIC
1942-05-01,0,CLIC
1942-05-02,0,CLIC
1942-05-03,0,CLIC
1942-05-04,17.5,CLIC
1942-05-05,0.5,CLIC
1942-05-06,0,CLIC
1942-05-07,8.5,CLIC
1942-05-08,1,CLIC
1942-05-09,0,CLIC
1942-05-10,0,CLIC
1942-05-11,0,CLIC
1942-05-12,0,CLIC
1942-05-13,0,CLIC
1942-05-14,0,CLIC
1942-05-15,0,CLIC
1942-05-16,2.5,CLIC
1942-05-17,0,CLIC
1942-05-18,0,CLIC
1942-05-19,17,CLIC
1942-05-20,1.5,CLIC
1942-05-21,2,CLIC
1942-05-22,0,CLIC
1942-05-23,1.5,CLIC
1942-05-24,0,CLIC
1942-05-25,0,CLIC
1942-05-26,0,CLIC
1942-05-27,18,CLIC
1942-05-28,9,CLIC
1942-05-29,0,CLIC
1942-05-30,0,CLIC
1942-05-31,0,CLIC
1942-06-01,0,CLIC
1942-06-02,9,CLIC
1942-06-03,0,CLIC
1942-06-04,3,CLIC
1942-06-05,0,CLIC
1942-06-06,0,CLIC
1942-06-07,0,CLIC
1942-06-08,0,CLIC
1942-06-09,0,CLIC
1942-06-10,0,CLIC
1942-06-11,0,CLIC
1942-06-12,0,CLIC
1942-06-13,0,CLIC
1942-06-14,0,CLIC
1942-06-15,3.5,CLIC
1942-06-16,0,CLIC
1942-06-17,0,CLIC
1942-06-18,0,CLIC
1942-06-19,3,CLIC
1942-06-20,0,CLIC
1942-06-21,0,CLIC
1942-06-22,6,CLIC
1942-06-23,0,CLIC
1942-06-24,1,CLIC
1942-06-25,2.5,CLIC
1942-06-26,0,CLIC
1942-06-27,0,CLIC
1942-06-28,4.5,CLIC
1942-06-29,0,CLIC
1942-06-30,1,CLIC
1942-07-01,8,CLIC
1942-07-02,0,CLIC
1942-07-03,0,CLIC
1942-07-04,44,CLIC
1942-07-05,0,CLIC
1942-07-06,0,CLIC
1942-07-07,1.5,CLIC
1942-07-08,0,CLIC
1942-07-09,0,CLIC
1942-07-10,0,CLIC
1942-07-11,53.5,CLIC
1942-07-12,0,CLIC
1942-07-13,0,CLIC
1942-07-14,0,CLIC
1942-07-15,3.5,CLIC
1942-07-16,0,CLIC
1942-07-17,0,CLIC
1942-07-18,0,CLIC
1942-07-19,0,CLIC
1942-07-20,7.5,CLIC
1942-07-21,11,CLIC
1942-07-22,0,CLIC
1942-07-23,0,CLIC
1942-07-24,0,CLIC
1942-07-25,0,CLIC
1942-07-26,0,CLIC
1942-07-27,0,CLIC
1942-07-28,0,CLIC
1942-07-29,7.5,CLIC
1942-07-30,6,CLIC
1942-07-31,18.5,CLIC
1942-08-01,0,CLIC
1942-08-02,0,CLIC
1942-08-03,0,CLIC
1942-08-04,0,CLIC
1942-08-05,12,CLIC
1942-08-06,1,CLIC
1942-08-07,0,CLIC
1942-08-08,0,CLIC
1942-08-09,20,CLIC
1942-08-10,6,CLIC
1942-08-11,0,CLIC
1942-08-12,0,CLIC
1942-08-13,0,CLIC
1942-08-14,0,CLIC
1942-08-15,0,CLIC
1942-08-16,21,CLIC
1942-08-17,9,CLIC
1942-08-18,1.5,CLIC
1942-08-19,1.5,CLIC
1942-08-20,17.5,CLIC
1942-08-21,1,CLIC
1942-08-22,0,CLIC
1942-08-23,0,CLIC
1942-08-24,3.5,CLIC
1942-08-25,0,CLIC
1942-08-26,0,CLIC
1942-08-27,6,CLIC
1942-08-28,1,CLIC
1942-08-29,6.5,CLIC
1942-08-30,0,CLIC
1942-08-31,19,CLIC
1942-09-01,0,CLIC
1942-09-02,0,CLIC
1942-09-03,0,CLIC
1942-09-04,11,CLIC
1942-09-05,0.5,CLIC
1942-09-06,0,CLIC
1942-09-07,0,CLIC
1942-09-08,3,CLIC
1942-09-09,0,CLIC
1942-09-10,0,CLIC
1942-09-11,0,CLIC
1942-09-12,0,CLIC
1942-09-13,0,CLIC
1942-09-14,0.5,CLIC
1942-09-15,0,CLIC
1942-09-16,8,CLIC
1942-09-17,0,CLIC
1942-09-18,0,CLIC
1942-09-19,9,CLIC
1942-09-20,0.5,CLIC
1942-09-21,0,CLIC
1942-09-22,0,CLIC
1942-09-23,0,CLIC
1942-09-24,7,CLIC
1942-09-25,3.5,CLIC
1942-09-26,0,CLIC
