Estación: ,C19074,GENERAL BRAVO  (SMN)
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 11' 00'',Latitud:,25° 47' 00

Fecha,Promedio,Máximo,Mínimo
1953-08-08,32.25,41,23.5
1953-08-09,32.5,41,24
1953-08-10,32.5,41,24
1953-08-11,32.5,40.5,24.5
1953-08-12,31.75,39,24.5
1953-08-13,30.5,39,22
1953-08-14,31.5,39,24
1953-08-15,32.4,40,24.8
1953-08-16,31.5,39,24
1953-08-17,31,38,24
1953-08-18,30.5,37,24
1953-08-19,31.5,39,24
1953-08-20,31.25,39.5,23
1953-08-21,27,30,24
1953-08-22,27.5,32,23
1953-08-23,30.25,36.5,24
1953-08-24,28.5,32,25
1953-08-25,27.5,31,24
1953-08-26,26.75,31.5,22
1953-08-27,26,29,23
1953-08-28,25.5,30.5,20.5
1953-08-29,27.75,33.5,22
1953-08-30,30,36.5,23.5
1953-08-31,28.75,33,24.5
1953-09-01,29.75,36,23.5
1953-09-02,30.25,36.5,24
1953-09-03,29.75,35.5,24
1953-09-04,21.25,23,19.5
1953-09-05,24,28,20
1953-09-06,25.25,30.5,20
1953-09-07,25.75,30,21.5
1953-09-08,26.5,31,22
1953-09-09,26.75,31.5,22
1953-09-10,26.75,31.5,22
1953-09-11,26.5,31,22
1953-09-12,27.1,32.2,22
1953-09-13,26.5,32,21
1953-09-14,27.25,33,21.5
1953-09-15,27.75,35.5,20
1953-09-16,31.55,37.1,26
1953-09-17,30,37.5,22.5
1953-09-18,29.25,36,22.5
1953-09-19,30,37,23
1953-09-20,29.5,37,22
1953-09-21,28.5,36,21
1953-09-22,27,34,20
1953-09-23,26,31,21
1953-09-24,25,31.5,18.5
1953-09-25,25.5,33,18
1953-09-26,28,36,20
1953-09-27,29.25,39.5,19
1953-09-28,28,39,17
1953-09-29,26.5,36,17
1953-09-30,25,33,17
1953-10-01,25,32,18
1953-10-02,26,32,20
1953-10-03,25.5,28.5,22.5
1953-10-04,25,28,22
1953-10-05,24,27,21
1953-10-06,20.25,23.5,17
1953-10-07,19.5,25.5,13.5
1953-10-08,20,26.5,13.5
1953-10-09,19.75,27.5,12
1953-10-10,22,31,13
1953-10-11,22.75,32,13.5
1953-10-12,23.75,31.5,16
1953-10-13,24.5,31,18
1953-10-14,24.25,30.5,18
1953-10-15,25.5,31,20
1953-10-16,23.25,29.5,17
1953-10-17,24,30,18
1953-10-18,23.75,30.5,17
1953-10-19,25,31,19
1953-10-20,26.5,31.5,21.5
1953-10-21,26.75,31.5,22
1953-10-22,27,30.5,23.5
1953-10-23,24.25,29.5,19
1953-10-24,26,31,21
1953-10-25,26.25,31.5,21
1953-10-26,22.75,23.5,22
1953-10-27,17.5,18,17
1953-10-28,19.75,25,14.5
1953-10-29,20.5,27,14
1953-10-30,20,24,16
1953-10-31,20.75,24,17.5
1953-11-01,17.5,19,16
1953-11-02,17.25,20.5,14
1953-11-03,19.5,26,13
1953-11-04,20.5,27,14
1953-11-05,18.5,22,15
1953-11-06,19,22,16
1953-11-07,20.5,24,17
1953-11-08,15.5,18,13
1953-11-09,11,18,4
1953-11-10,10.75,20,1.5
1953-11-11,12.75,24,1.5
1953-11-12,14,24,4
1953-11-13,16.5,26,7
1953-11-14,17.75,25.5,10
1953-11-15,18.5,25,12
1953-11-16,21.45,27.9,15
1953-11-17,21.4,28,14.8
1953-11-18,23,30,16
1953-11-19,25,33,17
1953-11-20,17.4,23,11.8
1953-11-21,18.25,24,12.5
1953-11-22,14.75,21.5,8
1953-11-23,14.5,20,9
1953-11-24,17.5,27,8
1953-11-25,17.25,28.5,6
1953-11-26,16.5,27,6
1953-11-27,20.5,30,11
1953-11-28,20,29,11
1953-11-29,20.5,28,13
1953-11-30,21,27,15
1954-01-01,12.5,23,2
1954-01-02,16.5,27,6
1954-01-03,14.75,22,7.5
1954-01-04,18.25,24.5,12
1954-01-05,16,23.5,8.5
1954-01-06,14.25,24,4.5
1954-01-07,15.75,26.5,5
1954-01-08,17.25,29,5.5
1954-01-09,19,26,12
1954-01-10,18,22,14
1954-01-11,11,17,5
1954-01-12,7.75,12.5,3
1954-01-13,9,12,6
1954-01-14,13,17,9
1954-01-15,15.25,21.5,9
1954-01-16,16.25,26,6.5
1954-01-17,16.5,28,5
1954-01-18,17,28,6
1954-01-19,20.5,28,13
1954-01-20,23.75,33.5,14
1954-01-21,12,14,10
1954-01-22,7,13,1
1954-01-23,8.25,15,1.5
1954-01-26,23.75,31.5,16
1954-01-27,21.75,27,16.5
1954-01-28,18.25,21,15.5
1954-01-29,21.75,28.5,15
1954-01-30,21,27.5,14.5
1954-01-31,20.5,25.5,15.5
1954-02-01,17.5,21,14
1954-02-02,18,21.5,14.5
1954-02-03,20.25,25,15.5
1954-02-04,19.5,27.5,11.5
1954-02-05,18.65,25,12.3
1954-02-06,15.5,23.5,7.5
1954-02-07,15,20,10
1954-02-08,11.5,22.5,0.5
1954-02-09,15.75,30,1.5
1954-02-10,22.75,37.5,8
1954-02-11,22.25,30.5,14
1954-02-12,16,22.5,9.5
1954-02-13,20,28.5,11.5
1954-02-14,23.25,32,14.5
1954-02-15,24.25,33.5,15
1954-02-16,21.25,23,19.5
1954-02-17,23.25,28.5,18
1954-02-18,24.75,31.5,18
1954-02-19,21,25,17
1954-02-20,18.5,24,13
1954-02-21,18.75,28,9.5
1954-02-22,20.25,29.5,11
1954-02-23,21.25,28,14.5
1954-02-24,16.25,27.5,5
1954-02-25,19.25,34,4.5
1954-02-26,23,35.5,10.5
1954-02-27,18.75,25.5,12
1954-02-28,14.25,18,10.5
1954-03-01,15.25,27,3.5
1954-03-02,15.75,27,4.5
1954-03-03,13,14.5,11.5
1954-03-04,9,11.5,6.5
1954-03-05,8.75,10.5,7
1954-03-06,11,15.5,6.5
1954-03-07,12.75,23,2.5
1954-03-08,15.25,26,4.5
1954-03-09,16.75,33,0.5
1954-03-10,25,37.5,12.5
1954-03-11,26.25,37,15.5
1954-03-12,28.75,40,17.5
1954-03-13,21.5,25,18
1954-03-14,12.5,16.5,8.5
1954-03-15,11.75,19,4.5
1954-03-16,13.25,21.5,5
1954-03-17,18,29,7
1954-03-18,22.75,29.5,16
1954-03-19,25.5,33.5,17.5
1954-03-20,26.5,35,18
1954-03-21,27,35,19
1954-03-22,27.25,35,19.5
1954-03-23,28,37,19
1954-03-24,31,41,21
1954-03-25,25.25,29.5,21
1954-03-26,22.5,31,14
1954-03-27,24.5,31,18
1954-03-28,27.25,35.5,19
1954-03-29,29.5,38.5,20.5
1954-03-30,32.25,43,21.5
1954-04-01,16.75,20,13.5
1954-04-02,18,22,14
1954-04-03,23.75,32,15.5
1954-04-04,29,38,20
1954-04-05,29.25,37.5,21
1954-04-06,29.5,37.5,21.5
1954-04-07,30.5,40,21
1954-04-08,29.25,36.5,22
1954-04-09,24.75,31,18.5
1954-04-10,26.25,34,18.5
1954-04-11,28.5,35,22
1954-04-12,26,31,21
1954-04-13,25.5,30.5,20.5
1954-04-14,24.8,28.6,21
1954-04-15,25.5,31,20
1954-04-16,21.65,25.8,17.5
1954-04-17,18.65,24.3,13
1954-04-18,23.55,33.6,13.5
1954-04-19,23.75,34,13.5
1954-04-20,24.5,35,14
1954-04-21,27.5,34.5,20.5
1954-04-22,25.75,30.5,21
1954-04-23,26.25,30.5,22
1954-04-24,26.25,31,21.5
1954-04-25,26,31,21
1954-04-26,29,37,21
1954-04-27,28.75,35,22.5
1954-04-28,30.75,38,23.5
1954-04-29,30.75,38,23.5
1954-04-30,31.75,39.5,24
1954-05-01,33.25,43,23.5
1954-05-02,28.5,33.5,23.5
1954-05-03,21,25,17
1954-05-04,19.5,28,11
1954-05-05,23,33,13
1954-05-06,25.5,34,17
1954-05-07,26.5,33,20
1954-05-08,29,35,23
1954-05-09,30.5,39.5,21.5
1954-05-10,30.5,39,22
1954-05-11,31,39,23
1954-05-12,26,31,21
1954-05-13,24.75,30,19.5
1954-05-14,25,31,19
1954-05-15,25.5,31,20
1954-05-16,27.5,34,21
1954-05-17,27.25,33.5,21
1954-05-18,28.75,33.5,24
1954-05-19,24.5,29,20
1954-05-20,28,33.5,22.5
1954-05-21,28,33,23
1954-05-22,28,32.5,23.5
1954-05-23,28,33,23
1954-05-24,24.5,29,20
1954-05-25,26.5,33,20
1954-05-26,28.25,33.5,23
1954-05-27,28,36,20
1954-05-28,30.75,40.5,21
1954-05-29,30.75,38.5,23
1954-05-30,31,37,25
1954-05-31,31.75,39,24.5
1954-06-01,31,38,24
1954-06-02,32.5,41,24
1954-06-03,30.75,37,24.5
1954-06-04,30,36,24
1954-06-05,31,39,23
1954-06-06,32.5,40,25
1954-06-07,32.5,40,25
1954-06-08,32.5,40,25
1954-06-09,31.75,39,24.5
1954-06-10,31.5,38.5,24.5
1954-06-11,32.25,39,25.5
1954-06-12,31.5,38,25
1954-06-13,31.25,37.5,25
1954-06-14,32.25,39,25.5
1954-06-15,32.25,39,25.5
1954-06-16,33.25,40.5,26
1954-06-17,32,39,25
1954-06-18,30.25,36.5,24
1954-06-19,30.25,37,23.5
1954-06-20,30.5,38,23
1954-06-21,31,38.5,23.5
1954-06-22,31.75,38.5,25
1954-06-23,30.5,36.5,24.5
1954-06-24,28.25,33,23.5
1954-06-25,25.5,30,21
1954-06-26,26.25,31,21.5
1954-06-27,29.5,35,24
1954-06-28,29.5,35,24
1954-06-29,30,36,24
1954-06-30,29.25,35.5,23
