Estación: ,C19082,ARAMBERRI 2. ARAMBERRI
Variable: ,Evaporación (mm)
Longitud: ,99° 50' 00'',Latitud:,24° 10' 00

Fecha,Valor,NúmDatos
1974-07-09,5.8,CLIC
1974-07-10,2.1,CLIC
1974-07-11,2.3,CLIC
1974-07-12,4.7,CLIC
1974-07-13,2.5,CLIC
1974-07-14,7.6,CLIC
1974-07-15,8.5,CLIC
1974-07-16,8.5,CLIC
1974-07-17,4.9,CLIC
1974-07-18,2.7,CLIC
1974-07-19,6.9,CLIC
1974-07-20,8.7,CLIC
1974-07-21,8,CLIC
1974-07-22,8.9,CLIC
1974-07-23,7.6,CLIC
1974-07-24,8.5,CLIC
1974-07-25,6.8,CLIC
1974-07-26,6.3,CLIC
1974-07-27,9.2,CLIC
1974-07-28,8.8,CLIC
1974-07-29,10.1,CLIC
1974-07-30,7.7,CLIC
1974-07-31,5.8,CLIC
1974-08-01,8.2,CLIC
1974-08-02,7.8,CLIC
1974-08-03,9.1,CLIC
1974-08-04,8.9,CLIC
1974-08-05,8.5,CLIC
1974-08-06,6.2,CLIC
1974-08-07,6,CLIC
1974-08-08,6.4,CLIC
1974-08-09,9.5,CLIC
1974-08-10,9.1,CLIC
1974-08-11,9.6,CLIC
1974-08-12,10,CLIC
1974-08-13,10.1,CLIC
1974-08-14,10.7,CLIC
1974-08-15,9.6,CLIC
1974-08-16,8.1,CLIC
1974-08-17,7.7,CLIC
1974-08-18,8.2,CLIC
1974-08-19,9.7,CLIC
1974-08-20,9,CLIC
1974-08-21,10.2,CLIC
1974-08-22,9.8,CLIC
1974-08-23,8.4,CLIC
1974-08-24,5.9,CLIC
1974-08-25,8.4,CLIC
1974-08-26,11.2,CLIC
1974-08-27,8.5,CLIC
1974-08-28,6.3,CLIC
1974-08-29,10.3,CLIC
1974-08-30,10.8,CLIC
1974-08-31,3.1,CLIC
1974-09-01,9.7,CLIC
1974-09-02,10.7,CLIC
1974-09-03,5.5,CLIC
1974-09-04,5.1,CLIC
1974-09-05,4.5,CLIC
1974-09-06,9.2,CLIC
1974-09-07,9.3,CLIC
1974-09-08,7.3,CLIC
1974-09-09,10.6,CLIC
1974-09-10,9.3,CLIC
1974-09-11,4.2,CLIC
1974-09-12,8.8,CLIC
1974-09-13,3.7,CLIC
1974-09-14,8.5,CLIC
1974-09-15,3.9,CLIC
1974-09-16,4.8,CLIC
1974-09-17,8.1,CLIC
1974-09-18,6.4,CLIC
1974-09-19,5.6,CLIC
1974-09-20,6.9,CLIC
1974-09-21,5.1,CLIC
1974-09-22,10.5,CLIC
1974-09-23,3.7,CLIC
1974-09-24,5.6,CLIC
1974-09-25,6.2,CLIC
1974-09-26,3.6,CLIC
1974-09-27,8,CLIC
1974-09-28,4.3,CLIC
1974-09-29,2.5,CLIC
1974-09-30,2.7,CLIC
1974-10-01,5.1,CLIC
1974-10-02,4.5,CLIC
1974-10-03,5.3,CLIC
1974-10-04,5,CLIC
1974-10-05,4.5,CLIC
1974-10-06,5.6,CLIC
1974-10-07,5.7,CLIC
1974-10-08,4.9,CLIC
1974-10-09,5.4,CLIC
1974-10-10,4.5,CLIC
1974-10-11,5.1,CLIC
1974-10-12,4.9,CLIC
1974-10-13,4.9,CLIC
1974-10-14,4.2,CLIC
1974-10-15,2.1,CLIC
1974-10-16,4.3,CLIC
1974-10-17,4.4,CLIC
1974-10-18,2.3,CLIC
1974-10-19,6.6,CLIC
1974-10-20,4.1,CLIC
1974-10-21,3.8,CLIC
1974-10-22,2.8,CLIC
1974-10-23,1.4,CLIC
1974-10-24,2.7,CLIC
1974-10-25,3.9,CLIC
1974-10-26,2.9,CLIC
1974-10-27,3.9,CLIC
1974-10-28,6.4,CLIC
