Estación: ,C19084,E.T.A. 44 SABINAS HGO.
Variable: ,Precipitación (mm)
Longitud: ,100° 05' 00'',Latitud:,26° 30' 00

Fecha,Valor,NúmDatos
1974-01-01,0,CLIC
1974-01-02,0,CLIC
1974-01-03,0,CLIC
1974-01-04,0,CLIC
1974-01-05,0,CLIC
1974-01-06,0,CLIC
1974-01-07,0,CLIC
1974-01-08,0,CLIC
1974-01-09,0,CLIC
1974-01-10,0,CLIC
1974-01-11,2,CLIC
1974-01-12,0,CLIC
1974-01-13,0,CLIC
1974-01-14,0,CLIC
1974-01-15,0,CLIC
1974-01-16,3.2,CLIC
1974-01-17,0,CLIC
1974-01-18,0,CLIC
1974-01-19,0,CLIC
1974-01-20,0,CLIC
1974-01-21,0,CLIC
1974-01-22,0,CLIC
1974-01-23,0,CLIC
1974-01-24,0,CLIC
1974-01-25,3.8,CLIC
1974-01-26,0,CLIC
1974-01-27,0,CLIC
1974-01-28,0,CLIC
1974-01-29,0,CLIC
1974-01-30,0,CLIC
1974-01-31,0,CLIC
1974-02-01,0,CLIC
1974-02-02,0,CLIC
1974-02-03,0,CLIC
1974-02-04,0,CLIC
1974-02-05,0,CLIC
1974-02-06,0,CLIC
1974-02-07,0,CLIC
1974-02-08,0,CLIC
1974-02-09,0,CLIC
1974-02-10,0,CLIC
1974-02-11,0,CLIC
1974-02-12,0,CLIC
1974-02-13,0,CLIC
1974-02-14,0,CLIC
1974-02-15,0,CLIC
1974-02-16,0,CLIC
1974-02-17,0,CLIC
1974-02-18,0,CLIC
1974-02-19,0,CLIC
1974-02-20,0,CLIC
1974-02-21,0,CLIC
1974-02-22,0,CLIC
1974-02-23,0,CLIC
1974-02-24,0,CLIC
1974-02-25,0,CLIC
1974-02-26,0,CLIC
1974-02-27,0,CLIC
1974-02-28,0,CLIC
1974-03-01,0,CLIC
1974-03-02,0,CLIC
1974-03-03,0,CLIC
1974-03-04,0,CLIC
1974-03-05,0,CLIC
1974-03-06,0,CLIC
1974-03-07,0,CLIC
1974-03-08,0,CLIC
1974-03-09,0,CLIC
1974-03-10,0,CLIC
1974-03-11,0,CLIC
1974-03-12,1.5,CLIC
1974-03-13,6.5,CLIC
1974-03-14,0,CLIC
1974-03-15,12,CLIC
1974-03-16,0,CLIC
1974-03-17,0,CLIC
1974-03-18,0,CLIC
1974-03-19,0,CLIC
1974-03-20,0,CLIC
1974-03-21,0,CLIC
1974-03-22,0,CLIC
1974-03-23,0,CLIC
1974-03-24,0,CLIC
1974-03-25,0,CLIC
1974-03-26,0,CLIC
