Estación: ,C19084,E.T.A. 44 SABINAS HGO.
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 05' 00'',Latitud:,26° 30' 00

Fecha,Promedio,Máximo,Mínimo
1974-01-01,6,9,3
1974-01-02,6,10,2
1974-01-03,7,10,4
1974-01-04,8,12,4
1974-01-05,7,15,-1
1974-01-06,12,24,0
1974-01-07,12,22,2
1974-01-08,20,27.5,12.5
1974-01-09,22.8,32.8,12.8
1974-01-10,19,24,14
1974-01-11,17,22,12
1974-01-12,15.4,20.4,10.4
1974-01-13,16.8,21,12.6
1974-01-14,12.95,19,6.9
1974-01-15,15.5,27,4
1974-01-16,15.85,25.9,5.8
1974-01-17,18.9,32,5.8
1974-01-18,20.45,31.9,9
1974-01-19,20.2,30.6,9.8
1974-01-20,20.1,30,10.2
1974-01-21,18,29,7
1974-01-22,17,27,7
1974-01-23,9,11,7
1974-01-24,7,8,6
1974-01-25,10.25,14.5,6
1974-01-26,14.25,25.5,3
1974-01-27,16.5,26,7
1974-01-28,16.05,23.5,8.6
1974-01-29,14.75,25,4.5
1974-01-30,16.4,26.8,6
1974-01-31,13.95,24,3.9
1974-02-01,16.5,24,9
1974-02-02,21.75,34.5,9
1974-02-03,18.6,22.7,14.5
1974-02-04,16.9,28.3,5.5
1974-02-05,16.4,28,4.8
1974-02-06,19,31,7
1974-02-07,16,26,6
1974-02-08,8,12,4
1974-02-09,11,25,-3
1974-02-10,12,24,0
1974-02-11,13.5,26,1
1974-02-12,17,31,3
1974-02-13,19.95,32,7.9
1974-02-14,18.45,31,5.9
1974-02-15,17.95,20.9,15
1974-02-16,11,18,4
1974-02-17,20.65,36,5.3
1974-02-18,20.45,35,5.9
1974-02-19,16.95,30,3.9
1974-02-20,20.9,34,7.8
1974-02-21,14.5,20,9
1974-02-22,10.45,17,3.9
1974-02-23,9.5,16,3
1974-02-24,15.5,27,4
1974-02-25,9.5,15,4
1974-02-26,8.5,20,-3
1974-02-27,13,22,4
1974-02-28,20,31,9
1974-03-01,21.5,32,11
1974-03-02,22,33,11
1974-03-03,20.6,30,11.2
1974-03-04,23.5,37,10
1974-03-05,23,31,15
1974-03-06,24,31,17
1974-03-07,25,31,19
1974-03-08,24.5,29,20
1974-03-09,25,29,21
1974-03-10,20,27,13
1974-03-11,23,31,15
1974-03-12,22.5,26,19
1974-03-13,21.5,28,15
1974-03-14,20.5,26,15
1974-03-15,21,27,15
1974-03-16,22.5,30,15
1974-03-17,22.5,27,18
1974-03-18,26.5,34,19
1974-03-19,17,18,16
1974-03-20,22.5,30,15
1974-03-21,19,25,13
1974-03-22,19,25,13
1974-03-23,21.5,30,13
1974-03-24,22,29,15
1974-03-25,13.75,20.5,7
1974-03-26,15,22,8
1974-03-27,20,27,13
1974-03-28,23.5,34,13
1974-03-29,25.5,36,15
1974-03-30,22,30,14
1974-03-31,22.5,35,10
1974-04-01,22,34,10
1974-04-02,26,39,13
1974-04-03,30.5,42,19
1974-04-04,30,37,23
1974-04-05,22,36,8
1974-04-06,21,35,7
1974-04-07,23.5,38,9
1974-04-08,23,36,10
1974-04-09,23,35,11
1974-04-10,21.5,34,9
1974-04-11,22.5,33.5,11.5
1974-04-12,21.7,33,10.4
1974-04-13,22.95,33.9,12
1974-04-14,23.5,36,11
1974-04-15,25.5,33,18
1974-04-16,25.75,33.2,18.3
1974-04-17,25.95,35.5,16.4
1974-04-18,27.5,37,18
1974-04-19,25,36,14
1974-04-20,21.7,25.4,18
1974-04-21,27.8,36,19.6
1974-04-22,26.15,32,20.3
1974-04-23,21.75,31.5,12
1974-04-24,25,29,21
1974-04-25,26.5,30,23
1974-04-26,26.5,32,21
1974-04-27,27.5,33,22
1974-04-28,27,33,21
1974-04-29,28.2,35.4,21
1974-04-30,29.5,37,22
1974-05-01,26,33,19
1974-05-02,27,35,19
1974-05-03,27.5,34,21
1974-05-04,27,35,19
1974-05-05,25.5,33,18
1974-05-06,27,34,20
1974-05-07,22,25,19
1974-05-08,25.5,30,21
1974-05-09,27,31,23
1974-05-10,28,35,21
1974-05-11,25.5,31,20
1974-05-12,27.5,39,16
1974-05-13,26.5,35,18
1974-05-14,26,29,23
1974-05-15,25,37,13
1974-05-16,29.5,34,25
1974-05-17,29.5,34,25
1974-05-18,26.5,30,23
1974-05-19,27,34,20
1974-05-20,29,35,23
1974-05-21,28.5,35,22
1974-05-22,29,37,21
1974-05-23,26,30,22
1974-05-24,28,36,20
1974-05-25,29.5,34,25
1974-05-26,28.5,37,20
1974-05-27,30,37,23
1974-05-28,29,34,24
1974-05-29,30,37,23
1974-05-30,30.5,35,26
1974-05-31,30.2,35.4,25
1974-06-01,30.7,35.4,26
1974-06-02,27,32.4,21.6
1974-06-03,28.95,34.9,23
1974-06-04,29.5,36,23
1974-06-05,27.2,35.4,19
1974-06-06,27.3,34.6,20
1974-06-07,29.2,36.4,22
1974-06-08,28.6,35.6,21.6
1974-06-09,27.45,34.9,20
1974-06-10,28.1,34.6,21.6
1974-06-11,26.75,31.6,21.9
1974-06-12,28.95,34.9,23
1974-06-13,28.3,33.6,23
1974-06-14,27.7,33,22.4
1974-06-15,29,36,22
1974-06-16,31.5,37,26
1974-06-17,29.7,36.4,23
1974-06-18,28.9,35.2,22.6
1974-06-19,26.65,30.4,22.9
1974-06-20,26.5,30.4,22.6
1974-06-21,27.6,34.6,20.6
1974-06-22,29.6,34.9,24.3
1974-06-23,30.65,34.6,26.7
1974-06-24,30.1,33.9,26.3
1974-06-25,28.1,31.6,24.6
1974-06-26,28.2,32.8,23.6
1974-06-27,26.55,29.6,23.5
1974-06-28,26.3,30.3,22.3
1974-06-29,25.75,30.9,20.6
1974-06-30,27.45,34.6,20.3
1974-07-01,28.8,34.6,23
1974-07-02,27.45,31.9,23
1974-07-03,28.5,36.4,20.6
1974-07-04,27.35,32.4,22.3
1974-07-05,28.7,33.8,23.6
1974-07-06,26.4,29.8,23
1974-07-07,27.3,33.8,20.8
1974-07-08,28.85,35.8,21.9
1974-07-09,27.4,30.9,23.9
1974-07-10,26.7,31.8,21.6
1974-07-11,25.65,29.7,21.6
1974-07-12,26.1,32.6,19.6
1974-07-13,25.6,29.8,21.4
1974-07-14,25.05,29.8,20.3
1974-07-15,24.45,27.3,21.6
1974-07-16,24.4,29.8,19
1974-07-17,25.35,29.7,21
1974-07-18,24.8,31.6,18
1974-07-19,26.55,33.1,20
1974-07-20,28.6,33.6,23.6
1974-07-21,26.85,29.8,23.9
1974-07-22,26.6,31.6,21.6
1974-07-23,27.6,31.6,23.6
1974-07-24,26.55,29.8,23.3
1974-07-25,26.6,31.6,21.6
1974-07-26,26.1,31.9,20.3
1974-07-27,29.15,34.9,23.4
1974-07-28,27.9,29.8,26
1974-07-29,26.6,29.8,23.4
1974-07-30,25,29.4,20.6
1974-07-31,27.1,32.8,21.4
1974-08-01,26.45,31.6,21.3
1974-08-02,27.2,33.6,20.8
1974-08-03,29.1,34.6,23.6
1974-08-04,29.75,36.1,23.4
1974-08-05,29.05,33.8,24.3
1974-08-06,27.85,34.3,21.4
1974-08-07,25.9,30.4,21.4
1974-08-08,25.5,29.6,21.4
1974-08-09,24.7,29.4,20
1974-08-10,26,31.6,20.4
1974-08-11,25.05,29.8,20.3
1974-08-12,24.95,29.6,20.3
1974-08-13,25.4,31.4,19.4
1974-08-14,26.6,31.6,21.6
1974-08-15,28.7,31.4,26
1974-08-16,26.35,30.4,22.3
1974-08-17,27.1,32.6,21.6
1974-08-18,28,33.6,22.4
1974-08-19,28.35,34.3,22.4
1974-08-20,30.35,34.3,26.4
1974-08-21,27.6,31.6,23.6
1974-08-22,27.5,31.6,23.4
1974-08-23,27.6,33.8,21.4
1974-08-24,29.75,34.9,24.6
1974-08-25,27.8,34,21.6
1974-08-26,27.6,29.8,25.4
1974-08-27,27.5,32.4,22.6
1974-08-28,27.45,31.6,23.3
1974-08-29,28,33.6,22.4
1974-08-30,28.6,33.8,23.4
1974-08-31,27,31.4,22.6
1974-09-01,27.6,31.6,23.6
1974-09-02,25.6,29.8,21.4
1974-09-03,25.85,31.4,20.3
1974-09-04,24.6,29.6,19.6
1974-09-05,24.45,30.6,18.3
1974-09-06,25.15,31.4,18.9
1974-09-07,25.5,31.4,19.6
1974-09-08,26.4,31.4,21.4
1974-09-09,25.5,30.4,20.6
1974-09-10,24.5,30.6,18.4
1974-09-11,24.5,30.4,18.6
1974-09-12,23.6,28.4,18.8
1974-09-13,22.4,27.4,17.4
1974-09-14,21.3,26.6,16
1974-09-15,21.65,26.9,16.4
1974-09-16,22.3,27.8,16.8
1974-09-17,23.8,29.6,18
1974-09-18,25.1,29.8,20.4
1974-09-19,24,28.4,19.6
1974-09-20,24.3,29,19.6
1974-09-21,24.5,28.4,20.6
1974-09-22,23.9,28.9,18.9
1974-09-23,24.4,29.9,18.9
1974-09-24,25.65,30.6,20.7
1974-09-25,25.9,30.4,21.4
1974-09-26,24.45,28,20.9
1974-09-27,29.25,34,24.5
1974-09-28,28,35,21
1974-09-29,25.75,36,15.5
1974-09-30,25,32,18
1974-10-01,20.75,28,13.5
1974-10-02,21.5,27,16
1974-10-03,25,30,20
1974-10-04,22,29,15
1974-10-05,23.75,30.4,17.1
1974-10-06,26.55,31.5,21.6
1974-10-07,26,31,21
1974-10-08,23.5,31,16
1974-10-09,22.5,31,14
1974-10-10,24.5,32,17
1974-10-11,24.25,31.5,17
1974-10-12,24.3,30.4,18.2
