Estación: ,C19086,MIER Y NORIEGA (DGE) usar 19046
Variable: ,Evaporación (mm)
Longitud: ,100° 10' 00'',Latitud:,23° 29' 00

Fecha,Valor,NúmDatos
1974-07-01,4.6,CLIC
1974-07-02,6.4,CLIC
1974-07-03,6.8,CLIC
1974-07-04,7,CLIC
1974-07-05,6.6,CLIC
1974-07-06,4.5,CLIC
1974-07-07,5.4,CLIC
1974-07-08,0.3,CLIC
1974-07-09,0.4,CLIC
1974-07-10,7.3,CLIC
1974-07-11,4.8,CLIC
1974-07-12,2.5,CLIC
1974-07-13,4,CLIC
1974-07-14,5.8,CLIC
1974-07-15,7.8,CLIC
1974-07-16,4.2,CLIC
1974-07-17,5.7,CLIC
1974-07-18,4.5,CLIC
1974-07-19,5.9,CLIC
1974-07-20,6.3,CLIC
1974-07-21,5.4,CLIC
1974-07-22,3.4,CLIC
1974-07-23,2.7,CLIC
1974-07-24,7.3,CLIC
1974-07-25,6,CLIC
1974-07-26,7,CLIC
1974-07-28,7,CLIC
1974-07-29,6.5,CLIC
1974-07-30,10.5,CLIC
1974-07-31,5,CLIC
1974-09-01,6.5,CLIC
1974-09-02,7,CLIC
1974-09-03,4.2,CLIC
1974-09-04,6.1,CLIC
1974-09-05,7.2,CLIC
1974-09-06,8.6,CLIC
1974-09-07,8.7,CLIC
1974-09-08,7.5,CLIC
1974-09-09,7.2,CLIC
1974-09-10,6.6,CLIC
1974-09-11,3.8,CLIC
1974-09-12,6.1,CLIC
1974-09-13,3.7,CLIC
1974-09-14,5.4,CLIC
1974-09-15,2.3,CLIC
1974-09-16,6.2,CLIC
1974-09-17,8.2,CLIC
1974-09-18,4.9,CLIC
1974-09-19,5.8,CLIC
1974-09-20,5,CLIC
1974-09-21,4.3,CLIC
1974-09-22,0.4,CLIC
1974-09-23,0.6,CLIC
1974-09-24,4.4,CLIC
1974-09-25,4.9,CLIC
1974-09-26,4.2,CLIC
1974-09-27,4.3,CLIC
1974-09-28,3.2,CLIC
1974-09-29,2.3,CLIC
1974-09-30,5,CLIC
