Estación: ,C19087,ZARAGOZA. ZARAGOZA
Variable: ,Precipitación (mm)
Longitud: ,99° 45' 00'',Latitud:,23° 59' 00

Fecha,Valor,NúmDatos
1974-06-15,0.3,CLIC
1974-06-16,0,CLIC
1974-06-17,0,CLIC
1974-06-18,0,CLIC
1974-06-19,0,CLIC
1974-06-20,0,CLIC
1974-06-21,0,CLIC
1974-06-22,0.3,CLIC
1974-06-23,0,CLIC
1974-06-24,0,CLIC
1974-06-25,0,CLIC
1974-06-26,0,CLIC
1974-06-27,0,CLIC
1974-06-28,0,CLIC
1974-06-29,0,CLIC
1974-06-30,2.3,CLIC
1974-07-01,3.2,CLIC
1974-07-02,0,CLIC
1974-07-03,10.4,CLIC
1974-07-04,9.2,CLIC
1974-07-05,0,CLIC
1974-07-06,2.6,CLIC
1974-07-07,0,CLIC
1974-07-08,10.5,CLIC
1974-07-09,9.5,CLIC
1974-07-10,0,CLIC
1974-07-11,2.1,CLIC
1974-07-12,0,CLIC
1974-07-13,0.8,CLIC
1974-07-14,0,CLIC
1974-07-15,0,CLIC
1974-07-16,0,CLIC
1974-07-17,0,CLIC
1974-07-18,0.7,CLIC
1974-07-19,0,CLIC
1974-07-20,0,CLIC
1974-07-21,0,CLIC
1974-07-22,0,CLIC
1974-07-23,0,CLIC
1974-07-24,0,CLIC
1974-07-25,21.7,CLIC
1974-07-26,0,CLIC
1974-07-27,0,CLIC
1974-07-28,0,CLIC
1974-07-29,0,CLIC
1974-07-30,0,CLIC
1974-07-31,0.2,CLIC
1974-08-01,0,CLIC
1974-08-02,5.3,CLIC
1974-08-03,4,CLIC
1974-08-04,0,CLIC
1974-08-05,0,CLIC
1974-08-06,0,CLIC
1974-08-07,0.9,CLIC
1974-08-08,0,CLIC
1974-08-09,0,CLIC
1974-08-10,17.6,CLIC
1974-08-11,10,CLIC
1974-08-12,0,CLIC
1974-08-13,1.2,CLIC
1974-08-14,0,CLIC
1974-08-15,0,CLIC
1974-08-16,15.5,CLIC
1974-08-17,0,CLIC
1974-08-18,0,CLIC
1974-08-19,0,CLIC
1974-08-20,0,CLIC
1974-08-21,0,CLIC
1974-08-22,0,CLIC
1974-08-23,4,CLIC
1974-08-24,1.5,CLIC
1974-08-25,0,CLIC
1974-08-26,1.7,CLIC
1974-08-27,7.1,CLIC
1974-08-28,0,CLIC
1974-08-29,7.9,CLIC
1974-08-30,1.3,CLIC
1974-08-31,0,CLIC
1974-09-01,0.9,CLIC
1974-09-02,0,CLIC
1974-09-03,0,CLIC
1974-09-04,0,CLIC
1974-09-05,0,CLIC
1974-09-06,0,CLIC
1974-09-07,0,CLIC
1974-09-08,0,CLIC
1974-09-09,0,CLIC
1974-09-10,0,CLIC
1974-09-11,0.1,CLIC
1974-09-12,0,CLIC
1974-09-13,1,CLIC
1974-09-14,13.5,CLIC
1974-09-15,0,CLIC
1974-09-16,3.2,CLIC
1974-09-17,0,CLIC
1974-09-18,0,CLIC
1974-09-19,0,CLIC
1974-09-20,0,CLIC
1974-09-21,20,CLIC
1974-09-22,14.6,CLIC
1974-09-23,0,CLIC
1974-09-24,0,CLIC
1974-09-25,0.7,CLIC
1974-09-26,0,CLIC
1974-09-27,0,CLIC
1974-09-28,19,CLIC
1974-09-29,0.1,CLIC
1974-09-30,0,CLIC
1974-10-01,0,CLIC
1974-10-02,0,CLIC
1974-10-03,0,CLIC
1974-10-04,0,CLIC
1974-10-05,0,CLIC
1974-10-06,0,CLIC
1974-10-07,0,CLIC
1974-10-08,0,CLIC
1974-10-09,0,CLIC
1974-10-10,0,CLIC
1974-10-11,0,CLIC
1974-10-12,0,CLIC
1974-10-13,0,CLIC
1974-10-14,2.5,CLIC
1974-10-15,3.8,CLIC
1974-10-16,0,CLIC
1974-10-17,0,CLIC
1974-10-18,0,CLIC
1974-10-19,0,CLIC
1974-10-20,0,CLIC
1974-10-21,0,CLIC
1974-10-22,0,CLIC
1974-10-23,0,CLIC
1974-10-24,0.4,CLIC
1974-10-25,0.2,CLIC
1974-10-26,0,CLIC
1974-10-27,2.8,CLIC
1974-10-28,0,CLIC
1974-10-29,0,CLIC
1974-10-30,0,CLIC
1974-10-31,0,CLIC
1974-11-01,0,CLIC
1974-11-02,0,CLIC
1974-11-03,0,CLIC
1974-11-04,0,CLIC
1974-11-05,0,CLIC
1974-11-06,0,CLIC
1974-11-07,0,CLIC
1974-11-08,0,CLIC
1974-11-09,0,CLIC
1974-11-10,0,CLIC
1974-11-11,0,CLIC
1974-11-12,0,CLIC
1974-11-13,0,CLIC
1974-11-14,0,CLIC
1974-11-15,0,CLIC
1974-11-16,0,CLIC
1974-11-17,0,CLIC
1974-11-18,0,CLIC
1974-11-19,0,CLIC
1974-11-20,0,CLIC
1974-11-21,0,CLIC
1974-11-22,0,CLIC
1974-11-23,0,CLIC
1974-11-24,0,CLIC
1974-11-25,0,CLIC
1974-11-26,0,CLIC
1974-11-27,0,CLIC
1974-11-28,0,CLIC
1974-11-29,0.5,CLIC
1974-11-30,0,CLIC
1974-12-01,0.3,CLIC
1974-12-02,0,CLIC
1974-12-03,0,CLIC
1974-12-04,0,CLIC
1974-12-05,0,CLIC
1974-12-06,0,CLIC
1974-12-07,0,CLIC
1974-12-08,0,CLIC
1974-12-09,0.2,CLIC
1974-12-10,0.1,CLIC
1974-12-11,0,CLIC
1974-12-12,0,CLIC
1974-12-13,0,CLIC
1974-12-14,0,CLIC
1974-12-15,0,CLIC
1974-12-16,0,CLIC
1974-12-17,0,CLIC
1974-12-18,0,CLIC
1974-12-19,0,CLIC
1974-12-20,0,CLIC
1974-12-21,0,CLIC
1974-12-22,0,CLIC
1974-12-23,0,CLIC
1974-12-24,0,CLIC
1974-12-25,0,CLIC
1974-12-26,0,CLIC
1974-12-27,0,CLIC
1974-12-28,0,CLIC
1974-12-29,0,CLIC
1974-12-30,0,CLIC
1974-12-31,0,CLIC
1975-01-01,0,CLIC
1975-01-02,0,CLIC
1975-01-03,1,CLIC
1975-01-04,0,CLIC
1975-01-05,0,CLIC
1975-01-06,0,CLIC
1975-01-07,0,CLIC
1975-01-08,0,CLIC
1975-01-09,0,CLIC
1975-01-10,0,CLIC
1975-01-11,0,CLIC
1975-01-12,0,CLIC
1975-01-13,0,CLIC
1975-01-14,0,CLIC
1975-01-15,0,CLIC
1975-01-16,0,CLIC
1975-01-17,0,CLIC
1975-01-18,0,CLIC
1975-01-19,1.5,CLIC
1975-01-20,0,CLIC
1975-01-21,0.1,CLIC
1975-01-22,1.8,CLIC
1975-01-23,0,CLIC
1975-01-24,0,CLIC
1975-01-25,0,CLIC
1975-01-26,0,CLIC
1975-01-27,0,CLIC
1975-01-28,0,CLIC
1975-01-29,0,CLIC
1975-01-30,0,CLIC
1975-01-31,0,CLIC
1975-02-01,1.6,CLIC
1975-02-02,0,CLIC
1975-02-03,0.9,CLIC
1975-02-04,0,CLIC
1975-02-05,0,CLIC
1975-02-06,1.7,CLIC
