Estación: ,C19088,DOCTOR ARROYO 2. (DGE)
Variable: ,Precipitación (mm)
Longitud: ,100° 10' 36'',Latitud:,23° 40' 34

Fecha,Valor,NúmDatos
1972-04-08,5,CLIC
1972-04-09,0,CLIC
1972-04-10,0,CLIC
1972-04-11,0,CLIC
1972-04-12,0,CLIC
1972-04-13,0,CLIC
1972-04-14,0,CLIC
1972-04-15,0,CLIC
1972-04-16,0,CLIC
1972-04-17,0,CLIC
1972-04-18,13.5,CLIC
1972-04-19,0,CLIC
1972-04-20,0,CLIC
1972-04-21,0,CLIC
1972-04-22,0,CLIC
1972-04-23,0,CLIC
1972-04-24,3,CLIC
1972-04-25,0,CLIC
1972-04-26,0,CLIC
1972-04-27,0,CLIC
1972-04-28,1,CLIC
1972-04-29,0,CLIC
1972-04-30,0,CLIC
1972-05-01,0,CLIC
1972-05-02,7,CLIC
1972-05-03,0,CLIC
1972-05-04,5,CLIC
1972-05-05,0,CLIC
1972-05-06,0,CLIC
1972-05-07,0,CLIC
1972-05-08,0,CLIC
1972-05-09,6.5,CLIC
1972-05-10,0,CLIC
1972-05-11,0,CLIC
1972-05-12,2,CLIC
1972-05-13,0,CLIC
1972-05-14,0,CLIC
1972-05-15,0,CLIC
1972-05-16,0,CLIC
1972-05-17,0,CLIC
1972-05-18,20,CLIC
1972-05-19,1,CLIC
1972-05-20,0,CLIC
1972-05-21,0,CLIC
1972-05-22,0,CLIC
1972-05-23,0,CLIC
1972-05-24,0,CLIC
1972-05-25,7,CLIC
1972-05-26,7,CLIC
1972-05-27,0,CLIC
1972-05-28,3,CLIC
1972-05-29,8,CLIC
1972-05-30,10,CLIC
1972-05-31,0,CLIC
1972-06-01,10,CLIC
1972-06-02,8,CLIC
1972-06-03,2,CLIC
1972-06-04,1,CLIC
1972-06-05,2,CLIC
1972-06-06,6,CLIC
1972-06-07,14,CLIC
1972-06-08,3,CLIC
1972-06-09,2,CLIC
1972-06-10,0,CLIC
1972-06-11,1,CLIC
1972-06-12,1,CLIC
1972-06-13,2,CLIC
1972-06-14,12,CLIC
1972-06-15,1,CLIC
1972-06-16,8,CLIC
1972-06-17,1,CLIC
1972-06-18,20,CLIC
1972-06-19,1,CLIC
1972-06-20,1,CLIC
1972-06-21,0,CLIC
1972-06-22,1,CLIC
1972-06-23,1,CLIC
1972-06-24,1,CLIC
1972-06-25,2,CLIC
1972-06-26,0,CLIC
1972-06-27,1,CLIC
1972-06-28,0,CLIC
1972-06-29,0,CLIC
1972-06-30,0,CLIC
1972-07-01,0,CLIC
1972-07-02,14,CLIC
1972-07-03,1,CLIC
1972-07-04,1,CLIC
1972-07-05,1,CLIC
1972-07-06,1,CLIC
1972-07-07,4,CLIC
1972-07-08,1,CLIC
1972-07-09,1,CLIC
1972-07-10,2,CLIC
1972-07-11,9,CLIC
1972-07-12,2,CLIC
1972-07-13,13.5,CLIC
1972-07-14,12.5,CLIC
1972-07-15,14,CLIC
1972-07-16,20,CLIC
1972-07-17,11,CLIC
1972-07-18,3,CLIC
1972-07-19,4,CLIC
1972-07-20,0,CLIC
1972-07-21,9,CLIC
