Estación: ,C19091,PABLILLO. GALEANA
Variable: ,Evaporación (mm)
Longitud: ,99° 59' 55.4'',Latitud:,24° 35' 20.5''

Fecha,Valor,NúmDatos
1975-01-01,2.3,CLIC
1975-01-02,5.5,CLIC
1975-01-03,3.3,CLIC
1975-01-04,4.2,CLIC
1975-01-05,3.3,CLIC
1975-01-06,2.9,CLIC
1975-01-07,3.9,CLIC
1975-01-08,4,CLIC
1975-01-09,7,CLIC
1975-01-10,5.8,CLIC
1975-01-11,6.6,CLIC
1975-01-12,5.3,CLIC
1975-01-13,1,CLIC
1975-01-14,3.5,CLIC
1975-01-15,4.7,CLIC
1975-01-16,5.1,CLIC
1975-01-17,3.3,CLIC
1975-01-18,5,CLIC
1975-01-19,5.8,CLIC
1975-01-20,4.6,CLIC
1975-01-21,6.7,CLIC
1975-01-22,4.1,CLIC
1975-01-23,5.1,CLIC
1975-01-24,6.4,CLIC
1975-01-25,5.1,CLIC
1975-01-26,7.3,CLIC
1975-01-27,7,CLIC
1975-01-28,5.3,CLIC
1975-01-29,4.8,CLIC
1975-01-30,4.9,CLIC
1975-01-31,5.2,CLIC
1975-02-01,1.7,CLIC
1975-02-02,3.7,CLIC
1975-02-03,2.2,CLIC
1975-02-04,5.8,CLIC
1975-02-05,4.3,CLIC
1975-02-06,0.5,CLIC
1975-02-07,0.9,CLIC
1975-02-08,4.6,CLIC
1975-02-09,4.6,CLIC
1975-02-10,8,CLIC
1975-02-11,4.7,CLIC
1975-02-12,5.4,CLIC
1975-02-13,4.8,CLIC
1975-02-14,6.9,CLIC
1975-02-15,3,CLIC
1975-02-16,5.2,CLIC
1975-02-17,5.2,CLIC
1975-02-18,2.8,CLIC
1975-02-19,1.1,CLIC
1975-02-20,1.5,CLIC
1975-02-21,4.9,CLIC
1975-02-22,4.8,CLIC
1975-02-23,1.6,CLIC
1975-02-24,1.3,CLIC
1975-02-25,2.1,CLIC
1975-02-26,5.7,CLIC
1975-02-27,3.8,CLIC
1975-02-28,3.2,CLIC
1975-03-01,1.8,CLIC
1975-03-02,1.7,CLIC
1975-03-03,1.5,CLIC
1975-03-04,1.6,CLIC
1975-03-05,4.1,CLIC
1975-03-06,4.2,CLIC
1975-03-07,2,CLIC
1975-03-08,2.7,CLIC
1975-03-09,5.5,CLIC
1975-03-10,2.1,CLIC
1975-03-11,4.9,CLIC
1975-03-12,4.9,CLIC
1975-03-13,2.9,CLIC
1975-03-14,2.5,CLIC
1975-03-15,3.4,CLIC
1975-03-16,3.5,CLIC
1975-03-17,3.1,CLIC
1975-03-18,4.4,CLIC
1975-03-19,5.3,CLIC
1975-03-20,3,CLIC
1975-03-21,3.8,CLIC
1975-03-22,5.6,CLIC
1975-03-23,6.3,CLIC
1975-03-24,4.9,CLIC
1975-03-25,5.4,CLIC
1975-03-26,1.9,CLIC
1975-03-27,3.1,CLIC
1975-03-28,3.8,CLIC
1975-03-29,4,CLIC
1975-03-30,5.9,CLIC
1975-03-31,4.3,CLIC
1975-04-01,4.7,CLIC
1975-04-02,4.7,CLIC
1975-04-03,5.1,CLIC
1975-04-04,6.5,CLIC
1975-04-05,5.4,CLIC
1975-04-06,4.8,CLIC
1975-04-07,7.4,CLIC
1975-04-08,3.9,CLIC
1975-04-09,4.2,CLIC
1975-04-10,4.6,CLIC
1975-04-11,4.9,CLIC
1975-04-12,3.5,CLIC
1975-04-13,5.2,CLIC
1975-04-14,3.8,CLIC
1975-04-15,3.2,CLIC
1975-04-16,4.7,CLIC
1975-04-17,4.6,CLIC
1975-04-18,5.7,CLIC
1975-04-19,4.9,CLIC
1975-04-20,6.6,CLIC
1975-04-21,5.1,CLIC
1975-04-22,2.7,CLIC
1975-04-23,5.5,CLIC
1975-04-24,4.7,CLIC
1975-04-25,6.8,CLIC
1975-04-26,7,CLIC
1975-04-27,5.8,CLIC
1975-04-28,7.7,CLIC
1975-04-29,6.7,CLIC
1975-04-30,4.5,CLIC
1975-05-01,5.2,CLIC
1975-05-02,4.8,CLIC
1975-05-03,5.9,CLIC
1975-05-04,4.1,CLIC
1975-05-05,3.3,CLIC
1975-05-06,6.1,CLIC
1975-05-07,3.9,CLIC
1975-05-08,2.7,CLIC
1975-05-09,7.6,CLIC
1975-05-10,6.4,CLIC
1975-05-11,4.5,CLIC
1975-05-12,3.6,CLIC
1975-05-13,2.8,CLIC
1975-05-14,4.3,CLIC
1975-05-15,3.6,CLIC
1975-05-16,3.1,CLIC
1975-05-17,5,CLIC
1975-05-18,3.1,CLIC
1975-05-19,3.5,CLIC
1975-05-20,5.7,CLIC
1975-05-21,4.1,CLIC
1975-05-22,4.9,CLIC
1975-05-23,4.8,CLIC
1975-05-24,2.7,CLIC
1975-05-25,5.6,CLIC
1975-05-26,3.8,CLIC
1975-05-27,5.3,CLIC
1975-05-28,6.2,CLIC
1975-05-29,5.8,CLIC
1975-05-30,3.6,CLIC
1975-05-31,4.6,CLIC
1975-06-01,4.4,CLIC
1975-06-02,4.6,CLIC
1975-06-03,2.1,CLIC
1975-06-04,4.5,CLIC
1975-06-05,3.4,CLIC
1975-06-06,1.3,CLIC
