Estación: ,C19092,SAN FPE. DE CIENEGUILLAS
Variable: ,Evaporación (mm)
Longitud: ,100° 04' 59'',Latitud:,24° 35' 00

Fecha,Valor,NúmDatos
1975-02-01,4.4,CLIC
1975-02-02,4.6,CLIC
1975-02-03,2.9,CLIC
1975-02-04,3.1,CLIC
1975-02-05,5.8,CLIC
1975-02-06,3.3,CLIC
1975-02-07,4.3,CLIC
1975-02-08,3.9,CLIC
1975-02-09,4.4,CLIC
1975-02-10,5.1,CLIC
1975-02-11,5.1,CLIC
1975-02-12,0.5,CLIC
1975-02-13,4.1,CLIC
1975-02-14,6.4,CLIC
1975-02-15,7,CLIC
1975-02-16,7.5,CLIC
1975-02-17,5,CLIC
1975-02-18,7,CLIC
1975-02-19,2.7,CLIC
1975-02-20,3.8,CLIC
1975-02-21,4.5,CLIC
1975-02-22,6.5,CLIC
1975-02-23,3.6,CLIC
1975-02-24,2.6,CLIC
1975-02-25,5,CLIC
1975-02-26,4.1,CLIC
1975-02-27,5.6,CLIC
1975-02-28,4.4,CLIC
1975-03-01,3.2,CLIC
1975-03-02,4.4,CLIC
1975-03-03,3.4,CLIC
1975-03-04,5.9,CLIC
1975-03-05,4.2,CLIC
1975-03-06,4.1,CLIC
1975-03-07,3.7,CLIC
1975-03-08,5.7,CLIC
1975-03-09,3.5,CLIC
1975-03-10,5.6,CLIC
1975-03-11,1.9,CLIC
1975-03-12,3.6,CLIC
1975-03-13,4,CLIC
1975-03-14,4.3,CLIC
1975-03-15,2.9,CLIC
1975-03-16,4.1,CLIC
1975-03-17,4,CLIC
1975-03-18,3.6,CLIC
1975-03-19,3.6,CLIC
1975-03-20,5.7,CLIC
1975-03-21,3.8,CLIC
1975-03-22,4.9,CLIC
1975-03-23,4.9,CLIC
1975-03-24,3.2,CLIC
1975-03-25,4.2,CLIC
1975-03-26,3.1,CLIC
1975-03-27,4.5,CLIC
1975-03-28,4.7,CLIC
1975-03-29,3.8,CLIC
1975-03-30,3.4,CLIC
1975-03-31,3.5,CLIC
1975-04-01,5.1,CLIC
1975-04-02,4,CLIC
1975-04-03,5.8,CLIC
1975-04-04,5.2,CLIC
1975-04-05,5.8,CLIC
1975-04-06,6.9,CLIC
1975-04-07,3.6,CLIC
1975-04-08,5.1,CLIC
1975-04-09,2.8,CLIC
1975-04-10,4.2,CLIC
1975-04-11,4.3,CLIC
1975-04-12,4.8,CLIC
1975-04-13,4.8,CLIC
1975-04-14,4.2,CLIC
1975-04-15,3.2,CLIC
1975-04-16,4.8,CLIC
1975-04-17,3.7,CLIC
1975-04-18,4.9,CLIC
1975-04-19,4.2,CLIC
1975-04-20,4,CLIC
1975-04-21,4.6,CLIC
1975-04-22,4.3,CLIC
1975-04-23,4.7,CLIC
1975-04-24,6.5,CLIC
1975-04-25,5.8,CLIC
1975-04-26,5.6,CLIC
1975-04-27,4.2,CLIC
1975-04-28,5.8,CLIC
1975-04-29,4.5,CLIC
1975-04-30,3.7,CLIC
1975-05-01,3.7,CLIC
1975-05-02,4.1,CLIC
1975-05-03,5.3,CLIC
1975-05-04,3.6,CLIC
1975-05-05,3.9,CLIC
1975-05-06,5.5,CLIC
1975-05-07,5.1,CLIC
1975-05-08,4.2,CLIC
1975-05-09,5.3,CLIC
1975-05-10,3.9,CLIC
1975-05-11,2.3,CLIC
1975-05-12,4.9,CLIC
1975-05-13,1.6,CLIC
1975-05-14,3.4,CLIC
1975-05-15,2.9,CLIC
1975-05-16,4,CLIC
1975-05-17,3.8,CLIC
1975-05-18,3.9,CLIC
1975-05-19,2.4,CLIC
1975-05-20,3.2,CLIC
1975-05-21,3.8,CLIC
1975-05-22,4.2,CLIC
1975-05-23,4.3,CLIC
1975-05-24,4.1,CLIC
1975-05-25,3.6,CLIC
1975-05-26,5,CLIC
1975-05-27,4.6,CLIC
1975-05-28,4.4,CLIC
1975-05-29,5.6,CLIC
1975-05-30,4.6,CLIC
1975-05-31,5,CLIC
1975-06-01,3.6,CLIC
1975-06-02,3.3,CLIC
1975-06-03,4.7,CLIC
1975-06-04,3.4,CLIC
1975-06-05,2.7,CLIC
1975-06-06,3.2,CLIC
1975-06-07,4.9,CLIC
1975-06-08,6.3,CLIC
1975-06-09,3.1,CLIC
1975-06-10,4.4,CLIC
1975-06-11,4,CLIC
1975-06-12,3.2,CLIC
1975-06-13,3.7,CLIC
1975-06-14,3.8,CLIC
1975-06-15,6.2,CLIC
1975-06-16,5.1,CLIC
1975-06-17,4.7,CLIC
1975-06-18,4.8,CLIC
1975-06-19,4.7,CLIC
1975-06-20,6.9,CLIC
1975-06-21,6.2,CLIC
1975-06-22,3.4,CLIC
1975-06-23,4.4,CLIC
1975-06-24,3.6,CLIC
1975-06-25,4.4,CLIC
1975-06-26,5.4,CLIC
1975-06-27,3.8,CLIC
1975-06-28,4.4,CLIC
1975-06-29,4,CLIC
1975-06-30,4.3,CLIC
1975-07-01,2.2,CLIC
1975-07-02,3.1,CLIC
1975-07-03,3.3,CLIC
1975-07-04,1.2,CLIC
1975-07-05,0.7,CLIC
1975-07-06,2.3,CLIC
1975-07-07,3.8,CLIC
1975-07-08,4.7,CLIC
1975-07-09,4.8,CLIC
1975-07-10,3.3,CLIC
1975-07-11,2.8,CLIC
1975-07-12,4.4,CLIC
1975-07-13,3.4,CLIC
1975-07-14,2.8,CLIC
1975-07-15,2.5,CLIC
1975-07-16,2.9,CLIC
1975-07-17,4.4,CLIC
1975-07-18,4.3,CLIC
1975-07-19,4.8,CLIC
1975-07-20,4.8,CLIC
1975-07-21,5.8,CLIC
1975-07-22,2,CLIC
1975-07-23,3.2,CLIC
1975-07-24,3.5,CLIC
1975-07-25,6.9,CLIC
1975-07-26,2.9,CLIC
1975-07-27,3.3,CLIC
1975-07-28,1.8,CLIC
1975-07-29,3.3,CLIC
1975-07-30,3.3,CLIC
1975-07-31,5.2,CLIC
1975-08-01,3,CLIC
1975-08-02,4.7,CLIC
1975-08-03,5.3,CLIC
1975-08-04,1.9,CLIC
1975-08-05,3.9,CLIC
1975-08-06,5.3,CLIC
1975-08-07,1.9,CLIC
1975-08-08,2.3,CLIC
1975-08-09,2.2,CLIC
1975-08-10,3,CLIC
1975-08-11,2.5,CLIC
1975-08-12,4.3,CLIC
1975-08-13,4.2,CLIC
1975-08-14,5.2,CLIC
1975-08-15,5.3,CLIC
1975-08-16,4.2,CLIC
1975-08-17,3.3,CLIC
1975-08-18,4.3,CLIC
1975-08-19,6.2,CLIC
1975-08-20,1.9,CLIC
1975-08-21,2.3,CLIC
1975-08-22,3.2,CLIC
1975-08-23,2.9,CLIC
1975-08-24,4.8,CLIC
1975-08-25,5.8,CLIC
1975-08-26,4.7,CLIC
1975-08-27,3.8,CLIC
1975-08-28,3.1,CLIC
1975-08-29,2.4,CLIC
1975-08-30,1.9,CLIC
1975-08-31,3.3,CLIC
1975-09-01,2,CLIC
1975-09-02,0.9,CLIC
1975-09-03,3.6,CLIC
1975-09-04,4.1,CLIC
1975-09-05,1.2,CLIC
1975-09-06,2.5,CLIC
1975-09-07,2.4,CLIC
1975-09-08,2.2,CLIC
1975-09-09,2.8,CLIC
1975-09-10,3.6,CLIC
1975-09-11,3.1,CLIC
1975-09-12,2.6,CLIC
1975-09-13,2.9,CLIC
1975-09-14,3.1,CLIC
1975-09-15,4.6,CLIC
1975-09-16,3.7,CLIC
1975-09-17,4.4,CLIC
1975-09-18,4.7,CLIC
1975-09-19,5.6,CLIC
1975-09-20,5.5,CLIC
1975-09-21,2.1,CLIC
1975-09-22,3,CLIC
