Estación: ,C19092,SAN FPE. DE CIENEGUILLAS
Variable: ,Precipitación (mm)
Longitud: ,100° 04' 59'',Latitud:,24° 35' 00

Fecha,Valor,NúmDatos
1975-01-01,0,CLIC
1975-01-02,0,CLIC
1975-01-03,0,CLIC
1975-01-04,0,CLIC
1975-01-05,0,CLIC
1975-01-06,0,CLIC
1975-01-07,0,CLIC
1975-01-08,0,CLIC
1975-01-09,0,CLIC
1975-01-10,0,CLIC
1975-01-11,0,CLIC
1975-01-12,0,CLIC
1975-01-13,0,CLIC
1975-01-14,0,CLIC
1975-01-15,0,CLIC
1975-01-16,0,CLIC
1975-01-17,0,CLIC
1975-01-18,0,CLIC
1975-01-19,1,CLIC
1975-01-20,0,CLIC
1975-01-21,0,CLIC
1975-01-22,0.5,CLIC
1975-01-23,0,CLIC
1975-01-24,0,CLIC
1975-01-25,0,CLIC
1975-01-26,0,CLIC
1975-01-27,0,CLIC
1975-01-28,0,CLIC
1975-01-29,0,CLIC
1975-01-30,0,CLIC
1975-01-31,0,CLIC
1975-02-01,6.5,CLIC
1975-02-02,0,CLIC
1975-02-03,10.5,CLIC
1975-02-04,0,CLIC
1975-02-05,0,CLIC
1975-02-06,0,CLIC
1975-02-07,0,CLIC
1975-02-08,0,CLIC
1975-02-09,0,CLIC
1975-02-10,0,CLIC
1975-02-11,0,CLIC
1975-02-12,0,CLIC
1975-02-13,0,CLIC
1975-02-14,0,CLIC
1975-02-15,0,CLIC
1975-02-16,0,CLIC
1975-02-17,0,CLIC
1975-02-18,0,CLIC
1975-02-19,1,CLIC
1975-02-20,0,CLIC
1975-02-21,0,CLIC
1975-02-22,0,CLIC
1975-02-23,0,CLIC
1975-02-24,0,CLIC
1975-02-25,0,CLIC
1975-02-26,0,CLIC
1975-02-27,0,CLIC
1975-02-28,0,CLIC
1975-03-01,0,CLIC
1975-03-02,0,CLIC
1975-03-03,0,CLIC
1975-03-04,0,CLIC
1975-03-05,0,CLIC
1975-03-06,0,CLIC
1975-03-07,0,CLIC
1975-03-08,0,CLIC
1975-03-09,0,CLIC
1975-03-10,0,CLIC
1975-03-11,0,CLIC
1975-03-12,0,CLIC
1975-03-13,30,CLIC
1975-03-14,0,CLIC
1975-03-15,2,CLIC
1975-03-16,0,CLIC
1975-03-17,0,CLIC
1975-03-18,1.5,CLIC
1975-03-19,0,CLIC
1975-03-20,0,CLIC
1975-03-21,0,CLIC
1975-03-22,0,CLIC
1975-03-23,0,CLIC
1975-03-24,0,CLIC
1975-03-25,0,CLIC
1975-03-26,0,CLIC
1975-03-27,0,CLIC
1975-03-28,0,CLIC
1975-03-29,0,CLIC
1975-03-30,0,CLIC
1975-03-31,0,CLIC
1975-04-01,0,CLIC
1975-04-02,0,CLIC
1975-04-03,0,CLIC
1975-04-04,0,CLIC
1975-04-05,0,CLIC
1975-04-06,0,CLIC
1975-04-07,0,CLIC
1975-04-08,0,CLIC
1975-04-09,0,CLIC
1975-04-10,0,CLIC
1975-04-11,0,CLIC
1975-04-12,0,CLIC
1975-04-13,0,CLIC
1975-04-14,0,CLIC
1975-04-15,0,CLIC
1975-04-16,0,CLIC
1975-04-17,0,CLIC
1975-04-18,0,CLIC
1975-04-19,0,CLIC
1975-04-20,0,CLIC
1975-04-21,0,CLIC
1975-04-22,0,CLIC
1975-04-23,0,CLIC
1975-04-24,0,CLIC
1975-04-25,0,CLIC
1975-04-26,0,CLIC
1975-04-27,0,CLIC
1975-04-28,0,CLIC
1975-04-29,0,CLIC
1975-04-30,0,CLIC
1975-05-01,0,CLIC
1975-05-02,0,CLIC
1975-05-03,0,CLIC
1975-05-04,0,CLIC
1975-05-05,0,CLIC
1975-05-06,0,CLIC
1975-05-07,0,CLIC
1975-05-08,0,CLIC
1975-05-09,5.2,CLIC
1975-05-10,6.4,CLIC
1975-05-11,0.4,CLIC
1975-05-12,0,CLIC
1975-05-13,1.3,CLIC
1975-05-14,2.7,CLIC
1975-05-15,0,CLIC
1975-05-16,9.8,CLIC
1975-05-17,6.4,CLIC
1975-05-18,11.2,CLIC
1975-05-19,0.6,CLIC
1975-05-20,0.3,CLIC
1975-05-21,3.4,CLIC
1975-05-22,5.2,CLIC
1975-05-23,2.3,CLIC
1975-05-24,7.3,CLIC
1975-05-25,0,CLIC
1975-05-26,2.3,CLIC
1975-05-27,1.8,CLIC
1975-05-28,0.6,CLIC
1975-05-29,0,CLIC
1975-05-30,0,CLIC
1975-05-31,0,CLIC
1975-06-01,4.5,CLIC
1975-06-02,0,CLIC
1975-06-03,0,CLIC
1975-06-04,7.5,CLIC
1975-06-05,9,CLIC
1975-06-06,18,CLIC
1975-06-07,0,CLIC
1975-06-08,0,CLIC
1975-06-09,15,CLIC
1975-06-10,0,CLIC
1975-06-11,19,CLIC
1975-06-12,3.5,CLIC
1975-06-13,7,CLIC
1975-06-14,5,CLIC
1975-06-15,0,CLIC
1975-06-16,0,CLIC
1975-06-17,0,CLIC
1975-06-18,0,CLIC
1975-06-19,6,CLIC
1975-06-20,0,CLIC
1975-06-21,0,CLIC
1975-06-22,21,CLIC
1975-06-23,16,CLIC
1975-06-24,3.5,CLIC
1975-06-25,0,CLIC
1975-06-26,0,CLIC
1975-06-27,5,CLIC
1975-06-28,0,CLIC
1975-06-29,6,CLIC
1975-06-30,7.5,CLIC
1975-07-01,0,CLIC
1975-07-02,0,CLIC
1975-07-03,0,CLIC
1975-07-04,17.5,CLIC
1975-07-05,5,CLIC
1975-07-06,0,CLIC
1975-07-07,0,CLIC
1975-07-08,0,CLIC
1975-07-09,0,CLIC
1975-07-10,0,CLIC
1975-07-11,0,CLIC
1975-07-12,5,CLIC
1975-07-13,19,CLIC
1975-07-14,16,CLIC
1975-07-15,7.5,CLIC
1975-07-16,13,CLIC
1975-07-17,0,CLIC
1975-07-18,0,CLIC
1975-07-19,0,CLIC
1975-07-20,0,CLIC
1975-07-21,0,CLIC
1975-07-22,12.5,CLIC
1975-07-23,0,CLIC
1975-07-24,0,CLIC
1975-07-25,0,CLIC
1975-07-26,0.5,CLIC
1975-07-27,3.5,CLIC
1975-07-28,21.5,CLIC
1975-07-29,0,CLIC
1975-07-30,0,CLIC
1975-07-31,0,CLIC
1975-08-01,2.5,CLIC
1975-08-02,0,CLIC
1975-08-03,0,CLIC
1975-08-04,0,CLIC
1975-08-05,0,CLIC
1975-08-06,0,CLIC
1975-08-07,6.5,CLIC
1975-08-08,3.5,CLIC
1975-08-09,11.5,CLIC
1975-08-10,0,CLIC
1975-08-11,0,CLIC
1975-08-12,0,CLIC
1975-08-13,0,CLIC
1975-08-14,0,CLIC
1975-08-15,0,CLIC
1975-08-16,0,CLIC
1975-08-17,0,CLIC
1975-08-18,0,CLIC
1975-08-19,0,CLIC
1975-08-20,14,CLIC
1975-08-21,7.5,CLIC
1975-08-22,0,CLIC
1975-08-23,0,CLIC
1975-08-24,0,CLIC
