Estación: ,C19092,SAN FPE. DE CIENEGUILLAS
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 04' 59'',Latitud:,24° 35' 00

Fecha,Promedio,Máximo,Mínimo
1975-01-01,14,23,5
1975-01-02,15,26,4
1975-01-03,17,26,8
1975-01-04,15.5,25,6
1975-01-05,15,24,6
1975-01-06,15.5,26,5
1975-01-07,16.5,25,8
1975-01-08,17.5,27,8
1975-01-09,15.5,26,5
1975-01-10,15.5,26,5
1975-01-11,15.5,27,4
1975-01-12,15.5,25,6
1975-01-13,12.5,24,1
1975-01-14,14,26,2
1975-01-15,16.5,27,6
1975-01-16,16.5,27,6
1975-01-17,15,24,6
1975-01-18,14.25,24,4.5
1975-01-19,12,20,4
1975-01-20,11,17,5
1975-01-21,12,22,2
1975-01-22,14,24,4
1975-01-23,13,21,5
1975-01-24,12,20,4
1975-01-25,14.5,23,6
1975-01-26,15.5,26,5
1975-01-27,18.25,32,4.5
1975-01-28,18,31,5
1975-01-29,17.5,32,3
1975-01-30,15,28,2
1975-01-31,15.5,29,2
1975-02-01,16,30,2
1975-02-02,13.5,26,1
1975-02-03,15,26,4
1975-02-04,15,26,4
1975-02-05,16.5,27,6
1975-02-06,15.5,25,6
1975-02-07,15,23,7
1975-02-08,15.5,26,5
1975-02-09,14.5,24,5
1975-02-10,15.5,27,4
1975-02-11,15,27,3
1975-02-12,13,23,3
1975-02-13,15.5,27,4
1975-02-14,17,28,6
1975-02-15,16,27,5
1975-02-16,14.5,27,2
1975-02-17,13,24,2
1975-02-18,16.5,29,4
1975-02-19,14,26,2
1975-02-20,16,27,5
1975-02-21,16,27,5
1975-02-22,15.5,29,2
1975-02-23,13,21,5
1975-02-24,13,23,3
1975-02-25,16.5,26,7
1975-02-26,16.5,29,4
1975-02-27,16.5,27,6
1975-02-28,15,25,5
1975-03-01,16,26,6
1975-03-02,16.5,25,8
1975-03-03,15.5,26,5
1975-03-04,16,26,6
1975-03-05,17.5,27,8
1975-03-06,10.75,19,2.5
1975-03-07,9.25,18,0.5
1975-03-08,11,21,1
1975-03-09,10.75,20,1.5
1975-03-10,12.25,24,0.5
1975-03-11,14,26,2
1975-03-12,14.5,26,3
1975-03-13,16,27,5
1975-03-14,16.5,26.5,6.5
1975-03-15,12.75,21,4.5
1975-03-16,13,24,2
1975-03-17,16,26,6
1975-03-18,18,25,11
1975-03-19,14,23,5
1975-03-20,12.5,23.5,1.5
1975-03-21,13.75,25,2.5
1975-03-22,11,19,3
1975-03-23,12.75,23,2.5
1975-03-24,12.5,23,2
1975-03-25,13.25,24,2.5
1975-03-26,14.5,25.5,3.5
1975-03-27,14.75,25,4.5
1975-03-28,15.25,25.5,5
1975-03-29,14.5,23,6
1975-03-30,14.5,24,5
1975-03-31,13,21,5
1975-04-01,15.5,22,9
1975-04-02,16,23,9
1975-04-03,16.5,25,8
1975-04-04,16,23,9
1975-04-05,15.5,22,9
1975-04-06,14.5,21,8
1975-04-07,18,30,6
1975-04-08,18,33,3
1975-04-09,18,32,4
1975-04-10,20,34,6
1975-04-11,18.5,34,3
1975-04-12,17,33,1
1975-04-13,21,36,6
1975-04-14,15,30,0
1975-04-15,18.5,34,3
1975-04-16,18,35,1
1975-04-17,25.5,36,15
1975-04-18,22.5,30,15
1975-04-19,18.5,29,8
1975-04-20,17,28,6
1975-04-21,18.5,27,10
1975-04-22,20,30,10
1975-04-23,19,31,7
1975-04-24,20.25,35,5.5
1975-04-25,17,28,6
1975-04-26,20.5,31,10
1975-04-27,17,30,4
1975-04-28,23.5,31,16
1975-04-29,18.5,31,6
1975-04-30,18,30,6
1975-05-01,18,31,5
1975-05-02,17,31,3
1975-05-03,18,30,6
1975-05-04,17,29,5
1975-05-05,16,27,5
1975-05-06,16.5,30,3
1975-05-07,16,28,4
1975-05-08,16,27,5
1975-05-09,13.5,21,6
1975-05-10,15.5,27,4
1975-05-11,15,26,4
1975-05-12,16,28,4
1975-05-13,17,28,6
1975-05-14,16,24,8
1975-05-15,17,26,8
1975-05-16,15,24,6
1975-05-17,16,26,6
1975-05-18,14.5,25,4
1975-05-19,16,28,4
1975-05-20,15.5,27,4
1975-05-21,14.5,26,3
1975-05-22,16.5,25,8
1975-05-23,16,28,4
1975-05-24,15.5,25,6
1975-05-25,15,26,4
1975-05-26,15,26,4
1975-05-27,14,23,5
1975-05-28,12.5,21,4
1975-05-29,14.5,25,4
1975-05-30,15.5,26,5
1975-05-31,17,28,6
1975-06-01,16,27,5
1975-06-02,16.5,26,7
1975-06-03,14.5,24,5
1975-06-04,17,28,6
1975-06-05,19,28,10
1975-06-06,19,27,11
1975-06-07,20.5,29,12
1975-06-08,19,31,7
1975-06-09,19,28,10
1975-06-10,19,27,11
1975-06-11,18,26,10
1975-06-12,15.5,23,8
1975-06-13,18.5,24,13
1975-06-14,20,29,11
1975-06-15,21,32,10
1975-06-16,21.5,34,9
1975-06-17,21,32,10
1975-06-18,20.5,31,10
1975-06-19,20,29,11
1975-06-20,19,26,12
1975-06-21,17,25,9
1975-06-22,16.5,26,7
1975-06-23,16.5,27,6
1975-06-24,17,26,8
1975-06-25,18,27,9
1975-06-26,19,28,10
1975-06-27,17.5,27,8
1975-06-28,17.5,26,9
1975-06-29,17.5,24,11
1975-06-30,18,27,9
1975-07-01,14.5,23,6
1975-07-02,13,20,6
1975-07-03,18,26,10
1975-07-04,14.5,22,7
1975-07-05,13.5,21,6
1975-07-06,16,22,10
1975-07-07,16.5,22,11
1975-07-08,17.5,26,9
1975-07-09,15.5,22,9
1975-07-10,17,23,11
1975-07-11,17.5,27,8
1975-07-12,16.5,22,11
1975-07-13,16,19,13
1975-07-14,16.5,20,13
1975-07-15,13.5,16,11
1975-07-16,14.5,18,11
1975-07-17,17,21,13
1975-07-18,15,20,10
1975-07-19,15.5,21,10
1975-07-20,16,20,12
1975-07-21,18.5,26,11
1975-07-22,15.5,23,8
1975-07-23,16,23,9
1975-07-24,15.5,22,9
1975-07-25,17,26,8
1975-07-26,13.5,17,10
1975-07-27,14.5,18,11
1975-07-28,14.5,21,8
1975-07-29,16,22,10
1975-07-30,15.5,22,9
1975-07-31,15.5,20,11
1975-08-01,17.5,29,6
1975-08-02,18.5,28,9
1975-08-03,21.5,26,17
1975-08-04,21.5,27,16
1975-08-05,22,29,15
1975-08-06,23.5,32,15
1975-08-07,21.5,28,15
1975-08-08,21.5,27,16
1975-08-09,20,23,17
1975-08-10,19,22,16
1975-08-11,16.5,19,14
1975-08-12,14,18,10
1975-08-13,12,18,6
1975-08-14,15.5,23,8
1975-08-15,20,29,11
1975-08-16,18.5,21,16
1975-08-17,14.5,18,11
1975-08-18,14.5,20,9
1975-08-19,17.5,26,9
1975-08-20,18.5,26,11
1975-08-21,13,16,10
1975-08-22,15.5,23,8
1975-08-23,16.5,24,9
1975-08-24,17,21,13
1975-08-25,16,22,10
1975-08-26,12.5,15,10
1975-08-27,13.5,19,8
1975-08-28,13,18,8
1975-08-29,13,17,9
1975-08-30,12,18,6
1975-08-31,12.5,19,6
1975-09-01,14.5,18,11
1975-09-02,14.5,17,12
1975-09-03,16,22,10
1975-09-04,18.5,27,10
1975-09-05,16,20,12
1975-09-06,14,18,10
1975-09-07,12.5,16,9
1975-09-08,11.5,17,6
1975-09-09,12.5,19,6
1975-09-10,11,15,7
1975-09-11,11,17,5
1975-09-12,13,19,7
1975-09-13,11,16,6
1975-09-14,11.5,16,7
1975-09-15,14.5,21,8
1975-09-16,15.5,23,8
1975-09-17,17,22,12
1975-09-18,18,24,12
1975-09-19,17,23,11
1975-09-20,20.5,29,12
1975-09-21,20,26,14
1975-09-22,17.5,22,13
1975-09-23,11.5,15,8
1975-09-24,11,16,6
1975-09-25,14,21,7
1975-09-26,19,28,10
1975-09-27,17,22,12
1975-09-28,16,23,9
1975-09-29,16,22,10
1975-09-30,16,23,9
1975-10-01,18.5,27,10
1975-10-02,16.5,22,11
1975-10-03,14,19,9
1975-10-04,12.5,17,8
1975-10-05,12,18,6
1975-10-06,15,23,7
1975-10-07,16.5,24,9
1975-10-08,18,26,10
1975-10-09,18.5,26,11
1975-10-10,18.5,27,10
1975-10-11,21,31,11
1975-10-12,21,28,14
1975-10-13,15.5,21,10
1975-10-14,15,21,9
1975-10-15,16.5,24,9
1975-10-16,16,22,10
1975-10-17,13,17,9
1975-10-18,12.5,19,6
1975-10-19,15,22,8
1975-10-20,17,24,10
1975-10-21,17.5,24,11
1975-10-22,19,25,13
1975-10-23,18,21,15
1975-10-24,16.5,23,10
1975-10-25,17.5,24,11
1975-10-26,19,27,11
1975-10-27,20.5,26,15
1975-10-28,16.5,19,14
1975-10-29,14.5,19,10
1975-10-30,12.5,16,9
1975-10-31,13,20,6
1975-11-01,14,19,9
1975-11-02,17.5,29,6
1975-11-03,19,29,9
1975-11-04,18.5,28,9
1975-11-05,16.5,28,5
1975-11-06,16.5,26,7
1975-11-07,15,25,5
1975-11-08,16,28,4
1975-11-09,10.5,19,2
1975-11-10,16,28,4
1975-11-11,17.5,32,3
1975-11-12,15.5,28,3
1975-11-13,18,30,6
1975-11-14,12.5,23,2
1975-11-15,16,23,9
1975-11-16,17,26,8
1975-11-17,19,28,10
1975-11-18,17.5,29,6
1975-11-19,17.5,29,6
1975-11-20,16,28,4
1975-11-21,17,29,5
1975-11-22,15.5,26,5
1975-11-23,14,24,4
1975-11-24,14,25,3
1975-11-25,14.5,24,5
