Estación: ,C19094,E.T.A. 43. LINARES
Variable: ,Precipitación (mm)
Longitud: ,99° 34' 00'',Latitud:,24° 52' 00

Fecha,Valor,NúmDatos
1975-03-01,0,CLIC
1975-03-02,0,CLIC
1975-03-03,0,CLIC
1975-03-04,0,CLIC
1975-03-05,0,CLIC
1975-03-06,0,CLIC
1975-03-07,0,CLIC
1975-03-08,0,CLIC
1975-03-09,0,CLIC
1975-03-10,0,CLIC
1975-03-11,0,CLIC
1975-03-12,0,CLIC
1975-03-13,0,CLIC
1975-03-14,0,CLIC
1975-03-15,0,CLIC
1975-03-16,0,CLIC
1975-03-17,0,CLIC
1975-03-18,0,CLIC
1975-03-19,0,CLIC
1975-03-20,0,CLIC
1975-03-21,0,CLIC
1975-03-22,0,CLIC
1975-03-23,0,CLIC
1975-03-24,0,CLIC
1975-03-25,0,CLIC
1975-03-26,0,CLIC
1975-03-27,0,CLIC
1975-03-28,0,CLIC
1975-03-29,0,CLIC
1975-03-30,0,CLIC
1975-03-31,0,CLIC
1975-04-01,0,CLIC
1975-04-02,0,CLIC
1975-04-03,0,CLIC
1975-04-04,0,CLIC
1975-04-05,0,CLIC
1975-04-06,0,CLIC
1975-04-07,0,CLIC
1975-04-08,0,CLIC
1975-04-09,0,CLIC
1975-04-10,1.5,CLIC
1975-04-11,6,CLIC
1975-04-12,1.5,CLIC
1975-04-13,0,CLIC
1975-04-14,0,CLIC
1975-04-15,0,CLIC
1975-04-16,0,CLIC
1975-04-17,0,CLIC
1975-04-18,0,CLIC
1975-04-19,0,CLIC
1975-04-20,0,CLIC
1975-04-21,0,CLIC
1975-04-22,0,CLIC
1975-04-23,0,CLIC
1975-04-24,0,CLIC
1975-04-25,0,CLIC
1975-04-26,0,CLIC
1975-04-27,0,CLIC
1975-04-28,0,CLIC
1975-04-29,0,CLIC
1975-04-30,12,CLIC
1975-05-01,19.5,CLIC
1975-05-02,0,CLIC
1975-05-03,0,CLIC
1975-05-04,0,CLIC
1975-05-05,0,CLIC
1975-05-06,0,CLIC
1975-05-07,1,CLIC
1975-05-08,4.5,CLIC
1975-05-09,7,CLIC
1975-05-10,49,CLIC
1975-05-11,2.5,CLIC
1975-05-12,0,CLIC
1975-05-13,0,CLIC
1975-05-14,0,CLIC
1975-05-15,0,CLIC
1975-05-16,0,CLIC
1975-05-17,3,CLIC
1975-05-18,0,CLIC
1975-05-19,4.5,CLIC
1975-05-20,3.5,CLIC
1975-05-21,0,CLIC
1975-05-22,8.5,CLIC
1975-05-23,0,CLIC
1975-05-24,27,CLIC
1975-05-25,0,CLIC
1975-05-26,0,CLIC
1975-05-27,6,CLIC
1975-05-28,0,CLIC
1975-05-29,0,CLIC
1975-05-30,0,CLIC
1975-05-31,0,CLIC
1975-06-01,0,CLIC
1975-06-02,0,CLIC
1975-06-03,0,CLIC
1975-06-04,0,CLIC
1975-06-05,0,CLIC
1975-06-06,0,CLIC
1975-06-07,0,CLIC
1975-06-08,3.5,CLIC
1975-06-09,0,CLIC
1975-06-10,18.5,CLIC
1975-06-11,3.5,CLIC
1975-06-12,0,CLIC
1975-06-13,0,CLIC
1975-06-14,0,CLIC
1975-06-15,0,CLIC
1975-06-16,0,CLIC
1975-06-17,0,CLIC
1975-06-18,0,CLIC
1975-06-19,0,CLIC
1975-06-20,0,CLIC
1975-06-21,4,CLIC
1975-06-22,1,CLIC
1975-06-23,0,CLIC
1975-06-24,0,CLIC
1975-06-25,0,CLIC
1975-06-26,0,CLIC
1975-06-27,0,CLIC
1975-06-28,0,CLIC
1975-06-29,0,CLIC
1975-06-30,0,CLIC
1975-07-01,0,CLIC
1975-07-02,0,CLIC
1975-07-03,0,CLIC
1975-07-04,0,CLIC
1975-07-05,0,CLIC
1975-07-06,0,CLIC
1975-07-07,0,CLIC
1975-07-08,0,CLIC
1975-07-09,0,CLIC
1975-07-10,0,CLIC
1975-07-11,0,CLIC
1975-07-12,60.4,CLIC
1975-07-13,70,CLIC
1975-07-14,210.5,CLIC
1975-07-15,26.5,CLIC
1975-07-16,9.5,CLIC
1975-07-17,0,CLIC
1975-07-18,0,CLIC
1975-07-19,0,CLIC
1975-07-20,0,CLIC
1975-07-21,0,CLIC
1975-07-22,0,CLIC
1975-07-23,0,CLIC
1975-07-24,0,CLIC
1975-07-25,0,CLIC
1975-07-26,20,CLIC
1975-07-27,16.5,CLIC
1975-07-28,0,CLIC
1975-07-29,0,CLIC
1975-07-30,0,CLIC
1975-07-31,0,CLIC
1975-08-01,0,CLIC
1975-08-02,1,CLIC
1975-08-03,0,CLIC
1975-08-04,0,CLIC
1975-08-05,20,CLIC
1975-08-06,5.5,CLIC
1975-08-07,0,CLIC
1975-08-08,83,CLIC
1975-08-09,8,CLIC
1975-08-10,1.5,CLIC
1975-08-11,0,CLIC
1975-08-12,0,CLIC
1975-08-13,0,CLIC
1975-08-14,0,CLIC
1975-08-15,0,CLIC
1975-08-16,0,CLIC
1975-08-17,0,CLIC
1975-08-18,0,CLIC
1975-08-19,0,CLIC
1975-08-20,0,CLIC
1975-08-21,0,CLIC
1975-08-22,0,CLIC
1975-08-23,0,CLIC
1975-08-24,0,CLIC
1975-08-25,0,CLIC
1975-08-26,0,CLIC
1975-08-27,24.5,CLIC
1975-08-28,2,CLIC
1975-08-29,0,CLIC
1975-08-30,48.4,CLIC
1975-08-31,72,CLIC
1975-09-01,7,CLIC
1975-09-02,0,CLIC
1975-09-03,0,CLIC
1975-09-04,0,CLIC
1975-09-05,2,CLIC
1975-09-06,0,CLIC
1975-09-07,31,CLIC
1975-09-08,22.3,CLIC
1975-09-09,3.5,CLIC
1975-09-10,5,CLIC
1975-09-11,0,CLIC
1975-09-12,10,CLIC
1975-09-13,1.5,CLIC
1975-09-14,0,CLIC
1975-09-15,0,CLIC
1975-09-16,0,CLIC
1975-09-17,0,CLIC
1975-09-18,0,CLIC
1975-09-19,0,CLIC
1975-09-20,0,CLIC
1975-09-21,35,CLIC
1975-09-22,0,CLIC
1975-09-23,0,CLIC
1975-09-24,0,CLIC
1975-09-25,0,CLIC
1975-09-26,0,CLIC
1975-09-27,0,CLIC
1975-09-28,0,CLIC
1975-09-29,0,CLIC
1975-09-30,0,CLIC
1975-10-01,0,CLIC
1975-10-02,0,CLIC
1975-10-03,0,CLIC
1975-10-04,0,CLIC
1975-10-05,0,CLIC
1975-10-06,0,CLIC
1975-10-07,0,CLIC
1975-10-08,0,CLIC
1975-10-09,0,CLIC
1975-10-10,0,CLIC
1975-10-11,0,CLIC
1975-10-12,0,CLIC
1975-10-13,0,CLIC
1975-10-14,0,CLIC
1975-10-15,0,CLIC
1975-10-16,17,CLIC
1975-10-17,0,CLIC
1975-10-18,0,CLIC
1975-10-19,0,CLIC
1975-10-20,0,CLIC
1975-10-21,0,CLIC
1975-10-22,0,CLIC
1975-10-23,0,CLIC
1975-10-24,0,CLIC
1975-10-25,8,CLIC
1975-10-26,0,CLIC
1975-10-27,0,CLIC
1975-10-28,0,CLIC
1975-10-29,3.5,CLIC
1975-10-30,0,CLIC
1975-10-31,0,CLIC
1975-11-01,0,CLIC
1975-11-02,0,CLIC
1975-11-03,0,CLIC
1975-11-04,0,CLIC
1975-11-05,0,CLIC
1975-11-06,0,CLIC
1975-11-07,0,CLIC
1975-11-08,0,CLIC
1975-11-09,0,CLIC
1975-11-10,0,CLIC
1975-11-11,0,CLIC
1975-11-12,0,CLIC
1975-11-13,0,CLIC
1975-11-14,0,CLIC
1975-11-15,0,CLIC
1975-11-16,0,CLIC
1975-11-17,0,CLIC
1975-11-18,0,CLIC
1975-11-19,0,CLIC
