Estación: ,C19094,E.T.A. 43. LINARES
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 34' 00'',Latitud:,24° 52' 00

Fecha,Promedio,Máximo,Mínimo
1975-03-01,22,33,11
1975-03-02,23,33,13
1975-03-03,23.75,31,16.5
1975-03-04,19,21.5,16.5
1975-03-05,13,15.5,10.5
1975-03-06,22,32,12
1975-03-07,23.25,32.5,14
1975-03-08,19.5,20.5,18.5
1975-03-09,23.25,32.5,14
1975-03-10,23.25,31,15.5
1975-03-11,25.75,32,19.5
1975-03-12,30,39.5,20.5
1975-03-13,16.5,23,10
1975-03-14,17.5,22.5,12.5
1975-03-15,20.25,28.5,12
1975-03-16,19,23.5,14.5
1975-03-17,26,32,20
1975-03-18,21,23.5,18.5
1975-03-19,21.75,32,11.5
1975-03-20,24.25,33,15.5
1975-03-21,25.5,30,21
1975-03-22,27.75,34,21.5
1975-03-23,27.5,38.5,16.5
1975-03-24,24.75,32.5,17
1975-03-25,25.5,33,18
1975-03-26,26.25,35.5,17
1975-03-27,29,37,21
1975-03-28,31.5,40.5,22.5
1975-03-29,13.5,15.5,11.5
1975-03-30,22.25,37.5,7
1975-03-31,15.5,24.5,6.5
1975-04-01,22,32.5,11.5
1975-04-02,21.75,34.5,9
1975-04-03,16.5,22,11
1975-04-04,19.75,28,11.5
1975-04-05,22.75,30,15.5
1975-04-06,25.25,32.5,18
1975-04-07,26.75,32.5,21
1975-04-08,26,31.5,20.5
1975-04-09,26,30,22
1975-04-10,26.75,32,21.5
1975-04-11,19.8,20.1,19.5
1975-04-12,18,20,16
1975-04-13,23.75,32.5,15
1975-04-14,24.75,29,20.5
1975-04-15,24.25,29.5,19
1975-04-16,26.75,33.5,20
1975-04-17,29.25,38,20.5
1975-04-18,30.75,39.5,22
1975-04-19,26.5,30,23
1975-04-20,21,31,11
1975-04-21,26.75,32,21.5
1975-04-22,28.25,34.5,22
1975-04-23,28.75,36,21.5
1975-04-24,28.25,35,21.5
1975-04-25,28.75,36,21.5
1975-04-26,28.75,36,21.5
1975-04-27,28.25,34.5,22
1975-04-28,28.25,33.5,23
1975-04-29,28.75,36.5,21
1975-04-30,28.25,35.5,21
1975-05-01,28.25,36.5,20
1975-05-02,25.75,32,19.5
1975-05-03,27.75,34,21.5
1975-05-04,27.25,33.5,21
1975-05-05,29.5,37,22
1975-05-06,30,39,21
1975-05-07,29,36,22
1975-05-08,28.75,35,22.5
1975-05-09,23.25,24.5,22
1975-05-10,24,26,22
1975-05-11,22,24,20
1975-05-12,24,27,21
1975-05-13,26,31,21
1975-05-14,26.5,30,23
1975-05-15,24.5,30.5,18.5
1975-05-16,24.9,30,19.8
1975-05-17,24.25,26.5,22
1975-05-18,27.25,32.5,22
1975-05-19,29,37,21
1975-05-20,27.5,34,21
1975-05-21,28,34,22
1975-05-22,27.25,32.5,22
1975-05-23,26.75,33,20.5
1975-05-24,28.25,32.5,24
1975-05-25,24.25,30.5,18
1975-05-26,24.5,31.5,17.5
1975-05-27,27,32,22
1975-05-28,25.9,30,21.8
1975-05-29,29.1,35,23.2
1975-05-30,26.9,32.8,21
1975-05-31,25.05,29.5,20.6
1975-06-01,23.75,31,16.5
1975-06-02,24.25,31,17.5
1975-06-03,25.5,32,19
1975-06-04,27.65,34.8,20.5
1975-06-05,28.25,33.5,23
1975-06-06,27.5,31.5,23.5
1975-06-07,27.5,31,24
1975-06-08,28.75,33.5,24
1975-06-09,28.25,34.5,22
1975-06-10,28.5,34,23
1975-06-11,25,29.5,20.5
1975-06-12,26,31.5,20.5
1975-06-13,25.25,32,18.5
1975-06-14,26.75,35,18.5
1975-06-15,29,36,22
1975-06-16,29.25,35.5,23
1975-06-17,29.5,35.5,23.5
1975-06-18,29.25,36,22.5
1975-06-19,28,33,23
1975-06-20,27,31,23
1975-06-21,28,34,22
1975-06-22,28.25,35,21.5
1975-06-23,28.25,34.5,22
1975-06-24,28,34,22
1975-06-25,29,35.5,22.5
1975-06-26,28.5,35.5,21.5
1975-06-27,28.5,35.5,21.5
1975-06-28,28.5,36,21
1975-06-29,28,35,21
1975-06-30,28.25,35,21.5
1975-07-01,27.5,34,21
1975-07-02,28.5,35.5,21.5
1975-07-03,27.75,34,21.5
1975-07-04,27.5,34,21
1975-07-05,26.5,34,19
1975-07-06,27,35,19
1975-07-07,28.5,36.5,20.5
1975-07-08,26.5,31.5,21.5
1975-07-09,29.25,36.5,22
1975-07-10,29.25,36.5,22
1975-07-11,29,36.5,21.5
1975-07-12,26.25,29.5,23
1975-07-13,22.5,24,21
1975-07-14,21.25,22.5,20
1975-07-15,21.5,23,20
1975-07-16,22.75,26,19.5
1975-07-17,24.75,29,20.5
1975-07-18,26.25,31.5,21
1975-07-19,27,31.5,22.5
1975-07-20,27.5,32.5,22.5
1975-07-21,27,32,22
1975-07-22,27.25,32.5,22
1975-07-23,28,33.5,22.5
1975-07-24,27.5,33,22
1975-07-25,27,32.5,21.5
1975-07-26,24,26.5,21.5
1975-07-27,25,29.5,20.5
1975-07-28,26,30.5,21.5
1975-07-29,26.25,32,20.5
1975-07-30,27,32.5,21.5
1975-07-31,27,32,22
1975-08-01,27,32,22
1975-08-02,27.5,32,23
1975-08-03,27.5,32,23
1975-08-04,27,33,21
1975-08-05,26.25,31.5,21
1975-08-06,22.5,27,18
1975-08-07,24,29,19
1975-08-08,25.75,30,21.5
1975-08-09,22,24,20
1975-08-10,22.75,25.5,20
1975-08-11,25.5,29.5,21.5
1975-08-12,26.25,31,21.5
1975-08-13,26.75,31.5,22
1975-08-14,27,32,22
1975-08-15,27,32,22
1975-08-16,26.75,31.5,22
1975-08-17,26.5,31,22
1975-08-18,26.75,31.5,22
1975-08-19,26.75,31.5,22
1975-08-20,27,32,22
1975-08-21,26.75,32.5,21
1975-08-22,26.5,32,21
1975-08-23,26.5,32,21
1975-08-24,26.75,32,21.5
1975-08-25,26.75,32.5,21
1975-08-26,27,32,22
1975-08-27,26.5,31,22
1975-08-28,28.25,36,20.5
1975-08-29,22.5,31,14
1975-08-30,26.5,32,21
1975-08-31,19.5,25,14
1975-09-01,22.5,25,20
1975-09-02,24,28,20
1975-09-03,24.5,30,19
1975-09-04,24.5,29.5,19.5
1975-09-05,24.5,30,19
1975-09-06,24.5,30,19
1975-09-07,23.5,26,21
1975-09-08,24.25,27.5,21
1975-09-09,23,27,19
1975-09-10,24.25,27.5,21
1975-09-11,25.75,30,21.5
1975-09-12,25.5,30,21
1975-09-13,23.75,27,20.5
1975-09-14,25.5,30,21
1975-09-15,25,30,20
1975-09-16,25.5,31,20
1975-09-17,25.5,32,19
1975-09-18,26.75,32.5,21
1975-09-19,26.25,32.5,20
1975-09-20,25.5,30.5,20.5
1975-09-21,25.5,30,21
1975-09-22,16.75,19.5,14
1975-09-23,18.25,25,11.5
1975-09-24,18.75,26.5,11
1975-09-25,19.75,28,11.5
1975-09-26,19.75,27.5,12
1975-09-27,20.5,28,13
1975-09-28,20.25,28.5,12
1975-09-29,20.25,28,12.5
1975-09-30,20.25,28.5,12
1975-10-01,18.5,24.5,12.5
1975-10-02,20,22.5,17.5
1975-10-03,18.25,24,12.5
1975-10-04,18.5,25,12
1975-10-05,19.5,26.5,12.5
1975-10-06,18.75,26.5,11
1975-10-07,21.5,28,15
1975-10-08,23.5,29,18
1975-10-09,24.75,30.5,19
1975-10-10,24.25,30.5,18
1975-10-11,24.25,29,19.5
1975-10-12,21,30,12
1975-10-13,24.25,30,18.5
1975-10-14,25,30,20
1975-10-15,23.75,29,18.5
1975-10-16,23,26,20
1975-10-17,19.75,22.5,17
1975-10-18,19.5,24,15
1975-10-19,17.75,24.5,11
1975-10-20,22,28,16
1975-10-21,23.5,28.5,18.5
1975-10-22,23,27.5,18.5
1975-10-23,23.5,29.5,17.5
1975-10-24,23.75,28,19.5
1975-10-25,23,26,20
1975-10-26,14.75,17.5,12
1975-10-27,19.5,27,12
1975-10-28,20.25,27.5,13
1975-10-29,22.9,28.5,17.3
1975-10-30,21.75,25.5,18
1975-10-31,20.25,27,13.5
1975-11-01,20.5,27.5,13.5
1975-11-02,24.5,29.5,19.5
1975-11-03,22.5,27.5,17.5
1975-11-04,22,28.5,15.5
1975-11-05,22,26.5,17.5
1975-11-06,23.5,29.5,17.5
1975-11-07,22.75,33,12.5
1975-11-08,21,30.5,11.5
1975-11-09,23.5,30.5,16.5
1975-11-10,19.5,26.5,12.5
1975-11-11,19.65,28,11.3
1975-11-12,19.25,25.5,13
1975-11-13,11,13,9
1975-11-14,11.5,22,1
1975-11-15,14.25,25,3.5
1975-11-16,18.5,25.5,11.5
1975-11-17,20.25,28,12.5
1975-11-18,21.5,28.5,14.5
1975-11-19,22,28,16
1975-11-20,16.75,17.5,16
1975-11-21,15.25,20,10.5
1975-11-22,10,11,9
1975-11-23,9.5,11.5,7.5
1975-11-24,12,20,4
1975-11-25,12.75,22.5,3
1975-11-26,9.75,16.5,3
1975-11-27,12,22,2
1975-11-28,17.75,27.5,8
1975-11-29,22,29.5,14.5
1975-11-30,18,20,16
1977-12-01,16,26,6
1977-12-02,18.25,29,7.5
1977-12-03,20.25,32,8.5
1977-12-04,22.25,34,10.5
1977-12-05,21.5,36,7
1977-12-06,11.55,14.1,9
1977-12-07,17.5,25,10
1977-12-08,21,29.5,12.5
1977-12-09,16,18,14
1977-12-10,5,7,3
1977-12-11,7.75,11,4.5
1977-12-12,13,18.5,7.5
