Estación: ,C19097,COLOMBIA. COLOMBIA
Variable: ,Evaporación (mm)
Longitud: ,99° 45' 34'',Latitud:,27° 42' 08

Fecha,Valor,NúmDatos
1965-02-01,1.25,CLIC
1965-02-02,4.58,CLIC
1965-02-03,7.8,CLIC
1965-02-04,2.5,CLIC
1965-02-05,3.25,CLIC
1965-02-06,2.3,CLIC
1965-02-07,1.25,CLIC
1965-02-08,4.1,CLIC
1965-02-09,10.5,CLIC
1965-02-10,0.23,CLIC
1965-02-11,0.65,CLIC
1965-02-12,8.5,CLIC
1965-02-13,2.31,CLIC
1965-02-14,0.4,CLIC
1965-02-15,1.25,CLIC
1965-02-16,1.45,CLIC
1965-02-17,0.01,CLIC
1965-02-18,0.68,CLIC
1965-02-19,1.25,CLIC
1965-02-20,5.21,CLIC
1965-02-21,1.25,CLIC
1965-02-22,1.02,CLIC
1965-02-23,10.23,CLIC
1965-02-24,1.08,CLIC
1965-02-25,1.25,CLIC
1965-02-26,1.4,CLIC
1965-02-27,3.2,CLIC
1965-02-28,1.4,CLIC
1976-09-01,6.9,CLIC
1976-09-02,3.8,CLIC
1976-09-03,8.8,CLIC
1976-09-04,7.9,CLIC
1976-09-05,11.5,CLIC
1976-09-06,8.7,CLIC
1976-09-07,7.9,CLIC
1976-09-08,8.4,CLIC
1976-09-09,3.9,CLIC
1976-09-10,3.4,CLIC
1976-09-11,1.2,CLIC
1976-09-12,1,CLIC
1976-09-13,2.7,CLIC
1976-09-14,1,CLIC
1976-09-15,2,CLIC
1976-09-16,1.7,CLIC
1976-09-17,5.6,CLIC
1976-09-18,4.9,CLIC
1976-09-19,5,CLIC
1976-09-20,3.8,CLIC
1976-09-21,4.7,CLIC
1976-09-22,5.8,CLIC
1976-09-23,4.5,CLIC
1976-09-24,10.7,CLIC
1976-09-25,10,CLIC
1976-09-26,5.1,CLIC
1976-09-27,2.4,CLIC
1976-09-28,3.3,CLIC
1976-09-29,4.7,CLIC
1976-09-30,3.8,CLIC
1976-10-01,3.4,CLIC
1976-10-02,4,CLIC
1976-10-03,7.1,CLIC
1976-10-04,5.7,CLIC
1976-10-05,2.3,CLIC
1976-10-06,5.7,CLIC
1976-10-07,7.1,CLIC
1976-10-08,5.7,CLIC
1976-10-09,3.5,CLIC
1976-10-10,3.2,CLIC
