Estación: ,C19097,COLOMBIA. COLOMBIA
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 45' 34'',Latitud:,27° 42' 08

Fecha,Promedio,Máximo,Mínimo
1965-05-01,21,30,12
1965-05-02,22.25,32.5,12
1965-05-03,26.5,38.5,14.5
1965-05-04,23.8,35.6,12
1965-05-05,26,38.5,13.5
1965-05-06,25.25,38.5,12
1965-05-07,26.75,38.5,15
1965-05-08,26.65,40.8,12.5
1965-05-09,26,40,12
1965-05-10,27.25,40,14.5
1965-05-11,26.5,41,12
1965-05-12,26,40,12
1965-05-13,28,41.5,14.5
1965-05-14,28,41.5,14.5
1965-05-15,27,42,12
1965-05-16,27.5,42.5,12.5
1965-05-17,27.5,41,14
1965-05-18,27.5,42.5,12.5
1965-05-19,26.5,41,12
1965-05-20,28.25,42.5,14
1965-05-21,27.25,40,14.5
1965-05-22,27.8,43.6,12
1965-05-23,28.5,42.5,14.5
1965-05-24,31.5,48.5,14.5
1965-05-25,30.25,48.5,12
1965-05-26,27.45,42.5,12.4
1965-05-27,28.05,43.6,12.5
1965-05-28,31.25,48.5,14
1965-05-29,25.5,38.5,12.5
1965-05-30,27,39.5,14.5
1965-05-31,24.35,38.5,10.2
1976-09-01,31.5,41,22
1976-09-02,28.5,36,21
1976-09-03,32.5,43,22
1976-09-04,29.5,36,23
1976-09-05,28,34,22
1976-09-06,31,38,24
1976-09-07,30,37,23
1976-09-08,32,37,27
1976-09-09,30.5,38,23
1976-09-10,29,35,23
1976-09-11,32.05,37.1,27
1976-09-12,32,41,23
1976-09-13,29.5,36,23
1976-09-14,32.5,41,24
1976-09-15,28.55,35.1,22
1976-09-16,30,36,24
1976-09-17,31.5,36,27
1976-09-18,29,35,23
1976-09-19,32,36,28
1976-09-20,30,37,23
1976-09-21,31.55,36.1,27
1976-09-22,32,38,26
1976-09-23,29,37,21
1976-09-24,31,37,25
1976-09-25,29,35,23
1976-09-26,30,35,25
1976-09-27,27,33,21
1976-09-28,22,23,21
1976-09-29,22,24,20
1976-09-30,21,25,17
1976-10-01,24.5,30,19
1976-10-02,25.5,31,20
1976-10-03,20,22,18
1976-10-04,24,33,15
1976-10-05,24.5,32,17
1976-10-06,22.5,29,16
1976-10-07,24,28,20
1976-10-08,22.5,25,20
1976-10-09,17,22,12
1976-10-10,13.5,15,12
1976-10-11,9,13,5
1976-10-12,12.5,17,8
1976-10-13,17,21,13
1976-10-14,17,22,12
1976-10-15,20,24,16
1976-10-16,23.5,29,18
1976-10-17,18.5,27,10
1976-10-18,17,25,9
1976-10-19,20.5,25,16
1976-10-20,23,28,18
1976-10-21,24,29,19
1976-10-22,22.5,26,19
1976-10-23,21.5,24,19
1976-10-24,23,30,16
1976-10-25,23.5,28,19
1976-10-26,20.5,25,16
1976-10-27,19.5,23,16
1976-10-28,22,25,19
1976-10-29,23,28,18
1976-10-30,22.5,26,19
1976-10-31,16,20,12
1976-11-01,23.5,32,15
1976-11-02,21.5,29,14
1976-11-03,19,23,15
1976-11-04,15.5,21,10
1976-11-05,17,22,12
1976-11-06,18.5,25,12
1976-11-07,17,23,11
1976-11-08,18,25,11
1976-11-09,17,23,11
1976-11-10,17.5,25,10
1976-11-11,20.5,29,12
1976-11-12,11.5,16,7
1976-11-13,5.5,8,3
1976-11-14,3.5,7,0
1976-11-15,7.5,15,0
1976-11-16,14.5,18,11
1976-11-17,11.5,18,5
1976-11-18,11,17,5
1976-11-19,17,25,9
1976-11-20,18,25,11
1976-11-21,15.5,23,8
1976-11-22,12.5,19,6
1976-11-23,16,20,12
1976-11-24,15,19,11
1976-11-25,15.5,18,13
1976-11-26,15.5,18,13
1976-11-27,12.5,16,9
1976-11-28,3,6,0
1976-11-29,2.5,5,0
1976-11-30,3.5,5,2
1976-12-01,8,15,1
1976-12-02,10,18,2
1976-12-03,10.5,19,2
1976-12-04,6.5,11,2
1976-12-05,10.5,19,2
1976-12-06,10.5,16,5
1976-12-07,5.5,9,2
1976-12-08,5.5,9,2
1976-12-09,11,19,3
1976-12-10,10.5,15,6
1976-12-11,9.5,14,5
1976-12-12,8.5,13,4
1976-12-13,8.05,10.1,6
1976-12-14,10.5,16,5
1976-12-15,7,12,2
1976-12-16,9,16,2
1976-12-17,12,19,5
1976-12-18,13,14,12
1976-12-19,15.5,19,12
1976-12-20,17,21,13
1976-12-21,16.5,17,16
1976-12-22,10.5,14,7
1976-12-23,11.5,13,10
1976-12-24,11,17,5
1976-12-25,8.5,13,4
1976-12-26,7.5,15,0
1976-12-27,7.5,15,0
1976-12-28,11,18,4
1976-12-29,10.5,14,7
1976-12-30,14,18,10
1976-12-31,11.5,15,8
1977-01-01,5,9,1
1977-01-02,5.5,9,2
1977-01-03,5.5,12,-1
1977-01-04,8,12,4
1977-01-05,5.55,9.1,2
1977-01-06,5,8,2
1977-01-07,3,8,-2
1977-01-08,5.5,12,-1
1977-01-09,6.5,10,3
1977-01-10,7.5,15,0
1977-01-11,2,5,-1
1977-01-12,3,6,0
1977-01-13,8,15,1
1977-01-14,8.5,15,2
1977-01-15,11.5,17,6
1977-01-16,10,17,3
1977-01-17,7.5,13,2
1977-01-18,3.5,8,-1
1977-01-19,1,6,-4
1977-01-20,6,15,-3
1977-01-21,8.5,14,3
1977-01-22,9.5,15,4
1977-01-23,9,15,3
1977-01-24,15,22,8
1977-01-25,15.5,21,10
1977-01-26,16.5,23,10
1977-01-27,16.5,29,4
1977-01-28,18.5,29,8
1977-01-29,11,19,3
1977-01-30,6.5,11,2
1977-01-31,6.5,10,3
1977-02-01,16,29,3
1977-02-02,15,28,2
1977-02-03,17.5,28,7
1977-02-04,14.5,29,0
1977-02-05,15,28,2
1977-02-06,15,28,2
1977-02-07,19,28,10
1977-02-08,15.5,28,3
1977-02-09,14.5,27,2
1977-02-10,14.5,26,3
1977-02-11,19,26,12
1977-02-12,17,27,7
1977-02-13,15,27,3
1977-02-14,15.5,27,4
1977-02-15,18,27,9
1977-02-16,11,21,1
1977-02-17,11,21,1
1977-02-18,19,30,8
1977-02-19,17,20,14
1977-02-20,13.5,23,4
1977-02-21,14.5,24,5
1977-02-22,20.5,28,13
1977-02-23,20.5,29,12
1977-02-24,17.5,31,4
1977-02-25,13.55,19.1,8
1977-02-26,15.5,21,10
1977-02-27,11,22,0
1977-02-28,10.5,21,0
1977-03-01,13.5,22,5
1977-03-02,14,24,4
1977-03-03,15.5,29,2
1977-03-04,21,29,13
1977-03-05,17.5,30,5
1977-03-06,18.5,27,10
1977-03-07,20.5,29,12
1977-03-08,19.5,27,12
1977-03-09,20.5,28,13
1977-03-10,20,29,11
1977-03-11,20,29,11
1977-03-12,21,29,13
1977-03-13,21.5,30,13
1977-03-14,23,31,15
1977-03-15,22,30,14
1977-03-16,20,28,12
1977-03-17,21,31,11
1977-03-18,25,36,14
1977-03-19,20,30,10
1977-03-20,22.5,31,14
1977-03-21,20,31,9
1977-03-22,22,32,12
1977-03-23,23.5,31,16
1977-03-24,22.5,31,14
1977-03-25,22.5,31,14
1977-03-26,22.5,31,14
1977-03-27,21.5,30,13
1977-03-28,21.5,32,11
1977-03-29,23.5,35,12
1977-03-30,15.5,19,12
1977-03-31,13,21,5
1977-04-01,23,35,11
1977-04-02,23.5,35,12
1977-04-03,24,36,12
1977-04-04,22,31,13
1977-04-05,21.5,31,12
1977-04-06,24.5,34,15
1977-04-07,24,34,14
1977-04-08,18.5,29,8
1977-04-09,23.5,34,13
1977-04-10,23.5,34,13
1977-04-11,16,20,12
1977-04-12,15,20,10
1977-04-13,15.5,20,11
1977-04-14,20,30,10
1977-04-15,22,34,10
1977-04-16,24,34,14
1977-04-17,24,34,14
1977-04-18,21,29,13
1977-04-19,23.5,34,13
1977-04-20,22.5,34,11
1977-04-21,23,33,13
1977-04-22,22,32,12
1977-04-23,23.5,33,14
1977-04-24,24,34,14
1977-04-25,19.5,29,10
1977-04-26,23,34,12
1977-04-27,21,30,12
1977-04-28,23.5,35,12
1977-04-29,21.5,35,8
1977-04-30,24.5,34,15
1977-05-01,26.5,33,20
1977-05-02,27,33,21
1977-05-03,26.5,32,21
1977-05-04,25,33,17
1977-05-05,25.5,30,21
1977-05-06,26.5,33,20
1977-05-07,27,32,22
1977-05-08,26.5,32,21
1977-05-09,26.5,33,20
1977-05-10,26.5,33,20
1977-05-11,24.5,29,20
1977-05-12,23,28,18
1977-05-13,23.5,28,19
1977-05-14,25.5,32,19
1977-05-15,25,31,19
1977-05-16,25.5,29,22
1977-05-17,23,24,22
1977-05-18,21.5,25,18
1977-05-19,27.5,37,18
1977-05-20,27.5,32,23
1977-05-21,27,31,23
1977-05-22,27,32,22
1977-05-23,25.5,30,21
1977-05-24,26,32,20
1977-05-25,26,31,21
1977-05-26,25.5,31,20
1977-05-27,27,32,22
1977-05-28,26,34,18
1977-05-29,27,33,21
1977-05-30,28,33,23
1977-05-31,28.5,34,23
1977-06-01,28.5,38,19
1977-06-02,27,35,19
1977-06-03,27,36,18
1977-06-04,27.5,35,20
1977-06-05,27.5,34,21
1977-06-06,26.5,34,19
1977-06-07,27.5,35,20
1977-06-08,28,36,20
1977-06-09,28.5,37,20
1977-06-10,28,37,19
1977-06-11,29,36,22
1977-06-12,28,33,23
1977-06-13,27,32,22
1977-06-14,29.5,36,23
1977-06-15,28.5,36,21
1977-06-16,29.5,35,24
1977-06-17,28,35,21
1977-06-18,27.5,34,21
1977-06-19,27.5,35,20
