Estación: ,C19102,COLA DE CABALLO
Variable: ,Evaporación (mm)
Longitud: ,100° 09' 45'',Latitud:,25° 21' 58

Fecha,Valor,NúmDatos
1982-01-01,3,CLIC
1982-01-02,3.3,CLIC
1982-01-03,5.4,CLIC
1982-01-04,3.8,CLIC
1982-01-05,3.2,CLIC
1982-01-06,5.4,CLIC
1982-01-07,4.9,CLIC
1982-01-08,3.8,CLIC
1982-01-09,2.1,CLIC
1982-01-10,2.4,CLIC
1982-01-11,3.3,CLIC
1982-01-12,1.5,CLIC
1982-01-13,0.8,CLIC
1982-01-14,2.3,CLIC
1982-01-15,3.4,CLIC
1982-01-16,4.3,CLIC
1982-01-17,0.8,CLIC
1982-01-18,5.8,CLIC
1982-01-19,4.3,CLIC
1982-01-20,5.9,CLIC
1982-01-21,1.9,CLIC
1982-01-22,3,CLIC
1982-01-23,4.7,CLIC
1982-01-24,3.6,CLIC
1982-01-25,5,CLIC
1982-01-26,3.4,CLIC
1982-01-27,6.8,CLIC
1982-01-28,2.9,CLIC
1982-01-29,3.2,CLIC
1982-01-30,2.6,CLIC
1982-01-31,4.1,CLIC
1982-02-01,4.7,CLIC
1982-02-02,4.5,CLIC
1982-02-03,3.7,CLIC
1982-02-04,2.1,CLIC
1982-02-05,1.2,CLIC
1982-02-06,8,CLIC
1982-02-07,0.7,CLIC
1982-02-08,2.4,CLIC
1982-02-09,4.7,CLIC
1982-02-10,3.2,CLIC
1982-02-11,1.7,CLIC
1982-02-12,4.3,CLIC
1982-02-13,2.8,CLIC
1982-02-14,4.1,CLIC
1982-02-15,4.1,CLIC
1982-02-16,9.2,CLIC
1982-02-17,2.8,CLIC
1982-02-18,4.4,CLIC
1982-02-19,1.7,CLIC
1982-02-20,2.1,CLIC
1982-02-21,0.9,CLIC
1982-02-22,7,CLIC
1982-02-23,4.3,CLIC
1982-02-24,2.5,CLIC
1982-02-25,1.7,CLIC
1982-02-26,0.8,CLIC
1982-02-27,0.9,CLIC
1982-02-28,1.7,CLIC
1982-03-01,2.8,CLIC
1982-03-02,2.3,CLIC
1982-03-03,6,CLIC
1982-03-04,5.3,CLIC
1982-03-05,3.6,CLIC
1982-03-06,3.1,CLIC
1982-03-07,1.6,CLIC
1982-03-08,4,CLIC
1982-03-09,5,CLIC
1982-03-10,4.3,CLIC
1982-03-11,6.5,CLIC
1982-03-12,4.6,CLIC
1982-03-13,4.7,CLIC
1982-03-14,7.9,CLIC
1982-03-15,8,CLIC
1982-03-16,5.7,CLIC
1982-03-17,5,CLIC
1982-03-18,4.1,CLIC
1982-03-19,2.1,CLIC
1982-03-20,6.5,CLIC
1982-03-21,5.9,CLIC
1982-03-22,0.8,CLIC
1982-03-23,4.3,CLIC
1982-03-24,3.2,CLIC
1982-03-25,7,CLIC
1982-03-26,0.1,CLIC
1982-03-27,1.5,CLIC
1982-03-28,1.5,CLIC
1982-03-29,1.9,CLIC
1982-03-30,6.8,CLIC
1982-03-31,3.6,CLIC
1982-04-01,5.4,CLIC
1982-04-02,4.7,CLIC
1982-04-03,3.4,CLIC
1982-04-04,11.9,CLIC
1982-04-05,9.6,CLIC
1982-04-06,4.2,CLIC
1982-04-07,1.5,CLIC
1982-04-08,11.4,CLIC
1982-04-09,4.4,CLIC
1982-04-10,1,CLIC
1982-04-11,5.2,CLIC
1982-04-12,5.8,CLIC
1982-04-13,9.6,CLIC
1982-04-14,2.7,CLIC
1982-04-15,8.6,CLIC
1982-04-16,7.1,CLIC
1982-04-17,1.4,CLIC
1982-04-18,4.1,CLIC
1982-04-19,7.1,CLIC
1982-04-20,3.9,CLIC
1982-04-21,0.1,CLIC
1982-04-22,7.4,CLIC
1982-04-23,0.4,CLIC
1982-04-24,0.3,CLIC
1982-04-25,4.9,CLIC
1982-04-26,6.1,CLIC
1982-04-27,3.4,CLIC
1982-04-28,1.4,CLIC
1982-04-29,1.1,CLIC
1982-04-30,5,CLIC
1982-05-01,1.5,CLIC
1982-05-02,2.9,CLIC
1982-05-03,8.7,CLIC
1982-05-04,0.5,CLIC
1982-05-05,2.1,CLIC
1982-05-06,2.9,CLIC
1982-05-07,1,CLIC
1982-05-08,0.9,CLIC
1982-05-09,5.7,CLIC
1982-05-10,6.1,CLIC
1982-05-11,1.9,CLIC
1982-05-12,4.4,CLIC
1982-05-13,5.2,CLIC
1982-05-14,5.7,CLIC
1982-05-15,1.8,CLIC
1982-05-16,3.2,CLIC
1982-05-17,1.4,CLIC
1982-05-18,3.2,CLIC
1982-05-19,2.1,CLIC
1982-05-20,5,CLIC
1982-05-21,3.9,CLIC
1982-05-22,6.3,CLIC
1982-05-23,5.1,CLIC
1982-05-24,2.7,CLIC
1982-05-25,6.6,CLIC
1982-05-26,5.7,CLIC
1982-05-27,2.5,CLIC
1982-05-28,2.8,CLIC
1982-05-29,4.1,CLIC
1982-05-30,4.6,CLIC
1982-05-31,5,CLIC
