Estación: ,C19102,COLA DE CABALLO
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 09' 45'',Latitud:,25° 21' 58

Fecha,Promedio,Máximo,Mínimo
1984-06-23,24.5,32,17
1984-06-24,26,34,18
1984-06-25,27,35,19
1984-06-26,21.5,24,19
1984-06-27,28,36,20
1984-06-28,28,37,19
1984-06-29,26,32,20
1984-06-30,25.5,31,20
1984-07-01,28,34,22
1984-07-02,26,31,21
1984-07-03,24.5,31,18
1984-07-04,24,31,17
1984-07-05,24,31,17
1984-07-06,23,28,18
1984-07-07,24.5,29,20
1984-07-08,25,31,19
1984-07-09,25,31,19
1984-07-10,24,27,21
1984-07-11,23,27,19
1984-07-12,21,25,17
1984-07-13,21.5,26,17
1984-07-14,22,27,17
1984-07-15,22.5,26,19
1984-07-16,23.5,30,17
1984-07-17,24,32,16
1984-07-18,25.5,34,17
1984-07-19,27.5,35,20
1984-07-20,27,34,20
1984-07-21,26,32,20
1984-07-22,26.5,34,19
1984-07-23,22.5,27,18
1984-07-24,23,29,17
1984-07-25,24,30,18
1984-07-26,22,28,16
1984-07-27,24,31,17
1984-07-28,24.5,30,19
1984-07-29,22,26,18
1984-07-30,21.5,26,17
1984-07-31,21.5,25,18
1985-01-01,15,20,10
1985-01-02,1.5,5,-2
1985-01-03,4.5,10,-1
1985-01-04,7,16,-2
1985-01-05,9,19,-1
1985-01-06,12,20,4
1985-01-07,12,21,3
1985-01-08,12.5,20,5
1985-01-09,14,24,4
1985-01-10,13.5,20,7
1985-01-11,7.5,8,7
1985-01-12,2.5,7,-2
1985-01-13,3,7,-1
1985-01-14,1,4,-2
1985-01-15,2,5,-1
1985-01-16,6,14,-2
1985-01-17,6,10,2
1985-01-18,12,21,3
1985-01-19,14,23,5
1985-01-20,5.5,6,5
1985-01-21,4.5,10,-1
1985-01-22,4,9,-1
1985-01-23,7.5,11,4
1985-01-24,12,21,3
1985-01-25,15,25,5
1985-01-26,10.5,15,6
1985-01-27,18,26,10
1985-01-28,15,20,10
1985-01-29,15.5,22,9
1985-01-30,18,27,9
1985-01-31,18,27,9
1985-02-01,3.35,7,-0.3
1985-02-02,4.75,10,-0.5
1985-02-03,5.3,11,-0.4
1985-02-04,7.5,19,-4
1985-02-05,4.5,12,-3
1985-02-06,9,20,-2
1985-02-07,7,9,5
1985-02-08,5.5,8,3
1985-02-09,11,19,3
1985-02-10,14.5,23,6
1985-02-11,9.5,11,8
1985-02-12,9,16,2
1985-02-13,11.5,21,2
1985-02-14,12.5,21,4
1985-02-15,13,20,6
1985-02-16,15,24,6
1985-02-17,13,19,7
1985-02-18,16.5,23,10
1985-02-19,13,18,8
1985-02-20,16.5,22,11
1985-02-21,19,26,12
1985-02-22,19.5,26,13
1985-02-23,20,27,13
1985-02-24,16,17,15
1985-02-25,14.5,19,10
1985-02-26,14,21,7
1985-02-27,11.5,14,9
1985-02-28,13.5,18,9
1985-03-01,16.5,24,9
1985-03-02,17,24,10
1985-03-03,20.5,29,12
1985-03-04,18.5,24,13
1985-03-05,16,22,10
1985-03-06,13.5,18,9
1985-03-07,18,26,10
1985-03-08,19,27,11
1985-03-09,19.5,27,12
1985-03-10,19.5,26,13
1985-03-11,22.5,32,13
1985-03-12,21.5,30,13
1985-03-13,20,26,14
1985-03-14,15,16,14
1985-03-15,9.5,11,8
1985-03-16,11,14,8
1985-03-17,12,15,9
1985-03-18,12.5,16,9
1985-03-19,15.5,22,9
1985-03-20,18,26,10
1985-03-21,17.5,25,10
1985-03-22,17,24,10
1985-03-23,19,27,11
1985-03-24,19.5,27,12
1985-03-25,19.5,25,14
1985-03-26,18.5,23,14
1985-03-27,22,29,15
1985-03-28,24.5,33,16
1985-03-29,25.5,33,18
1985-03-30,24,28,20
1985-03-31,18,28,8
1985-04-01,16.5,24,9
1985-04-02,17.5,26,9
1985-04-03,18.5,28,9
1985-04-04,22,34,10
1985-04-05,24.5,33,16
1985-04-06,21.5,30,13
1985-04-07,21,27,15
1985-04-08,16,17,15
1985-04-09,11.5,13,10
1985-04-10,13,17,9
1985-04-11,17,24,10
1985-04-12,18,24,12
1985-04-13,17.5,22,13
1985-04-14,18.5,25,12
1985-04-15,21,29,13
1985-04-16,16,20,12
1985-04-17,20.5,27,14
1985-04-18,19.5,23,16
1985-04-19,18,24,12
1985-04-20,22.5,30,15
1985-04-21,24,30,18
1985-04-22,24.5,32,17
1985-04-23,25.5,32,19
1985-04-24,21.5,25,18
1985-04-25,21.5,27,16
1985-04-26,23,31,15
1985-04-27,24.5,34,15
1985-04-28,24,30,18
1985-04-29,23,28,18
1985-04-30,22.5,27,18
1985-05-01,23,28,18
1985-05-02,21,24,18
1985-05-03,20,24,16
1985-05-04,20,26,14
1985-05-05,21,28,14
1985-05-06,21.5,29,14
1985-05-07,22.5,30,15
1985-05-08,25,32,18
1985-05-09,24.5,31,18
1985-05-10,24,31,17
1985-05-11,23.5,30,17
1985-05-12,23.5,30,17
1985-05-13,25.5,33,18
1985-05-14,23.5,27,20
1985-05-15,18.5,20,17
1985-05-16,21.5,25,18
1985-05-17,22.5,27,18
1985-05-18,21.5,27,16
1985-05-19,20,25,15
1985-05-20,23.5,32,15
1985-05-21,21.5,26,17
1985-05-22,22.5,29,16
1985-05-23,21,25,17
1985-05-24,23,30,16
1985-05-25,24.5,30,19
1985-05-26,24,29,19
1985-05-27,25.5,35,16
1985-05-28,27,35,19
1985-05-29,29,35,23
1985-05-30,26.5,34,19
1985-05-31,25.25,33.5,17
1985-06-01,24.5,32,17
1985-06-02,26.5,35,18
1985-06-03,24,31,17
1985-06-04,23,27,19
1985-06-05,24.5,28,21
1985-06-06,24.5,29,20
1985-06-07,26,33,19
1985-06-08,27.5,34,21
1985-06-09,26.5,35,18
1985-06-10,25,32,18
1985-06-11,25,32,18
1985-06-12,26.5,33,20
1985-06-13,22.5,27,18
1985-06-14,23.5,30,17
1985-06-15,25,32,18
1985-06-16,26.5,34,19
1985-06-17,24,30,18
1985-06-18,24.5,30,19
1985-06-19,23,27,19
1985-06-20,22.5,27,18
1985-06-21,23,28,18
1985-06-22,23.5,29,18
1985-06-23,22.5,25,20
1985-06-24,21,26,16
1985-06-25,23,28,18
1985-06-26,25,31,19
1985-06-27,24,29,19
1985-06-28,20.5,25,16
1985-06-29,21,25,17
1985-06-30,21,27,15
1985-07-01,23.75,30,17.5
1985-07-02,23,28,18
1985-07-03,23,29,17
1985-07-04,22.5,28,17
1985-07-05,25.5,33,18
1985-07-06,26,33,19
1985-07-07,24.5,31,18
1985-07-08,22.5,28,17
1985-07-09,23.5,31,16
1985-07-10,27,35,19
1985-07-11,26,32,20
1985-07-12,25.5,34,17
1985-07-13,24,30,18
1985-07-14,25,32,18
1985-07-15,23,28,18
1985-07-16,23,28,18
1985-07-17,24.5,32,17
1985-07-18,25,33,17
1985-07-19,25.5,33,18
1985-07-20,25,32,18
1985-07-21,25.5,33,18
1985-07-22,26,34,18
1985-07-23,26,33,19
1985-07-24,26.5,34,19
1985-07-25,24.5,30,19
1985-07-26,26,32,20
1985-07-27,24.5,31,18
1985-07-28,26,34,18
1985-07-29,25,32,18
1985-07-30,23,27,19
1985-07-31,21.5,28,15
1985-08-01,25.5,33,18
1985-08-02,27,35,19
1985-08-03,26.5,33,20
1985-08-04,27,35,19
1985-08-05,26.5,35,18
1985-08-06,26,35,17
1985-08-07,27.5,36,19
1985-08-08,27,35,19
1985-08-09,27.5,36,19
1985-08-10,27,35,19
1985-08-11,26.5,34,19
1985-08-12,27,34,20
1985-08-13,26,31,21
1985-08-14,23.5,28,19
1985-08-15,23.5,28,19
1985-08-16,26,32,20
1985-08-17,24.5,31,18
1985-08-18,26,34,18
1985-08-19,26,34,18
1985-08-20,26.5,34,19
1985-08-21,25,31,19
1985-08-22,26.5,33,20
1985-08-23,26,32,20
1985-08-24,25.5,32,19
1985-08-25,27,35,19
1985-08-26,26.5,33,20
1985-08-27,25.5,33,18
1985-08-28,25.5,32,19
1985-08-29,22,26,18
1985-08-30,24,30,18
1985-08-31,25.5,31,20
1985-09-01,26.5,34,19
1985-09-02,26.5,34,19
1985-09-03,28,35,21
1985-09-04,26,32,20
1985-09-05,26,33,19
1985-09-06,26.5,34,19
1985-09-07,25,32,18
1985-09-08,25,33,17
1985-09-09,25,33,17
1985-09-10,24.5,32,17
1985-09-11,24.5,31,18
1985-09-12,24,30,18
1985-09-13,24.5,30,19
1985-09-14,21,25,17
1985-09-15,23,29,17
1985-09-16,22.5,28,17
1985-09-17,22,27,17
1985-09-18,23.5,29,18
1985-09-19,23,28,18
1985-09-20,23.5,29,18
1985-09-21,23,29,17
1985-09-22,24.5,32,17
1985-09-23,25.5,34,17
1985-09-24,24.5,31,18
1985-09-25,26.5,34,19
1985-09-26,20,23,17
1985-09-27,20.5,26,15
1985-09-28,21.5,27,16
1985-09-29,23.5,30,17
1985-09-30,19,22,16
1985-10-01,14,18,10
1985-10-02,15.5,21,10
1985-10-03,20.5,29,12
1985-10-04,24,34,14
1985-10-05,19.5,23,16
1985-10-06,20,27,13
1985-10-07,21,29,13
1985-10-08,22,28,16
1985-10-09,23.5,30,17
1985-10-10,23,27,19
1985-10-11,24,30,18
1985-10-12,23.5,32,15
1985-10-13,23.5,30,17
1985-10-14,23.5,29,18
1985-10-15,23,28,18
1985-10-16,19,20,18
1985-10-17,20.5,25,16
1985-10-18,21.5,27,16
1985-10-19,20.5,25,16
