Estación: ,C19104,LA ESCONDIDA. AGUALEGUAS
Variable: ,Evaporación (mm)
Longitud: ,99° 45' 50'',Latitud:,26° 15' 34

Fecha,Valor,NúmDatos
1978-12-01,2.3,CLIC
1978-12-02,3,CLIC
1978-12-03,4.3,CLIC
1978-12-04,2.5,CLIC
1978-12-05,2.9,CLIC
1978-12-06,2.5,CLIC
1978-12-07,1.2,CLIC
1978-12-08,0.1,CLIC
1978-12-09,1.9,CLIC
1978-12-10,2.8,CLIC
1978-12-11,2,CLIC
1978-12-12,2.3,CLIC
1978-12-13,1.8,CLIC
1978-12-14,1,CLIC
1978-12-15,0.5,CLIC
1978-12-16,0.8,CLIC
1978-12-17,3.5,CLIC
1978-12-18,1,CLIC
1978-12-19,1.5,CLIC
1978-12-20,5.4,CLIC
1978-12-21,3.5,CLIC
1978-12-22,2.2,CLIC
1978-12-23,3.5,CLIC
1978-12-24,6,CLIC
1978-12-25,4.1,CLIC
1978-12-26,3.7,CLIC
1978-12-27,2.6,CLIC
1978-12-28,2.8,CLIC
1978-12-29,1.9,CLIC
1978-12-30,1.4,CLIC
1978-12-31,3.8,CLIC
1979-01-01,2.3,CLIC
1979-01-02,3,CLIC
1979-01-03,4.3,CLIC
1979-01-04,2.5,CLIC
1979-01-05,2.9,CLIC
1979-01-06,2.6,CLIC
1979-01-07,1.1,CLIC
1979-01-08,0.1,CLIC
1979-01-09,1.9,CLIC
1979-01-10,2.8,CLIC
1979-01-11,2.2,CLIC
1979-01-12,2.2,CLIC
1979-01-13,2.8,CLIC
1979-01-14,0.1,CLIC
1979-01-15,0.4,CLIC
1979-01-16,0.8,CLIC
1979-01-17,3.5,CLIC
1979-01-18,1,CLIC
1979-01-19,1.5,CLIC
1979-01-20,5.4,CLIC
1979-01-21,3.5,CLIC
1979-01-22,2.2,CLIC
1979-01-23,3.5,CLIC
1979-01-24,6,CLIC
1979-01-25,4.1,CLIC
1979-01-26,0.1,CLIC
1979-01-27,1.5,CLIC
1979-01-28,1.1,CLIC
1979-01-29,1.8,CLIC
1979-01-30,0.4,CLIC
1979-01-31,1.1,CLIC
1979-02-01,1.2,CLIC
1979-02-02,3.3,CLIC
1979-02-03,0.2,CLIC
1979-02-04,0.2,CLIC
1979-02-05,0.1,CLIC
1979-02-06,3.4,CLIC
1979-02-07,3.4,CLIC
1979-02-08,2.9,CLIC
1979-02-09,4.8,CLIC
1979-02-10,1.6,CLIC
1979-02-11,1,CLIC
1979-02-12,5.2,CLIC
1979-02-13,4.6,CLIC
1979-02-14,7.5,CLIC
1979-02-15,3.2,CLIC
1979-02-16,1.8,CLIC
1979-02-17,0.2,CLIC
1979-02-18,3.3,CLIC
1979-02-19,0.9,CLIC
1979-02-20,1.5,CLIC
1979-02-21,2.3,CLIC
1979-02-22,3.3,CLIC
1979-02-23,4.6,CLIC
1979-02-24,5.3,CLIC
1979-02-25,4.6,CLIC
1979-02-26,1.2,CLIC
1979-02-27,2,CLIC
1979-02-28,5.9,CLIC
1979-03-01,4.6,CLIC
1979-03-02,7.1,CLIC
1979-03-03,5.3,CLIC
1979-03-04,5.8,CLIC
1979-03-05,2.4,CLIC
1979-03-06,4.3,CLIC
1979-03-07,9.6,CLIC
1979-03-08,7.7,CLIC
1979-03-09,6.1,CLIC
1979-03-10,4.6,CLIC
1979-03-11,3.4,CLIC
1979-03-12,4.2,CLIC
1979-03-13,5.3,CLIC
1979-03-14,1.3,CLIC
1979-03-15,0.2,CLIC
1979-03-16,0.4,CLIC
1979-03-17,2.7,CLIC
1979-03-18,5.9,CLIC
1979-03-19,10.1,CLIC
1979-03-20,1,CLIC
1979-03-21,0.9,CLIC
1979-03-22,2,CLIC
1979-03-23,6.1,CLIC
1979-03-24,4.7,CLIC
1979-03-25,8.1,CLIC
1979-03-26,6.7,CLIC
1979-03-27,7.7,CLIC
1979-03-28,5.4,CLIC
1979-03-29,6.6,CLIC
1979-03-30,7.3,CLIC
1979-03-31,6.5,CLIC
1979-05-01,2.2,CLIC
1979-05-02,7,CLIC
1979-05-03,6.8,CLIC
1979-05-04,5.8,CLIC
1979-05-05,4.3,CLIC
1979-05-06,7.5,CLIC
1979-05-07,10.8,CLIC
1979-05-08,7.9,CLIC
1979-05-09,11.8,CLIC
1979-05-10,5.4,CLIC
1979-05-11,6.3,CLIC
1979-05-12,3.7,CLIC
1979-05-13,6.1,CLIC
1979-05-14,5.4,CLIC
1979-05-15,6.7,CLIC
1979-05-16,8.8,CLIC
1979-05-17,5.1,CLIC
1979-05-18,5.8,CLIC
1979-05-19,6.2,CLIC
1979-05-20,5.8,CLIC
1979-05-21,5.5,CLIC
