Estación: ,C19109,UÑA DE GATO. CERRALVO
Variable: ,Evaporación (mm)
Longitud: ,99° 41' 00'',Latitud:,25° 58' 00

Fecha,Valor,NúmDatos
1978-12-07,1.9,CLIC
1978-12-08,2.6,CLIC
1978-12-09,3.1,CLIC
1978-12-10,0.7,CLIC
1978-12-11,1,CLIC
1978-12-12,3.1,CLIC
1978-12-13,1,CLIC
1978-12-14,2.4,CLIC
1978-12-15,2.9,CLIC
1978-12-16,6.5,CLIC
1978-12-17,2.3,CLIC
1978-12-18,1.9,CLIC
1978-12-19,1.3,CLIC
1978-12-20,8.4,CLIC
1978-12-21,5.4,CLIC
1978-12-22,3.5,CLIC
1978-12-23,4.9,CLIC
1978-12-24,4.1,CLIC
1978-12-25,4.7,CLIC
1978-12-26,2.3,CLIC
1978-12-27,1.5,CLIC
1978-12-28,1.2,CLIC
1978-12-29,0.3,CLIC
1978-12-30,0.6,CLIC
1978-12-31,3.2,CLIC
1979-01-01,2,CLIC
1979-01-02,0.4,CLIC
1979-01-03,2.2,CLIC
1979-01-04,2.5,CLIC
1979-01-05,2,CLIC
1979-01-06,2.5,CLIC
1979-01-07,2.9,CLIC
1979-01-08,2.1,CLIC
1979-01-09,1.7,CLIC
1979-01-10,1.1,CLIC
1979-01-11,1.6,CLIC
1979-01-12,4.3,CLIC
1979-01-13,9.7,CLIC
1979-01-14,4.6,CLIC
1979-01-15,1.4,CLIC
1979-01-16,1.3,CLIC
1979-01-17,2.7,CLIC
1979-01-18,3.1,CLIC
1979-01-19,3,CLIC
1979-01-20,9.3,CLIC
1979-01-21,4.2,CLIC
1979-01-22,4.1,CLIC
1979-01-23,7.8,CLIC
1979-01-24,3.9,CLIC
1979-01-25,2.2,CLIC
1979-01-26,5,CLIC
1979-01-27,5.2,CLIC
1979-01-28,2.3,CLIC
1979-01-29,0.2,CLIC
1979-01-30,0.7,CLIC
1979-01-31,1.4,CLIC
1979-02-01,1.2,CLIC
1979-02-02,0.8,CLIC
1979-02-03,4,CLIC
1979-02-04,1.5,CLIC
1979-02-05,1.4,CLIC
1979-02-06,1.8,CLIC
1979-02-07,5.4,CLIC
1979-02-08,2.9,CLIC
1979-02-09,4,CLIC
1979-02-10,4.3,CLIC
1979-02-11,1.7,CLIC
1979-02-12,1.6,CLIC
1979-02-13,5.9,CLIC
1979-02-14,7.4,CLIC
1979-02-15,8.2,CLIC
1979-02-16,1.4,CLIC
1979-02-17,2.6,CLIC
1979-02-18,1.5,CLIC
1979-02-19,0.8,CLIC
1979-02-20,3.7,CLIC
1979-02-21,2.4,CLIC
1979-02-22,2.2,CLIC
1979-02-23,5.3,CLIC
1979-02-24,4.1,CLIC
1979-02-25,4.5,CLIC
1979-02-26,3.4,CLIC
1979-02-27,6.7,CLIC
1979-02-28,4.7,CLIC
1979-03-01,4.4,CLIC
1979-03-02,5.9,CLIC
1979-03-03,7.3,CLIC
1979-03-04,6.8,CLIC
1979-03-05,3.5,CLIC
1979-03-06,1.9,CLIC
1979-03-07,6.9,CLIC
1979-03-08,6.4,CLIC
1979-03-09,3.7,CLIC
1979-03-10,5.6,CLIC
1979-03-11,4.5,CLIC
1979-03-12,3.3,CLIC
1979-03-13,2.1,CLIC
1979-03-14,2.6,CLIC
1979-03-15,3.8,CLIC
1979-03-16,2.8,CLIC
1979-03-17,2.5,CLIC
1979-03-18,3.4,CLIC
1979-03-19,6.1,CLIC
1979-03-20,3.1,CLIC
1979-03-21,6.4,CLIC
1979-03-22,7.3,CLIC
1979-03-23,4.6,CLIC
1979-03-24,2.2,CLIC
1979-03-25,8,CLIC
1979-03-26,5,CLIC
1979-03-27,4,CLIC
1979-03-28,5.1,CLIC
1979-03-29,6,CLIC
1979-03-30,6.4,CLIC
1979-03-31,1.5,CLIC
1979-04-01,8.1,CLIC
1979-04-02,9,CLIC
1979-04-03,1.3,CLIC
1979-04-04,2.7,CLIC
1979-04-05,9.4,CLIC
1979-04-06,1.1,CLIC
1979-04-07,5.7,CLIC
1979-04-08,4.8,CLIC
1979-04-09,5.7,CLIC
1979-04-10,5.3,CLIC
1979-04-11,11.7,CLIC
