Estación: ,C19114,EL CUERVITO. GRAL. BRAVO
Variable: ,Temperatura del Aire (°C)
Longitud: ,98° 48' 39.8'',Latitud:,25° 53' 12.3''

Fecha,Promedio,Máximo,Mínimo
1980-01-01,7.5,11,4
1980-01-02,11.5,16,7
1980-01-03,11.5,15,8
1980-01-04,15,20,10
1980-01-05,15,23,7
1980-01-06,17,26,8
1980-01-07,18.5,24,13
1980-01-08,17,20,14
1980-01-09,20,23,17
1980-01-10,16.5,24,9
1980-01-11,17.5,28,7
1980-01-12,16,26,6
1980-01-13,17.5,21,14
1980-01-14,18,23,13
1980-01-15,18,24,12
1980-01-16,18,22,14
1980-01-17,14.5,20,9
1980-01-18,14.5,19,10
1980-01-19,14.5,18,11
1980-01-20,14,18,10
1980-01-21,12,15,9
1980-01-22,10,12,8
1980-01-23,8,12,4
1980-01-24,8,13,3
1980-01-25,8,14,2
1980-01-26,11.5,18,5
1980-01-27,13.5,20,7
1980-01-28,14,18,10
1980-01-29,10,15,5
1980-01-30,14,20,8
1980-01-31,14,22,6
1980-02-01,10,13,7
1980-02-02,11,16,6
1980-02-03,13.5,18,9
1980-02-04,15.5,19,12
1980-02-05,15.5,20,11
1980-02-06,15.5,21,10
1980-02-07,17,21,13
1980-02-08,17.5,22,13
1980-02-09,13.05,15.1,11
1980-02-10,11,14,8
1980-02-11,8.5,12,5
1980-02-12,8,12,4
1980-02-13,6.5,10,3
1980-02-14,6,10,2
1980-02-15,6.5,10,3
1980-02-16,8.5,13,4
1980-02-17,11,16,6
1980-02-18,14,20,8
1980-02-19,13.5,20,7
1980-02-20,18,30,6
1980-02-21,19,28,10
1980-02-22,17.5,26,9
1980-02-23,18,28,8
1980-02-24,20,30,10
1980-02-25,19.5,32,7
1980-02-26,17,25,9
1980-02-27,16,24,8
1980-02-28,18.5,30,7
1980-02-29,19.5,29,10
1980-05-01,25,34,16
1980-05-02,24.5,34,15
1980-05-03,23,32,14
1980-05-04,22,34,10
1980-05-05,22.5,33,12
1980-05-06,22.5,33,12
1980-05-07,24,34,14
1980-05-08,21.5,33,10
1980-05-09,23.5,35,12
1980-05-10,23,33,13
1980-05-11,24,34,14
1980-05-12,27,39,15
1980-05-13,22.5,35,10
1980-05-14,26,36,16
1980-05-15,26,35,17
1980-05-16,25,36,14
1980-05-17,26,37,15
1980-05-18,25.5,35,16
1980-05-19,25.5,34,17
1980-05-20,24,33,15
1980-05-21,24.5,33,16
1980-05-22,26,34,18
1980-05-23,27,35,19
1980-05-24,26,35,17
1980-05-25,27,36,18
1980-05-26,27,37,17
1980-05-27,25.5,35,16
1980-05-28,24.5,34,15
1980-05-29,25,35,15
1980-05-30,24.5,34,15
1980-05-31,23.5,33,14
1980-08-01,27.5,36,19
1980-08-02,28,38,18
1980-08-03,29,37,21
1980-08-04,30,38,22
1980-08-05,29.75,39.5,20
1980-08-06,29.25,40,18.5
1980-08-07,28,37,19
1980-08-08,27,36,18
1980-08-09,21.5,24,19
1980-08-10,20,23,17
1980-08-11,20.5,24,17
1980-08-12,21.5,26,17
1980-08-13,23,27,19
1980-08-14,27.5,36,19
1980-08-15,26.5,34,19
1980-08-16,27,36,18
1980-08-17,27,34,20
1980-08-18,26,33,19
1980-08-19,24.5,32,17
1980-08-20,25.5,33,18
1980-08-21,27,34,20
1980-08-22,27.5,35,20
1980-08-23,27,34,20
1980-08-24,25.5,30,21
1980-08-25,25,32,18
1980-08-26,27,34,20
1980-08-27,27,33,21
1980-08-28,25.5,31,20
1980-08-29,25,32,18
1980-08-30,26.5,34,19
1980-08-31,27.5,36,19
1980-09-01,26,33,19
1980-09-02,24,34,14
1980-09-03,26,35,17
1980-09-04,25.5,35,16
1980-09-05,26,36,16
1980-09-06,25.5,33,18
1980-09-07,22.5,28,17
1980-09-08,24.5,33,16
1980-09-09,24.5,34,15
1980-09-10,25,33,17
1980-09-11,25,34,16
1980-09-12,25,32,18
1980-09-13,23.5,31,16
1980-09-14,25.5,34,17
1980-09-15,24.05,32.1,16
1980-09-16,25.5,35,16
1980-09-17,28.5,35,22
1980-09-18,25.5,34,17
1980-09-19,24.5,35,14
1980-09-20,25.5,34,17
1980-09-21,24,32,16
1980-09-22,24,33,15
1980-09-23,24.5,34,15
1980-09-24,24.5,33,16
1980-09-25,24.5,33,16
1980-09-26,25,34,16
1980-09-27,26,35,17
1980-09-28,26,35,17
1980-09-29,25.5,35,16
1980-09-30,23.5,33,14
1980-10-01,24.5,34,15
1980-10-02,19.5,32,7
1980-10-03,23.5,33,14
1980-10-04,22.5,32,13
1980-10-05,23,33,13
1980-10-06,21.5,30,13
1980-10-07,22,30,14
1980-10-08,23.5,35,12
1980-10-09,23,32,14
1980-10-10,24,32,16
1980-10-11,21.5,30,13
1980-10-12,23,29,17
1980-10-13,21.5,30,13
1980-10-14,22.5,33,12
1980-10-15,22,32,12
1980-10-16,24,34,14
1980-10-17,26,36,16
1980-10-18,19,24,14
1980-10-19,16,22,10
1980-10-20,15,20,10
1980-10-21,13,18,8
1980-10-22,14,20,8
1980-10-23,12.5,15,10
1980-10-24,14,20,8
1980-10-25,19,30,8
1980-10-26,21,32,10
1980-10-27,21,28,14
1980-10-28,17.5,21,14
1980-10-29,18,22,14
1980-10-30,19.5,23,16
1980-10-31,18,20,16
1980-11-01,17.5,26,9
1980-11-02,18,26,10
1980-11-03,18.5,27,10
1980-11-04,21,30,12
1980-11-05,20.5,28,13
1980-11-06,20.5,29,12
1980-11-07,21.5,29,14
1980-11-08,20.5,25,16
1980-11-09,22,28,16
1980-11-10,24,30,18
1980-11-11,24,29,19
1980-11-12,24.5,31,18
1980-11-13,24,31,17
1980-11-14,25,32,18
1980-11-15,14.05,15.1,13
1980-11-16,10,12,8
1980-11-17,14,20,8
1980-11-18,10.55,12.1,9
1980-11-19,9.5,13,6
1980-11-20,9,12,6
1980-11-21,9,12,6
1980-11-22,11.5,17,6
1980-11-23,12,15,9
1980-11-24,8,10,6
1980-11-25,7.5,10,5
1980-11-26,8.5,12,5
1980-11-27,5.5,10,1
1980-11-28,10,15,5
1980-11-29,12,17,7
1980-11-30,14.75,20,9.5
1980-12-01,13.5,17,10
1980-12-02,15.5,19,12
1980-12-03,15,23,7
1980-12-04,17,24,10
1980-12-05,18,28,8
1980-12-06,19,28,10
1980-12-07,19,30,8
1980-12-08,20.5,28,13
1980-12-09,8.5,12,5
1980-12-10,11.5,18,5
1980-12-11,14.5,20,9
1980-12-12,14.5,21,8
1980-12-13,15,23,7
1980-12-14,17,25,9
1980-12-15,16,22,10
1980-12-16,17.5,28,7
1980-12-17,16.5,27,6
1980-12-18,17,25,9
1980-12-19,12.5,16,9
1980-12-20,6.5,10,3
1980-12-21,7,11,3
1980-12-22,9,15,3
1980-12-23,9,13,5
1980-12-24,8.5,13,4
1980-12-25,10.5,18,3
1980-12-26,11,19,3
1980-12-27,14,24,4
1980-12-28,19.5,31,8
1980-12-29,10.5,15,6
1980-12-30,17,27,7
1980-12-31,14,23,5
1981-01-01,16,28,4
1981-01-02,16.5,28,5
1981-01-03,16.5,28,5
1981-01-04,13,20,6
1981-01-05,12,19,5
1981-01-06,11,17,5
1981-01-07,12.5,21,4
1981-01-08,13.5,20,7
1981-01-09,8,12,4
1981-01-10,7.5,12,3
1981-01-11,9,11,7
1981-01-12,9,12,6
1981-01-13,8,11,5
1981-01-14,17,29,5
1981-01-15,11.5,19,4
1981-01-16,7.5,10,5
1981-01-17,2.55,3.1,2
1981-01-18,2,4,0
1981-01-19,2.55,5,0.1
1981-01-20,9.5,19,0
1981-01-21,7.5,15,0
1981-01-22,5.5,9,2
1981-01-23,9.5,16,3
1981-01-24,14.5,24,5
1981-01-25,15,25,5
1981-01-26,17.5,28,7
1981-01-27,16,25,7
1981-01-28,18,27,9
1981-01-29,19.5,29,10
1981-01-30,16,21,11
1981-01-31,20.5,29,12
1981-02-01,17,22,12
1981-02-02,9,16,2
1981-02-03,9,15,3
1981-02-04,12.5,16,9
1981-02-05,13,16,10
1981-02-06,11.5,14,9
1981-02-07,11,14,8
1981-02-08,11.5,15,8
1981-02-09,11,15,7
1981-02-10,20.5,31,10
1981-02-11,16.5,23,10
1981-02-12,6.5,14,-1
1981-02-13,6.5,9,4
1981-02-14,10.5,17,4
1981-02-15,12.5,20,5
1981-02-16,12.5,17,8
1981-02-17,16,21,11
1981-02-18,20.5,26,15
1981-02-19,19.5,26,13
1981-02-20,17.5,21,14
1981-02-21,20,27,13
1981-02-22,22.5,30,15
1981-02-23,17.5,21,14
1981-02-24,15.5,24,7
1981-02-25,17.5,26,9
1981-02-26,19,30,8
1981-02-27,22,30,14
1981-02-28,21.5,28,15
1981-03-01,21.5,27,16
1981-03-02,22.5,28,17
1981-03-03,21.5,25,18
1981-03-04,24.5,32,17
1981-03-05,20.5,30,11
1981-03-06,20.5,26,15
1981-03-07,19,26,12
1981-03-08,18.5,24,13
1981-03-09,20.5,27,14
1981-03-10,14,15,13
1981-03-11,12,14,10
1981-03-12,10.5,12,9
1981-03-13,14,20,8
1981-03-14,11,15,7
1981-03-15,17,25,9
1981-03-16,18,26,10
1981-03-17,19.5,28,11
1981-03-18,19.5,29,10
1981-03-19,14,22,6
1981-03-20,16,25,7
1981-03-21,19.5,29,10
1981-03-22,20.5,30,11
1981-03-23,16.5,25,8
1981-03-24,16,25,7
1981-03-25,19,30,8
1981-03-26,20,26,14
1981-03-27,22,29,15
1981-03-28,23,30,16
