Estación: ,C19120,FRESNILLO. VALLECILLO
Variable: ,Evaporación (mm)
Longitud: ,99° 53' 00'',Latitud:,26° 26' 00

Fecha,Valor,NúmDatos
1980-04-01,1.8,CLIC
1980-04-02,16.4,CLIC
1980-04-03,2.8,CLIC
1980-04-04,6.3,CLIC
1980-04-05,0.6,CLIC
1980-04-06,2.1,CLIC
1980-04-07,6.8,CLIC
1980-04-08,6.5,CLIC
1980-04-09,4.9,CLIC
1980-04-10,6.5,CLIC
1980-04-11,9.3,CLIC
1980-04-12,7.4,CLIC
1980-04-13,6.9,CLIC
1980-04-14,1.9,CLIC
1980-04-15,4.4,CLIC
1980-04-16,15.5,CLIC
1980-04-17,9.7,CLIC
1980-04-18,10.7,CLIC
1980-04-19,7.5,CLIC
1980-04-20,2.3,CLIC
1980-04-21,15.5,CLIC
1980-04-22,9.4,CLIC
1980-04-23,10,CLIC
1980-04-24,7.9,CLIC
1980-04-25,8.4,CLIC
1980-04-26,2.2,CLIC
1980-04-27,0.4,CLIC
1980-04-28,4.4,CLIC
1980-04-29,2.2,CLIC
1980-04-30,8.5,CLIC
1980-05-01,13.8,CLIC
1980-05-02,12.2,CLIC
1980-05-03,10.6,CLIC
1980-05-04,5.2,CLIC
1980-05-05,11.3,CLIC
1980-05-06,3.5,CLIC
1980-05-07,13.7,CLIC
1980-05-08,10.2,CLIC
1980-05-09,7.8,CLIC
1980-05-10,9.7,CLIC
1980-05-11,10.8,CLIC
1980-05-12,9.1,CLIC
1980-05-13,4.1,CLIC
1980-05-14,2.8,CLIC
1980-05-15,7.2,CLIC
1980-05-16,11.6,CLIC
1980-05-17,15,CLIC
1980-05-18,9.8,CLIC
1980-05-19,5.5,CLIC
1980-05-20,4.5,CLIC
1980-05-21,4.8,CLIC
1980-05-22,8.8,CLIC
1980-05-23,12.6,CLIC
1980-05-24,14.2,CLIC
1980-05-25,12.4,CLIC
1980-05-26,7.5,CLIC
1980-05-27,3.9,CLIC
1980-05-28,12.2,CLIC
1980-05-29,9.8,CLIC
1980-05-30,13,CLIC
1980-07-01,11.5,CLIC
1980-07-02,12.1,CLIC
1980-07-03,12.2,CLIC
1980-07-04,2.5,CLIC
1980-07-05,4,CLIC
1980-07-06,7.9,CLIC
1980-07-07,10.3,CLIC
1980-07-08,12,CLIC
1980-07-09,10.7,CLIC
1980-07-10,12,CLIC
1980-07-11,13.6,CLIC
1980-07-12,8.3,CLIC
1980-07-13,3.5,CLIC
1980-07-14,14.4,CLIC
1980-07-15,14,CLIC
1980-07-16,9.1,CLIC
1980-07-17,14.6,CLIC
1980-07-18,11.9,CLIC
1980-07-19,9.6,CLIC
1980-07-20,7.7,CLIC
