Estación: ,C19122,GENERAL TERAN.GRAL.TERAN
Variable: ,Evaporación (mm)
Longitud: ,99° 41' 00'',Latitud:,25° 17' 00

Fecha,Valor,NúmDatos
1980-04-08,5.1,CLIC
1980-04-09,4.5,CLIC
1980-04-10,5.6,CLIC
1980-04-11,4.8,CLIC
1980-04-12,6.6,CLIC
1980-04-13,3,CLIC
1980-04-14,4.6,CLIC
1980-04-15,3,CLIC
1980-04-16,6.8,CLIC
1980-04-17,7.2,CLIC
1980-04-18,2.7,CLIC
1980-04-19,3.1,CLIC
1980-04-20,3.3,CLIC
1980-04-21,5.5,CLIC
1980-04-22,10.9,CLIC
1980-04-23,4.4,CLIC
1980-04-24,3.8,CLIC
1980-04-25,7.2,CLIC
1980-04-26,10.1,CLIC
1980-04-27,4.9,CLIC
1980-04-28,15.9,CLIC
1980-04-29,3.6,CLIC
1980-04-30,4.8,CLIC
1980-05-08,4.8,CLIC
1980-05-09,3.9,CLIC
1980-05-10,4.1,CLIC
1980-05-11,4,CLIC
1980-05-12,3.3,CLIC
1980-05-13,4.2,CLIC
1980-05-14,5.9,CLIC
1980-05-15,3.9,CLIC
1980-05-16,6.4,CLIC
1980-05-17,4.4,CLIC
1980-05-18,17.1,CLIC
1980-05-19,9,CLIC
1980-05-20,4.9,CLIC
1980-05-21,4,CLIC
1980-05-22,2,CLIC
1980-05-23,4.7,CLIC
1980-05-24,5.6,CLIC
1980-05-25,4.4,CLIC
1980-05-26,5.2,CLIC
1980-05-27,5.5,CLIC
1980-05-28,5.1,CLIC
1980-05-29,4.3,CLIC
1980-05-30,6.3,CLIC
1980-05-31,4.6,CLIC
1980-08-01,5.3,CLIC
1980-08-02,5.9,CLIC
1980-08-03,6.6,CLIC
1980-08-04,4,CLIC
1980-08-05,5.1,CLIC
1980-08-07,8.3,CLIC
1980-08-08,6.3,CLIC
1980-08-09,5.4,CLIC
1980-08-11,3.8,CLIC
1980-08-12,5.1,CLIC
1980-08-13,5.3,CLIC
1980-08-14,5.6,CLIC
1980-08-15,4.8,CLIC
1980-08-16,2.3,CLIC
1980-08-17,2.4,CLIC
1980-08-18,5.2,CLIC
1980-08-19,4.8,CLIC
1980-08-20,5.4,CLIC
1980-08-21,4.6,CLIC
1980-08-22,4.8,CLIC
1980-08-23,5.6,CLIC
1980-08-24,5.2,CLIC
1980-08-25,4.7,CLIC
1980-08-26,4.8,CLIC
1980-08-27,4.8,CLIC
1980-08-28,7.1,CLIC
1980-08-29,5.2,CLIC
1980-08-30,6.7,CLIC
1980-08-31,6.8,CLIC
1980-09-01,4.9,CLIC
1980-09-02,4.7,CLIC
1980-09-03,4.8,CLIC
1980-09-04,5.1,CLIC
