Estación: ,C19122,GENERAL TERAN.GRAL.TERAN
Variable: ,Precipitación (mm)
Longitud: ,99° 41' 00'',Latitud:,25° 17' 00

Fecha,Valor,NúmDatos
1980-04-07,30,CLIC
1980-04-08,0,CLIC
1980-04-09,0,CLIC
1980-04-10,0,CLIC
1980-04-11,0,CLIC
1980-04-12,0,CLIC
1980-04-13,0,CLIC
1980-04-14,0,CLIC
1980-04-15,0,CLIC
1980-04-16,0,CLIC
1980-04-17,0,CLIC
1980-04-18,0,CLIC
1980-04-19,0,CLIC
1980-04-20,0,CLIC
1980-04-21,0,CLIC
1980-04-22,0,CLIC
1980-04-23,0,CLIC
1980-04-24,0,CLIC
1980-04-25,0,CLIC
1980-04-26,0,CLIC
1980-04-27,0,CLIC
1980-04-28,0,CLIC
1980-04-29,0,CLIC
1980-04-30,0,CLIC
1980-05-07,0,CLIC
1980-05-08,0,CLIC
1980-05-09,0,CLIC
1980-05-10,0,CLIC
1980-05-11,0,CLIC
1980-05-12,0,CLIC
1980-05-13,0,CLIC
1980-05-14,0,CLIC
1980-05-15,0,CLIC
1980-05-16,0,CLIC
1980-05-17,0,CLIC
1980-05-18,30,CLIC
1980-05-19,0,CLIC
1980-05-20,48,CLIC
1980-05-21,0,CLIC
1980-05-22,0,CLIC
1980-05-23,0,CLIC
1980-05-24,0,CLIC
1980-05-25,0,CLIC
1980-05-26,0,CLIC
1980-05-27,0,CLIC
1980-05-28,0,CLIC
1980-05-29,0,CLIC
1980-05-30,0,CLIC
1980-05-31,0,CLIC
1980-08-01,0,CLIC
1980-08-02,0,CLIC
1980-08-03,0,CLIC
1980-08-04,0,CLIC
1980-08-05,0,CLIC
1980-08-06,65,CLIC
1980-08-07,0,CLIC
1980-08-08,0,CLIC
1980-08-09,17,CLIC
1980-08-10,15,CLIC
1980-08-11,20,CLIC
1980-08-12,0,CLIC
1980-08-13,0,CLIC
1980-08-14,0,CLIC
1980-08-15,0,CLIC
1980-08-16,25,CLIC
1980-08-17,0,CLIC
1980-08-18,0,CLIC
1980-08-19,0,CLIC
1980-08-20,0,CLIC
1980-08-21,0,CLIC
1980-08-22,0,CLIC
1980-08-23,0,CLIC
1980-08-24,0,CLIC
1980-08-25,0,CLIC
1980-08-26,0,CLIC
1980-08-27,0,CLIC
1980-08-28,0,CLIC
1980-08-29,0,CLIC
1980-08-30,0,CLIC
1980-08-31,0,CLIC
1980-09-01,0,CLIC
1980-09-02,0,CLIC
1980-09-03,0,CLIC
1980-09-04,0,CLIC
1980-09-05,0,CLIC
1980-09-06,0,CLIC
1980-09-07,0,CLIC
1980-09-08,0,CLIC
1980-09-09,0,CLIC
1980-09-10,0,CLIC
1980-09-11,0,CLIC
1980-09-12,0,CLIC
1980-09-13,0,CLIC
1980-09-14,0,CLIC
1980-09-15,0,CLIC
1980-09-16,0,CLIC
1980-09-17,0,CLIC
1980-09-18,0,CLIC
1980-09-19,0,CLIC
1980-09-20,0,CLIC
1980-09-21,0,CLIC
1980-09-22,0,CLIC
1980-09-23,0,CLIC
1980-09-24,15,CLIC
1980-09-25,0,CLIC
1980-09-26,0,CLIC
1980-09-27,0,CLIC
1980-09-28,0,CLIC
1980-09-29,0,CLIC
1980-09-30,0,CLIC
1980-10-01,0,CLIC
1980-10-02,0,CLIC
1980-10-03,0,CLIC
1980-10-04,0,CLIC
1980-10-05,0,CLIC
1980-10-06,0,CLIC
1980-10-07,0,CLIC
1980-10-08,0,CLIC
1980-10-09,0,CLIC
1980-10-10,0,CLIC
1980-10-11,0,CLIC
1980-10-12,0,CLIC
1980-10-13,0,CLIC
1980-10-14,0,CLIC
1980-10-15,0,CLIC
1980-10-16,0,CLIC
1980-10-17,0,CLIC
1980-10-18,4,CLIC
1980-10-19,18,CLIC
1980-10-20,5,CLIC
1980-10-21,6,CLIC
1980-10-22,6,CLIC
1980-10-23,28,CLIC
1980-10-24,12,CLIC
1980-10-25,0,CLIC
1980-10-26,0,CLIC
1980-10-27,0,CLIC
1980-10-28,0,CLIC
1980-10-29,0,CLIC
1980-10-30,0,CLIC
1980-10-31,0,CLIC
1980-11-01,0,CLIC
1980-11-02,0,CLIC
1980-11-03,0,CLIC
1980-11-04,0,CLIC
1980-11-05,0,CLIC
1980-11-06,0,CLIC
1980-11-07,5,CLIC
1980-11-08,0,CLIC
1980-11-09,0,CLIC
1980-11-10,0,CLIC
1980-11-11,0,CLIC
1980-11-12,0,CLIC
1980-11-13,0,CLIC
1980-11-14,0,CLIC
1980-11-15,13,CLIC
