Estación: ,C19130,POBLADORES. CHINA
Variable: ,Precipitación (mm)
Longitud: ,98° 45' 29'',Latitud:,25° 22' 39

Fecha,Valor,NúmDatos
1980-04-01,0,CLIC
1980-04-02,0,CLIC
1980-04-03,0,CLIC
1980-04-04,0,CLIC
1980-04-05,0,CLIC
1980-04-06,0,CLIC
1980-04-07,0,CLIC
1980-04-08,0,CLIC
1980-04-09,0,CLIC
1980-04-10,0,CLIC
1980-04-11,0,CLIC
1980-04-12,0,CLIC
1980-04-13,0,CLIC
1980-04-14,0,CLIC
1980-04-15,0,CLIC
1980-04-16,0,CLIC
1980-04-17,0,CLIC
1980-04-18,0,CLIC
1980-04-19,0,CLIC
1980-04-20,0,CLIC
1980-04-21,1,CLIC
1980-04-22,0,CLIC
1980-04-23,0,CLIC
1980-04-24,0,CLIC
1980-04-25,0,CLIC
1980-04-26,0,CLIC
1980-04-27,0,CLIC
1980-04-28,0,CLIC
1980-04-29,0,CLIC
1980-04-30,0,CLIC
1980-05-01,7.5,CLIC
1980-05-02,0,CLIC
1980-05-03,0,CLIC
1980-05-04,0,CLIC
1980-05-05,0,CLIC
1980-05-06,3,CLIC
1980-05-07,0,CLIC
1980-05-08,17,CLIC
1980-05-09,1,CLIC
1980-05-10,0,CLIC
1980-05-11,0,CLIC
1980-05-12,0,CLIC
1980-05-13,0,CLIC
1980-05-14,0,CLIC
1980-05-15,0,CLIC
1980-05-16,0,CLIC
1980-05-17,0,CLIC
1980-05-18,0,CLIC
1980-05-19,0,CLIC
1980-05-20,0,CLIC
1980-05-21,0,CLIC
1980-05-22,0,CLIC
1980-05-23,0,CLIC
1980-05-24,0,CLIC
1980-05-25,0,CLIC
1980-05-26,0,CLIC
1980-05-27,0,CLIC
1980-05-28,0,CLIC
1980-05-29,0,CLIC
1980-05-30,0,CLIC
1980-05-31,0,CLIC
1981-03-18,0,CLIC
1981-03-19,0,CLIC
1981-03-20,0,CLIC
1981-03-21,0,CLIC
1981-03-22,0,CLIC
1981-03-23,0,CLIC
1981-03-24,0,CLIC
1981-03-25,0,CLIC
1981-03-26,0,CLIC
1981-03-27,0,CLIC
1981-03-28,0,CLIC
1981-03-29,0,CLIC
1981-03-30,0,CLIC
1981-03-31,0,CLIC
1981-05-01,0,CLIC
1981-05-02,77.3,CLIC
1981-05-03,0,CLIC
1981-05-04,0,CLIC
1981-05-05,0,CLIC
1981-05-06,0,CLIC
1981-05-07,0,CLIC
1981-05-08,4,CLIC
1981-05-09,0,CLIC
1981-05-10,0,CLIC
1981-05-11,0,CLIC
1981-05-12,0,CLIC
1981-05-13,0,CLIC
1981-05-14,0,CLIC
1981-05-15,0,CLIC
1981-05-16,0,CLIC
1981-05-17,0,CLIC
1981-05-18,0,CLIC
1981-05-19,4,CLIC
1981-05-20,0,CLIC
1981-05-21,0,CLIC
1981-05-22,10.7,CLIC
1981-05-23,0,CLIC
1981-05-24,0,CLIC
1981-05-25,0,CLIC
1981-05-26,0,CLIC
1981-05-27,0,CLIC
1981-05-28,0,CLIC
1981-05-29,40,CLIC
1981-05-30,0,CLIC
1981-05-31,0,CLIC
1981-06-01,0,CLIC
1981-06-02,0,CLIC
1981-06-03,0,CLIC
1981-06-04,0,CLIC
1981-06-05,0,CLIC
