Estación: ,C19131,PTO. EL EBANO.SABINAS H.
Variable: ,Evaporación (mm)
Longitud: ,100° 02' 56'',Latitud:,26° 20' 55

Fecha,Valor,NúmDatos
1981-08-01,8,CLIC
1981-08-02,7.8,CLIC
1981-08-03,8,CLIC
1981-08-04,7.1,CLIC
1981-08-05,8.3,CLIC
1981-08-06,9.1,CLIC
1981-08-07,5.9,CLIC
1981-08-08,5.7,CLIC
1981-08-09,6.1,CLIC
1981-08-10,7,CLIC
1981-08-11,6.4,CLIC
1981-08-12,6.6,CLIC
1981-08-13,8,CLIC
1981-08-14,7.5,CLIC
1981-08-15,7,CLIC
1981-08-16,8.5,CLIC
1981-08-17,8.2,CLIC
1981-08-18,7.9,CLIC
1981-08-19,7.1,CLIC
1981-08-20,7.9,CLIC
1981-08-21,7.5,CLIC
1981-08-22,6.9,CLIC
1981-08-23,6.5,CLIC
1981-08-24,7.6,CLIC
1981-08-25,7,CLIC
1981-08-26,7,CLIC
1981-08-27,7.4,CLIC
1981-08-28,7.9,CLIC
1981-08-29,6.6,CLIC
1981-08-30,5.3,CLIC
1981-08-31,6.8,CLIC
1981-09-01,7.75,CLIC
1981-09-03,5.88,CLIC
1981-09-04,8.96,CLIC
1981-09-05,6.45,CLIC
1981-09-06,8.1,CLIC
1981-09-07,9.95,CLIC
1981-09-08,8.5,CLIC
1981-09-09,8.05,CLIC
1981-09-10,8.35,CLIC
1981-09-11,8.6,CLIC
1981-09-12,6.4,CLIC
1981-09-13,7.87,CLIC
1981-09-14,7.11,CLIC
1981-09-15,7.66,CLIC
1981-09-16,6.56,CLIC
1981-09-17,8.94,CLIC
1981-09-18,7.55,CLIC
1981-09-19,6.99,CLIC
1981-09-20,8.46,CLIC
1981-09-21,6.46,CLIC
1981-09-22,6.54,CLIC
1981-09-23,5.46,CLIC
1981-09-24,8.57,CLIC
1981-09-25,7.97,CLIC
1981-09-26,6.83,CLIC
1981-09-27,8.51,CLIC
1981-09-28,8.96,CLIC
1981-09-29,7.54,CLIC
1981-09-30,7.35,CLIC
1981-10-01,6.7,CLIC
1981-10-02,5.2,CLIC
1981-10-03,4.1,CLIC
1981-10-04,4.7,CLIC
1981-10-05,4.2,CLIC
1981-10-06,4.8,CLIC
1981-10-07,6.2,CLIC
1981-10-08,5.7,CLIC
1981-10-09,6.3,CLIC
1981-10-10,7.1,CLIC
1981-10-11,6,CLIC
1981-10-12,5.8,CLIC
1981-10-13,6.8,CLIC
1981-10-14,5.8,CLIC
1981-10-15,5.4,CLIC
1981-10-16,5.5,CLIC
1981-10-17,5.5,CLIC
1981-10-18,5.4,CLIC
1981-10-19,6.9,CLIC
1981-10-20,7.5,CLIC
1981-10-21,5.7,CLIC
1981-10-22,7.9,CLIC
1981-10-23,7.9,CLIC
1981-10-24,6.7,CLIC
1981-10-25,5.6,CLIC
1981-10-26,7.9,CLIC
1981-10-27,6.1,CLIC
1981-10-28,6.4,CLIC
1981-10-29,7,CLIC
1981-10-30,6.1,CLIC
1981-10-31,6.8,CLIC
1981-12-01,1.8,CLIC
1981-12-02,3.65,CLIC
1981-12-03,3,CLIC
1981-12-04,2.7,CLIC
1981-12-05,3.3,CLIC
1981-12-06,1.9,CLIC
1981-12-07,0.8,CLIC
1981-12-08,1.15,CLIC
1981-12-09,2,CLIC
1981-12-10,1.6,CLIC
1981-12-11,3.15,CLIC
1981-12-12,4.55,CLIC
