Estación: ,C19132,EL QUEMADO. CHINA
Variable: ,Temperatura del Aire (°C)
Longitud: ,98° 48' 12'',Latitud:,25° 40' 28

Fecha,Promedio,Máximo,Mínimo
1980-05-01,29.5,39,20
1980-05-02,28.5,35,22
1980-05-03,26.5,33,20
1980-05-04,24,26,22
1980-05-05,25,29,21
1980-05-06,26,31,21
1980-05-07,28.5,34,23
1980-05-08,28,32,24
1980-05-09,26,33,19
1980-05-10,32,41,23
1980-05-11,32.5,40,25
1980-05-12,28.5,31,26
1980-05-13,28.5,32,25
1980-05-14,30.5,36,25
1980-05-15,31,38,24
1980-05-16,30,35,25
1980-05-17,30.5,37,24
1980-05-18,31,37,25
1980-05-19,23.5,27,20
1980-05-20,26,31,21
1980-05-21,29.5,36,23
1980-05-22,29.5,39,20
1980-05-23,30.5,38,23
1980-05-24,31.5,39,24
1980-05-25,32.5,40,25
1980-05-26,32,38,26
1980-05-27,26,30,22
1980-05-28,31.5,37,26
1980-05-29,27.5,30,25
1980-05-30,27.5,32,23
1980-05-31,27.5,35,20
