Estación: ,C19136,SAN ISIDRO. LINARES
Variable: ,Evaporación (mm)
Longitud: ,99° 19' 57.2'',Latitud:,24° 57' 27.04''

Fecha,Valor,NúmDatos
1980-09-01,4.9,CLIC
1980-09-02,5,CLIC
1980-09-03,8.7,CLIC
1980-09-04,7.4,CLIC
1980-09-05,4.9,CLIC
1980-09-06,6,CLIC
1980-09-07,4.1,CLIC
1980-09-08,6.3,CLIC
1980-09-09,3.3,CLIC
1980-09-10,6.1,CLIC
1980-09-11,4.9,CLIC
1980-09-12,7.8,CLIC
1980-09-13,7.9,CLIC
1980-09-14,7.9,CLIC
1980-09-15,9.2,CLIC
1980-09-16,11.7,CLIC
1980-09-17,10.5,CLIC
1980-09-18,9.3,CLIC
1980-09-19,9.1,CLIC
1980-09-20,11.6,CLIC
1980-09-21,12.4,CLIC
1980-09-22,12,CLIC
1980-09-23,9.5,CLIC
1980-09-25,9.7,CLIC
1980-09-26,3.5,CLIC
1980-09-27,4.2,CLIC
1980-09-28,3.8,CLIC
1980-09-29,8.7,CLIC
1980-09-30,7,CLIC
1980-10-01,4.7,CLIC
1980-10-02,4.5,CLIC
1980-10-03,4.9,CLIC
1980-10-04,4.6,CLIC
1980-10-05,5.1,CLIC
1980-10-06,4.7,CLIC
1980-10-07,6.6,CLIC
1980-10-08,4.4,CLIC
1980-10-09,5.5,CLIC
1980-10-10,4.7,CLIC
1980-10-11,3.8,CLIC
1980-10-12,5.6,CLIC
1980-10-13,4.5,CLIC
1980-10-14,6.6,CLIC
1980-10-15,5.1,CLIC
1980-10-16,5.5,CLIC
1980-10-17,5.7,CLIC
1980-10-18,8.2,CLIC
1980-10-19,7.3,CLIC
1980-10-20,8.7,CLIC
1980-10-21,6.1,CLIC
1980-10-22,6.9,CLIC
1980-10-23,6.3,CLIC
1980-10-24,8.8,CLIC
1980-10-25,5.5,CLIC
1980-10-26,5.2,CLIC
1980-10-27,6.1,CLIC
1980-10-28,9.7,CLIC
1980-10-29,5,CLIC
1980-10-30,5,CLIC
1980-10-31,6,CLIC
1980-11-01,2.7,CLIC
1980-11-02,4.2,CLIC
1980-11-03,3.1,CLIC
1980-11-04,4.3,CLIC
1980-11-05,5.7,CLIC
1980-11-06,3.8,CLIC
1980-11-07,4.9,CLIC
1980-11-08,3.4,CLIC
1980-11-09,5.4,CLIC
1980-11-10,5.3,CLIC
1980-11-11,4.1,CLIC
1980-11-12,3.4,CLIC
1980-11-13,3,CLIC
1980-11-14,5.8,CLIC
1980-11-15,3.7,CLIC
1980-11-16,2.6,CLIC
1980-11-17,1.8,CLIC
1980-11-18,2,CLIC
1980-11-19,2.1,CLIC
1980-11-20,2.9,CLIC
1980-11-22,2.4,CLIC
1980-11-23,2.9,CLIC
1980-11-24,6.1,CLIC
1980-11-25,2.5,CLIC
1980-11-26,1,CLIC
1980-11-27,1,CLIC
1980-11-28,1.8,CLIC
1980-11-29,1.6,CLIC
1980-11-30,3.1,CLIC
1981-01-01,3.5,CLIC
1981-01-02,2.6,CLIC
1981-01-03,5.7,CLIC
1981-01-04,2,CLIC
1981-01-05,1.5,CLIC
1981-01-06,2,CLIC
1981-01-07,1.5,CLIC
1981-01-08,3,CLIC
1981-01-09,0.2,CLIC
1981-01-10,0.9,CLIC
1981-01-11,0.4,CLIC
1981-01-12,0.9,CLIC
1981-01-13,0.5,CLIC
1981-01-14,1.7,CLIC
1981-01-15,2.5,CLIC
1981-01-20,0.5,CLIC
1981-01-21,0.4,CLIC
1981-01-22,1,CLIC
1981-01-23,0.3,CLIC
1981-01-24,0.5,CLIC
1981-01-25,3.8,CLIC
1981-01-26,1.5,CLIC
1981-01-27,5.1,CLIC
1981-01-28,3.1,CLIC
1981-01-29,2.5,CLIC
1981-01-30,4.1,CLIC
1981-01-31,2.4,CLIC
1981-02-01,7,CLIC
1981-02-02,6.7,CLIC
1981-02-03,3.4,CLIC
1981-02-04,3.8,CLIC
1981-02-05,0.4,CLIC
1981-02-06,1.2,CLIC
1981-02-07,2.3,CLIC
1981-02-08,2.7,CLIC
1981-02-09,4.9,CLIC
1981-02-10,4.5,CLIC
1981-02-11,5.2,CLIC
1981-02-12,4.1,CLIC
1981-02-13,0.8,CLIC
1981-02-14,2.1,CLIC
1981-02-15,2.6,CLIC
1981-02-16,1,CLIC
1981-02-17,3.2,CLIC
1981-02-18,4.9,CLIC
1981-02-19,1.6,CLIC
1981-02-20,3.7,CLIC
1981-02-21,6.7,CLIC
1981-02-22,3,CLIC
1981-02-23,5.1,CLIC
1981-02-24,3.4,CLIC
