Estación: ,C19137,SAN JORGE. GALEANA
Variable: ,Evaporación (mm)
Longitud: ,100° 26' 48.5'',Latitud:,24° 34' 43.1''

Fecha,Valor,NúmDatos
1980-10-01,3.7,CLIC
1980-10-02,6.2,CLIC
1980-10-03,4.9,CLIC
1980-10-04,0.9,CLIC
1980-10-05,3,CLIC
1980-10-06,4.1,CLIC
1980-10-07,3,CLIC
1980-10-08,6,CLIC
1980-10-09,2,CLIC
1980-10-10,1.1,CLIC
1980-10-11,3.6,CLIC
1980-10-12,2.2,CLIC
1980-10-13,3.7,CLIC
1980-10-14,2.3,CLIC
1980-10-15,1.7,CLIC
1980-10-16,3.2,CLIC
1980-10-17,3.2,CLIC
1980-10-18,3.6,CLIC
1980-10-19,4.1,CLIC
1980-10-20,1,CLIC
1980-10-21,2.9,CLIC
1980-10-22,1.9,CLIC
1980-10-23,2.1,CLIC
1980-10-24,3,CLIC
1980-10-25,2,CLIC
1980-10-26,4.2,CLIC
1980-10-27,3.3,CLIC
1980-10-28,1.3,CLIC
1980-10-29,2.3,CLIC
1980-10-30,4.2,CLIC
1980-10-31,3.9,CLIC
1981-03-01,5.8,CLIC
1981-03-02,5,CLIC
1981-03-03,6.8,CLIC
1981-03-04,5.4,CLIC
1981-03-05,5.7,CLIC
1981-03-06,5.6,CLIC
1981-03-07,5.7,CLIC
1981-03-08,5.8,CLIC
1981-03-09,6.1,CLIC
1981-03-10,5.5,CLIC
1981-03-11,5.6,CLIC
1981-03-12,5.2,CLIC
1981-03-13,4.9,CLIC
1981-03-14,4.4,CLIC
1981-03-15,6.4,CLIC
1981-03-16,6.6,CLIC
1981-03-17,5.7,CLIC
1981-03-18,4.3,CLIC
1981-03-19,3.3,CLIC
1981-03-20,6.2,CLIC
1981-03-21,4.4,CLIC
1981-03-22,4.5,CLIC
1981-03-23,5.9,CLIC
1981-03-24,6.6,CLIC
1981-03-25,5.2,CLIC
1981-03-26,4.9,CLIC
1981-03-27,4.1,CLIC
1981-03-28,6.7,CLIC
1981-03-29,4.2,CLIC
1981-03-30,5.9,CLIC
1981-03-31,5.9,CLIC
1981-04-01,4.9,CLIC
1981-04-02,2.8,CLIC
1981-04-03,4.1,CLIC
1981-04-04,4.2,CLIC
1981-04-05,3.8,CLIC
1981-04-06,4,CLIC
1981-04-07,4,CLIC
1981-04-08,4.2,CLIC
1981-04-09,4,CLIC
1981-04-10,3.9,CLIC
1981-04-11,3.5,CLIC
1981-04-12,5.6,CLIC
1981-04-13,4.9,CLIC
1981-04-14,3.4,CLIC
1981-04-15,5.9,CLIC
1981-04-16,4.6,CLIC
