Estación: ,C19154,EL POPOTE. LINARES
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 29' 25'',Latitud:,24° 54' 06.2''

Fecha,Promedio,Máximo,Mínimo
1981-11-01,19.5,28,11
1981-11-02,22.25,32,12.5
1981-11-03,20.5,29.5,11.5
1981-11-04,21.5,30.5,12.5
1981-11-05,20.75,29.5,12
1981-11-06,20.75,30,11.5
1981-11-07,20.25,28,12.5
1981-11-08,22.5,30.5,14.5
1981-11-09,20.5,25,16
1981-11-10,17.5,22.5,12.5
1981-11-11,16.25,25,7.5
1981-11-12,17,24.5,9.5
1981-11-13,19.5,26,13
1981-11-14,21.75,29.5,14
1981-11-15,23.25,31.5,15
1981-11-16,22.5,32.5,12.5
1981-11-17,22.25,31,13.5
1981-11-18,25.75,33,18.5
1981-11-19,23.75,30.5,17
1981-11-20,20.75,31,10.5
1981-11-21,22.75,32,13.5
1981-11-22,20.25,28.5,12
1981-11-23,24,35,13
1981-11-24,21.75,31,12.5
1981-11-25,22.25,30.5,14
1981-11-26,24.5,34.5,14.5
1981-11-27,21.75,29,14.5
1981-11-28,19,26,12
1981-11-29,23.5,33.5,13.5
1981-11-30,24,31,17
1981-12-01,18.5,29,8
1981-12-02,17.5,26.5,8.5
1981-12-03,15.25,20.5,10
1981-12-04,15.55,18.1,13
1981-12-05,15.25,19,11.5
1981-12-06,17,22,12
1981-12-07,16.5,20,13
1981-12-08,21,28,14
1981-12-09,19.5,25,14
1981-12-10,21.5,31,12
1981-12-11,18.5,24,13
1981-12-12,21.75,31,12.5
1981-12-13,19.5,25,14
1981-12-14,15,18.5,11.5
1981-12-15,12.25,15,9.5
1981-12-16,13.5,18.5,8.5
1981-12-17,13.75,20.5,7
1981-12-18,12.5,16,9
1981-12-19,15.5,22,9
1981-12-20,14.75,18.5,11
1981-12-21,18,26.5,9.5
1981-12-22,13.5,16.5,10.5
1981-12-23,11.25,14,8.5
1981-12-24,10.25,13,7.5
1981-12-25,9.5,14,5
1981-12-26,9.5,16,3
1981-12-27,11.75,18,5.5
1981-12-28,12,15,9
1981-12-29,12.75,16,9.5
1981-12-30,12.75,18.5,7
1981-12-31,13.5,16.5,10.5
1982-01-01,13.25,19,7.5
1982-01-02,16,22,10
1982-01-03,15.5,20.5,10.5
1982-01-04,16.25,23,9.5
1982-01-05,12.75,16,9.5
1982-01-06,11.75,15,8.5
1982-01-07,11.5,15,8
1982-01-08,9.75,14,5.5
1982-01-09,11.25,16,6.5
1982-01-10,9.25,11,7.5
1982-01-11,5,6.5,3.5
1982-01-12,7.25,13.5,1
1982-01-13,6.25,10,2.5
1982-01-14,4,11,-3
1982-01-15,6.75,13.5,0
1982-01-16,10,16,4
1982-01-17,9.25,14,4.5
1982-01-18,18.25,31,5.5
1982-01-19,19,30.5,7.5
1982-01-20,20.75,31.5,10
1982-01-21,23.75,31,16.5
1982-01-22,25.5,32,19
1982-01-23,24.25,31,17.5
1982-01-24,22.5,30.5,14.5
1982-01-25,20.5,32.5,8.5
1982-01-26,17.5,22.5,12.5
1982-01-27,21.5,29,14
1982-01-28,20.5,30.5,10.5
1982-01-29,18,26,10
1982-01-30,19,28,10
1982-01-31,19.25,29,9.5
1982-02-01,17.25,24.5,10
1982-02-02,18.25,25,11.5
1982-02-03,15,18.5,11.5
1982-02-04,10,16.5,3.5
1982-02-05,9.5,14.5,4.5
1982-02-06,5.25,8.5,2
1982-02-07,8,14.5,1.5
1982-02-08,14.75,27.5,2
1982-02-09,15.75,23.5,8
1982-02-10,12.5,20.5,4.5
1982-02-11,14.25,22,6.5
1982-02-12,19,29,9
1982-02-13,22.75,35.5,10
1982-02-14,21.5,30.5,12.5
1982-02-15,20.25,32,8.5
1982-02-16,20,33,7
1982-02-17,21.25,30,12.5
1982-02-18,23.5,35,12
1982-02-19,20,26,14
1982-02-20,21,31,11
1982-02-21,18.5,25,12
1982-02-22,21.25,30.5,12
1982-02-23,21.25,28.5,14
1982-02-24,24,31,17
1982-02-25,21.25,24.5,18
1982-02-26,13.75,21,6.5
1982-02-27,15,26,4
1982-02-28,13,21,5
1982-03-01,13.75,22.5,5
1982-03-02,18.25,27.5,9
1982-03-03,23,33,13
1982-03-04,24.5,34,15
1982-03-05,21.5,30.5,12.5
1982-03-06,18,30,6
1982-03-07,18,31,5
1982-03-08,15,24.5,5.5
1982-03-09,18.25,28,8.5
1982-03-10,21.5,30,13
1982-03-11,24.5,32.5,16.5
1982-03-12,24,30,18
1982-03-13,24.75,33,16.5
1982-03-14,26.5,35,18
1982-03-15,28,36,20
1982-03-16,27.5,34,21
1982-03-17,30,39.5,20.5
1982-03-18,28.25,35,21.5
1982-03-19,29,36,22
1982-03-20,28.25,36.5,20
1982-03-21,27,33,21
1982-03-22,19,22,16
1982-03-23,17.75,21,14.5
1982-03-24,21.75,28.5,15
1982-03-25,24,32,16
1982-03-26,21.75,30,13.5
1982-03-27,19,24,14
1982-03-28,17,21,13
1982-03-29,19.75,28.5,11
1982-03-30,24,33.5,14.5
1982-03-31,26.75,34.5,19
1982-04-01,29,35,23
1982-04-02,30,40,20
1982-04-03,28.5,36,21
1982-04-04,29,38,20
1982-04-05,28.75,36.5,21
1982-04-06,24,28.5,19.5
1982-04-07,24,29,19
1982-04-08,24,30,18
1982-04-09,28,36,20
1982-04-10,28.75,36.5,21
1982-04-11,19.5,25,14
1982-04-12,23.75,31.5,16
1982-04-13,29.25,39.5,19
1982-04-14,28,35,21
1982-04-15,30.25,38.5,22
1982-04-16,26.75,32.5,21
1982-04-17,29.25,36,22.5
1982-04-18,27.25,33.5,21
1982-04-19,28,36.5,19.5
1982-04-20,29,36,22
1982-04-21,15.75,17,14.5
1982-04-22,13.25,15,11.5
1982-04-23,16.25,22,10.5
1982-04-24,15,20,10
1982-04-25,18,25,11
1982-04-26,20.75,32.5,9
1982-04-27,20.75,31.5,10
1982-04-28,20.5,24,17
1982-04-29,19,20,18
1982-04-30,23,26,20
1982-05-01,21,25,17
1982-05-02,20.25,24.5,16
1982-05-03,22.75,26,19.5
1982-05-04,22,24,20
1982-05-05,23.5,27.5,19.5
1982-05-06,24.25,28.5,20
1982-05-07,23.25,27,19.5
1982-05-08,21.5,25,18
1982-05-09,23.75,28.5,19
1982-05-10,25.5,32.5,18.5
1982-05-11,26.25,32.5,20
1982-05-12,26.25,30.5,22
1982-05-13,27.75,32.5,23
1982-05-14,24.75,30.5,19
1982-05-15,26.25,32.5,20
1982-05-16,27.25,33.5,21
1982-05-17,25.5,30.5,20.5
1982-05-18,24.25,31,17.5
1982-05-19,24.75,30.5,19
1982-05-20,25.5,31,20
1982-05-21,26.5,32,21
1982-05-22,24.5,29,20
1982-05-23,24.75,30.5,19
1982-05-24,24.75,29.5,20
1982-05-25,24.5,28,21
1982-05-26,27.75,32,23.5
1982-05-27,28.75,33.5,24
1982-05-28,29.75,36.5,23
1982-05-29,29,34,24
1982-05-30,29.5,35.5,23.5
1982-05-31,29,35,23
1982-06-01,30.25,35.5,25
1982-06-02,27.25,31,23.5
1982-06-03,29.5,35,24
1982-06-04,30.25,38.5,22
1982-06-05,28.75,34,23.5
1982-06-06,29,36,22
1982-06-07,28.75,34.5,23
1982-06-08,30,35.5,24.5
1982-06-09,29.5,36.5,22.5
1982-06-10,30,36,24
1982-06-11,29.25,35.5,23
1982-06-12,29.75,35,24.5
1982-06-13,29.5,36,23
1982-06-14,29.75,35.5,24
1982-06-15,28.25,33,23.5
1982-06-16,29.85,37.5,22.2
1982-06-17,29.75,35,24.5
1982-06-18,30.5,36.5,24.5
1982-06-19,30.5,37.5,23.5
1982-06-20,31.75,39,24.5
1982-06-21,27.75,32.5,23
1982-06-22,31,40,22
1982-06-23,31.5,39,24
1982-06-24,31.5,39.5,23.5
1982-06-25,31.5,40,23
1982-06-26,31.75,39,24.5
1982-06-27,32,40.5,23.5
1982-06-28,30.25,36,24.5
1982-06-29,29.25,37.5,21
1982-06-30,30,35.5,24.5
1982-07-01,29.5,36,23
1982-07-02,30.25,39.5,21
1982-07-03,29.5,36,23
1982-07-04,31.5,39,24
1982-07-05,28.25,33.5,23
1982-07-06,29.5,35,24
1982-07-07,30,37,23
1982-07-08,31,38,24
1982-07-09,30.5,36,25
1982-07-10,30.5,38,23
1982-07-11,30.25,39,21.5
1982-07-12,30.75,38.5,23
1982-07-13,30.25,39,21.5
1982-07-14,30.25,38.5,22
1982-07-15,29.5,36,23
1982-07-16,29.25,37.5,21
1982-07-17,30.5,38,23
1982-07-18,30,39,21
1982-07-19,29.75,35.5,24
1982-07-20,29.5,36,23
1982-07-21,30.25,39.5,21
1982-07-22,30,38,22
1982-07-23,30,39,21
1982-07-24,31.25,39.5,23
1982-07-25,30.5,39,22
1982-07-26,30.75,40.5,21
1982-07-27,30.5,39,22
1982-07-28,30.5,38,23
1982-07-29,31.25,40.5,22
1982-07-30,31.5,40,23
1982-07-31,30.75,39.5,22
1982-08-01,31.25,39.5,23
1982-08-02,31,38,24
1982-08-03,31.25,39,23.5
1982-08-04,30.75,37.5,24
1982-08-05,31.5,38.5,24.5
1982-08-06,29.5,37,22
1982-08-07,29.75,38.5,21
1982-08-08,30,39.5,20.5
1982-08-09,28,34,22
1982-08-10,29.75,38.5,21
1982-08-11,30.5,39,22
1982-08-12,31.25,38.5,24
1982-08-13,31.5,38,25
1982-08-14,31,39,23
1982-08-15,30,38,22
1982-08-16,32,40,24
1982-08-17,31.5,38,25
