Estación: ,C19158,RANCHO DE GOMAS
Variable: ,Evaporación (mm)
Longitud: ,100° 28' 10.6'',Latitud:,26° 10' 11.2''

Fecha,Valor,NúmDatos
1982-01-01,3.2,CLIC
1982-01-02,4.4,CLIC
1982-01-03,4.4,CLIC
1982-01-04,1.9,CLIC
1982-01-05,2.5,CLIC
1982-01-06,3.7,CLIC
1982-01-07,3.7,CLIC
1982-01-08,3.6,CLIC
1982-01-09,4.1,CLIC
1982-01-10,3.5,CLIC
1982-01-11,2.5,CLIC
1982-01-12,3.7,CLIC
1982-01-13,3.2,CLIC
1982-01-14,4.1,CLIC
1982-01-15,3,CLIC
1982-01-16,2.7,CLIC
1982-01-17,3.7,CLIC
1982-01-18,3,CLIC
1982-01-19,3.3,CLIC
1982-01-20,4.4,CLIC
1982-01-21,3.9,CLIC
1982-01-22,4.4,CLIC
1982-01-23,3.7,CLIC
1982-01-24,6.5,CLIC
1982-01-25,3.4,CLIC
1982-01-26,5.6,CLIC
1982-01-27,5.4,CLIC
1982-01-28,4.1,CLIC
1982-01-29,4.8,CLIC
1982-01-30,5.8,CLIC
1982-01-31,3.5,CLIC
1982-02-01,4.5,CLIC
1982-02-02,4.4,CLIC
1982-02-03,2.8,CLIC
1982-02-04,2.5,CLIC
1982-02-05,3.5,CLIC
1982-02-06,4.1,CLIC
1982-02-07,3.9,CLIC
1982-02-08,4.2,CLIC
1982-02-09,4.8,CLIC
1982-02-10,4,CLIC
1982-02-11,3.2,CLIC
1982-02-12,4.3,CLIC
1982-02-13,5,CLIC
1982-02-14,4.9,CLIC
1982-02-15,4.9,CLIC
1982-02-16,5.9,CLIC
1982-02-17,4,CLIC
1982-02-18,4.1,CLIC
1982-02-19,5.2,CLIC
1982-02-20,3.8,CLIC
1982-02-21,4.8,CLIC
1982-02-22,3.3,CLIC
1982-02-23,4,CLIC
1982-02-24,5.5,CLIC
1982-02-25,4.4,CLIC
1982-02-26,5.7,CLIC
1982-02-27,3.2,CLIC
1982-02-28,5.3,CLIC
1982-03-01,4.6,CLIC
1982-03-02,5.5,CLIC
1982-03-03,7.1,CLIC
1982-03-04,4.4,CLIC
1982-03-05,4.8,CLIC
1982-03-06,6.2,CLIC
1982-03-07,5.9,CLIC
1982-03-08,6.2,CLIC
1982-03-09,4.3,CLIC
1982-03-10,6.7,CLIC
1982-03-11,5.3,CLIC
1982-03-12,6.4,CLIC
1982-03-13,5.7,CLIC
1982-03-14,4.7,CLIC
1982-03-15,4.4,CLIC
1982-03-16,5.6,CLIC
1982-03-17,6.2,CLIC
1982-03-18,6.8,CLIC
1982-03-19,5.2,CLIC
1982-03-20,7.1,CLIC
1982-03-21,6.7,CLIC
1982-03-23,4.4,CLIC
1982-03-24,2.4,CLIC
1982-03-25,3.8,CLIC
1982-03-26,5.1,CLIC
1982-03-27,7.8,CLIC
1982-03-28,6.5,CLIC
1982-03-29,6.5,CLIC
1982-03-30,6.8,CLIC
1982-03-31,7.2,CLIC
1982-04-01,5.4,CLIC
1982-04-02,6.2,CLIC
1982-04-03,8.3,CLIC
1982-04-04,8.4,CLIC
1982-04-05,7.6,CLIC
1982-04-06,6.8,CLIC
1982-04-07,8.2,CLIC
1982-04-08,7.5,CLIC
1982-04-09,6.9,CLIC
1982-04-10,7.9,CLIC
1982-04-11,8.7,CLIC
1982-04-12,6.8,CLIC
1982-04-13,6.4,CLIC
1982-04-14,8.6,CLIC
1982-04-15,8.5,CLIC
1982-04-16,8.1,CLIC
1982-04-17,8,CLIC
1982-04-18,7,CLIC
1982-04-19,6,CLIC
1982-04-20,7,CLIC
1982-04-21,6.3,CLIC
1982-04-22,5.6,CLIC
1982-04-23,4.4,CLIC
1982-04-24,5.2,CLIC
1982-04-25,5.1,CLIC
1982-04-26,5.4,CLIC
1982-04-27,4.5,CLIC
1982-04-28,4.7,CLIC
1982-04-29,4.4,CLIC
1982-04-30,4.7,CLIC
1982-07-01,7.8,CLIC
1982-07-02,9,CLIC
1982-07-03,9,CLIC
1982-07-04,6,CLIC
1982-07-05,6.5,CLIC
1982-07-06,7.5,CLIC
1982-07-07,5.9,CLIC
1982-07-08,6.6,CLIC
1982-07-09,7.1,CLIC
1982-07-10,9.7,CLIC
1982-07-11,8,CLIC
1982-07-12,6.5,CLIC
1982-07-13,7,CLIC
1982-07-14,6.6,CLIC
1982-07-15,6.5,CLIC
1982-07-16,8,CLIC
1982-07-17,6.9,CLIC
1982-07-18,8.2,CLIC
1982-07-19,7.5,CLIC
1982-07-20,6.3,CLIC
1982-07-21,7.9,CLIC
1982-07-22,6.9,CLIC
1982-07-23,8.8,CLIC
1982-07-24,7.4,CLIC
1982-07-25,9.1,CLIC
1982-07-26,7.9,CLIC
1982-07-27,7.2,CLIC
1982-07-28,8.5,CLIC
1982-07-29,5.4,CLIC
1982-07-30,6.9,CLIC
1982-07-31,6,CLIC
1982-08-01,11.1,CLIC
1982-08-02,11.1,CLIC
1982-08-03,11.6,CLIC
1982-08-04,8.5,CLIC
1982-08-05,11.5,CLIC
1982-08-06,9.4,CLIC
1982-08-07,11.2,CLIC
1982-08-08,8.9,CLIC
1982-08-09,10.9,CLIC
1982-08-10,8.3,CLIC
1982-08-11,11.7,CLIC
1982-08-12,9.4,CLIC
1982-08-13,8.7,CLIC
1982-08-14,10.2,CLIC
1982-08-15,11.1,CLIC
1982-08-16,8.2,CLIC
1982-08-17,10.8,CLIC
1982-08-18,9.3,CLIC
1982-08-19,11.5,CLIC
1982-08-20,8.4,CLIC
1982-08-21,11.5,CLIC
1982-08-22,10.5,CLIC
1982-08-23,10.6,CLIC
1982-08-24,8.4,CLIC
1982-08-25,9.8,CLIC
1982-08-26,10,CLIC
1982-08-27,9.5,CLIC
1982-08-28,9.6,CLIC
1982-08-29,10.5,CLIC
1982-08-30,9.6,CLIC
1982-08-31,8.4,CLIC
1982-10-01,5.3,CLIC
1982-10-02,8.7,CLIC
1982-10-03,5.9,CLIC
1982-10-04,6.4,CLIC
1982-10-05,8.6,CLIC
1982-10-06,6.6,CLIC
1982-10-07,7.5,CLIC
1982-10-08,7.8,CLIC
1982-10-09,4.2,CLIC
1982-10-10,5.8,CLIC
1982-10-11,6.2,CLIC
1982-10-12,4.2,CLIC
1982-10-13,6.6,CLIC
1982-10-14,6,CLIC
1982-10-15,8.2,CLIC
1982-10-16,5.8,CLIC
1982-10-17,5.8,CLIC
1982-10-18,5.9,CLIC
1982-10-19,4.6,CLIC
1982-10-20,5.7,CLIC
1982-10-21,3.5,CLIC
1982-10-22,4.8,CLIC
1982-10-23,4.8,CLIC
1982-10-24,4.5,CLIC
1982-10-25,4.7,CLIC
1982-10-26,3.3,CLIC
1982-10-27,3.8,CLIC
1982-10-28,4.5,CLIC
1982-10-29,4.8,CLIC
1982-10-30,5.2,CLIC
1982-10-31,6.5,CLIC
1982-12-01,7.4,CLIC
1982-12-02,6,CLIC
1982-12-03,3.8,CLIC
1982-12-04,3.4,CLIC
1982-12-05,6,CLIC
1982-12-06,4.7,CLIC
1982-12-07,4.1,CLIC
1982-12-08,1.3,CLIC
1982-12-09,2.4,CLIC
1982-12-10,1.6,CLIC
1982-12-11,2.3,CLIC
1982-12-12,2.3,CLIC
1982-12-13,2.1,CLIC
1982-12-14,4.4,CLIC
