Estación: ,C19159,SAN ANTONIO PEÑA NEVADA
Variable: ,Evaporación (mm)
Longitud: ,99° 58' 47.6'',Latitud:,23° 44' 43.1''

Fecha,Valor,NúmDatos
1980-09-01,5.96,CLIC
1980-09-02,2.85,CLIC
1980-09-03,4.7,CLIC
1980-09-04,8.75,CLIC
1980-09-05,4.45,CLIC
1980-09-06,1.68,CLIC
1980-09-07,0.92,CLIC
1980-09-08,7.2,CLIC
1980-09-09,7.02,CLIC
1980-09-10,6.93,CLIC
1980-09-11,7.2,CLIC
1980-09-12,7.15,CLIC
1980-09-13,4.9,CLIC
1980-09-14,4.38,CLIC
1980-09-15,5.02,CLIC
1980-09-16,6.15,CLIC
1980-09-17,5.45,CLIC
1980-09-18,5.9,CLIC
1980-09-19,6.84,CLIC
1980-09-20,7.1,CLIC
1980-09-21,6.06,CLIC
1980-09-22,6.96,CLIC
1980-09-23,5.04,CLIC
1980-09-24,6.3,CLIC
1980-09-25,7.1,CLIC
1980-09-26,6.5,CLIC
1980-09-27,7,CLIC
1980-09-28,6.9,CLIC
1980-09-29,6.1,CLIC
1980-09-30,7.1,CLIC
1980-10-01,3.52,CLIC
1980-10-02,3.09,CLIC
1980-10-03,6.06,CLIC
1980-10-04,5.96,CLIC
1980-10-05,7.15,CLIC
1980-10-06,7.07,CLIC
1980-10-07,6.04,CLIC
1980-10-08,5.05,CLIC
1980-10-09,4.99,CLIC
1980-10-10,4.39,CLIC
1980-10-11,5.95,CLIC
1980-10-12,5.04,CLIC
1980-10-13,7.52,CLIC
1980-10-14,5.02,CLIC
1980-10-15,2.08,CLIC
1980-10-16,3.6,CLIC
1980-10-17,1.6,CLIC
1980-10-18,3.33,CLIC
1980-10-19,3.06,CLIC
1980-10-20,6.03,CLIC
1980-10-21,4.05,CLIC
1980-10-22,4.03,CLIC
1980-10-23,3.03,CLIC
1980-10-24,3.02,CLIC
1980-10-25,2.04,CLIC
1980-10-26,4.03,CLIC
1980-10-27,4.95,CLIC
1980-10-28,3.05,CLIC
1980-10-29,3.8,CLIC
1980-10-30,4.5,CLIC
1980-10-31,4.6,CLIC
1981-01-01,6.29,CLIC
1981-01-02,2.01,CLIC
1981-01-03,2.04,CLIC
