Estación: ,C19161,LA UNION. GENERAL BRAVO
Variable: ,Evaporación (mm)
Longitud: ,98° 47' 00'',Latitud:,25° 46' 00

Fecha,Valor,NúmDatos
1982-06-01,4.8,CLIC
1982-06-02,5.4,CLIC
1982-06-03,8.1,CLIC
1982-06-04,6.5,CLIC
1982-06-05,7.1,CLIC
1982-06-06,6.9,CLIC
1982-06-07,8,CLIC
1982-06-08,8.5,CLIC
1982-06-09,9.5,CLIC
1982-06-10,7.5,CLIC
1982-06-11,7.5,CLIC
1982-06-12,8.6,CLIC
1982-06-13,6.9,CLIC
1982-06-14,8.3,CLIC
1982-06-15,9.6,CLIC
1982-06-16,8.2,CLIC
1982-06-17,9.7,CLIC
1982-06-18,7.2,CLIC
1982-06-19,8.2,CLIC
1982-06-20,7.9,CLIC
1982-06-21,9.6,CLIC
1982-06-22,6.8,CLIC
1982-06-23,10.5,CLIC
1982-06-24,11.6,CLIC
1982-06-25,6.5,CLIC
1982-06-26,9.5,CLIC
1982-06-27,8.5,CLIC
1982-06-28,9.5,CLIC
1982-06-29,10.3,CLIC
1982-06-30,7.3,CLIC
2005-03-01,4.62,CLIC
2005-03-02,2.29,CLIC
2005-03-03,2.2599,CLIC
2005-03-04,2.08,CLIC
2005-03-05,2.32,CLIC
2005-03-06,0.72,CLIC
2005-03-07,1.73,CLIC
2005-03-08,3.31,CLIC
2005-03-09,2.82,CLIC
2005-03-10,2.02,CLIC
2005-03-11,2.64,CLIC
2005-03-12,4.03,CLIC
2005-03-13,2.3999,CLIC
2005-03-14,1.75,CLIC
2005-03-15,1.5,CLIC
2005-03-16,2.82,CLIC
2005-03-17,5.13,CLIC
2005-03-18,4.89,CLIC
2005-03-19,5.09,CLIC
2005-03-20,5.49,CLIC
2005-03-21,5,CLIC
2005-03-22,5.03,CLIC
2005-03-23,6.2,CLIC
2005-03-24,4.21,CLIC
2005-03-25,4.3,CLIC
2005-03-26,3.6,CLIC
2005-03-27,5.86,CLIC
2005-03-28,2.95,CLIC
2005-03-29,3.84,CLIC
2005-03-30,3.29,CLIC
2005-03-31,2.94,CLIC
