Estación: ,C19162,VISTA HERMOSA. LINARES
Variable: ,Evaporación (mm)
Longitud: ,99° 38' 08.2'',Latitud:,24° 46' 09.4''

Fecha,Valor,NúmDatos
1982-07-01,5.6,CLIC
1982-07-02,7,CLIC
1982-07-03,6.5,CLIC
1982-07-04,5.6,CLIC
1982-07-05,5.4,CLIC
1982-07-06,6.9,CLIC
1982-07-07,5.9,CLIC
1982-07-08,6.2,CLIC
1982-07-09,7.2,CLIC
1982-07-10,5.9,CLIC
1982-07-11,6.8,CLIC
1982-07-12,7.5,CLIC
1982-07-13,6.1,CLIC
1982-07-14,7,CLIC
1982-07-15,6.6,CLIC
1982-07-16,5.3,CLIC
1982-07-17,7.1,CLIC
1982-07-18,7.6,CLIC
1982-07-19,5.5,CLIC
1982-07-20,7.5,CLIC
1982-07-21,6.5,CLIC
1982-07-22,6.8,CLIC
1982-07-23,7.9,CLIC
1982-07-24,6.3,CLIC
1982-07-25,7.2,CLIC
1982-07-26,4.9,CLIC
1982-07-27,6.2,CLIC
1982-07-28,7.9,CLIC
1982-07-29,7.2,CLIC
1982-07-30,8.6,CLIC
1982-07-31,6.3,CLIC
1982-08-01,8.8,CLIC
1982-08-02,6.4,CLIC
1982-08-03,8.6,CLIC
1982-08-04,6.5,CLIC
1982-08-05,6.8,CLIC
1982-08-06,6.9,CLIC
1982-08-07,5.9,CLIC
1982-08-08,6.4,CLIC
1982-08-09,8.6,CLIC
1982-08-10,7.4,CLIC
1982-08-11,8.1,CLIC
1982-08-12,8.6,CLIC
1982-08-13,8.4,CLIC
1982-08-14,8.6,CLIC
1982-08-15,7.4,CLIC
1982-08-16,7.9,CLIC
1982-08-17,4.9,CLIC
1982-08-18,7.4,CLIC
1982-08-19,7,CLIC
1982-08-20,7.7,CLIC
1982-08-21,6.2,CLIC
1982-08-22,8,CLIC
1982-08-23,7.9,CLIC
1982-08-24,7.8,CLIC
1982-08-25,6.5,CLIC
1982-08-26,6.8,CLIC
1982-08-27,8.8,CLIC
1982-08-28,7.5,CLIC
1982-08-29,6.9,CLIC
1982-08-30,6.8,CLIC
1982-08-31,7,CLIC
1982-10-01,6.4,CLIC
1982-10-02,7.7,CLIC
1982-10-03,5.1,CLIC
1982-10-04,7.7,CLIC
1982-10-05,8.5,CLIC
1982-10-06,5.2,CLIC
1982-10-07,4.3,CLIC
1982-10-08,4.9,CLIC
1982-10-09,6.7,CLIC
1982-10-10,7.5,CLIC
