Estación: ,C19165,CHUPADEROS DEL INDIO
Variable: ,Evaporación (mm)
Longitud: ,100° 47' 27.3'',Latitud:,25° 48' 49.8''

Fecha,Valor,NúmDatos
1982-02-01,5.5,CLIC
1982-02-02,6.4,CLIC
1982-02-03,6.2,CLIC
1982-02-04,4.3,CLIC
1982-02-05,3.1,CLIC
1982-02-06,1.4,CLIC
1982-02-07,1.2,CLIC
1982-02-08,2.6,CLIC
1982-02-09,6,CLIC
1982-02-10,7.9,CLIC
1982-02-11,3.3,CLIC
1982-02-12,4.9,CLIC
1982-02-13,2.8,CLIC
1982-02-14,2.1,CLIC
1982-02-15,8.4,CLIC
1982-02-16,3.8,CLIC
1982-02-17,7.6,CLIC
1982-02-18,6.3,CLIC
1982-02-19,0.8,CLIC
1982-02-20,3.9,CLIC
1982-02-21,3.3,CLIC
1982-02-22,1.5,CLIC
1982-02-23,7.5,CLIC
1982-02-24,5.1,CLIC
1982-02-25,4.5,CLIC
1982-02-26,4.6,CLIC
1982-02-27,2.3,CLIC
1982-02-28,6.7,CLIC
1982-03-01,3.2,CLIC
1982-03-02,6.4,CLIC
1982-03-03,10.9,CLIC
1982-03-04,1.7,CLIC
1982-03-05,8.6,CLIC
1982-03-06,1.2,CLIC
1982-03-07,6.2,CLIC
1982-03-08,6,CLIC
1982-03-09,5.6,CLIC
1982-03-10,7.7,CLIC
1982-03-11,5.3,CLIC
1982-03-12,9.6,CLIC
1982-03-13,8.5,CLIC
1982-03-14,10.6,CLIC
1982-03-15,8.5,CLIC
1982-03-16,7.2,CLIC
1982-03-17,8.4,CLIC
1982-03-18,3.7,CLIC
1982-03-19,11.7,CLIC
1982-03-20,3.4,CLIC
1982-03-21,11,CLIC
1982-03-22,6.4,CLIC
1982-03-23,2.3,CLIC
1982-03-24,7.7,CLIC
1982-03-25,11.9,CLIC
1982-03-26,5,CLIC
1982-03-27,6.4,CLIC
1982-03-28,2.2,CLIC
1982-03-29,3.7,CLIC
1982-03-30,7.3,CLIC
1982-03-31,8,CLIC
1982-04-01,7.8,CLIC
1982-04-02,7.5,CLIC
1982-04-03,6.8,CLIC
1982-04-04,9.8,CLIC
1982-04-05,9.5,CLIC
1982-04-06,7.9,CLIC
1982-04-07,7.8,CLIC
1982-04-08,9,CLIC
1982-04-09,8.2,CLIC
1982-04-10,8,CLIC
1982-04-11,8.8,CLIC
1982-04-12,8.6,CLIC
1982-04-13,5.4,CLIC
1982-04-14,8.6,CLIC
1982-04-15,8,CLIC
1982-04-16,5.3,CLIC
1982-04-17,8.1,CLIC
1982-04-18,6.2,CLIC
1982-04-19,8.1,CLIC
1982-04-20,8.1,CLIC
1982-04-21,5.2,CLIC
1982-04-22,3,CLIC
1982-04-23,3.3,CLIC
1982-04-24,4.4,CLIC
1982-04-25,2.3,CLIC
1982-04-26,5.5,CLIC
1982-04-27,4.2,CLIC
1982-04-28,4.6,CLIC
1982-04-29,4.6,CLIC
1982-04-30,4.4,CLIC
1982-12-01,7.3,CLIC
1982-12-02,10.5,CLIC
1982-12-03,9.7,CLIC
1982-12-04,7.2,CLIC
1982-12-05,4.1,CLIC
1982-12-06,3.2,CLIC
1982-12-07,3.6,CLIC
1982-12-08,1,CLIC
1982-12-09,0.4,CLIC
1982-12-10,0.3,CLIC
1982-12-11,1.3,CLIC
1982-12-12,1.2,CLIC
1982-12-13,0.4,CLIC
1982-12-14,2.7,CLIC
1982-12-15,2.3,CLIC
1982-12-16,2.7,CLIC
1982-12-17,4,CLIC
1982-12-18,1.7,CLIC
1982-12-19,4.7,CLIC
1982-12-20,4.5,CLIC
1982-12-21,2.7,CLIC
1982-12-22,4.2,CLIC
1982-12-23,2.5,CLIC
1982-12-24,6.2,CLIC
1982-12-25,5.9,CLIC
1982-12-26,2,CLIC
1982-12-27,6.4,CLIC
1982-12-28,0.3,CLIC
1982-12-29,1.2,CLIC
1982-12-30,0.8,CLIC
1982-12-31,1,CLIC
1983-01-01,1.7,CLIC
1983-01-02,1.2,CLIC
