Estación: ,C19166,HORCONES. LAMPAZOS DE N.
Variable: ,Evaporación (mm)
Longitud: ,100° 24' 35.8'',Latitud:,27° 10' 07.5''

Fecha,Valor,NúmDatos
1982-06-01,6.8,CLIC
1982-06-02,7.5,CLIC
1982-06-03,7.5,CLIC
1982-06-04,8,CLIC
1982-06-05,6.5,CLIC
1982-06-06,6.8,CLIC
1982-06-07,7.5,CLIC
1982-06-08,9.2,CLIC
1982-06-09,6.8,CLIC
1982-06-10,6.6,CLIC
1982-06-11,7.3,CLIC
1982-06-12,8.1,CLIC
1982-06-13,8.6,CLIC
1982-06-14,7.8,CLIC
1982-06-15,7.8,CLIC
1982-06-16,8.7,CLIC
1982-06-17,9.6,CLIC
1982-06-18,6.5,CLIC
1982-06-19,5.9,CLIC
1982-06-20,7,CLIC
1982-06-21,6.4,CLIC
1982-06-22,7.2,CLIC
1982-06-23,6.6,CLIC
1982-06-24,6.4,CLIC
1982-06-25,7.2,CLIC
1982-06-26,9.6,CLIC
1982-06-27,6.3,CLIC
1982-06-28,4.4,CLIC
1982-06-29,8.1,CLIC
1982-06-30,6.9,CLIC
1982-07-01,6.8,CLIC
1982-07-02,6.1,CLIC
1982-07-03,6.4,CLIC
1982-07-04,7.5,CLIC
1982-07-05,7.4,CLIC
1982-07-06,7.1,CLIC
1982-07-07,8.5,CLIC
1982-07-08,7,CLIC
1982-07-09,7.3,CLIC
1982-07-10,7.9,CLIC
1982-07-11,4.2,CLIC
1982-07-12,6.9,CLIC
1982-07-13,8.7,CLIC
1982-07-14,6.3,CLIC
1982-07-15,8.7,CLIC
1982-07-16,6.5,CLIC
1982-07-17,8.6,CLIC
1982-07-18,7,CLIC
1982-07-19,8.3,CLIC
1982-07-20,7.8,CLIC
1982-07-21,7.5,CLIC
1982-07-22,7.6,CLIC
1982-07-23,6.3,CLIC
1982-07-24,8.6,CLIC
1982-07-25,7.5,CLIC
1982-07-26,8.5,CLIC
1982-07-27,7.5,CLIC
1982-07-28,6.8,CLIC
1982-07-29,7.5,CLIC
1982-07-30,7.6,CLIC
1982-07-31,7.9,CLIC
1982-08-01,6.8,CLIC
1982-08-02,8.5,CLIC
1982-08-03,6.5,CLIC
1982-08-04,7.5,CLIC
1982-08-05,8.9,CLIC
1982-08-06,8.7,CLIC
1982-08-07,6.4,CLIC
1982-08-08,8,CLIC
1982-08-09,9.2,CLIC
1982-08-10,6.5,CLIC
1982-08-11,8,CLIC
1982-08-12,8.1,CLIC
1982-08-13,8.2,CLIC
1982-08-14,9.5,CLIC
1982-08-15,7.4,CLIC
1982-08-16,8.6,CLIC
1982-08-17,8.5,CLIC
1982-08-18,8.9,CLIC
1982-08-19,6.8,CLIC
1982-08-20,7.4,CLIC
1982-08-21,7.8,CLIC
1982-08-22,6.5,CLIC
1982-08-23,8.5,CLIC
1982-08-24,7.4,CLIC
1982-08-25,8.6,CLIC
1982-08-26,8.5,CLIC
1982-08-27,7.8,CLIC
1982-08-28,8.4,CLIC
1982-08-29,9.6,CLIC
1982-08-30,7.5,CLIC
1982-08-31,9.5,CLIC
1982-09-01,5.3,CLIC
1982-09-02,7.1,CLIC
1982-09-03,8.7,CLIC
1982-09-04,6.8,CLIC
1982-09-05,8.1,CLIC
1982-09-06,8,CLIC
1982-09-07,7.5,CLIC
1982-09-08,9.5,CLIC
1982-09-09,6.4,CLIC
1982-09-10,8.6,CLIC
1982-09-11,9.3,CLIC
1982-09-12,7.2,CLIC
1982-09-13,4.8,CLIC
1982-09-14,8,CLIC
1982-09-15,7.4,CLIC
1982-09-16,8.9,CLIC
1982-09-17,8,CLIC
1982-09-18,9.6,CLIC
1982-09-19,8,CLIC
1982-09-20,8.5,CLIC
1982-09-21,6.5,CLIC
1982-09-22,8,CLIC
1982-09-23,9.8,CLIC
1982-09-24,9,CLIC
1982-09-25,7.5,CLIC
1982-09-26,7.5,CLIC
1982-09-27,7.5,CLIC
1982-09-28,9.5,CLIC
1982-09-29,5.5,CLIC
1982-09-30,7.8,CLIC
1983-07-01,11.3,CLIC
1983-07-02,9.6,CLIC
1983-07-03,11.1,CLIC
1983-07-04,12.2,CLIC
1983-07-05,11.4,CLIC
1983-07-06,13.5,CLIC
1983-07-07,9.3,CLIC
1983-07-08,9.6,CLIC
1983-07-09,10.1,CLIC
1983-07-10,9.8,CLIC
1983-07-11,7.9,CLIC
1983-07-12,4.7,CLIC
1983-07-13,4.9,CLIC
1983-07-14,9.5,CLIC
