Estación: ,C19168,LAS ESTACAS. MINAS
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 50' 00'',Latitud:,26° 11' 00

Fecha,Promedio,Máximo,Mínimo
1981-08-01,27.5,35,20
1981-08-02,26.25,33.5,19
1981-08-03,28,36,20
1981-08-04,30.5,39.5,21.5
1981-08-05,28,36,20
1981-08-06,26,32,20
1981-08-07,30,39,21
1981-08-08,29.5,38.5,20.5
1981-08-09,31.25,39.5,23
1981-08-10,29,38,20
1981-08-11,30.75,40.5,21
1981-08-12,30.25,38.5,22
1981-08-13,29.75,38,21.5
1981-08-14,28.75,37,20.5
1981-08-15,29.75,38.5,21
1981-08-16,30.25,38,22.5
1981-08-17,27.5,35,20
1981-08-18,30.5,40,21
1981-08-19,30.25,40,20.5
1981-08-20,26.75,36.5,17
1981-08-21,28.25,38.5,18
1981-08-22,28.25,36.5,20
1981-08-23,28.5,36,21
1981-08-24,30,38,22
1981-08-25,28.75,36,21.5
1981-08-26,28.5,35,22
1981-08-27,29.5,39,20
1981-08-28,28,37,19
1981-08-29,27.5,35,20
1981-08-30,27.75,33,22.5
1981-08-31,28.5,36.5,20.5
1981-09-01,26.5,33,20
1981-09-02,28.5,36,21
1981-09-03,26.5,33,20
1981-09-04,29,39,19
1981-09-05,29.5,35,24
1981-09-06,29.75,40,19.5
1981-09-07,29.25,37.5,21
1981-09-08,28.5,35,22
1981-09-09,29,35,23
1981-09-10,27.5,36.5,18.5
1981-09-11,27.25,35.5,19
1981-09-12,25.75,33,18.5
1981-09-13,27,35,19
1981-09-14,29.25,38.5,20
1981-09-15,29,35,23
1981-09-16,27,34.5,19.5
1981-09-17,28,37,19
1981-09-18,29,35,23
1981-09-19,29.5,35,24
1981-09-20,26,34,18
1981-09-21,28.5,38,19
1981-09-22,28.5,39,18
1981-09-23,26,32,20
1981-09-24,26.5,30,23
1981-09-25,29.5,35,24
1981-09-26,26.5,33,20
1981-09-27,28.5,36,21
1981-09-28,31.25,38.5,24
1981-09-29,25.5,33,18
1981-09-30,27.5,35,20
1981-10-01,28.5,38,19
1981-10-02,25.75,35,16.5
1981-10-03,27.75,35.5,20
1981-10-04,26.5,38,15
1981-10-05,28,37,19
1981-10-06,29,38,20
1981-10-07,26.5,35,18
1981-10-08,29,38.5,19.5
1981-10-09,26.5,35,18
1981-10-10,28.5,38,19
1981-10-11,26.75,35,18.5
1981-10-12,29,38,20
1981-10-13,28,35,21
1981-10-14,29.25,38,20.5
1981-10-15,24.5,35,14
1981-10-16,29,38,20
1981-10-17,26.5,36,17
1981-10-18,25.5,33,18
1981-10-19,25.5,36,15
1981-10-20,24.75,35,14.5
1981-10-21,25.5,34,17
1981-10-22,24,33,15
1981-10-23,22.5,31,14
1981-10-24,25,35,15
1981-10-25,22,30,14
1981-10-26,23.5,32,15
1981-10-27,22,30,14
1981-10-28,22.5,32,13
1981-10-29,24.25,34,14.5
1981-10-30,22.5,30,15
1981-10-31,23,32,14
1981-11-01,22,32,12
1981-11-02,22,31,13
1981-11-03,22,30,14
1981-11-04,23,31,15
1981-11-05,24,30,18
1981-11-06,23.5,33,14
1981-11-07,24.5,30,19
1981-11-08,24,31,17
1981-11-09,22,26,18
1981-11-10,18,22,14
1981-11-11,21,27,15
1981-11-12,21.5,29,14
1981-11-13,20.5,26,15
1981-11-14,23,29,17
1981-11-15,22,25,19
1981-11-16,21.5,28,15
1981-11-17,21.5,27,16
1981-11-18,22.5,28,17
1981-11-19,18.5,22,15
1981-11-20,14.5,17,12
1981-11-21,12.5,18,7
1981-11-22,14,17,11
1981-11-23,18.5,27,10
1981-11-24,21,26,16
1981-11-25,21.5,28,15
1981-11-26,21.5,27,16
1981-11-27,23,29,17
1981-11-28,22,28,16
1981-11-29,22,26,18
1981-11-30,20.5,24,17
1981-12-01,15.5,25,6
1981-12-02,15,26,4
1981-12-03,17.75,30.5,5
1981-12-04,12.5,17,8
1981-12-05,10.75,15,6.5
1981-12-06,13.5,20,7
1981-12-07,17.25,24.5,10
1981-12-08,19.5,28,11
1981-12-09,18.5,27,10
1981-12-10,20.75,30,11.5
1981-12-11,20,31,9
1981-12-12,18.5,28.5,8.5
1981-12-13,19,31,7
1981-12-14,17.25,28,6.5
1981-12-15,12.75,21.5,4
1981-12-16,15.5,26,5
1981-12-17,13.5,23,4
1981-12-18,10.5,16,5
1981-12-19,7.75,15.5,0
1981-12-20,14,26,2
1981-12-21,18,30,6
1981-12-22,17,31,3
1981-12-23,20.25,33.5,7
1981-12-24,10.75,16.5,5
1981-12-25,7.25,13,1.5
1981-12-26,18.5,31,6
1981-12-27,17.25,30.5,4
1981-12-28,16.5,28,5
1981-12-29,10,13.5,6.5
1981-12-30,11,17,5
1981-12-31,18.5,30,7
1982-01-01,19.25,23.5,15
1982-01-02,18.25,22.5,14
1982-01-03,19.5,24,15
1982-01-04,18,22,14
1982-01-05,17,21,13
1982-01-06,17.25,22.5,12
1982-01-07,18.5,23,14
1982-01-08,18,24.5,11.5
1982-01-09,18.25,23.5,13
1982-01-10,15.25,20.5,10
1982-01-11,12.75,16.5,9
1982-01-12,14.5,19,10
1982-01-13,13.75,18,9.5
1982-01-14,13.5,17,10
1982-01-15,15.25,19.5,11
1982-01-16,15.5,19,12
1982-01-17,14.25,18.5,10
1982-01-18,14.75,19,10.5
1982-01-19,14.75,18.5,11
1982-01-20,15.25,17.5,13
1982-01-21,14,18,10
1982-01-22,14.25,19,9.5
1982-01-23,13.75,17,10.5
1982-01-24,14,19,9
1982-01-25,14.5,18,11
1982-01-26,13.75,17,10.5
1982-01-27,14,18.5,9.5
1982-01-28,13.5,17,10
1982-01-29,14.25,19.5,9
1982-01-30,14.25,20,8.5
1982-01-31,14.25,19.5,9
1982-02-01,13.75,18.5,9
1982-02-02,14.5,19,10
1982-02-03,13.75,18.5,9
1982-02-04,13.5,19,8
1982-02-05,14.25,18.5,10
1982-02-06,13,17,9
1982-02-07,12.25,16.5,8
1982-02-08,13.25,19,7.5
1982-02-09,13.25,18.5,8
1982-02-10,13.25,19.5,7
1982-02-11,13,17,9
1982-02-12,14.75,18.5,11
1982-02-13,14.25,19.5,9
1982-02-14,15.75,21.5,10
1982-02-15,14.25,19.5,9
1982-02-16,13,18,8
1982-02-17,14.25,19.5,9
1982-02-18,14,18,10
1982-02-19,14.25,19.5,9
1982-02-20,15,20,10
1982-02-21,15,19,11
1982-02-22,13.25,16,10.5
1982-02-23,14.75,19.5,10
1982-02-24,13.5,18,9
1982-02-25,14.5,21,8
1982-02-26,13.5,20,7
1982-02-27,13.75,19.5,8
1982-02-28,15.6,21.2,10
1982-03-01,17.25,20.5,14
1982-03-02,15.75,20.5,11
1982-03-03,15,18,12
1982-03-04,15,19,11
1982-03-05,16.5,18,15
1982-03-06,17.25,21.5,13
1982-03-07,13.75,19.5,8
1982-03-08,15.5,21,10
1982-03-09,16.75,23,10.5
1982-03-10,17.5,20,15
1982-03-11,18,22,14
1982-03-12,17,21,13
1982-03-13,16,22,10
1982-03-14,17.5,23.5,11.5
1982-03-15,15.5,21,10
1982-03-16,16.5,22,11
1982-03-17,14.25,19.5,9
1982-03-18,15,22,8
1982-03-19,13.5,21,6
1982-03-20,13.75,19.5,8
1982-03-21,15.5,21,10
1982-03-22,14.75,20,9.5
1982-03-23,15.5,19,12
1982-03-24,15.5,21,10
1982-03-25,16,20,12
1982-03-26,16.75,18.5,15
1982-03-27,15.5,21,10
1982-03-28,16.5,22,11
1982-03-29,16.75,23.5,10
1982-03-30,19.5,28,11
1982-03-31,18,24,12
1982-04-01,20,26,14
1982-04-02,18.25,21.5,15
1982-04-03,18,22,14
1982-04-04,18.25,23,13.5
1982-04-05,20.5,26,15
1982-04-06,19,24,14
1982-04-07,18.25,23.5,13
1982-04-08,21.25,30.5,12
1982-04-09,19,24,14
1982-04-10,18.25,23,13.5
1982-04-11,18.5,21,16
1982-04-12,17,18.5,15.5
1982-04-13,17.25,21.5,13
1982-04-14,17.5,23,12
1982-04-15,18.5,24,13
1982-04-16,17.5,23.5,11.5
1982-04-17,17.5,23,12
1982-04-18,16.5,21.5,11.5
1982-04-19,20.5,28,13
1982-04-20,19,24,14
1982-04-21,21.75,30,13.5
1982-04-22,17.5,21,14
1982-04-23,18,23,13
1982-04-24,17.25,20.5,14
1982-04-25,16.5,21,12
1982-04-26,17.75,22.5,13
1982-04-27,17.5,21,14
1982-04-28,17.75,22,13.5
1982-04-29,17.75,25.5,10
1982-04-30,17.25,24,10.5
1982-05-01,22,26,18
1982-05-02,25,33,17
1982-05-03,22.25,28.5,16
1982-05-04,20.5,27,14
1982-05-05,21.5,28,15
1982-05-06,19.5,26,13
1982-05-07,19.5,27,12
1982-05-08,19.5,28,11
1982-05-09,16.25,22.5,10
1982-05-10,19.5,30,9
1982-05-11,20,28,12
1982-05-12,21.75,29.5,14
1982-05-13,20.5,28,13
1982-05-14,19.5,27,12
1982-05-15,22.5,32,13
1982-05-16,23,30,16
1982-05-17,23,31,15
1982-05-18,21,28,14
1982-05-19,21.25,29.5,13
1982-05-20,21.5,29,14
1982-05-21,21.5,28,15
1982-05-22,21.5,29,14
1982-05-23,21.5,30,13
1982-05-24,22.5,31,14
1982-05-25,22.5,32,13
1982-05-26,24.5,35,14
1982-05-27,22.5,30,15
1982-05-28,23.5,33,14
1982-05-29,22.5,32,13
1982-05-30,24,33,15
1982-05-31,22.5,31,14
1982-06-01,26,37,15
