Estación: ,C19171,LAMPACITOS. MONTEMORELOS
Variable: ,Precipitación (mm)
Longitud: ,99° 54' 01'',Latitud:,25° 06' 35

Fecha,Valor,NúmDatos
1982-01-01,0,CLIC
1982-01-02,0,CLIC
1982-01-03,0,CLIC
1982-01-04,0,CLIC
1982-01-05,0,CLIC
1982-01-06,0,CLIC
1982-01-07,0,CLIC
1982-01-08,0,CLIC
1982-01-09,0,CLIC
1982-01-10,0,CLIC
1982-01-11,0,CLIC
1982-01-12,0,CLIC
1982-01-13,0,CLIC
1982-01-14,0,CLIC
1982-01-15,0,CLIC
1982-01-16,0,CLIC
1982-01-17,0,CLIC
1982-01-18,0,CLIC
1982-01-19,0,CLIC
1982-01-20,0,CLIC
1982-01-21,0,CLIC
1982-01-22,0,CLIC
1982-01-23,0,CLIC
1982-01-24,0,CLIC
1982-01-25,0,CLIC
1982-01-26,0,CLIC
1982-01-27,0,CLIC
1982-01-28,0,CLIC
1982-01-29,0,CLIC
1982-01-30,0,CLIC
1982-01-31,0,CLIC
1982-02-01,0,CLIC
1982-02-02,0,CLIC
1982-02-03,0,CLIC
1982-02-04,0,CLIC
1982-02-05,0,CLIC
1982-02-06,2.5,CLIC
1982-02-07,18.5,CLIC
1982-02-08,0,CLIC
1982-02-09,0,CLIC
1982-02-10,0,CLIC
1982-02-11,0,CLIC
1982-02-12,0,CLIC
1982-02-13,0,CLIC
1982-02-14,0,CLIC
1982-02-15,0,CLIC
1982-02-16,0,CLIC
1982-02-17,0,CLIC
1982-02-18,3.5,CLIC
1982-02-19,0,CLIC
1982-02-20,0,CLIC
1982-02-21,0,CLIC
1982-02-22,0,CLIC
1982-02-23,0,CLIC
1982-02-24,0,CLIC
1982-02-25,16.5,CLIC
1982-02-26,0,CLIC
1982-02-27,0,CLIC
1982-02-28,0,CLIC
1982-03-01,0,CLIC
1982-03-02,0,CLIC
1982-03-03,0,CLIC
1982-03-04,0,CLIC
1982-03-05,16.2,CLIC
1982-03-06,0,CLIC
1982-03-07,0,CLIC
1982-03-08,0,CLIC
1982-03-09,0,CLIC
1982-03-10,0,CLIC
1982-03-11,0,CLIC
1982-03-12,0,CLIC
1982-03-13,0,CLIC
1982-03-14,0,CLIC
1982-03-15,0,CLIC
1982-03-16,0,CLIC
1982-03-17,0,CLIC
1982-03-18,0,CLIC
1982-03-19,0,CLIC
1982-03-20,0,CLIC
1982-03-21,0,CLIC
1982-03-22,0,CLIC
1982-03-23,0,CLIC
1982-03-24,0,CLIC
1982-03-25,7.5,CLIC
1982-03-26,2.4,CLIC
1982-03-27,3.2,CLIC
1982-03-28,0,CLIC
1982-03-29,0,CLIC
1982-03-30,0,CLIC
1982-03-31,0,CLIC
1982-12-01,0,CLIC
1982-12-02,0,CLIC
1982-12-03,0,CLIC
1982-12-04,0,CLIC
1982-12-05,0,CLIC
1982-12-06,0,CLIC
1982-12-07,0,CLIC
1982-12-08,2.5,CLIC
1982-12-09,0,CLIC
1982-12-10,0,CLIC
1982-12-11,0,CLIC
1982-12-12,0,CLIC
1982-12-13,0,CLIC
1982-12-14,0,CLIC
1982-12-15,0,CLIC
1982-12-16,0,CLIC
1982-12-17,0,CLIC
1982-12-18,0,CLIC
1982-12-19,0,CLIC
1982-12-20,0,CLIC
1982-12-21,0,CLIC
1982-12-22,0,CLIC
1982-12-23,0,CLIC
1982-12-24,0,CLIC
1982-12-25,0,CLIC
1982-12-26,0,CLIC
1982-12-27,0,CLIC
1982-12-28,0,CLIC
1982-12-29,0,CLIC
1982-12-30,0,CLIC
1982-12-31,0,CLIC
1983-09-01,0,CLIC
1983-09-02,0,CLIC
1983-09-03,0,CLIC
1983-09-04,0,CLIC
1983-09-05,0,CLIC
1983-09-06,17.5,CLIC
1983-09-07,0,CLIC
1983-09-08,0,CLIC
1983-09-09,45.5,CLIC
1983-09-10,9.5,CLIC
1983-09-11,40.5,CLIC
1983-09-12,0,CLIC
1983-09-13,0,CLIC
1983-09-14,0,CLIC
1983-09-15,0,CLIC
1983-09-16,0,CLIC
1983-09-17,0,CLIC
1983-09-18,0,CLIC
1983-09-19,0,CLIC
1983-09-20,35.5,CLIC
1983-09-21,0,CLIC
1983-09-22,0,CLIC
1983-09-23,0,CLIC
1983-09-24,0,CLIC
1983-09-25,0,CLIC
1983-09-26,0,CLIC
1983-09-27,0,CLIC
1983-09-28,29.5,CLIC
1983-09-29,0,CLIC
1983-09-30,0,CLIC
1983-10-01,0,CLIC
1983-10-02,0,CLIC
1983-10-03,0,CLIC
1983-10-04,0,CLIC
1983-10-05,0,CLIC
1983-10-06,0,CLIC
1983-10-07,0,CLIC
1983-10-08,0,CLIC
1983-10-09,8.5,CLIC
1983-10-10,0,CLIC
1983-10-11,7,CLIC
1983-10-12,3.5,CLIC
1983-10-13,3,CLIC
1983-10-14,0,CLIC
1983-10-15,0,CLIC
1983-10-16,0,CLIC
1983-10-17,0,CLIC
1983-10-18,0,CLIC
1983-10-19,0,CLIC
1983-10-20,56.5,CLIC
1983-10-21,0,CLIC
1983-10-22,0,CLIC
1983-10-23,0,CLIC
1983-10-24,4,CLIC
1983-10-25,2.5,CLIC
1983-10-26,0,CLIC
1983-10-27,0,CLIC
1983-10-28,0,CLIC
1983-10-29,0,CLIC
1983-10-30,0,CLIC
1983-10-31,0,CLIC
1983-11-01,0,CLIC
1983-11-02,0,CLIC
1983-11-03,0,CLIC
1983-11-04,0,CLIC
1983-11-05,0,CLIC
1983-11-06,0,CLIC
1983-11-07,0,CLIC
1983-11-08,0,CLIC
1983-11-09,21,CLIC
1983-11-10,0,CLIC
1983-11-11,0,CLIC
1983-11-12,0,CLIC
1983-11-13,0,CLIC
1983-11-14,0,CLIC
1983-11-15,0,CLIC
1983-11-16,0,CLIC
1983-11-17,0,CLIC
1983-11-18,0,CLIC
1983-11-19,0,CLIC
1983-11-20,0,CLIC
1983-11-21,0,CLIC
1983-11-22,0,CLIC
1983-11-23,0,CLIC
1983-11-24,0,CLIC
1983-11-25,0,CLIC
1983-11-26,0,CLIC
1983-11-27,0,CLIC
1983-11-28,0,CLIC
1983-11-29,0,CLIC
1983-11-30,0,CLIC
1983-12-01,0,CLIC
1983-12-02,0,CLIC
1983-12-03,0,CLIC
1983-12-04,0,CLIC
1983-12-05,0,CLIC
1983-12-06,0,CLIC
1983-12-07,0,CLIC
1983-12-08,0,CLIC
1983-12-09,0,CLIC
1983-12-10,0,CLIC
1983-12-11,0,CLIC
1983-12-12,0,CLIC
1983-12-13,0,CLIC
1983-12-14,0,CLIC
1983-12-15,0,CLIC
1983-12-16,0,CLIC
1983-12-17,8.5,CLIC
1983-12-18,2.5,CLIC
1983-12-19,1,CLIC
1983-12-20,1.5,CLIC
1983-12-21,1,CLIC
1983-12-22,3,CLIC
1983-12-23,0,CLIC
1983-12-24,0,CLIC
1983-12-25,4.5,CLIC
1983-12-26,0,CLIC
1983-12-27,0,CLIC
1983-12-28,0,CLIC
1983-12-29,0,CLIC
1983-12-30,0,CLIC
1983-12-31,0,CLIC
1984-01-01,7,CLIC
1984-01-02,1,CLIC
1984-01-03,2,CLIC
1984-01-04,9,CLIC
1984-01-05,10,CLIC
1984-01-06,11.5,CLIC
1984-01-07,13.5,CLIC
1984-01-08,12,CLIC
1984-01-09,12.5,CLIC
1984-01-10,7.5,CLIC
1984-01-11,3,CLIC
1984-01-12,1,CLIC
1984-01-13,5.5,CLIC
1984-01-14,2,CLIC
1984-01-15,4,CLIC
1984-01-16,5.5,CLIC
1984-01-17,6,CLIC
1984-01-18,6,CLIC
1984-01-19,0,CLIC
1984-01-20,1,CLIC
1984-01-21,0,CLIC
1984-01-22,0,CLIC
1984-01-23,1.5,CLIC
1984-01-24,9,CLIC
1984-01-25,11,CLIC
1984-01-26,5,CLIC
1984-01-27,8.5,CLIC
1984-01-28,8,CLIC
1984-01-29,9,CLIC
1984-01-30,12.5,CLIC
1984-01-31,3.5,CLIC
1984-03-01,0,CLIC
1984-03-02,0,CLIC
1984-03-03,0,CLIC
1984-03-04,0,CLIC
1984-03-05,0,CLIC
1984-03-06,0,CLIC
1984-03-07,0,CLIC
1984-03-08,0,CLIC
1984-03-09,0,CLIC
1984-03-10,0,CLIC
1984-03-11,0,CLIC
1984-03-12,0,CLIC
1984-03-13,0,CLIC
1984-03-14,0,CLIC
1984-03-15,0,CLIC
1984-03-16,0,CLIC
1984-03-17,0,CLIC
1984-03-18,0,CLIC
1984-03-19,0,CLIC
1984-03-20,0,CLIC
1984-03-21,0,CLIC
1984-03-22,0,CLIC
1984-03-23,0,CLIC
1984-03-24,0,CLIC
1984-03-25,0,CLIC
1984-03-26,0,CLIC
1984-03-27,0,CLIC
1984-03-28,0,CLIC
1984-03-29,0,CLIC
1984-03-30,0,CLIC
1984-03-31,0,CLIC
