Estación: ,C19172,LAS MONITAS. CERRALVO
Variable: ,Evaporación (mm)
Longitud: ,99° 43' 21.1'',Latitud:,26° 08' 54.4''

Fecha,Valor,NúmDatos
1983-04-01,5.9,CLIC
1983-04-02,7.4,CLIC
1983-04-03,6.8,CLIC
1983-04-04,10.2,CLIC
1983-04-05,6.2,CLIC
1983-04-06,8.8,CLIC
1983-04-07,5.4,CLIC
1983-04-08,4.1,CLIC
1983-04-09,7.1,CLIC
1983-04-10,6.9,CLIC
1983-04-11,8.1,CLIC
1983-04-12,8,CLIC
1983-04-13,12.6,CLIC
1983-04-14,9.6,CLIC
1983-04-15,6.4,CLIC
1983-04-16,6.6,CLIC
1983-04-17,0.8,CLIC
1983-04-18,2,CLIC
1983-04-19,11,CLIC
1983-04-20,10.2,CLIC
1983-04-21,8.4,CLIC
1983-04-22,9.1,CLIC
1983-04-23,11.7,CLIC
1983-04-24,7.5,CLIC
1983-04-25,6.1,CLIC
1983-04-26,7.5,CLIC
1983-04-27,6.5,CLIC
1983-04-28,7.7,CLIC
1983-04-29,8.8,CLIC
1983-04-30,6.7,CLIC
1983-10-01,2.9,CLIC
1983-10-02,3.6,CLIC
1983-10-03,6.9,CLIC
1983-10-04,5,CLIC
1983-10-05,3.9,CLIC
1983-10-06,7.9,CLIC
1983-10-07,4.4,CLIC
1983-10-08,4,CLIC
1983-10-09,4.4,CLIC
1983-10-10,3.8,CLIC
1983-10-12,3.8,CLIC
1983-10-13,3.4,CLIC
1983-10-14,3.8,CLIC
1983-10-15,4,CLIC
1983-10-16,3.2,CLIC
1983-10-17,4.6,CLIC
1983-10-18,3.4,CLIC
1983-10-19,3.4,CLIC
1983-10-20,6.8,CLIC
1983-10-21,4.4,CLIC
1983-10-22,5.8,CLIC
1983-10-23,6.1,CLIC
1983-10-24,6.1,CLIC
1983-10-25,5,CLIC
1983-10-26,4.2,CLIC
1983-10-27,4.6,CLIC
1983-10-28,3.2,CLIC
1983-10-29,4.8,CLIC
1983-10-30,3.3,CLIC
1983-10-31,4.3,CLIC
1983-12-01,5.6,CLIC
1983-12-02,4.8,CLIC
1983-12-03,1.9,CLIC
1983-12-04,5.7,CLIC
1983-12-05,6.1,CLIC
1983-12-06,4,CLIC
1983-12-07,4,CLIC
1983-12-08,3.1,CLIC
1983-12-09,2.9,CLIC
1983-12-10,3.7,CLIC
1983-12-11,4.1,CLIC
1983-12-12,6.8,CLIC
1983-12-13,5.7,CLIC
1983-12-14,3.3,CLIC
1983-12-15,3.8,CLIC
1983-12-16,2.6,CLIC
1983-12-17,4.1,CLIC
1983-12-18,3.9,CLIC
1983-12-19,3.2,CLIC
1983-12-20,3.8,CLIC
1983-12-21,4.1,CLIC
1983-12-22,4.8,CLIC
1983-12-23,3.4,CLIC
1983-12-24,1.6,CLIC
1983-12-25,0.2,CLIC
1983-12-26,0.8,CLIC
1983-12-27,0.1,CLIC
1983-12-28,1.4,CLIC
1983-12-29,2.5,CLIC
1983-12-30,1,CLIC
1983-12-31,1.4,CLIC
1984-01-01,2.5,CLIC
1984-01-02,5.7,CLIC
1984-01-03,5.7,CLIC
1984-01-04,7.2,CLIC
1984-01-05,6.9,CLIC
1984-01-06,3.2,CLIC
1984-01-07,6.1,CLIC
1984-01-08,1.5,CLIC
1984-01-09,7.1,CLIC
1984-01-10,8.3,CLIC
1984-01-11,8.9,CLIC
1984-01-12,7.4,CLIC
1984-01-13,6.7,CLIC
1984-01-14,5.2,CLIC
1984-01-15,8.1,CLIC
1984-01-16,3.3,CLIC
1984-01-17,1.4,CLIC
1984-01-18,2.3,CLIC
1984-01-19,3.9,CLIC
1984-01-20,2.6,CLIC
1984-01-21,4.1,CLIC
1984-01-22,3.4,CLIC
1984-01-23,3.7,CLIC
1984-01-24,4.4,CLIC
1984-01-25,4.1,CLIC
1984-01-26,5.5,CLIC
1984-01-27,8.7,CLIC
1984-01-28,6.9,CLIC
1984-01-29,7.3,CLIC
1984-01-30,1.1,CLIC
1984-01-31,3.9,CLIC
1984-02-01,1,CLIC
1984-02-02,2.7,CLIC
1984-02-03,3,CLIC
1984-02-04,5.8,CLIC
1984-02-05,1.4,CLIC
1984-02-06,1.6,CLIC
1984-02-07,3.6,CLIC
1984-02-08,2.8,CLIC
1984-02-09,2.9,CLIC
1984-02-10,4.6,CLIC
1984-02-11,6,CLIC
1984-02-12,7.2,CLIC
1984-02-13,5,CLIC
1984-02-14,7.1,CLIC
1984-02-15,6.1,CLIC
1984-02-16,3.6,CLIC
1984-02-17,6.3,CLIC
1984-02-18,4.6,CLIC
1984-02-19,4.3,CLIC
1984-02-20,2.2,CLIC
1984-02-21,3.2,CLIC
1984-02-22,6.2,CLIC
1984-02-23,4,CLIC
1984-02-24,5.8,CLIC
1984-02-25,4.5,CLIC
1984-02-26,10.9,CLIC
1984-02-27,6.8,CLIC
1984-02-28,5.2,CLIC
1984-02-29,5.5,CLIC
1984-05-01,5.9,CLIC
1984-05-02,11.3,CLIC
1984-05-03,14.5,CLIC
1984-05-04,11.7,CLIC
1984-05-05,12.4,CLIC
1984-05-06,10.1,CLIC
1984-05-07,10.5,CLIC
1984-05-08,7.1,CLIC
1984-05-09,8.1,CLIC
1984-05-10,7.9,CLIC
1984-05-11,7.6,CLIC
1984-05-12,9.1,CLIC
1984-05-13,5.4,CLIC
1984-05-14,2.2,CLIC
1984-05-15,2.6,CLIC
1984-05-16,6,CLIC
1984-05-17,8.5,CLIC
1984-05-18,5.8,CLIC
1984-05-19,5.1,CLIC
1984-05-20,5.6,CLIC
1984-05-21,10.9,CLIC
1984-05-22,6.7,CLIC
1984-05-23,12.7,CLIC
1984-05-24,9.1,CLIC
1984-05-25,7.9,CLIC
1984-05-26,5,CLIC
1984-05-27,9.8,CLIC
1984-05-28,5.1,CLIC
1984-05-29,5.7,CLIC
1984-05-30,5.4,CLIC
1984-05-31,7.3,CLIC
1984-06-01,10.1,CLIC
1984-06-02,8,CLIC
1984-06-03,6.3,CLIC
1984-06-04,5.9,CLIC
1984-06-05,7.5,CLIC
1984-06-06,8.1,CLIC
1984-06-07,8.8,CLIC
1984-06-08,9.3,CLIC
1984-06-09,8.1,CLIC
1984-06-10,8.8,CLIC
1984-06-11,10.2,CLIC
1984-06-12,8.4,CLIC
1984-06-13,7.1,CLIC
1984-06-14,8.6,CLIC
1984-06-15,7.3,CLIC
1984-06-16,8.8,CLIC
1984-06-17,8.9,CLIC
1984-06-18,7.3,CLIC
1984-06-19,6.6,CLIC
1984-06-20,7.8,CLIC
1984-06-21,6.7,CLIC
1984-06-22,6.3,CLIC
1984-06-23,7.5,CLIC
1984-06-24,6.4,CLIC
1984-06-25,7.1,CLIC
1984-06-26,7.3,CLIC
1984-06-27,6.9,CLIC
1984-06-28,8.6,CLIC
1984-06-29,6.5,CLIC
1984-06-30,9,CLIC
1984-07-01,10,CLIC
1984-07-02,10.2,CLIC
1984-07-03,9.8,CLIC
1984-07-04,9.6,CLIC
1984-07-05,10.1,CLIC
1984-07-06,7.1,CLIC
1984-07-07,9.2,CLIC
1984-07-08,10.1,CLIC
1984-07-09,9.9,CLIC
1984-07-10,10.4,CLIC
1984-07-11,9.3,CLIC
1984-07-12,3.6,CLIC
1984-07-13,3.7,CLIC
1984-07-14,6.6,CLIC
1984-07-15,4.3,CLIC
1984-07-16,10.1,CLIC
1984-07-17,7.6,CLIC
1984-07-18,10.6,CLIC
1984-07-19,8.1,CLIC
1984-07-20,7.8,CLIC
1984-07-21,6.7,CLIC
1984-07-22,7.1,CLIC
1984-07-23,2.8,CLIC
1984-07-24,8.8,CLIC
1984-07-25,8.4,CLIC
1984-07-26,7.2,CLIC
1984-07-27,8.9,CLIC
1984-07-28,5.9,CLIC
1984-07-29,5,CLIC
1984-07-30,7.3,CLIC
1984-07-31,5.8,CLIC
1985-01-01,3.5,CLIC
1985-01-02,0.8,CLIC
1985-01-03,4.1,CLIC
1985-01-04,0.8,CLIC
1985-01-05,3.2,CLIC
1985-01-06,2.6,CLIC
1985-01-07,2.8,CLIC
1985-01-08,0.9,CLIC
1985-01-09,3.6,CLIC
1985-01-10,2.6,CLIC
1985-01-11,0.5,CLIC
1985-01-12,4.4,CLIC
1985-01-13,1.8,CLIC
1985-01-14,3.3,CLIC
1985-01-15,4,CLIC
1985-01-16,2.6,CLIC
1985-01-17,3.7,CLIC
1985-01-18,3.5,CLIC
1985-01-19,2.5,CLIC
1985-01-20,2,CLIC
1985-01-21,1,CLIC
1985-01-22,3.3,CLIC
1985-01-23,3.1,CLIC
1985-01-24,1.4,CLIC
1985-01-25,4.6,CLIC
1985-01-26,2,CLIC
1985-01-27,1.4,CLIC
1985-01-28,0.9,CLIC
1985-01-29,1.8,CLIC
1985-01-30,1.3,CLIC
1985-01-31,3.6,CLIC
1985-02-01,1.3,CLIC
1985-02-02,0.7,CLIC
1985-02-03,1.6,CLIC
1985-02-04,1.3,CLIC
1985-02-05,2.3,CLIC
1985-02-06,0.1,CLIC
1985-02-07,1.4,CLIC
1985-02-08,1.4,CLIC
1985-02-09,2.1,CLIC
1985-02-10,3.2,CLIC
1985-02-11,3.1,CLIC
1985-02-12,5.7,CLIC
1985-02-13,2.9,CLIC
1985-02-14,2.3,CLIC
1985-02-15,5.8,CLIC
1985-02-16,4.8,CLIC
1985-02-17,0.6,CLIC
1985-02-18,4.4,CLIC
1985-02-19,6,CLIC
1985-02-20,2.3,CLIC
1985-02-21,4.5,CLIC
1985-02-22,5.4,CLIC
1985-02-23,6.7,CLIC
1985-02-24,4,CLIC
1985-02-25,2.2,CLIC
1985-02-26,3.6,CLIC
1985-02-27,0.1,CLIC
1985-02-28,4,CLIC
1985-03-01,4.7,CLIC
1985-03-02,5,CLIC
1985-03-03,4.8,CLIC
1985-03-04,2.7,CLIC
1985-03-05,1.3,CLIC
1985-03-06,3.6,CLIC
1985-03-07,0.4,CLIC
1985-03-08,8.1,CLIC
1985-03-09,5.1,CLIC
1985-03-10,4,CLIC
1985-03-11,6.2,CLIC
1985-03-12,6.4,CLIC
1985-03-13,6.8,CLIC
1985-03-14,0.8,CLIC
1985-03-15,2.8,CLIC
1985-03-16,4.8,CLIC
1985-03-17,6.4,CLIC
1985-03-18,1.4,CLIC
1985-03-19,3.6,CLIC
1985-03-20,6.2,CLIC
1985-03-21,7.1,CLIC
1985-03-22,6.8,CLIC
1985-03-23,5.5,CLIC
1985-03-24,5.8,CLIC
1985-03-25,9.5,CLIC
1985-03-26,2.8,CLIC
1985-03-27,6.3,CLIC
1985-03-28,5.4,CLIC
1985-03-29,4.5,CLIC
1985-03-30,8.6,CLIC
1985-03-31,7.7,CLIC
1985-04-01,5.4,CLIC
1985-04-02,6.7,CLIC
1985-04-03,9.8,CLIC
1985-04-04,6.6,CLIC
1985-04-05,9.2,CLIC
1985-04-06,2.1,CLIC
1985-04-07,2.7,CLIC
1985-04-08,1.6,CLIC
1985-04-09,6.8,CLIC
1985-04-10,7.7,CLIC
1985-04-11,6.5,CLIC
1985-04-12,4.6,CLIC
1985-04-13,8.4,CLIC
1985-04-14,8.7,CLIC
1985-04-15,6.1,CLIC
1985-04-16,5.2,CLIC
1985-04-17,8.8,CLIC
1985-04-18,3.1,CLIC
1985-04-19,6.8,CLIC
1985-04-20,4.2,CLIC
1985-04-21,6.2,CLIC
1985-04-22,7.7,CLIC
1985-04-23,7.3,CLIC
1985-04-24,5.3,CLIC
1985-04-25,8.7,CLIC
1985-04-26,7.8,CLIC
1985-04-27,6.1,CLIC
