Estación: ,C19173,LOS PALMITOS. CADEREYTA
Variable: ,Evaporación (mm)
Longitud: ,99° 59' 37.7'',Latitud:,25° 27' 02.9''

Fecha,Valor,NúmDatos
1982-02-01,5.1,CLIC
1982-02-02,4.3,CLIC
1982-02-03,8.6,CLIC
1982-02-04,6.2,CLIC
1982-02-05,5.9,CLIC
1982-02-06,6.4,CLIC
1982-02-07,6.5,CLIC
1982-02-08,5.9,CLIC
1982-02-09,6,CLIC
1982-02-10,7.4,CLIC
1982-02-11,7.6,CLIC
1982-02-12,6.8,CLIC
1982-02-13,5.5,CLIC
1982-02-14,7.5,CLIC
1982-02-15,6.9,CLIC
1982-02-16,5.9,CLIC
1982-02-17,6.4,CLIC
1982-02-18,7,CLIC
1982-02-19,5.8,CLIC
1982-02-20,6.1,CLIC
1982-02-21,5.9,CLIC
1982-02-22,5.9,CLIC
1982-02-23,6.2,CLIC
1982-02-24,6,CLIC
1982-02-25,4,CLIC
1982-02-26,4,CLIC
1982-02-27,3.9,CLIC
1982-02-28,5.2,CLIC
1982-03-01,4.6,CLIC
1982-03-02,4,CLIC
1982-03-03,4.2,CLIC
1982-03-04,5,CLIC
1982-03-05,5.9,CLIC
1982-03-06,5.6,CLIC
1982-03-07,4.6,CLIC
1982-03-08,5.9,CLIC
1982-03-09,3.5,CLIC
1982-03-10,4.5,CLIC
1982-03-11,5.6,CLIC
1982-03-12,6.2,CLIC
1982-03-13,6.4,CLIC
1982-03-14,4.1,CLIC
1982-03-15,3.5,CLIC
1982-03-16,4.6,CLIC
1982-03-17,4.1,CLIC
1982-03-18,5.3,CLIC
1982-03-19,3.1,CLIC
1982-03-20,4.1,CLIC
1982-03-21,2.8,CLIC
1982-03-22,2.3,CLIC
1982-03-23,3.9,CLIC
1982-03-24,4.2,CLIC
1982-03-25,3.9,CLIC
1982-03-26,4.2,CLIC
1982-03-27,3.8,CLIC
1982-03-28,2.3,CLIC
1982-03-29,3.9,CLIC
1982-03-30,4.7,CLIC
1982-03-31,3.3,CLIC
1982-07-01,5.1,CLIC
1982-07-02,3.7,CLIC
1982-07-03,7.5,CLIC
1982-07-04,8.7,CLIC
1982-07-06,3.1,CLIC
1982-07-07,7.2,CLIC
1982-07-08,6.6,CLIC
1982-07-09,7.5,CLIC
1982-07-10,7.6,CLIC
1982-07-11,7.9,CLIC
1982-07-12,6.5,CLIC
1982-07-13,7.9,CLIC
1982-07-14,3.1,CLIC
1982-07-15,7.1,CLIC
1982-07-16,8.2,CLIC
1982-07-17,6.3,CLIC
1982-07-18,8.8,CLIC
1982-07-19,7.8,CLIC
1982-07-20,6.4,CLIC
1982-07-21,8.6,CLIC
1982-07-22,9,CLIC
1982-07-23,8.4,CLIC
1982-07-24,6.6,CLIC
1982-07-25,7.5,CLIC
1982-07-26,7.5,CLIC
1982-07-27,5.1,CLIC
1982-07-28,8.1,CLIC
1982-07-29,6,CLIC
1982-07-30,9,CLIC
1982-07-31,8.6,CLIC
1982-08-01,4.4,CLIC
1982-08-02,6.6,CLIC
1982-08-03,6.3,CLIC
1982-08-04,5.2,CLIC
1982-08-05,7.5,CLIC
1982-08-06,5.4,CLIC
1982-08-07,5.3,CLIC
1982-08-08,6.8,CLIC
1982-08-09,7.8,CLIC
1982-08-10,7.4,CLIC
1982-08-11,8.2,CLIC
1982-08-12,6.6,CLIC
1982-08-13,6.5,CLIC
1982-08-14,8,CLIC
1982-08-15,7.9,CLIC
1982-08-16,7.1,CLIC
1982-08-17,5.8,CLIC
1982-08-18,5.3,CLIC
1982-08-19,6.8,CLIC
1982-08-20,7.3,CLIC
1982-08-22,6.9,CLIC
1982-08-23,6.9,CLIC
1982-08-24,5.9,CLIC
1982-08-25,6.6,CLIC
1982-08-26,6.8,CLIC
1982-08-27,6.2,CLIC
1982-08-28,6.8,CLIC
1982-08-29,6.8,CLIC
1982-08-30,5.9,CLIC
1982-08-31,5.3,CLIC
1983-02-01,4.9,CLIC
1983-02-02,5.3,CLIC
1983-02-03,4.9,CLIC
1983-02-04,4.1,CLIC
1983-02-05,4.9,CLIC
1983-02-06,7.4,CLIC
1983-02-07,5.2,CLIC
1983-02-08,3.8,CLIC
1983-02-09,5,CLIC
1983-02-10,4.3,CLIC
1983-02-11,3.4,CLIC
1983-02-12,8.5,CLIC
1983-02-13,0.9,CLIC
1983-02-14,3.5,CLIC
1983-02-15,6.6,CLIC
1983-02-16,4,CLIC
1983-02-17,3.4,CLIC
1983-02-18,5.9,CLIC
1983-02-19,3.4,CLIC
1983-02-20,5,CLIC
1983-02-21,4.9,CLIC
1983-02-22,4.8,CLIC
1983-02-23,4.3,CLIC
1983-02-24,4,CLIC
1983-02-25,3.8,CLIC
1983-02-26,4.3,CLIC
1983-02-27,3.9,CLIC
1983-02-28,6.6,CLIC
1983-03-01,5.3,CLIC
1983-03-02,6.3,CLIC
1983-03-03,5.1,CLIC
1983-03-04,4.2,CLIC
1983-03-05,6,CLIC
1983-03-06,4.5,CLIC
1983-03-07,5.2,CLIC
1983-03-08,1.6,CLIC
1983-03-09,4.8,CLIC
1983-03-10,3.1,CLIC
1983-03-11,8,CLIC
1983-03-12,7.1,CLIC
1983-03-13,6.2,CLIC
1983-03-14,1.9,CLIC
1983-03-15,2.2,CLIC
1983-03-16,3.1,CLIC
1983-03-17,2.3,CLIC
1983-03-18,2.3,CLIC
1983-03-19,2.1,CLIC
