Estación: ,C19174,SAN BARTOLO. C. JIMENEZ
Variable: ,Evaporación (mm)
Longitud: ,100° 00' 47.7'',Latitud:,25° 32' 49.9''

Fecha,Valor,NúmDatos
1982-06-01,5.8,CLIC
1982-06-02,7,CLIC
1982-06-03,5.8,CLIC
1982-06-04,5.8,CLIC
1982-06-05,5.2,CLIC
1982-06-06,5.8,CLIC
1982-06-07,6.7,CLIC
1982-06-08,8,CLIC
1982-06-09,5.7,CLIC
1982-06-10,7.6,CLIC
1982-06-11,6.7,CLIC
1982-06-12,8.2,CLIC
1982-06-13,6.6,CLIC
1982-06-14,5.9,CLIC
1982-06-15,5.4,CLIC
1982-06-16,5.5,CLIC
1982-06-17,6,CLIC
1982-06-18,5.5,CLIC
1982-06-19,6.1,CLIC
1982-06-20,5.2,CLIC
1982-06-21,6,CLIC
1982-06-22,6.6,CLIC
1982-06-23,6,CLIC
1982-06-24,5.4,CLIC
1982-06-25,6,CLIC
1982-06-26,5.8,CLIC
1982-06-27,7.7,CLIC
1982-06-28,6.4,CLIC
1982-06-29,6.6,CLIC
1982-06-30,7.4,CLIC
1983-01-01,2.3,CLIC
1983-01-02,6.7,CLIC
1983-01-03,9.9,CLIC
1983-01-04,10.1,CLIC
1983-01-05,8.9,CLIC
1983-01-06,3.8,CLIC
1983-01-07,3.8,CLIC
1983-01-08,6.4,CLIC
1983-01-09,6.8,CLIC
1983-01-10,5.7,CLIC
1983-01-11,4.8,CLIC
1983-01-12,2.8,CLIC
1983-01-13,4.5,CLIC
1983-01-14,2.9,CLIC
1983-01-15,2.6,CLIC
1983-01-16,3.9,CLIC
1983-01-17,3.3,CLIC
1983-01-18,4.4,CLIC
1983-01-19,2.9,CLIC
1983-01-20,2.2,CLIC
1983-01-21,1.9,CLIC
1983-01-22,1.8,CLIC
1983-01-23,2.7,CLIC
1983-01-24,3.8,CLIC
1983-01-25,3,CLIC
1983-01-26,2.9,CLIC
1983-01-27,4.1,CLIC
1983-01-28,2.7,CLIC
1983-01-29,4.4,CLIC
1983-01-30,3.8,CLIC
1983-01-31,5.2,CLIC
1983-03-01,2.2,CLIC
1983-03-02,5.4,CLIC
1983-03-03,4.3,CLIC
1983-03-04,7.2,CLIC
1983-03-05,7.3,CLIC
1983-03-06,4.1,CLIC
1983-03-07,4.4,CLIC
1983-03-08,5,CLIC
1983-03-09,3.7,CLIC
1983-03-10,0.5,CLIC
1983-03-11,2,CLIC
1983-03-12,3.2,CLIC
1983-03-13,4,CLIC
1983-03-14,5,CLIC
1983-03-15,5.1,CLIC
1983-03-16,3.9,CLIC
1983-03-17,3.1,CLIC
1983-03-18,3.8,CLIC
1983-03-19,4.3,CLIC
1983-03-20,5,CLIC
1983-03-21,4.7,CLIC
1983-03-22,4.3,CLIC
1983-03-23,4.2,CLIC
1983-03-24,4,CLIC
1983-03-25,2.3,CLIC
1983-03-26,1.5,CLIC
1983-03-27,4.1,CLIC
1983-03-28,4,CLIC
1983-03-29,4.5,CLIC
1983-03-30,3.5,CLIC
1983-03-31,4.6,CLIC
1983-04-01,6.5,CLIC
1983-04-02,3.8,CLIC
1983-04-03,8.9,CLIC
1983-04-04,10.6,CLIC
1983-04-05,11.3,CLIC
1983-04-06,4.1,CLIC
1983-04-07,8.6,CLIC
1983-04-08,4.8,CLIC
1983-04-09,6.8,CLIC
1983-04-10,0.3,CLIC
1983-04-11,6.8,CLIC
1983-04-12,6,CLIC
1983-04-13,7.4,CLIC
1983-04-14,1.3,CLIC
1983-04-15,1.8,CLIC
1983-04-16,2.3,CLIC
1983-04-17,4.7,CLIC
1983-04-18,3.7,CLIC
1983-04-19,2.8,CLIC
1983-04-20,8,CLIC
1983-04-21,4.5,CLIC
1983-04-22,3.5,CLIC
1983-04-23,7.1,CLIC
1983-04-24,8.6,CLIC
1983-04-25,5.7,CLIC
1983-04-26,9.5,CLIC
1983-04-27,3.9,CLIC
1983-04-28,2.9,CLIC
1983-04-29,4.6,CLIC
1983-04-30,4,CLIC
1983-10-01,4.5,CLIC
1983-10-02,4.3,CLIC
1983-10-03,8.9,CLIC
1983-10-04,7,CLIC
1983-10-05,3.2,CLIC
1983-10-06,3.1,CLIC
1983-10-07,3.9,CLIC
1983-10-08,4.7,CLIC
1983-10-09,5.3,CLIC
1983-10-10,3.9,CLIC
1983-10-11,3.2,CLIC
1983-10-12,4.2,CLIC
1983-10-13,4.7,CLIC
1983-10-14,2.2,CLIC
1983-10-15,3.8,CLIC
1983-10-16,4.1,CLIC
1983-10-17,2.1,CLIC
1983-10-18,4.9,CLIC
1983-10-19,3.2,CLIC
1983-10-20,1.7,CLIC
1983-10-21,2.8,CLIC
1983-10-22,3.9,CLIC
1983-10-23,7.9,CLIC
1983-10-24,6.2,CLIC
1983-10-25,5.8,CLIC
1983-10-26,7.4,CLIC
1983-10-27,3.8,CLIC
1983-10-28,3.2,CLIC
1983-10-29,2.1,CLIC
1983-10-30,4.7,CLIC
1983-10-31,8,CLIC
1983-11-01,3.6,CLIC
1983-11-02,1.1,CLIC
1983-11-03,3.2,CLIC
1983-11-04,5.2,CLIC
1983-11-05,6.2,CLIC
1983-11-06,8.9,CLIC
1983-11-07,7.5,CLIC
1983-11-08,7.8,CLIC
1983-11-09,6.8,CLIC
1983-11-10,6.9,CLIC
1983-11-11,7.4,CLIC
1983-11-12,4.9,CLIC
1983-11-13,8.1,CLIC
1983-11-14,7.3,CLIC
1983-11-15,7.5,CLIC
1983-11-16,5.2,CLIC
1983-11-17,10,CLIC
1983-11-18,7.3,CLIC
1983-11-19,8.2,CLIC
1983-11-20,6.3,CLIC
1983-11-21,8.2,CLIC
1983-11-22,5.8,CLIC
1983-11-23,8.1,CLIC
1983-11-24,7,CLIC
1983-11-25,6.1,CLIC
1983-11-26,5.7,CLIC
1983-11-27,6.9,CLIC
1983-11-28,4.2,CLIC
1983-11-29,6,CLIC
1983-11-30,10.3,CLIC
1985-02-08,2.9,CLIC
1985-02-09,1.7,CLIC
1985-02-10,3.3,CLIC
1985-02-11,3.1,CLIC
1985-02-12,2.7,CLIC
1985-02-13,1.3,CLIC
1985-02-14,1.2,CLIC
1985-02-15,1.5,CLIC
1985-02-16,0.9,CLIC
1985-02-17,1.1,CLIC
1985-02-18,2.5,CLIC
1985-02-19,5.2,CLIC
1985-02-20,1.3,CLIC
1985-02-21,2.8,CLIC
1985-02-22,3.9,CLIC
1985-02-23,4.1,CLIC
1985-02-24,2.7,CLIC
1985-02-25,3.5,CLIC
1985-02-26,2.8,CLIC
1985-02-27,0.3,CLIC
1985-02-28,4.6,CLIC
1985-03-01,4.1,CLIC
1985-03-02,3.1,CLIC
1985-03-03,5.7,CLIC
1985-03-04,7.1,CLIC
1985-03-05,5.7,CLIC
1985-03-06,1.7,CLIC
1985-03-07,5.8,CLIC
1985-03-08,5.4,CLIC
1985-03-09,6.2,CLIC
1985-03-10,5.5,CLIC
1985-03-11,2.1,CLIC
1985-03-12,5.2,CLIC
1985-03-13,1.9,CLIC
1985-03-14,4.4,CLIC
1985-03-15,0.3,CLIC
1985-03-16,4.8,CLIC
1985-03-17,3.9,CLIC
1985-03-18,3.7,CLIC
1985-03-19,5.4,CLIC
1985-03-20,4.2,CLIC
1985-03-21,4.9,CLIC
1985-03-22,5.5,CLIC
1985-03-23,1,CLIC
1985-03-24,2.5,CLIC
1985-03-25,3.4,CLIC
1985-03-26,2.4,CLIC
1985-03-27,6.6,CLIC
1985-03-28,4.4,CLIC
1985-03-29,5.4,CLIC
1985-03-30,5.8,CLIC
1985-03-31,8.1,CLIC
1985-05-01,10,CLIC
1985-05-02,4.1,CLIC
1985-05-03,8.1,CLIC
1985-05-04,5.2,CLIC
1985-05-05,9.1,CLIC
1985-05-06,8.8,CLIC
1985-05-07,8.6,CLIC
1985-05-08,6.5,CLIC
1985-05-09,6.2,CLIC
1985-05-10,5.5,CLIC
1985-05-11,4.5,CLIC
1985-05-12,7.6,CLIC
1985-05-13,5.8,CLIC
1985-05-14,4.9,CLIC
1985-05-15,4.7,CLIC
1985-05-16,5.4,CLIC
1985-05-17,7.8,CLIC
1985-05-18,9.4,CLIC
1985-05-19,8.9,CLIC
1985-05-20,10.8,CLIC
1985-05-21,7.5,CLIC
1985-05-22,6.8,CLIC
1985-05-23,3.9,CLIC
1985-05-24,9.5,CLIC
1985-05-25,5.8,CLIC
1985-05-26,8.3,CLIC
1985-05-27,9.7,CLIC
1985-05-28,8.6,CLIC
1985-05-29,9.2,CLIC
1985-05-30,9.7,CLIC
1985-05-31,10.3,CLIC
1985-07-01,13.3,CLIC
1985-07-02,2.6,CLIC
1985-07-03,7.1,CLIC
1985-07-04,4.2,CLIC
1985-07-05,7.3,CLIC
1985-07-06,6.6,CLIC
1985-07-07,6.9,CLIC
1985-07-08,6.9,CLIC
1985-07-09,7.6,CLIC
1985-07-10,5.9,CLIC
1985-07-11,2.6,CLIC
1985-07-12,5.6,CLIC
1985-07-13,6.9,CLIC
1985-07-14,5.9,CLIC
1985-07-15,3.9,CLIC
1985-07-16,7.2,CLIC
1985-07-17,7.4,CLIC
1985-07-18,8.6,CLIC
1985-07-19,10.8,CLIC
1985-07-20,9.2,CLIC
1985-07-21,7.7,CLIC
1985-07-22,8,CLIC
1985-07-23,2.7,CLIC
1985-07-24,8.8,CLIC
1985-07-25,7.7,CLIC
1985-07-26,3.1,CLIC
1985-07-27,9.7,CLIC
1985-07-28,7.2,CLIC
1985-07-29,6.3,CLIC
1985-07-30,8.8,CLIC
1985-07-31,8.8,CLIC
1985-08-01,8.3,CLIC
1985-08-02,7.8,CLIC
1985-08-03,7.4,CLIC
1985-08-04,4.3,CLIC
1985-08-05,10.2,CLIC
1985-08-06,9.6,CLIC
1985-08-07,9.3,CLIC
1985-08-08,4.9,CLIC
1985-08-09,10.9,CLIC
1985-08-10,9.5,CLIC
1985-08-11,11.7,CLIC
1985-08-12,8.4,CLIC
1985-08-13,8.1,CLIC
1985-08-14,2.1,CLIC
1985-08-15,8.2,CLIC
1985-08-16,1.1,CLIC
1985-08-17,8.1,CLIC
1985-08-18,6.9,CLIC
1985-08-19,9.8,CLIC
