Estación: ,C19175,SANTA CRUZ. STA.CATARINA
Variable: ,Evaporación (mm)
Longitud: ,100° 26' 00'',Latitud:,25° 30' 00

Fecha,Valor,NúmDatos
1998-01-01,1.59,CLIC
1998-01-02,11.23,CLIC
1998-01-03,4.71,CLIC
1998-01-04,1.16,CLIC
1998-01-05,3.95,CLIC
1998-01-06,4.2,CLIC
1998-01-07,1.45,CLIC
1998-01-08,2.13,CLIC
1998-01-09,0.79,CLIC
1998-01-10,0.98,CLIC
1998-01-11,1.35,CLIC
1998-01-12,3.65,CLIC
1998-01-13,2.19,CLIC
1998-01-14,2.35,CLIC
1998-01-15,3.61,CLIC
1998-01-16,5.64,CLIC
1998-01-17,1.26,CLIC
1998-01-18,4.75,CLIC
1998-01-19,4.13,CLIC
1998-01-20,1.32,CLIC
1998-01-21,0.95,CLIC
1998-01-22,6.85,CLIC
1998-01-23,4.9,CLIC
1998-01-24,3.89,CLIC
1998-01-25,3.03,CLIC
1998-01-26,3,CLIC
1998-01-27,3.08,CLIC
1998-01-28,0.88,CLIC
1998-01-29,2.97,CLIC
1998-01-30,5.55,CLIC
1998-01-31,4.6,CLIC
1998-03-01,5.03,CLIC
1998-03-02,4.6,CLIC
1998-03-03,5.72,CLIC
1998-03-04,4.28,CLIC
1998-03-05,5.74,CLIC
1998-03-06,4.44,CLIC
1998-03-07,4.2,CLIC
1998-03-08,2.48,CLIC
1998-03-09,1.5,CLIC
1998-03-10,1.8,CLIC
1998-03-11,0.65,CLIC
1998-03-12,4,CLIC
1998-03-13,2.77,CLIC
1998-03-14,1.98,CLIC
1998-03-15,1.21,CLIC
1998-03-16,4.04,CLIC
1998-03-17,4.92,CLIC
1998-03-18,0.86,CLIC
1998-03-19,1.91,CLIC
1998-03-20,2.17,CLIC
1998-03-21,5.09,CLIC
1998-03-22,1.12,CLIC
1998-03-23,3.85,CLIC
1998-03-24,3.06,CLIC
1998-03-25,1.9,CLIC
1998-03-26,2.72,CLIC
1998-03-27,2.47,CLIC
1998-03-28,2.87,CLIC
1998-03-29,1.7,CLIC
1998-03-30,5.38,CLIC
1998-03-31,4.97,CLIC
1998-04-01,4.2,CLIC
1998-04-02,5.13,CLIC
1998-04-03,1.17,CLIC
1998-04-04,2.23,CLIC
1998-04-05,2.17,CLIC
1998-04-06,1.75,CLIC
1998-04-07,0.45,CLIC
1998-04-08,2.67,CLIC
1998-04-09,1.75,CLIC
1998-04-10,1.04,CLIC
1998-04-11,1.09,CLIC
1998-04-12,0.96,CLIC
1998-04-13,4.98,CLIC
1998-04-14,1.82,CLIC
1998-04-15,2.04,CLIC
1998-04-16,1.23,CLIC
1998-04-17,1.6,CLIC
1998-04-18,1.42,CLIC
1998-04-19,3.88,CLIC
1998-04-20,7.84,CLIC
1998-04-21,2.92,CLIC
1998-04-22,3.34,CLIC
1998-04-23,3.94,CLIC
1998-04-24,1.83,CLIC
1998-04-25,2.98,CLIC
1998-04-26,5.03,CLIC
1998-04-27,10.2,CLIC
1998-04-28,6.58,CLIC
1998-04-29,1.02,CLIC
1998-04-30,2.5,CLIC
1998-05-01,1.05,CLIC
1998-05-02,1.63,CLIC
1998-05-03,1.31,CLIC
1998-05-04,1.91,CLIC
1998-05-05,2.11,CLIC
1998-05-06,1.98,CLIC
1998-05-07,2.76,CLIC
1998-05-08,2.07,CLIC
1998-05-09,2.23,CLIC
1998-05-10,0.8,CLIC
1998-05-11,2.13,CLIC
1998-05-12,0.69,CLIC
1998-05-13,2.17,CLIC
1998-05-14,1.15,CLIC
1998-05-15,2.08,CLIC
1998-05-16,1.78,CLIC
1998-05-17,1.25,CLIC
1998-05-18,1.8,CLIC
1998-05-19,2.01,CLIC
1998-05-20,1.01,CLIC
1998-05-21,2.02,CLIC
1998-05-22,1.54,CLIC
1998-05-23,0.98,CLIC
1998-05-24,4.34,CLIC
1998-05-25,0.56,CLIC
1998-05-26,1.39,CLIC
1998-05-27,1.04,CLIC
1998-05-28,1.21,CLIC
1998-05-29,1.47,CLIC
1998-05-30,1.14,CLIC
1998-05-31,1.23,CLIC
