Estación: ,C19175,SANTA CRUZ. STA.CATARINA
Variable: ,Precipitación (mm)
Longitud: ,100° 26' 00'',Latitud:,25° 30' 00

Fecha,Valor,NúmDatos
1982-03-01,0,CLIC
1982-03-02,0,CLIC
1982-03-03,0,CLIC
1982-03-04,0,CLIC
1982-03-05,0,CLIC
1982-03-06,0,CLIC
1982-03-07,0,CLIC
1982-03-08,0,CLIC
1982-03-09,0,CLIC
1982-03-10,0,CLIC
1982-03-11,0,CLIC
1982-03-12,0,CLIC
1982-03-13,0,CLIC
1982-03-14,0,CLIC
1982-03-15,0,CLIC
1982-03-16,0,CLIC
1982-03-17,0,CLIC
1982-03-18,0,CLIC
1982-03-19,0,CLIC
1982-03-20,0,CLIC
1982-03-21,0,CLIC
1982-03-22,8.5,CLIC
1982-03-23,0,CLIC
1982-03-24,0,CLIC
1982-03-25,0,CLIC
1982-03-26,0,CLIC
1982-03-27,0,CLIC
1982-03-28,0,CLIC
1982-03-29,0,CLIC
1982-03-30,0,CLIC
1982-03-31,0,CLIC
1998-01-01,0,CLIC
1998-01-02,0,CLIC
1998-01-03,0,CLIC
1998-01-04,0,CLIC
1998-01-05,0,CLIC
1998-01-06,0,CLIC
1998-01-07,0,CLIC
1998-01-08,0,CLIC
1998-01-09,0,CLIC
1998-01-10,0,CLIC
1998-01-11,0,CLIC
1998-01-12,0,CLIC
1998-01-13,0,CLIC
1998-01-14,0,CLIC
1998-01-15,0,CLIC
1998-01-16,0,CLIC
1998-01-17,0,CLIC
1998-01-18,0,CLIC
1998-01-19,0,CLIC
1998-01-20,0,CLIC
1998-01-21,0,CLIC
1998-01-22,0,CLIC
1998-01-23,0,CLIC
1998-01-24,0,CLIC
1998-01-25,0,CLIC
1998-01-26,0,CLIC
1998-01-27,0,CLIC
1998-01-28,0,CLIC
1998-01-29,0,CLIC
1998-01-30,0,CLIC
1998-01-31,0,CLIC
1998-02-01,0,CLIC
1998-02-02,0,CLIC
1998-02-03,0,CLIC
1998-02-04,0,CLIC
1998-02-05,0,CLIC
1998-02-06,0,CLIC
1998-02-07,0,CLIC
1998-02-08,0,CLIC
1998-02-09,0,CLIC
1998-02-10,0,CLIC
1998-02-11,0,CLIC
1998-02-12,0,CLIC
1998-02-13,4,CLIC
1998-02-14,10,CLIC
1998-02-15,0,CLIC
1998-02-16,0,CLIC
1998-02-17,0,CLIC
1998-02-18,0,CLIC
1998-02-19,0,CLIC
1998-02-20,0,CLIC
1998-02-21,0,CLIC
1998-02-22,0,CLIC
1998-02-23,0,CLIC
1998-02-24,0,CLIC
1998-02-25,0,CLIC
1998-02-26,0,CLIC
1998-02-27,0,CLIC
1998-03-01,0,CLIC
1998-03-02,0,CLIC
1998-03-03,0,CLIC
1998-03-04,0,CLIC
1998-03-05,0,CLIC
1998-03-06,0,CLIC
1998-03-07,0,CLIC
1998-03-08,0,CLIC
1998-03-09,0,CLIC
1998-03-10,0,CLIC
