Estación: ,C19182,SAN ROBERTO
Variable: ,Evaporación (mm)
Longitud: ,100° 18' 12.2'',Latitud:,24° 42' 36.8''

Fecha,Valor,NúmDatos
1985-01-01,2.81,CLIC
1985-01-02,1.91,CLIC
1985-01-03,2.07,CLIC
1985-01-04,3.01,CLIC
1985-01-05,3.09,CLIC
1985-01-06,1.08,CLIC
1985-01-07,2.45,CLIC
1985-01-08,4.1,CLIC
1985-01-09,3.04,CLIC
1985-01-10,2.11,CLIC
1985-01-11,4.13,CLIC
1985-01-12,2.18,CLIC
1985-01-13,1.32,CLIC
1985-01-14,2.42,CLIC
1985-01-15,3.7,CLIC
1985-01-16,3.38,CLIC
1985-01-17,3.42,CLIC
1985-01-18,3.1,CLIC
1985-01-19,3.34,CLIC
1985-01-20,4.62,CLIC
1985-01-21,4.75,CLIC
1985-01-22,4.69,CLIC
1985-01-23,5.09,CLIC
1985-01-24,4.61,CLIC
1985-01-25,5.16,CLIC
1985-01-26,1.41,CLIC
1985-01-27,4.01,CLIC
1985-01-28,4.54,CLIC
1985-01-29,4.53,CLIC
1985-01-30,5.84,CLIC
1985-01-31,6.09,CLIC
