Estación: ,C19188,C DE LOS ELIZONDO
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 26' 26'',Latitud:,24° 58' 31

Fecha,Promedio,Máximo,Mínimo
1997-07-01,31.5,39.5,23.5
1997-07-02,32.5,41,24
1997-07-03,31.5,40,23
1997-07-04,32.5,41,24
1997-07-05,32.5,41,24
1997-07-06,32.5,42,23
1997-07-07,33.5,43,24
1997-07-08,32,40,24
1997-07-09,32.5,41,24
1997-07-10,32.75,41.5,24
1997-07-11,33.25,42,24.5
1997-07-12,33,42,24
1997-07-13,33.5,43,24
1997-07-14,33,42,24
1997-07-15,34,44,24
1997-07-16,32.5,42,23
1997-07-17,33.5,43,24
1997-07-18,33.5,43,24
1997-07-19,34,43,25
1997-07-20,34,42,26
1997-07-21,33.5,42,25
1997-07-22,33,41,25
1997-07-23,34,44,24
1997-07-24,33,42,24
1997-07-25,29.75,39.5,20
1997-07-26,32,42,22
1997-07-27,33,42,24
1997-07-28,33.25,42,24.5
1997-07-29,33.75,43,24.5
1997-07-30,34.5,44,25
1997-07-31,34.25,44,24.5
1997-08-01,33.5,42,25
1997-08-02,32,39,25
1997-08-03,33,41,25
1997-08-04,32.75,42.5,23
1997-08-05,32.5,42,23
1997-08-06,33,44,22
1997-08-07,34,44,24
1997-08-08,34,43,25
1997-08-09,35,45,25
1997-08-10,34,43,25
1997-08-11,34,43,25
1997-08-12,34.25,44,24.5
1997-08-13,33.5,43,24
1997-08-14,32.5,42,23
1997-08-15,33.25,43.5,23
1997-08-16,33.5,43,24
1997-08-17,33.5,42,25
1997-08-18,34.5,44,25
1997-08-19,34.25,44,24.5
1997-08-20,34.75,45,24.5
1997-08-21,34.5,44,25
1997-08-22,34.25,43.5,25
1997-08-23,34,43,25
1997-08-24,31.75,40,23.5
1997-08-25,28.75,37,20.5
1997-08-26,30,39,21
1997-08-27,30,39,21
1997-08-28,32.5,44,21
1997-08-29,33,42,24
1997-08-30,32,40,24
1997-08-31,30.5,39,22
1997-09-01,30.5,40,21
1997-09-02,30,39,21
1997-09-03,29,39,19
1997-09-04,28,37,19
1997-09-05,29,37,21
1997-09-06,28.5,36,21
1997-09-07,30,39.5,20.5
1997-09-08,30,39,21
1997-09-09,31,41,21
1997-09-10,30.5,40,21
1997-09-11,32,42,22
1997-09-12,32.5,42,23
1997-09-13,33,42,24
1997-09-14,33,42,24
1997-09-15,33,43,23
1997-09-16,32.5,43,22
1997-09-17,32.75,42.5,23
1997-09-18,33,42,24
1997-09-19,33,42,24
1997-09-20,31.25,39,23.5
1997-09-21,30,38.5,21.5
1997-09-22,28,34,22
1997-09-23,30.5,39,22
1997-09-24,24.5,28,21
1997-09-25,26,32,20
1997-09-26,26,35,17
1997-09-27,28,39,17
1997-09-28,27.5,39,16
1997-09-29,28.5,39,18
1997-09-30,29,39,19
1997-10-01,28.75,36.5,21
1997-10-02,29.5,38,21
1997-10-03,29,38,20
1997-10-04,30,40,20
1997-10-05,29,37,21
1997-10-06,27,33,21
1997-10-07,28.5,36,21
1997-10-08,29,37,21
1997-10-09,28.5,35,22
1997-10-10,28,33,23
1997-10-11,30,37,23
1997-10-12,29,35,23
1997-10-13,24.5,25,24
1997-10-14,18.5,22,15
1997-10-15,16,25,7
1997-10-16,17,27,7
1997-10-17,18,29,7
1997-10-18,20.5,32,9
1997-10-19,21.5,34,9
1997-10-20,23,33,13
1997-10-21,25,33,17
1997-10-22,25,34,16
1997-10-23,26,35,17
1997-10-24,27,35,19
1997-10-25,26,33,19
1997-10-26,22.5,25,20
1997-10-27,18,25,11
1997-10-28,19,27,11
1997-10-29,21.5,30,13
1997-10-30,24,32,16
1997-10-31,27,37,17
1997-11-01,26.5,39,14
1997-11-02,21.5,31,12
1997-11-03,18.5,23,14
1997-11-04,25,33,17
1997-11-05,26.75,36,17.5
1997-11-06,19.5,24,15
1997-11-07,18.25,21,15.5
1997-11-08,18,21,15
1997-11-09,24,32,16
1997-11-10,17.5,18,17
1997-11-11,11.25,12.5,10
1997-11-12,12,14,10
1997-11-13,20,30,10
1997-11-14,18.5,26,11
1997-11-15,19.25,21.5,17
1997-11-16,8,11,5
1997-11-17,7.75,9.5,6
1997-11-18,10,13,7
1997-11-19,16.5,24,9
1997-11-20,18.75,29,8.5
1997-11-21,20.5,27,14
1997-11-22,15,19,11
1997-11-23,14.5,19,10
1997-11-24,20.5,26,15
1997-11-25,22.5,29,16
1997-11-26,25,33,17
1997-11-27,25.75,31.5,20
1997-11-28,24,30,18
1997-11-29,21,28,14
1997-11-30,15,22,8
1997-12-01,19,30,8
1997-12-02,18.5,28,9
1997-12-03,20.5,26,15
1997-12-04,16,18,14
1997-12-05,15.5,18,13
1997-12-06,14,15,13
1997-12-07,18,23,13
1997-12-08,22,30,14
1997-12-09,24,35,13
1997-12-10,16.5,25,8
1997-12-11,12.5,20,5
1997-12-12,3.5,5,2
1997-12-13,8,17,-1
1997-12-14,10.5,23,-2
1997-12-15,12.5,26,-1
1997-12-16,14,28,0
1997-12-17,12.5,21,4
1997-12-18,16,29,3
1997-12-19,16,28,4
1997-12-20,18,27,9
1997-12-21,16.5,25,8
1997-12-22,17.5,26,9
1997-12-23,21.5,34,9
1997-12-24,19,28,10
1997-12-25,17.25,26.5,8
1997-12-26,7,13,1
1997-12-27,4,7,1
1997-12-28,9.5,20,-1
1997-12-29,9.5,21,-2
1997-12-30,13,27,-1
1998-01-01,18,28,8
1998-01-02,19.5,30,9
1998-01-03,22,30,14
1998-01-04,24.5,32,17
1998-01-05,24.5,33,16
1998-01-06,23.5,30,17
1998-01-07,14.5,21,8
1998-01-08,13.75,25,2.5
1998-01-09,16,29,3
1998-01-10,19.5,32,7
1998-01-11,22,32,12
1998-01-12,24,32,16
1998-01-13,20.5,26,15
1998-01-14,18.5,21,16
1998-01-15,17,23,11
1998-01-16,17,30,4
1998-01-17,16.5,26,7
1998-01-18,18,27,9
1998-01-19,18.5,27,10
1998-01-20,23,34,12
1998-01-21,24,34,14
1998-01-22,18.5,24,13
1998-01-23,15.5,24,7
1998-01-24,14.5,25,4
1998-01-25,16,28,4
1998-01-26,19,28,10
1998-01-27,17,29,5
1998-01-28,18.5,32,5
1998-01-29,20.5,30,11
1998-01-30,21,31,11
1998-01-31,24.25,31.5,17
1998-02-01,22.5,30,15
1998-02-02,14,20,8
1998-02-03,15,27,3
1998-02-04,15,26,4
1998-02-05,16,25,7
1998-02-06,14,21,7
1998-02-07,14.5,20,9
1998-02-08,21.5,34,9
1998-02-09,23,36,10
1998-02-10,24.5,34,15
1998-02-11,17,29,5
1998-02-12,18,30,6
1998-02-13,17.5,25,10
1998-02-14,15.5,18,13
1998-02-15,19.75,27,12.5
1998-02-16,17,25,9
1998-02-17,19,30,8
1998-02-18,20,31,9
1998-02-19,20.5,28,13
1998-02-20,17.5,29,6
1998-02-21,21,36,6
1998-02-22,18.5,30,7
1998-02-23,22,36,8
1998-02-24,23.5,36,11
1998-02-25,27,40,14
1998-02-26,23.5,29,18
1998-02-27,20.5,30,11
1998-02-28,18.5,26,11
1998-03-01,17.5,22,13
1998-03-02,17.5,22,13
1998-03-03,17.5,20,15
1998-03-04,25,35,15
1998-03-05,28.5,38,19
1998-03-06,24.5,30,19
1998-03-07,28,36,20
1998-03-08,19.5,25,14
1998-03-09,13.5,24,3
1998-03-10,11.5,18,5
1998-03-11,10,13,7
1998-03-12,12,15,9
1998-03-13,11.5,14,9
1998-03-14,12,14,10
1998-03-15,11,12,10
1998-03-16,16.5,26,7
1998-03-17,22,34,10
1998-03-18,23.5,34,13
1998-03-19,23.25,28.5,18
1998-03-20,18,26,10
1998-03-21,18,25,11
1998-03-22,19.75,31,8.5
1998-03-23,20.5,31,10
1998-03-24,26.5,39,14
1998-03-25,26.5,36,17
1998-03-26,27,35,19
1998-03-27,27,35,19
1998-03-28,28,37,19
1998-03-29,30,40,20
1998-03-30,32,42,22
1998-03-31,23,29,17
1998-04-01,22,34,10
1998-04-02,25.5,39,12
1998-04-03,23,29,17
1998-04-04,24,31,17
1998-04-05,24.5,34,15
1998-04-06,27.5,38,17
1998-04-07,28.5,37,20
1998-04-08,28.5,38,19
1998-04-09,27.5,35,20
1998-04-10,24.5,35,14
1998-04-11,23.5,35,12
1998-04-12,24.5,37,12
1998-04-13,29,39,19
1998-04-14,30,40,20
1998-04-15,32,44,20
1998-04-16,28,36,20
1998-04-17,23.5,29,18
1998-04-18,23,28,18
1998-04-19,23,32,14
1998-04-20,24.5,34,15
1998-04-21,20,25,15
1998-04-22,19.5,24,15
1998-04-23,24,34,14
1998-04-24,25.5,37,14
1998-04-25,28.75,39,18.5
1998-04-26,30,41,19
1998-04-27,26,33,19
1998-04-28,23.5,27,20
1998-04-29,23.75,30.5,17
1998-04-30,22,30,14
1998-05-01,27.5,41,14
1998-05-02,31,44,18
1998-05-03,32.5,44,21
1998-05-04,30,39,21
1998-05-05,32.5,42,23
1998-05-06,33.5,45,22
1998-05-07,34,46,22
1998-05-08,35,47,23
1998-05-09,31.5,39,24
1998-05-10,31.5,44,19
1998-05-11,31.5,43,20
1998-05-12,31.5,41,22
1998-05-13,30.75,39.5,22
1998-05-14,33,42,24
1998-05-15,32.25,40,24.5
1998-05-16,32.5,40,25
1998-05-17,31,41,21
1998-05-18,31.5,42,21
1998-05-19,31.25,42,20.5
1998-05-20,32,44,20
1998-05-21,33,45,21
1998-05-22,32.5,44,21
