Estación: ,C19189,EL PASTOR
Variable: ,Evaporación (mm)
Longitud: ,99° 55' 48.6'',Latitud:,25° 09' 06.5''

Fecha,Valor,NúmDatos
1997-10-01,8.05,CLIC
1997-10-02,4.1,CLIC
1997-10-03,0.91,CLIC
1997-10-04,1.89,CLIC
1997-10-05,0.95,CLIC
1997-10-06,0.65,CLIC
1997-10-07,2.3,CLIC
1997-10-08,2,CLIC
1997-10-09,1,CLIC
1997-10-10,3.6,CLIC
1997-10-11,2,CLIC
1997-10-12,3.2,CLIC
1997-10-13,2.75,CLIC
1997-10-14,5.1,CLIC
1997-10-15,0.9,CLIC
1997-10-16,1.9,CLIC
1997-10-17,2.09,CLIC
1997-10-18,1.01,CLIC
1997-10-19,1.03,CLIC
1997-10-20,3.02,CLIC
1997-10-21,2.02,CLIC
1997-10-22,2.98,CLIC
1997-10-23,1.05,CLIC
1997-10-24,0.99,CLIC
1997-10-25,1,CLIC
1997-10-26,2,CLIC
1997-10-27,1.62,CLIC
1997-10-28,2.01,CLIC
1997-10-29,1.91,CLIC
1997-10-30,0.5,CLIC
1997-10-31,0.65,CLIC
1997-12-01,1.01,CLIC
1997-12-02,1.02,CLIC
1997-12-03,2.02,CLIC
1997-12-04,1.02,CLIC
1997-12-05,2.02,CLIC
1997-12-06,0.01,CLIC
1997-12-07,1.01,CLIC
1997-12-08,2.07,CLIC
1997-12-09,0.96,CLIC
1997-12-10,1.02,CLIC
1997-12-11,1.01,CLIC
1997-12-12,2.02,CLIC
1997-12-13,2.02,CLIC
1997-12-14,2.01,CLIC
1997-12-15,1.01,CLIC
1997-12-16,2.01,CLIC
1997-12-17,2.01,CLIC
1997-12-18,2.02,CLIC
1997-12-19,1.03,CLIC
1997-12-20,2.01,CLIC
1997-12-21,1.01,CLIC
1997-12-22,2.1,CLIC
1997-12-23,1.1,CLIC
1997-12-24,0.92,CLIC
1997-12-25,2.02,CLIC
1997-12-26,1.99,CLIC
1997-12-27,2.01,CLIC
1997-12-28,2.01,CLIC
1997-12-29,2.01,CLIC
1997-12-30,2.02,CLIC
1997-12-31,1.11,CLIC
1998-01-01,1.85,CLIC
1998-01-02,1.13,CLIC
1998-01-03,0.88,CLIC
1998-01-04,2.15,CLIC
1998-01-05,2.4,CLIC
1998-01-06,2.35,CLIC
1998-01-07,1.21,CLIC
1998-01-08,1.15,CLIC
1998-01-09,0.35,CLIC
1998-01-10,0.8,CLIC
1998-01-11,0.33,CLIC
1998-01-12,1.23,CLIC
1998-01-13,1.33,CLIC
1998-01-14,2.43,CLIC
1998-01-15,2.2,CLIC
1998-01-16,1.83,CLIC
1998-01-17,1.45,CLIC
1998-01-18,1.1,CLIC
1998-01-19,1.4,CLIC
1998-01-20,2.45,CLIC
1998-01-21,3.23,CLIC
1998-01-22,2.19,CLIC
1998-01-23,1.93,CLIC
1998-01-24,1.9,CLIC
1998-01-25,1.83,CLIC
1998-01-26,1.75,CLIC
1998-01-27,1.65,CLIC
1998-01-28,1.25,CLIC
1998-01-29,1.33,CLIC
1998-01-30,1.55,CLIC
1998-01-31,2.83,CLIC
1998-02-01,2.02,CLIC
1998-02-02,2.01,CLIC
1998-02-03,1.01,CLIC
1998-02-04,2.45,CLIC
1998-02-05,2.3,CLIC
1998-02-06,1.15,CLIC
1998-02-07,1.48,CLIC
1998-02-08,1,CLIC
1998-02-09,1.61,CLIC
1998-02-10,3.3,CLIC
1998-02-11,1.06,CLIC
1998-02-12,1.02,CLIC
1998-02-13,0.99,CLIC
1998-02-14,0.45,CLIC
1998-02-15,1.45,CLIC
1998-02-16,0.53,CLIC
1998-02-17,1.02,CLIC
1998-02-18,1.33,CLIC
1998-02-19,1.1,CLIC
1998-02-20,2.08,CLIC
1998-02-21,1.02,CLIC
1998-02-22,1.5,CLIC
1998-02-23,2.03,CLIC
1998-02-24,2.01,CLIC
1998-02-25,3.41,CLIC
1998-02-26,2.15,CLIC
1998-02-27,3.01,CLIC
1998-02-28,4.1,CLIC
1998-03-01,1.03,CLIC
1998-03-02,1.45,CLIC
1998-03-03,1.04,CLIC
1998-03-04,1.02,CLIC
1998-03-05,2.01,CLIC
1998-03-06,1.02,CLIC
1998-03-07,1.11,CLIC
1998-03-08,1.02,CLIC
1998-03-09,0.98,CLIC
1998-03-10,1,CLIC
1998-03-11,2.4,CLIC
1998-03-12,2,CLIC
1998-03-13,1.01,CLIC
1998-03-14,1.85,CLIC
1998-03-15,0.97,CLIC
1998-03-16,1.01,CLIC
1998-03-17,1.63,CLIC
1998-03-18,1.12,CLIC
1998-03-19,1.36,CLIC
1998-03-20,1.1,CLIC
1998-03-21,2.03,CLIC
1998-03-22,1.31,CLIC
1998-03-23,1.43,CLIC
1998-03-24,2.43,CLIC
1998-03-25,2.18,CLIC
1998-03-26,3.07,CLIC
1998-03-27,3.45,CLIC
1998-03-28,4.18,CLIC
1998-03-29,2.43,CLIC
1998-03-30,2.19,CLIC
1998-03-31,4.95,CLIC
2001-08-17,9.8,CLIC
2001-08-18,8.7,CLIC
2001-08-19,0.8,CLIC
2001-08-20,1.9,CLIC
2001-08-21,4.95,CLIC
2001-08-22,8.1,CLIC
2001-08-23,8.15,CLIC
2001-08-24,8.25,CLIC
2001-08-25,8.05,CLIC
2001-08-26,6.2,CLIC
2001-08-27,3.6,CLIC
2001-08-28,3.6,CLIC
2001-08-29,4.8,CLIC
2001-08-30,6.1,CLIC
2001-08-31,1.95,CLIC
2001-09-01,3.15,CLIC
2001-09-02,3.4,CLIC
2001-09-03,2.2,CLIC
2001-09-04,0,CLIC
2001-09-05,3.6,CLIC
2001-09-06,3.9,CLIC
2001-09-07,4,CLIC
2001-09-08,5.3,CLIC
2001-09-09,0,CLIC
2001-09-10,0,CLIC
2001-09-11,1.8,CLIC
2001-09-12,2.2,CLIC
2001-09-13,0.4,CLIC
2001-09-14,2.4,CLIC
2001-09-15,2.6,CLIC
2001-09-16,1.6,CLIC
2001-09-17,1.2,CLIC
2001-09-18,2.2,CLIC
2001-09-19,3.75,CLIC
2001-09-20,1.15,CLIC
2001-09-21,2.38,CLIC
2001-09-22,0,CLIC
2001-09-23,2.45,CLIC
2001-09-24,3.75,CLIC
2001-09-25,2.2,CLIC
2001-09-26,2.05,CLIC
2001-09-27,2.8,CLIC
2001-09-28,2.3,CLIC
2001-09-29,3.5,CLIC
2001-09-30,3.3,CLIC
2001-10-01,3.3,CLIC
2001-10-02,2.3,CLIC
2001-10-03,2.15,CLIC
2001-10-04,3.9,CLIC
2001-10-05,2.5,CLIC
2001-10-06,3.85,CLIC
2001-10-07,0.25,CLIC
2001-10-08,2.05,CLIC
2001-10-09,1.15,CLIC
2001-10-10,2.3,CLIC
2001-10-11,3.45,CLIC
2001-10-12,3.6,CLIC
2001-10-13,3.13,CLIC
2001-10-14,2.75,CLIC
2001-10-15,3.5,CLIC
2001-10-16,1.78,CLIC
2001-10-17,1.97,CLIC
2001-10-18,2.15,CLIC
2001-10-19,1.4,CLIC
2001-10-20,2.9,CLIC
2001-10-21,2.1,CLIC
2001-10-22,3.5,CLIC
2001-10-23,4,CLIC
2001-10-24,2.4,CLIC
2001-10-25,3.85,CLIC
2001-10-26,0.65,CLIC
2001-10-27,2.25,CLIC
2001-10-28,1.87,CLIC
2001-10-29,1.21,CLIC
2001-10-30,2.1,CLIC
2001-10-31,2.2,CLIC
2001-11-01,3.3,CLIC
2001-11-02,3.4,CLIC
2001-11-03,2.7,CLIC
2001-11-04,2.4,CLIC
2001-11-05,2,CLIC
2001-11-06,3.7,CLIC
2001-11-07,2.35,CLIC
2001-11-08,1.95,CLIC
2001-11-09,1.15,CLIC
2001-11-10,1.55,CLIC
2001-11-11,1.32,CLIC
2001-11-12,1.08,CLIC
2001-11-13,1.22,CLIC
2001-11-14,1.65,CLIC
2001-11-15,2.95,CLIC
2001-11-16,1.5,CLIC
2001-11-17,2.23,CLIC
2001-11-18,1.87,CLIC
2001-11-19,2.05,CLIC
2001-11-20,0.95,CLIC
2001-11-21,1.1,CLIC
2001-11-22,0.8,CLIC
2001-11-23,1.4,CLIC
2001-11-24,2.9,CLIC
2001-11-25,2.5,CLIC
2001-11-26,2.1,CLIC
2001-11-27,2.1,CLIC
2001-11-28,2.15,CLIC
2001-11-29,0.65,CLIC
2001-11-30,1.53,CLIC
2001-12-01,0.97,CLIC
2001-12-02,0.6,CLIC
2001-12-03,0.8,CLIC
2001-12-04,1,CLIC
2001-12-05,2.8,CLIC
2001-12-06,0.7,CLIC
2001-12-07,1,CLIC
2001-12-08,2.57,CLIC
2001-12-09,1.79,CLIC
2001-12-10,1.37,CLIC
2001-12-11,0.95,CLIC
2001-12-12,0.6,CLIC
2001-12-13,0.5,CLIC
2001-12-14,2.23,CLIC
2001-12-15,1.47,CLIC
2001-12-16,1.1,CLIC
2001-12-17,1.7,CLIC
2001-12-18,3,CLIC
2001-12-19,2.1,CLIC
2001-12-20,1.19,CLIC
2001-12-21,1.75,CLIC
2001-12-22,0.76,CLIC
2001-12-23,1.15,CLIC
2001-12-24,3.4,CLIC
2001-12-25,2.28,CLIC
2001-12-26,2.84,CLIC
2001-12-27,1.99,CLIC
2001-12-28,1.14,CLIC
2001-12-29,0.5,CLIC
2001-12-30,1.78,CLIC
2001-12-31,2.25,CLIC
2002-01-01,1.47,CLIC
2002-01-02,0.7,CLIC
2002-01-03,0.3,CLIC
2002-01-04,0.72,CLIC
2002-01-05,1.54,CLIC
2002-01-06,3.01,CLIC
2002-01-07,0.75,CLIC
2002-01-08,2.6,CLIC
2002-01-09,2.01,CLIC
2002-01-10,3.29,CLIC
2002-01-11,1.36,CLIC
2002-01-12,0.34,CLIC
2002-01-13,0.85,CLIC
2002-01-14,1.7,CLIC
2002-01-15,2.55,CLIC
2002-01-16,2.32,CLIC
2002-01-17,2.1,CLIC
2002-01-18,3.43,CLIC
2002-01-19,4.17,CLIC
2002-01-20,2.08,CLIC
2002-01-21,2.97,CLIC
2002-01-22,2.2,CLIC
