Estación: ,C19193,SANTA ROSA DE ITURBIDE
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 51' 28.2'',Latitud:,24° 41' 54.5''

Fecha,Promedio,Máximo,Mínimo
1985-01-01,6.5,12,1
1985-01-02,10,12,8
1985-01-03,9.5,14,5
1985-01-04,12,19,5
1985-01-05,9.5,13,6
1985-01-06,10.5,15,6
1985-01-07,10.5,16,5
1985-01-08,11.5,20,3
1985-01-09,12.5,22,3
1985-01-10,8.5,16,1
1985-01-11,4.5,9,0
1985-01-12,4,5,3
1985-01-13,5,9,1
1985-01-14,6.95,14,-0.1
1985-01-15,7.95,16,-0.1
1985-01-16,9,17,1
1985-01-17,4,6,2
1985-01-18,9.5,17,2
1985-01-19,10.5,17,4
1985-01-20,10,19,1
1985-01-21,6.5,12,1
1985-01-22,5,7,3
1985-01-23,12,21,3
1985-01-24,11.005,21,1.01
1985-01-25,11,21,1
1985-01-26,8.495,17,-0.01
1985-01-27,11.5,22,1
1985-01-28,10.495,21,-0.01
1985-01-29,11.995,24,-0.01
1985-01-30,14.5,26,3
1985-01-31,14.75,23,6.5
1985-02-01,12.5,20,5
1985-02-02,9.35,19,-0.3
1985-02-03,13,19,7
1985-02-04,15.5,24,7
1985-02-05,14,23,5
1985-02-06,9,17,1
1985-02-07,10,17,3
1985-02-08,6.5,10,3
1985-02-09,12,23,1
1985-02-10,12,23,1
1985-02-11,10.5,18,3
1985-02-12,8.5,12,5
1985-02-13,9.5,17,2
1985-02-14,8.5,15,2
1985-02-15,9,15,3
1985-02-16,13.5,23,4
1985-02-17,11,21,1
1985-02-18,11,21,1
1985-02-19,9,17,1
1985-02-20,12.5,23,2
1985-02-21,16,26,6
1985-02-22,16.25,26,6.5
1985-02-23,14.25,22,6.5
1985-02-24,12.5,22,3
1985-02-25,8,15,1
1985-02-26,10,19,1
1985-02-27,8.75,11,6.5
1985-02-28,11,19,3
1985-03-01,13.5,23,4
1985-03-02,13.5,24,3
1985-03-03,16,29,3
1985-03-04,14.5,20,9
1985-03-05,9.5,18,1
1985-03-06,11,20,2
1985-03-07,12.5,24,1
1985-03-08,12.5,24,1
1985-03-09,11.5,22,1
1985-03-10,12,23,1
1985-03-11,13.5,23,4
1985-03-12,14.5,26,3
1985-03-13,14.5,25,4
1985-03-14,8.75,14.5,3
1985-03-15,7.5,12,3
1985-03-16,17,29,5
1985-03-17,7,12,2
1985-03-18,6.8,14,-0.4
1985-03-19,10.95,22,-0.1
1985-03-20,13.75,23,4.5
1985-03-21,8.75,18,-0.5
1985-03-22,9.75,22,-2.5
1985-03-23,9.75,21,-1.5
1985-03-24,9.75,22,-2.5
1985-03-25,9.75,23,-3.5
1985-03-26,15.5,23,8
1985-03-27,15.4,26,4.8
1985-03-28,17.25,28,6.5
1985-03-29,15,27,3
1985-03-30,11.95,24,-0.1
1985-03-31,8.25,17,-0.5
1985-04-01,9.25,17,1.5
1985-04-02,14,23,5
1985-04-03,15,23,7
1985-04-04,19.5,28,11
1985-04-05,18,25,11
1985-04-06,14.5,27,2
1985-04-07,14,20,8
1985-04-08,10.5,15,6
1985-04-09,11,17,5
1985-04-10,10,17,3
1985-04-11,10,17,3
1985-04-12,10,17,3
1985-04-13,10,18,2
1985-04-14,10,18,2
1985-04-15,11,21,1
1985-04-16,12,23,1
1985-04-17,12.5,23,2
1985-04-18,12.5,23,2
1985-04-19,12.5,23,2
1985-04-20,15,24,6
1985-04-21,17.75,26,9.5
1985-04-22,18.5,26,11
1985-04-23,16.5,26,7
1985-04-24,13,18,8
1985-04-25,15,23,7
1985-04-26,17,26,8
1985-04-27,17.5,27,8
1985-04-28,17.5,27,8
1985-04-29,18,26,10
1985-04-30,16,24,8
1985-05-01,15.5,24,7
1985-05-02,12.5,18,7
1985-05-03,12.5,18,7
1985-05-04,11,20,2
1985-05-05,12,22,2
1985-05-06,14,24,4
1985-05-07,13,24,2
1985-05-08,13.5,25,2
1985-05-09,15,26,4
1985-05-10,15.5,26,5
1985-05-11,16.5,28,5
1985-05-12,17.75,27,8.5
1985-05-13,20,29,11
1985-05-14,17,24,10
1985-05-15,15.5,20,11
1985-05-16,17.5,23,12
1985-05-17,16,24,8
1985-05-18,15.5,22,9
1985-05-19,19,28,10
1985-05-20,18,27,9
1985-05-21,16.5,27,6
1985-05-22,17.25,28,6.5
1985-05-23,16.75,24,9.5
1985-05-24,17.25,25,9.5
1985-05-25,17.25,24,10.5
1985-05-26,18.25,26,10.5
1985-05-27,17.75,26,9.5
1985-05-28,18.25,29,7.5
1985-05-29,18.25,30,6.5
1985-05-30,17.5,30,5
1985-05-31,16.5,28,5
1985-06-01,16,28,4
1985-06-02,16,27,5
1985-06-03,17.75,28,7.5
1985-06-04,16.75,24,9.5
1985-06-05,18.25,26,10.5
1985-06-06,19.05,25,13.1
1985-06-07,17,27,7
1985-06-08,16,27,5
1985-06-09,16.5,28,5
1985-06-10,16.25,26,6.5
1985-06-11,14.25,21,7.5
1985-06-12,18.75,27,10.5
1985-06-13,15.25,22,8.5
1985-06-14,15.75,23,8.5
1985-06-15,16.25,24,8.5
1985-06-16,16.25,24,8.5
1985-06-17,16.75,24,9.5
1985-06-18,16.75,24,9.5
1985-06-19,14.75,19,10.5
1985-06-20,15.5,21,10
1985-06-21,15.75,22,9.5
1985-06-22,16.75,23,10.5
1985-06-23,17.5,24,11
1985-06-24,14.5,23,6
1985-06-25,16.25,25,7.5
1985-06-26,16.25,24,8.5
1985-06-27,15.25,23,7.5
1985-06-28,15.25,21,9.5
1985-06-29,14.75,19,10.5
1985-06-30,12.5,21,4
1985-07-01,13.75,23,4.5
1985-07-02,12.25,20,4.5
1985-07-03,13.25,22.5,4
1985-07-04,12.75,22,3.5
1985-07-05,13,21,5
1985-07-06,16.25,25,7.5
1985-07-07,15.5,23,8
1985-07-08,13.25,22,4.5
1985-07-09,16,24.5,7.5
1985-07-10,17.75,27,8.5
1985-07-11,16.75,26,7.5
1985-07-12,14.75,25,4.5
1985-07-13,15.5,25,6
1985-07-14,14.25,23,5.5
1985-07-15,14.25,24,4.5
1985-07-16,15,23.5,6.5
1985-07-17,15.75,25.5,6
1985-07-18,17,27,7
1985-07-19,16,26,6
1985-07-20,17.5,28,7
1985-07-21,17,26.5,7.5
1985-07-22,16.5,26,7
1985-07-23,18.25,27,9.5
1985-07-24,18,26,10
1985-07-25,18.75,26.5,11
1985-07-26,18.25,26.5,10
1985-07-27,16.25,26,6.5
1985-07-28,16.75,26,7.5
1985-07-29,16.75,26,7.5
1985-07-30,14.25,21,7.5
1985-07-31,14.75,26.5,3
1985-08-01,15,27,3
1985-08-02,16.75,27,6.5
1985-08-03,14.5,23,6
1985-08-04,18.75,29,8.5
1985-08-05,18.25,29,7.5
1985-08-06,17.75,28.5,7
1985-08-07,16,25.5,6.5
1985-08-08,17.5,28,7
1985-08-09,17,28,6
1985-08-10,18,27,9
1985-08-11,17.25,26,8.5
1985-08-12,17.25,26,8.5
1985-08-13,17.5,27,8
1985-08-14,17.5,25,10
1985-08-15,19.25,27,11.5
1985-08-16,16.75,27,6.5
1985-08-17,16,26,6
1985-08-18,16,26,6
1985-08-19,17,27,7
1985-08-20,19.5,28,11
1985-08-21,16,25,7
1985-08-22,15.25,24,6.5
1985-08-23,15.25,25,5.5
1985-08-24,16.25,26,6.5
1985-08-25,16.25,25,7.5
1985-08-26,16.75,27,6.5
1985-08-27,17.25,26,8.5
1985-08-28,15.25,24,6.5
1985-08-29,16.75,26,7.5
1985-08-30,16.75,25,8.5
1985-08-31,16.25,26,6.5
1985-10-01,7.5,12,3
1985-10-02,10.5,18,3
1985-10-03,14,23,5
1985-10-04,14.5,25,4
1985-10-05,9,14,4
1985-10-06,11,20,2
1985-10-07,14.75,23,6.5
1985-10-08,17.25,27,7.5
1985-10-09,17.75,27,8.5
1985-10-10,15.75,22,9.5
1985-10-11,16.75,25,8.5
1985-10-12,17.25,26,8.5
1985-10-13,16.25,26,6.5
1985-10-14,18.75,27,10.5
1985-10-15,14.25,21,7.5
1985-10-16,13.25,17,9.5
1985-10-17,15.75,23,8.5
1985-10-18,16.25,24,8.5
1985-10-19,14.25,21,7.5
1985-10-20,13.25,19,7.5
1985-10-21,15.25,20,10.5
1985-10-22,14.75,21,8.5
1985-10-23,14.25,22,6.5
1985-10-24,13,22,4
1985-10-25,11,18,4
1985-10-26,11,19,3
1985-10-27,12,21,3
1985-10-28,11,21,1
1985-10-29,12,23,1
1985-10-30,9.25,18,0.5
1985-10-31,10.25,19,1.5
1985-11-01,13.5,24,3
1985-11-02,7.5,14,1
1985-11-03,8,14,2
1985-11-04,8,16,0
1985-11-05,11.5,19,4
1985-11-06,14.5,25,4
1985-11-07,11.5,22,1
1985-11-08,12.5,24,1
1985-11-09,13.5,26,1
1985-11-10,14.5,26,3
1985-11-11,15,27,3
1985-11-12,14.5,25,4
1985-11-13,13,25,1
1985-11-14,12.5,24,1
1985-11-15,11.5,21,2
1985-11-16,12,21,3
1985-11-17,15.25,24,6.5
1985-11-18,15.75,25,6.5
1985-11-19,15,25,5
1985-11-20,12.75,16,9.5
1985-11-21,14,23,5
1985-11-22,10.5,20,1
1985-11-23,13.5,25,2
1985-11-24,16.25,25,7.5
1985-11-25,14.5,25,4
1985-11-26,14.5,24,5
1985-11-27,13.75,18,9.5
1985-11-28,11,19,3
1985-11-29,11.5,23,0
1985-11-30,12.5,25,0
1986-01-01,12,22,2
