Estación: ,C19261,LA CIENEGA
Variable: ,Evaporación (mm)
Longitud: ,100° 07' 08.8'',Latitud:,25° 32' 10.6''

Fecha,Valor,NúmDatos
1997-06-01,0.98,CLIC
1997-06-02,3.36,CLIC
1997-06-03,3.63,CLIC
1997-06-04,1.54,CLIC
1997-06-05,6.53,CLIC
1997-06-06,5.84,CLIC
1997-06-07,0.47,CLIC
1997-06-08,2.07,CLIC
1997-06-09,1.22,CLIC
1997-06-10,1.6,CLIC
1997-06-11,0.9,CLIC
1997-06-12,0.85,CLIC
1997-06-13,4.83,CLIC
1997-06-14,7.27,CLIC
1997-06-15,4.34,CLIC
1997-06-16,4.86,CLIC
1997-06-17,3.61,CLIC
1997-06-18,5.22,CLIC
1997-06-19,4.23,CLIC
1997-06-20,4.64,CLIC
1997-06-21,2.7,CLIC
1997-06-22,5.13,CLIC
1997-06-23,2.66,CLIC
1997-06-24,1.46,CLIC
1997-06-25,2.93,CLIC
1997-06-26,2.62,CLIC
1997-06-27,7.01,CLIC
1997-06-28,5.29,CLIC
1997-06-29,4.04,CLIC
1997-06-30,6.77,CLIC
1997-07-01,9.19,CLIC
1997-07-02,5.68,CLIC
1997-07-03,5.72,CLIC
1997-07-04,7.55,CLIC
1997-07-05,6.65,CLIC
1997-07-06,7,CLIC
1997-07-07,7.68,CLIC
1997-07-08,5.94,CLIC
1997-07-09,8.01,CLIC
1997-07-10,8.89,CLIC
1997-07-11,7.11,CLIC
1997-07-12,8.29,CLIC
1997-07-13,7.28,CLIC
1997-07-14,7.69,CLIC
1997-07-15,6.09,CLIC
1997-07-16,8.02,CLIC
1997-07-17,8.2,CLIC
1997-07-18,6.63,CLIC
1997-07-19,7.89,CLIC
1997-07-20,4.58,CLIC
1997-07-21,3.29,CLIC
1997-07-22,5.81,CLIC
1997-07-23,8.5,CLIC
1997-07-24,7.02,CLIC
1997-07-25,7.81,CLIC
1997-07-26,7.59,CLIC
1997-07-27,8.25,CLIC
1997-07-28,8.5,CLIC
1997-07-29,9.15,CLIC
1997-07-30,8.7,CLIC
1997-07-31,7.65,CLIC
1997-08-01,0.9,CLIC
1997-08-02,2.25,CLIC
1997-08-03,5.83,CLIC
1997-08-04,6.88,CLIC
1997-08-05,6.82,CLIC
1997-08-06,9.76,CLIC
1997-08-07,8.18,CLIC
1997-08-08,8.91,CLIC
1997-08-09,8.36,CLIC
1997-08-10,8.77,CLIC
1997-08-11,11.03,CLIC
1997-08-12,10.07,CLIC
1997-08-13,7.86,CLIC
1997-08-14,7.44,CLIC
1997-08-15,8.36,CLIC
1997-08-16,6.34,CLIC
1997-08-17,8.03,CLIC
1997-08-18,9.17,CLIC
1997-08-19,10.57,CLIC
1997-08-20,8.1,CLIC
1997-08-21,7.24,CLIC
1997-08-22,7.65,CLIC
1997-08-23,6.22,CLIC
1997-08-24,7.13,CLIC
1997-08-25,4.99,CLIC
1997-08-26,7.71,CLIC
1997-08-27,7.4,CLIC
1997-08-28,6.32,CLIC
1997-08-29,5.78,CLIC
1997-08-30,5.72,CLIC
1997-08-31,6.76,CLIC
1997-09-01,6.35,CLIC
1997-09-02,5.72,CLIC
1997-09-03,6.3,CLIC
1997-09-04,1.84,CLIC
1997-09-05,2.34,CLIC
1997-09-06,4.83,CLIC
1997-09-07,3.07,CLIC
1997-09-08,5.81,CLIC
1997-09-09,7.11,CLIC
1997-09-10,4.95,CLIC
1997-09-11,6.21,CLIC
1997-09-12,5.87,CLIC
1997-09-13,5.88,CLIC
1997-09-14,7.06,CLIC
1997-09-15,7.96,CLIC
1997-09-16,8.02,CLIC
1997-09-17,6.64,CLIC
1997-09-18,6.3,CLIC
1997-09-19,8.37,CLIC
1997-09-20,5.43,CLIC
1997-09-21,3.18,CLIC
1997-09-22,1.96,CLIC
1997-09-23,3.53,CLIC
1997-09-24,1.64,CLIC
1997-09-25,4.84,CLIC
1997-09-26,5.12,CLIC
1997-09-27,4.86,CLIC
1997-09-28,6.74,CLIC
1997-09-29,6.44,CLIC
1997-09-30,7.71,CLIC
1997-10-01,3.89,CLIC
1997-10-02,4.22,CLIC
1997-10-03,3.71,CLIC
1997-10-04,5.39,CLIC
1997-10-05,3,CLIC
1997-10-06,1.98,CLIC
1997-10-07,2.85,CLIC
1997-10-08,2.65,CLIC
1997-10-09,2.93,CLIC
1997-10-10,3.46,CLIC
1997-10-11,2.47,CLIC
1997-10-12,3.09,CLIC
1997-10-13,2.13,CLIC
1997-10-14,1.95,CLIC
1997-10-15,2.17,CLIC
1997-10-16,1.4,CLIC
1997-10-17,2.24,CLIC
1997-10-18,2.36,CLIC
1997-10-19,1.56,CLIC
1997-10-20,4.3,CLIC
1997-10-21,2.24,CLIC
1997-10-22,2.7,CLIC
1997-10-23,1.26,CLIC
1997-10-24,3.09,CLIC
1997-10-25,6.15,CLIC
1997-10-26,5.11,CLIC
1997-10-27,2.79,CLIC
1997-10-28,1.6,CLIC
1997-10-29,1.31,CLIC
1997-10-30,3.83,CLIC
1997-10-31,3.3,CLIC
1997-11-01,5.76,CLIC
1997-11-02,3.1,CLIC
