Estación: ,C19264,DR. COSS
Variable: ,Evaporación (mm)
Longitud: ,99° 10' 46'',Latitud:,25° 55' 35.9''

Fecha,Valor,NúmDatos
1997-07-24,7.05,CLIC
1997-07-25,6.08,CLIC
1997-07-26,7.09,CLIC
1997-07-27,8.1,CLIC
1997-07-28,8.1,CLIC
1997-07-29,8.14,CLIC
1997-07-30,8.09,CLIC
1997-07-31,27.22,CLIC
1997-08-01,9.8,CLIC
1997-08-02,6.09,CLIC
1997-08-03,7.03,CLIC
1997-08-04,10.07,CLIC
1997-08-05,5.09,CLIC
1997-08-06,10.1,CLIC
1997-08-07,11.11,CLIC
1997-08-08,8.04,CLIC
1997-08-09,12.09,CLIC
1997-08-10,9.04,CLIC
1997-08-11,9.13,CLIC
1997-08-12,9.11,CLIC
1997-08-13,14.1,CLIC
1997-08-14,6.01,CLIC
1997-08-15,11.12,CLIC
1997-08-16,9.15,CLIC
1997-08-17,10.59,CLIC
1997-08-18,22.65,CLIC
1997-08-19,10.09,CLIC
1997-08-20,11.39,CLIC
1997-08-21,13.18,CLIC
1997-08-22,7.94,CLIC
1997-08-23,10.15,CLIC
1997-08-24,12.11,CLIC
1997-08-25,7.08,CLIC
1997-08-26,12.12,CLIC
1997-08-27,11.07,CLIC
1997-08-28,7.1,CLIC
1997-08-29,8.25,CLIC
1997-08-30,9.9,CLIC
1997-08-31,12.1,CLIC
2005-08-01,5.95,CLIC
2005-08-02,4.75,CLIC
2005-08-03,4.57,CLIC
2005-08-04,5.31,CLIC
2005-08-05,5.48,CLIC
2005-08-06,5.21,CLIC
2005-08-07,6.54,CLIC
2005-08-08,5.16,CLIC
2005-08-09,5.4,CLIC
2005-08-10,6.46,CLIC
2005-08-11,6.16,CLIC
2005-08-12,5.59,CLIC
2005-08-13,6.07,CLIC
2005-08-14,5.5,CLIC
2005-08-15,7.7,CLIC
2005-08-16,6.57,CLIC
2005-08-17,7.58,CLIC
2005-08-18,6.08,CLIC
2005-08-19,8,CLIC
2005-08-20,8.05,CLIC
2005-08-21,7.72,CLIC
2005-08-22,6.13,CLIC
2005-08-23,5,CLIC
2005-08-24,8.17,CLIC
2005-08-25,5.8,CLIC
2005-08-26,6.7,CLIC
2005-08-27,6.75,CLIC
2005-08-28,7.16,CLIC
2005-08-29,7.92,CLIC
2005-08-30,7.76,CLIC
2005-08-31,6.12,CLIC
2005-11-01,6.4,CLIC
2005-11-02,5,CLIC
2005-11-03,6.75,CLIC
2005-11-04,2.86,CLIC
2005-11-05,3.58,CLIC
2005-11-06,3.12,CLIC
2005-11-07,3.2,CLIC
2005-11-08,3.28,CLIC
2005-11-09,2.22,CLIC
2005-11-10,4.68,CLIC
2005-11-11,2.97,CLIC
2005-11-12,3.08,CLIC
2005-11-13,4.46,CLIC
2005-11-14,3.94,CLIC
2005-11-15,3.87,CLIC
2005-11-16,3.61,CLIC
2005-11-17,2.89,CLIC
2005-11-18,0.46,CLIC
2005-11-19,1.26,CLIC
2005-11-20,1.05,CLIC
2005-11-21,2.28,CLIC
2005-11-22,2.11,CLIC
2005-11-23,4.53,CLIC
2005-11-24,1.25,CLIC
2005-11-25,1.26,CLIC
2005-11-26,6.07,CLIC
2005-11-27,4.52,CLIC
2005-11-28,4.2,CLIC
2005-11-29,1.17,CLIC
2005-11-30,2.17,CLIC
2008-05-01,5.61,CLIC
2008-05-02,8.55,CLIC
2008-05-03,4,CLIC
2008-05-04,4,CLIC
2008-05-05,6.84,CLIC
2008-05-06,4.01,CLIC
2008-05-07,4.25,CLIC
2008-05-08,8.35,CLIC
2008-05-09,8.55,CLIC
2008-05-10,4.85,CLIC
2008-05-11,8.05,CLIC
2008-05-12,1.3,CLIC
2008-05-13,8.15,CLIC
2008-05-14,6.05,CLIC
2008-05-15,6.1,CLIC
2008-05-16,1.95,CLIC
2008-05-17,2.8,CLIC
2008-05-18,6.75,CLIC
2008-05-19,5.03,CLIC
2008-05-20,8.17,CLIC
2008-05-21,8.95,CLIC
2008-05-22,7.9,CLIC
2008-05-23,9.7,CLIC
2008-05-24,9.54,CLIC
2008-05-25,6.86,CLIC
2008-05-26,7,CLIC
2008-05-27,10.2,CLIC
2008-05-28,7.3,CLIC
2008-05-29,7.05,CLIC
2008-05-30,7.75,CLIC
2008-05-31,9.7,CLIC
2008-11-01,2.04,CLIC
2008-11-02,5.1,CLIC
2008-11-03,3.65,CLIC
2008-11-04,5.05,CLIC
2008-11-05,1.8,CLIC
2008-11-06,3,CLIC
2008-11-07,3.5,CLIC
2008-11-08,3.9,CLIC
2008-11-09,1,CLIC
2008-11-10,3.6,CLIC
2008-11-11,1.23,CLIC
2008-11-12,4.22,CLIC
2008-11-13,1.2,CLIC
2008-11-14,7.55,CLIC
2008-11-15,1.85,CLIC
2008-11-16,1.65,CLIC
2008-11-17,4.2,CLIC
2008-11-18,2.85,CLIC
2008-11-19,2.65,CLIC
2008-11-20,3.9,CLIC
2008-11-21,3.15,CLIC
2008-11-22,0.15,CLIC
2008-11-23,0.4,CLIC
2008-11-24,4.15,CLIC
2008-11-25,2.3,CLIC
2008-11-26,1.02,CLIC
2008-11-27,2.73,CLIC
2008-11-28,2.1,CLIC
2008-11-29,2.45,CLIC
2008-11-30,1.97,CLIC
2008-12-01,3.35,CLIC
2008-12-02,0.9,CLIC
2008-12-03,2.65,CLIC
2008-12-04,2.2,CLIC
2008-12-05,1.4,CLIC
2008-12-06,2.9,CLIC
2008-12-07,1.9,CLIC
2008-12-08,1.75,CLIC
2008-12-09,5.25,CLIC
2008-12-10,4.05,CLIC
2008-12-11,1.88,CLIC
2008-12-12,1.27,CLIC
2008-12-13,2.85,CLIC
2008-12-14,3.7,CLIC
2008-12-15,1.55,CLIC
2008-12-16,2.64,CLIC
2008-12-17,3.14,CLIC
2008-12-18,2.33,CLIC
2008-12-19,4.56,CLIC
2008-12-20,2.88,CLIC
2008-12-21,3.26,CLIC
2008-12-22,1.09,CLIC
2008-12-23,2.24,CLIC
2008-12-24,3.7,CLIC
2008-12-25,2.81,CLIC
2008-12-26,3.66,CLIC
2008-12-27,4.25,CLIC
2008-12-28,2.32,CLIC
2008-12-29,2.96,CLIC
2008-12-30,1.45,CLIC
2008-12-31,2.5,CLIC
2009-09-01,3.8,CLIC
2009-09-02,2.3,CLIC
2009-09-03,6.42,CLIC
2009-09-04,3.28,CLIC
2009-09-05,1.28,CLIC
2009-09-06,6.37,CLIC
2009-09-07,3.9,CLIC
2009-09-08,7.12,CLIC
2009-09-09,0.73,CLIC
2009-09-10,1.68,CLIC
2009-09-11,3.2,CLIC
2009-09-12,4.16,CLIC
2009-09-13,4.5,CLIC
2009-09-14,5.31,CLIC
2009-09-15,5.73,CLIC
2009-09-16,4.32,CLIC
2009-09-17,3.36,CLIC
2009-09-18,3.48,CLIC
2009-09-19,4.61,CLIC
2009-09-20,3.99,CLIC
2009-09-21,5.13,CLIC
2009-09-22,5.65,CLIC
2009-09-23,1.59,CLIC
2009-09-24,1.62,CLIC
2009-09-25,3.34,CLIC
2009-09-26,4.05,CLIC
2009-09-27,3.78,CLIC
2009-09-28,5.19,CLIC
2009-09-29,5.02,CLIC
2009-09-30,4.44,CLIC
2009-10-01,6.44,CLIC
2009-10-02,3.68,CLIC
2009-10-03,3.19,CLIC
2009-10-04,4.03,CLIC
2009-10-05,4.77,CLIC
2009-10-06,4.87,CLIC
2009-10-07,3.87,CLIC
2009-10-08,4.95,CLIC
2009-10-09,3.29,CLIC
2009-10-10,5.87,CLIC
2009-10-11,3.26,CLIC
2009-10-12,3.18,CLIC
2009-10-13,3.23,CLIC
2009-10-14,4.48,CLIC
2009-10-15,5.17,CLIC
2009-10-16,5.09,CLIC
2009-10-17,3.16,CLIC
2009-10-18,3.47,CLIC
2009-10-19,2.07,CLIC
2009-10-20,2.63,CLIC
2009-10-21,4.24,CLIC
2009-10-22,3.28,CLIC
2009-10-23,2.68,CLIC
2009-10-24,2.31,CLIC
2009-10-25,4.21,CLIC
2009-10-26,2.18,CLIC
2009-10-27,3.29,CLIC
2009-10-28,4.01,CLIC
