Estación: ,C19266,SAN JOSE DE BOQUILLAS
Variable: ,Evaporación (mm)
Longitud: ,100° 24' 21'',Latitud:,25° 21' 55

Fecha,Valor,NúmDatos
2001-01-01,2.9,CLIC
2001-01-02,12.1,CLIC
2001-01-03,-0.2,CLIC
2001-01-04,-0.2,CLIC
2001-01-05,-0.1,CLIC
2001-01-06,-0.1,CLIC
2001-01-07,-0.1,CLIC
2001-01-08,-59.2,CLIC
2001-01-09,-0.2,CLIC
2001-01-10,-0.1,CLIC
2001-01-11,-0.2,CLIC
2001-01-12,10.1,CLIC
2001-01-13,-0.2,CLIC
2001-01-14,-0.1,CLIC
2001-01-15,-0.1,CLIC
2001-01-16,-0.1,CLIC
2001-01-17,10.7,CLIC
2001-01-18,9.9,CLIC
2001-01-19,0.1,CLIC
2001-01-20,10.1,CLIC
2001-01-21,-0.3,CLIC
2001-01-22,-0.2,CLIC
2001-01-23,10.6,CLIC
2001-01-24,-0.2,CLIC
2001-01-25,-0.1,CLIC
2001-01-26,-0.1,CLIC
2001-01-27,-0.1,CLIC
2001-01-28,-0.3,CLIC
2001-01-29,0.3,CLIC
2001-01-30,0.1,CLIC
2001-01-31,20.4,CLIC
2001-02-01,-0.1,CLIC
2001-02-02,-0.2,CLIC
2001-02-03,20.4,CLIC
2001-02-04,9.8,CLIC
2001-02-05,-0.1,CLIC
2001-02-06,0,CLIC
2001-02-07,-59.1,CLIC
2001-02-08,-0.3,CLIC
2001-02-09,-0.5,CLIC
2001-02-10,-0.1,CLIC
2001-02-11,10.8,CLIC
2001-02-12,-3.1,CLIC
2001-02-13,2.9,CLIC
2001-02-14,-4.74,CLIC
2001-02-15,4.54,CLIC
2001-02-16,10.3,CLIC
2001-02-17,-0.2,CLIC
2001-02-18,0,CLIC
2001-02-19,10.4,CLIC
2001-02-20,9.3,CLIC
2001-02-21,0.3,CLIC
2001-02-22,10.2,CLIC
2001-02-23,-0.7,CLIC
2001-02-24,20.6,CLIC
2001-02-25,-0.2,CLIC
2001-02-26,-0.4,CLIC
2001-02-27,0,CLIC
2001-02-28,10.9,CLIC
2001-05-01,-0.2,CLIC
2001-05-02,-0.6,CLIC
2001-05-03,10.5,CLIC
2001-05-04,10.4,CLIC
2001-05-05,9.2,CLIC
2001-05-06,9.9,CLIC
2001-05-07,0.6,CLIC
2001-05-08,-0.3,CLIC
2001-05-09,-0.2,CLIC
2001-05-10,-0.1,CLIC
2001-05-11,-59.2,CLIC
2001-05-12,-0.1,CLIC
2001-05-13,0.2,CLIC
2001-05-14,-0.1,CLIC
2001-05-15,16.1,CLIC
2001-05-16,0,CLIC
2001-05-17,0,CLIC
2001-05-18,-0.6,CLIC
2001-05-19,0.6,CLIC
2001-05-20,59.9,CLIC
2001-05-21,0,CLIC
2001-05-22,49.5,CLIC
2001-05-23,-20.3,CLIC
2001-05-24,55,CLIC
2001-05-25,-24.8,CLIC
2001-05-26,10.5,CLIC
2001-05-27,10.2,CLIC
2001-05-28,-60,CLIC
2001-05-29,-0.1,CLIC
2001-05-30,-0.8,CLIC
2001-05-31,70.9,CLIC
2001-06-01,20.8,CLIC
2001-06-02,-0.6,CLIC
2001-06-03,10.2,CLIC
2001-06-04,10.4,CLIC
2001-06-05,-0.5,CLIC
2001-06-06,10.1,CLIC
2001-06-07,-0.5,CLIC
2001-06-08,10.9,CLIC
2001-06-09,30,CLIC
2001-06-10,0,CLIC
2001-06-11,0,CLIC
2001-06-12,-0.3,CLIC
2001-06-13,-59.7,CLIC
2001-06-14,0,CLIC
2001-06-15,25,CLIC
2001-06-16,0,CLIC
2001-06-17,-0.1,CLIC
2001-06-18,-0.1,CLIC
2001-06-19,-0.1,CLIC
2001-06-20,-0.3,CLIC
2001-06-21,-0.1,CLIC
2001-06-22,10.1,CLIC
2001-06-23,0.6,CLIC
2001-06-24,5,CLIC
2001-06-25,5,CLIC
2001-06-26,-0.6,CLIC
2001-06-27,10.3,CLIC
2001-06-28,4.9,CLIC
2001-06-29,5.4,CLIC
2001-06-30,70,CLIC
2001-07-01,0,CLIC
2001-07-02,-0.1,CLIC
2001-07-03,0.9,CLIC
2001-07-04,-0.1,CLIC
2001-07-05,-0.3,CLIC
2001-07-06,-9.3,CLIC
2001-07-07,64.7,CLIC
2001-07-08,-34.7,CLIC
2001-07-09,9.8,CLIC
2001-07-10,10.2,CLIC
2001-07-11,-0.3,CLIC
2001-07-12,0,CLIC
2001-07-13,9.9,CLIC
2001-07-14,0.3,CLIC
2001-07-15,-59.9,CLIC
2001-07-16,-0.1,CLIC
2001-07-17,10,CLIC
2001-07-18,-0.1,CLIC
2001-07-19,-0.1,CLIC
2001-07-20,10.1,CLIC
2001-07-21,-0.1,CLIC
2001-07-22,-9.7,CLIC
2001-07-23,-0.2,CLIC
2001-07-24,-0.2,CLIC
2001-07-25,-9.7,CLIC
2001-07-26,-0.6,CLIC
2001-07-27,0,CLIC
2001-07-28,-0.1,CLIC
2001-07-29,60.8,CLIC
2001-07-30,10.1,CLIC
2001-07-31,0,CLIC
2001-08-01,-0.1,CLIC
2001-08-02,-0.5,CLIC
2001-08-03,10.2,CLIC
2001-08-04,-0.2,CLIC
2001-08-05,35.8,CLIC
2001-08-06,-0.3,CLIC
2001-08-07,10.7,CLIC
2001-08-08,-0.1,CLIC
2001-08-09,-0.3,CLIC
2001-08-10,10.5,CLIC
2001-08-11,-0.1,CLIC
2001-08-12,-0.1,CLIC
2001-08-13,-0.1,CLIC
2001-08-14,-0.1,CLIC
2001-08-15,10.2,CLIC
2001-08-16,10.1,CLIC
2001-08-17,-40,CLIC
2001-08-18,29.9,CLIC
2001-08-19,-0.1,CLIC
2001-08-20,-0.1,CLIC
2001-08-21,9.8,CLIC
2001-08-22,0.5,CLIC
2001-08-23,-0.2,CLIC
2001-08-24,-0.2,CLIC
2001-08-25,0,CLIC
2001-08-26,10,CLIC
2001-08-27,10.3,CLIC
2001-08-28,9.7,CLIC
2001-08-29,20.2,CLIC
2001-08-30,9.8,CLIC
2001-08-31,30.5,CLIC
2001-09-01,10,CLIC
2001-09-02,15,CLIC
2001-09-03,15,CLIC
2001-09-04,10,CLIC
2001-09-05,20,CLIC
2001-09-06,0,CLIC
2001-09-07,0,CLIC
2001-09-08,20,CLIC
2001-09-09,35,CLIC
2001-09-10,-5,CLIC
2001-09-11,15,CLIC
2001-09-12,15,CLIC
2001-09-13,0,CLIC
2001-09-14,0,CLIC
2001-09-15,0,CLIC
2001-09-16,0,CLIC
2001-09-17,0,CLIC
2001-09-18,0,CLIC
2001-09-19,10,CLIC
2001-09-20,10,CLIC
2001-09-21,10,CLIC
2001-09-22,10,CLIC
2001-09-23,20,CLIC
2001-09-24,70,CLIC
2001-09-25,-58.81,CLIC
2001-09-26,0.11,CLIC
2001-09-27,-0.02,CLIC
2001-09-28,-0.7,CLIC
2001-09-29,13.32,CLIC
2001-09-30,46.1,CLIC
2001-10-01,-0.11,CLIC
2001-10-02,-1.04,CLIC
2001-10-03,-10.95,CLIC
2001-10-04,14.95,CLIC
2001-10-05,3.15,CLIC
2001-10-06,-4.73,CLIC
2001-10-07,14.28,CLIC
2001-10-08,-0.01,CLIC
2001-10-09,-1.02,CLIC
2001-10-10,11.98,CLIC
2001-10-11,-1.2,CLIC
2001-10-12,-0.01,CLIC
2001-10-13,-4.29,CLIC
2001-10-14,0,CLIC
2001-10-15,-0.1,CLIC
2001-10-16,-0.2,CLIC
2001-10-17,-3.11,CLIC
2001-10-18,18.45,CLIC
2001-10-19,-1,CLIC
2001-10-20,-0.02,CLIC
2001-10-21,0.02,CLIC
2001-10-22,17.86,CLIC
2001-10-23,-0.01,CLIC
2001-10-24,-0.01,CLIC
2001-10-25,0.01,CLIC
2001-10-26,0,CLIC
2001-10-27,0,CLIC
2001-10-28,0,CLIC
2001-10-29,-0.79,CLIC
2001-10-30,0.8,CLIC
2001-10-31,10.1,CLIC
2001-12-01,-1.29,CLIC
2001-12-02,-3,CLIC
2001-12-03,16.2,CLIC
2001-12-04,-0.01,CLIC
2001-12-05,-2.69,CLIC
2001-12-06,-3.02,CLIC
2001-12-07,-0.03,CLIC
2001-12-08,-1.05,CLIC
2001-12-09,6.99,CLIC
2001-12-10,-0.01,CLIC
2001-12-11,0,CLIC
2001-12-12,18.82,CLIC
2001-12-13,-0.11,CLIC
2001-12-14,-0.01,CLIC
2001-12-15,-0.08,CLIC
2001-12-16,-1.01,CLIC
2001-12-17,1,CLIC
2001-12-18,-0.02,CLIC
2001-12-19,0,CLIC
2001-12-20,3.8,CLIC
2001-12-21,-1.01,CLIC
2001-12-22,-0.02,CLIC
2001-12-23,-0.01,CLIC
2001-12-24,12.24,CLIC
2001-12-25,-1,CLIC
2001-12-26,0,CLIC
2001-12-27,0,CLIC
2001-12-28,-5.54,CLIC
2001-12-29,1.08,CLIC
2001-12-30,16.31,CLIC
2001-12-31,49.15,CLIC
2002-01-01,1.01,CLIC
2002-01-02,2.04,CLIC
2002-01-03,1.2,CLIC
2002-01-04,2.3,CLIC
2002-01-05,3.1,CLIC
2002-01-06,2.2,CLIC
2002-01-07,2.75,CLIC
2002-01-08,5,CLIC
2002-01-09,1.99,CLIC
2002-01-10,2.16,CLIC
2002-01-11,6,CLIC
2002-01-12,1,CLIC
2002-01-13,1.1,CLIC
2002-01-14,1.2,CLIC
2002-01-15,2.95,CLIC
2002-01-16,3.01,CLIC
2002-01-17,2.94,CLIC
2002-01-18,1.09,CLIC
2002-01-19,1.86,CLIC
2002-01-20,3,CLIC
2002-01-21,1.9,CLIC
2002-01-22,4.59,CLIC
2002-01-23,1.99,CLIC
2002-01-24,3.6,CLIC
2002-01-25,4.02,CLIC
2002-01-26,3.1,CLIC
2002-01-27,3.3,CLIC
2002-01-28,1.65,CLIC
