Estación: ,C19268,Allende II
Variable: ,Evaporación (mm)
Longitud: ,100° 00' 43'',Latitud:,25° 16' 22

Fecha,Valor,NúmDatos
2009-08-01,10.99,CLIC
2009-08-02,10.3,CLIC
2009-08-03,9.95,CLIC
2009-08-04,10.22,CLIC
2009-08-05,9.66,CLIC
2009-08-06,9.72,CLIC
2009-08-07,9.96,CLIC
2009-08-08,8.91,CLIC
2009-08-09,9.74,CLIC
2009-08-10,10.44,CLIC
2009-08-11,9.07,CLIC
2009-08-12,9.64,CLIC
2009-08-13,8.71,CLIC
2009-08-14,9.07,CLIC
2009-08-15,9.13,CLIC
2009-08-16,8.72,CLIC
2009-08-17,9.78,CLIC
2009-08-18,7.5,CLIC
2009-08-19,9.44,CLIC
2009-08-20,9.94,CLIC
2009-08-21,7.94,CLIC
2009-08-22,9.34,CLIC
2009-08-23,10.02,CLIC
2009-08-24,9.27,CLIC
2009-08-25,8.51,CLIC
2009-08-26,8.13,CLIC
2009-08-27,8.05,CLIC
2009-08-28,5.84,CLIC
2009-08-29,7.43,CLIC
2009-08-30,2.54,CLIC
2009-08-31,1.61,CLIC
