Estación: ,CABNL,Cabezones
Variable: ,Evaporación (mm)
Longitud: ,99° 44' 38'',Latitud:,24° 59' 24
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Valor,Fuente
2022-01-01,-,-
2022-01-02,-,-
2022-01-03,2.55,
2022-01-04,2.48,
2022-01-05,3.27,
2022-01-06,3.45,
2022-01-07,1.63,
2022-01-08,1.27,
2022-01-09,3.63,
2022-01-10,2.34,
2022-01-11,1.05,
2022-01-12,1.93,
2022-01-13,3.07,
2022-01-14,3.64,
2022-01-15,4.09,
2022-01-16,3.18,
2022-01-17,3.37,
2022-01-18,2.89,
2022-01-19,3.44,
2022-01-20,3.28,
2022-01-21,0.67,
2022-01-22,0.02,
2022-01-23,0.08,
2022-01-24,0.41,
2022-01-25,2.96,
2022-01-26,0.78,
2022-01-27,0.87,
2022-01-28,0.42,
2022-01-29,2.74,
2022-01-30,2.66,
2022-01-31,3.18,
2022-02-01,3.6,
2022-02-02,2.29,
2022-02-03,1.7,
2022-02-04,1.35,
2022-02-05,2.88,
2022-02-06,2.19,
2022-02-07,0.42,
2022-02-08,3.23,
2022-02-09,3.33,
2022-02-10,1.55,
2022-02-11,2.93,
2022-02-12,4.87,
2022-02-13,3.27,
2022-02-14,3.78,
2022-02-15,3.85,
2022-02-16,5.82,
2022-02-17,6.6,
2022-02-18,4.83,
2022-02-19,3.97,
2022-02-20,3.89,
2022-02-21,5.08,
2022-02-22,5.33,
2022-02-23,3.59,
2022-02-24,1.12,
2022-02-25,0.41,
2022-02-26,0.06,
2022-02-27,2.6,
2022-02-28,4.65,
2022-03-01,4.2,
2022-03-02,3.07,
2022-03-03,2.13,
2022-03-04,4.35,
2022-03-05,5.52,
2022-03-06,3.41,
2022-03-07,6,
2022-03-08,4.76,
2022-03-09,4.52,
2022-03-10,5.33,
2022-03-11,8.3,
2022-03-12,3.71,
2022-03-13,4.53,
2022-03-14,5.56,
2022-03-15,7.46,
2022-03-16,7.02,
2022-03-17,7.25,
2022-03-18,6.92,
2022-03-19,6.23,
2022-03-20,6.41,
2022-03-21,8.09,
2022-03-22,7.55,
2022-03-23,6.3,
2022-03-24,6.6,
2022-03-25,8.02,
2022-03-26,7.48,
2022-03-27,6.76,
2022-03-28,6.45,
2022-03-29,8.38,
2022-03-30,7.85,
2022-03-31,7.89,
2022-04-01,6.3,
2022-04-02,3.9,
2022-04-03,4.24,
2022-04-04,5.75,
2022-04-05,8.33,
2022-04-06,11.86,
2022-04-07,8.17,
2022-04-08,9,
2022-04-09,7.91,
2022-04-10,8.44,
2022-04-11,8.05,
2022-04-12,6.26,
2022-04-13,9.01,
2022-04-14,5.43,
2022-04-15,6.54,
2022-04-16,7.72,
2022-04-17,7.93,
2022-04-18,3.97,
2022-04-19,6.51,
2022-04-20,2.52,
2022-04-21,6.33,
2022-04-22,9.04,
2022-04-23,7.69,
2022-04-24,4.66,
2022-04-25,3.97,
2022-04-26,5.48,
