Estación: ,CRUNL,Las Crucitas
Variable: ,Evaporación (mm)
Longitud: ,99° 41' 50.7'',Latitud:,24° 47' 03.8''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Valor,Fuente
2022-01-01,5.08,
2022-01-02,3.34,
2022-01-03,0.6,
2022-01-04,1.15,
2022-01-05,2.73,
2022-01-06,1.51,
2022-01-07,0.79,
2022-01-08,2.1,
2022-01-09,0.94,
2022-01-10,1.13,
2022-01-11,1.05,
2022-01-12,-,-
2022-01-13,0.39,
2022-01-14,1.82,
2022-01-15,3.78,
2022-01-16,1.07,
2022-01-17,3,
2022-01-18,0.25,
2022-01-19,1.91,
2022-01-20,3.63,
2022-01-21,-,-
2022-01-22,0.74,
2022-01-23,0.61,
2022-01-24,1.44,
2022-01-25,1.19,
2022-01-26,0.42,
2022-01-27,1.85,
2022-01-28,1.43,
2022-01-29,2.53,
2022-01-30,1.11,
2022-01-31,1.06,
2022-02-01,1.96,
2022-02-02,0.55,
2022-02-03,0.69,
2022-02-04,1.7,
2022-02-05,1.83,
2022-02-06,3.48,
2022-02-07,0.81,
2022-02-08,1.64,
2022-02-09,2.28,
2022-02-10,1.12,
2022-02-11,0.35,
2022-02-12,1.6,
2022-02-13,1.76,
2022-02-14,3.19,
2022-02-15,1.44,
2022-02-16,3.91,
2022-02-17,4.35,
2022-02-18,3.4,
2022-02-19,1.53,
2022-02-20,2.82,
2022-02-21,1.8,
2022-02-22,3.23,
2022-02-23,3.53,
2022-02-24,1.99,
2022-02-25,0.22,
2022-02-26,0.03,
2022-02-27,2.4,
2022-02-28,1.96,
2022-03-01,3.3,
2022-03-02,0.97,
2022-03-03,2.82,
2022-03-04,3.2,
2022-03-05,2.72,
2022-03-06,3.8,
2022-03-07,5.09,
2022-03-08,2.82,
2022-03-09,3.06,
2022-03-10,3.42,
2022-03-11,4.85,
2022-03-12,3.37,
2022-03-13,3.79,
2022-03-14,3.47,
2022-03-15,7.64,
2022-03-16,4.24,
2022-03-17,7.46,
2022-03-18,6.4,
2022-03-19,4.62,
2022-03-20,3.96,
2022-03-21,6.59,
2022-03-22,6.23,
2022-03-23,6.79,
2022-03-24,5.81,
2022-03-25,6.55,
2022-03-26,7.25,
2022-03-27,4.66,
2022-03-28,6.34,
2022-03-29,5.92,
2022-03-30,7.18,
2022-03-31,6.84,
2022-04-01,3.88,
2022-04-02,4.38,
2022-04-03,3.88,
2022-04-04,4.92,
2022-04-05,6.91,
2022-04-06,10.07,
2022-04-07,7,
2022-04-08,6.96,
2022-04-09,6.91,
2022-04-10,8.37,
2022-04-11,6.97,
2022-04-12,5.6,
2022-04-13,7.66,
2022-04-14,5.44,
2022-04-15,6.75,
2022-04-16,5.9,
2022-04-17,5.37,
2022-04-18,4.42,
2022-04-19,5.16,
2022-04-20,1.2,
2022-04-21,5.42,
2022-04-22,7.63,
2022-04-23,6.58,
2022-04-24,4.94,
2022-04-25,-,-
2022-04-26,1.37,
2022-04-27,5.44,
2022-04-28,5.54,
2022-04-29,5.45,
2022-04-30,5.52,
2022-05-01,7.29,
2022-05-02,6.72,
2022-05-03,5.84,
2022-05-04,8.24,
2022-05-05,5.74,
2022-05-06,4.8,
2022-05-07,7.62,
2022-05-08,7.36,
2022-05-09,6.72,
2022-05-10,2.33,
2022-05-11,4.95,
2022-05-12,8.21,
2022-05-13,6.96,
2022-05-14,5.9,
2022-05-15,7.65,
2022-05-16,10,
2022-05-17,9.44,
2022-05-18,5.88,
2022-05-19,5.64,
2022-05-20,7.15,
2022-05-21,8.66,
2022-05-22,2.7,
2022-05-23,2.67,
2022-05-24,5.13,
2022-05-25,2.1,
2022-05-26,4.65,
2022-05-27,7.03,
2022-05-28,10.26,
2022-05-29,7.95,
2022-05-30,7.88,
2022-05-31,8.47,
2022-06-01,7.23,
2022-06-02,4.77,
2022-06-03,4.71,
2022-06-04,7.67,
2022-06-05,7.96,
2022-06-06,11.15,
2022-06-07,9.27,
2022-06-08,8.43,
2022-06-09,5.01,
2022-06-10,9.6,
2022-06-11,9.78,
2022-06-12,10.66,
2022-06-13,7.03,
2022-06-14,10.44,
2022-06-15,9.26,
2022-06-16,8.96,
2022-06-17,9.17,
2022-06-18,7.71,
2022-06-19,8.1,
2022-06-20,7.99,
2022-06-21,6.02,
2022-06-22,7.98,
2022-06-23,9.04,
